"Life Regen",生命回复
"Minions Attacks have {0} chance to Maim on Hit","召唤生物的攻击有 {0} 的几率使敌人瘫痪"
"Minions' Skills have {0} increased Critical Strike Chance per Power Charge if used by Mines","暴击球用于地雷时，每个可使召唤生物的技能暴击率提高 {0}"
"Minions' Skills have {0} reduced Critical Strike Chance per Power Charge if used by Mines","暴击球用于地雷时，每个可使召唤生物的技能暴击率降低 {0}"
"This Skill and Minions have {0} increased Mine Throwing Speed per Frenzy Charge","每个狂怒球使该技能和召唤生物的地雷投掷速度提高 {0}"
"This Skill and Minions have {0} reduced Mine Throwing Speed per Frenzy Charge","每个狂怒球使该技能和召唤生物的地雷投掷速度降低 {0}"
"Minions have {0} more Attack Speed","召唤生物的总攻击速度额外加快 {0}"
"Minions have {0} less Attack Speed","召唤生物的总攻击速度额外减慢 {0}"
"Minions take {0} of their Maximum Life as Fire Damage per second","召唤生物每秒受到等同 {0} 最大生命的火焰伤害"
"Minions Leech {0} of Elemental Damage as Life","召唤生物将元素伤害的 {0} 转化为生命偷取"
"Minion's Melee Attacks have {0} increased Area of Effect per Repeat","召唤生物的近战攻击每次重复都使效果区域扩大 {0}"
"Minion's Melee Attacks have {0} reduced Area of Effect per Repeat","召唤生物的近战攻击每次重复都使效果区域缩小 {0}"
"Minion's Melee Attack's First Repeat deals {0} more Damage","召唤生物重复的第一个近战攻击造成的总伤害额外提高 {0}"
"Minion's Melee Attack's First Repeat deals {0} less Damage","召唤生物重复的第一个近战攻击造成的总伤害额外降低 {0}"
"Minion's Melee Attack's Second Repeat deals {0} more Damage","召唤生物重复的第二个近战攻击造成的总伤害额外提高 {0}"
"Minion's Melee Attack's Second Repeat deals {0} less Damage","召唤生物重复的第二个近战攻击造成的总伤害额外降低 {0}"
"Minion's Melee Attack's Third Repeat deals {0} more Damage","召唤生物近战攻击的第三次重复造成的总伤害额外提高 {0}"
"Minion's Melee Attack's Third Repeat deals {0} less Damage","召唤生物近战攻击的第三次重复造成的总伤害额外降低 {0}"
"Minions have {0} increased Effect of non-Damaging Ailments on Enemies","召唤生物对敌人施加的非伤害性异常状态效果提高 {0}"
"Minions have {0} reduced Effect of non-Damaging Ailments on Enemies","召唤生物对敌人施加的非伤害性异常状态效果降低 {0}"
"Minions have {0} increased distance between Firing Points","召唤生物的发射点之间的距离增加 {0}"
"Minions have {0} reduced distance between Firing Points","召唤生物的发射点发射点之间的距离减少 {0}"
"This Skill and Minions have {0} chance to gain a Frenzy Charge when a Mine is Detonated targeting an Enemy","地雷以敌人为目标引爆时，该技能和召唤生物有 {0} 的几率获得一个狂怒球"
"This Skill and Minions have {0} chance to gain a Frenzy Charge when your Trap is triggered by an Enemy","当你的陷阱被敌人触发时，此技能和召唤生物有 {0} 的机会获得 1 个狂怒球"
"This Skill and Minions have {0} chance to gain a Power Charge when a Mine is Detonated targeting an Enemy","地雷以敌人为目标引爆时，该技能和召唤生物有 {0} 的几率获得一个暴击球"
"This Skill and Minions have {0} chance to gain a Power Charge when your Trap is triggered by an Enemy","当你的陷阱被敌人触发时，此技能和召唤生物有 {0} 的机会获得 1 个暴击球"
"Projectiles Fired by Minions have {0} chance not to Pierce Enemies","召唤生物发射的投射物有 {0} 的几率不会穿透敌人"
"Projectiles Fired by Minions Cannot Pierce Enemies",召唤生物发射的投射物不能贯穿敌人
"Minion's Projectiles that have Pierced deal {0} increased Damage","召唤生物的投射物穿透伤害提高 {0}"
"Minion's Projectiles that have Pierced deal {0} reduced Damage","召唤生物的投射物穿透伤害降低 {0}"
"Minions deal {0} increased Projectile Damage to nearby Enemies","召唤生物对周围敌人的投射物伤害提高 {0}"
"Minions deal {0} reduced Projectile Damage to nearby Enemies","召唤生物对周围敌人的投射物伤害降低 {0}"
"Projectiles Fired by Minions Pierce all Targets within {0} units","召唤生物发射的投射物贯穿{0} 格内的所有目标"
"Minions Recover {0} of Life when you Stun an Enemy","你眩晕敌人时，召唤生物回复 {0} 生命"
"Minions Penetrate {0} Chaos Resistance","召唤生物穿透 {0} 混沌抗性"
"Minions have {0} increased Duration of Skills and Duration of Damaging Ailments","召唤生物的技能和异常状态持续时间延长 {0}"
"Minions have {0} reduced Duration of Skills and Damaging Ailments","召唤生物技能和异常状态持续时间缩短 {0}"
"{0} of Minion Physical Damage Converted to Chaos Damage","召唤生物将物理伤害的 {0}转化为混沌伤害"
"{0} of Minion Physical Damage Converted to Cold Damage","将召唤生物物理伤害的 {0} 转化为冰霜伤害"
"{0} of Minion Physical Damage Converted to Fire Damage","召唤生物将物理伤害的 {0} 转化为火焰伤害"
"Skitterbots grant {0} more Trap and Mine Damage","飞掠者使陷阱和地雷总伤害额外提高 {0}"
"Skitterbots grant {0} less Trap and Mine Damage","飞掠者使陷阱和地雷总伤害额外降低 {0}"
"Enemies in Chilling Areas from Minion's Skills take {0} increased Cold Damage over Time","召唤生物造成的冰缓区域内的敌人，其受到的冰霜持续伤害提高 {0}"
"Enemies in Chilling Areas from Minion's Skills take {0} reduced Cold Damage over Time","召唤生物造成的冰缓区域内的敌人，其受到的冰霜持续伤害降低 {0}"
"Enemies Chilled by Minions take {0} increased Cold Damage over Time","被召唤生物所冰缓的敌人，其受到的冰霜持续伤害提高 {0}"
"Enemies Chilled by Minions take {0} reduced Cold Damage over Time","被召唤生物所冰缓的敌人，其受到的冰霜持续伤害降低 {0}"
"Minions deal {0} more Damage while on Full Energy Shield","满能量护盾时，召唤生物造成的总伤害额外提高 {0}"
"Minions deal {0} less Damage while on Full Energy Shield","满能量护盾时，召唤生物造成的总伤害额外降低 {0}"
"Minions deal {0} more Damage while Leeching Energy Shield","偷取能量护盾时，召唤生物造成的总伤害额外提高 {0}"
"Minions deal {0} less Damage while Leeching Energy Shield","偷取能量护盾时，召唤生物造成的总伤害额外降低 {0}"
"Minions deal {0} more Damage with Ailments caused by Melee Hits","召唤生物在近战击中时造成的异常状态总伤害额外提高 {0}"
"Minions deal {0} less Damage with Ailments caused by Melee Hits","召唤生物在近战击中时造成的异常状态总伤害额外降低 {0}"
"Minions deal {0} more Melee Damage","召唤生物造成的近战总伤害额外提高 {0}"
"Minions deal {0} less Melee Damage","召唤生物造成的近战总伤害额外降低 {0}"
"Minions deal {0} more Cold Damage Over Time","召唤生物造成的持续性冰霜总伤害额外提高 {0}"
"Minions deal {0} less Cold Damage Over Time","召唤生物造成的持续性冰霜总伤害额外降低 {0}"
"Enemies Maimed by Minions take {0} increased Physical Damage","被召唤生物使敌人瘫痪时，敌人受到的物理伤害提高 {0}"
"Enemies Maimed by Minions take {0} reduced Physical Damage","被召唤生物使敌人瘫痪时，敌人受到的物理伤害降低 {0}"
"Minions have {0} increased Critical Strike Chance against the Prey","召唤生物对猎物的暴击率提高 {0}"
"Minions have {0} reduced Critical Strike Chance against the Prey","召唤生物对猎物的暴击率降低 {0}"
"Minions have {0} to Critical Strike Multiplier against the Prey","召唤生物对猎物的暴击伤害加成 {0}"
"Minions deal {0} more Damage to the Prey","召唤生物对猎物的总伤害额外提高 {0}"
"Minions deal {0} less Damage to the Prey","召唤生物对猎物的总伤害额外降低 {0}"
"Minions always target the Prey if possible",召唤生物始终以猎物为目标
"Minions deal {0} more Damage per Power Charge","每个暴击球可使召唤生物的总伤害额外提高 {0}"
"Minions deal {0} less Damage per Power Charge","每个暴击球可使召唤生物的总伤害额外降低 {0}"
"Minions deal {0} more Melee Area Damage","召唤生物的近战范围总伤害提高 {0}"
"Minions deal {0} less Melee Area Damage","召唤生物的近战范围总伤害降低 {0}"
"Enemies have {0} chance to Block Attack or Spell Damage from Minions","敌人对抗召唤生物时，格挡攻击伤害或法术伤害的几率 {0}"
"Enemies have {0} chance to Dodge Attack or Spell Hits from Minions","敌人对抗召唤生物时，躲避攻击击中或法术击中的几率 {0}"
"Minions have {0} chance to gain Onslaught for {1} seconds when you Hit a Unique Enemy","击中传奇敌人时，召唤生物有 {0} 几率获得【猛攻】效果，持续 {1} 秒"
"Minions have {0} chance to gain Onslaught for {1} seconds on dealing a Killing Blow","召唤生物造成致命一击时，有 {0} 的几率获得 {1} 秒猛攻"
"Minions deal up to {0} more Melee Damage to Enemies, based on proximity","召唤生物基于距离对敌人的总近战伤害最多额外提高 {0}"
"Minion's have {0} increased delay between affected Areas","召唤生物受影响区域之间的延迟提高 {0}"
"Minion's have {0} reduced delay between affected Areas","召唤生物受影响区域之间的延迟降低 {0}"
"Minion's Final Repeat deals {0} more Damage","召唤生物最后一次重复的总伤害额外提高 {0}"
"Minion's Final Repeat deals {0} less Damage","召唤生物最后一次重复的总伤害额外降低 {0}"
"Minions' Skills have {0} to Critical Strike Multiplier per Power Charge when used by Traps","暴击球用于陷阱时，每个可使召唤生物的技能 {0} 暴击伤害加成"
"This Skill and Minions have {0} increased Trap Throwing Speed per Frenzy Charge","每个狂怒球可使此技能和召唤生物的陷阱投掷速度提高 {0}"
"This Skill and Minions have {0} reduced Trap Throwing Speed per Frenzy Charge","每个狂怒球可使此技能和召唤生物的陷阱投掷速度降低 {0}"
"Minions have {0} chance to inflict Withered on Hit","召唤生物击中敌人后有 {0} 的几率造成【死亡凋零】"
"Agony Crawler has {0} chance to inflict Withered for {1} seconds on Hit","苦痛爬行者击中时有 {0} 的几率施加 {1} 秒枯萎"
"This Attack and Minions have {0} increased Attack Speed","此攻击与召唤生物的攻击速度提高 {0}"
"This Attack and Minions have {0} reduced Attack Speed","此攻击与召唤生物的攻击速度降低 {0}"
"This Attack and Minions have {0} increased Accuracy Rating","此攻击与召唤生物的命中值提高 {0}"
"This Attack and Minions have {0} reduced Accuracy Rating","此攻击与召唤生物的命中值降低 {0}"
"This Attack and Minions have {0} increased Critical Strike Chance","此攻击与召唤生物的暴击率提高 {0}"
"This Attack and Minions have {0} reduced Critical Strike Chance","此攻击与召唤生物的暴击率降低 {0}"
"This Attack and Minions have {0} to Critical Strike Multiplier","此攻击和召唤生物获得 {0} 基础暴击伤害加成"
"Enemy Block Chance reduced by {0} against this Skill and Minions","此攻击与召唤生物可以使敌人的攻击和法术格挡率降低 {0}"
"This Attack and Minions Leech {0} of Damage as Life","此攻击与召唤生物造成 {0} 生命偷取"
"This Attack and Minions Leech {0} of Damage as Energy Shield","此攻击与召唤生物造成伤害的 {0} 转化为能量护盾偷取"
"This Attack and Minions have an additional {0} chance to Knock Enemies Back on Hit","此攻击和召唤生物有额外 {0} 的几率击退敌人"
"This Attack and Minions have {0} increased Knockback Distance","此攻击与召唤生物的击退距离延长 {0}"
"This Attack and Minions have {0} reduced Knockback Distance","此攻击与召唤生物的击退距离缩短 {0}"
"This Attack and Minions have {0} reduced Enemy Stun Threshold","此攻击与召唤生物会使敌人的晕眩门槛降低 {0}"
"This Attack and Minions have {0} increased Enemy Stun Threshold","此攻击与召唤生物会使敌人的晕眩门槛提高 {0}"
"{0} increased Rarity of Items Dropped by enemies Slain by Minions or This Attack","此攻击与召唤生物会使物品稀有度提高 {0} "
"{0} reduced Rarity of Items Dropped by enemies Slain by Minions or This Attack","此攻击与召唤生物会使物品稀有度降低 {0}"
"{0} increased Quantity of Items Dropped by enemies Slain by Minions or This Attack","此攻击与召唤生物会使物品掉落数量提高 {0} "
"{0} reduced Quantity of Items Dropped by enemies Slain by Minions or This Attack","此攻击与召唤生物会使物品掉落数量降低 {0}"
"This Attack and Minions have {0} chance to Freeze enemies","此攻击与召唤生物击中时有 {0} 的几率冰冻敌人"
"This Attack and Minions have {0} chance to Shock enemies","此攻击与召唤生物击中时有 {0} 的几率使敌人附加感电状态"
"This Attack and Minions have {0} chance to Ignite enemies","此攻击与召唤生物造成的火焰伤害有 {0} 的几率点燃敌人"
"This Attack and Minions have {0} chance to cause Monsters to Flee when Hit","该攻击与召唤生物使怪物被击中时有 {0} 的几率使逃跑"
"This Attack and Minions have {0} increased Stun Duration on enemies","此攻击与召唤生物对敌人的晕眩时间延长 {0} "
"This Attack and Minions have {0} reduced Stun Duration on enemies","此攻击与召唤生物对敌人的晕眩时间缩短 {0}"
"This Attack and Minions have {0} increased Ignite Duration on Enemies","此攻击与召唤生物对敌人的点燃时间延长 {0}"
"This Attack and Minions have {0} reduced Ignite Duration on Enemies","此攻击与召唤生物对敌人的点燃时间缩短 {0}"
"This Attack and Minions have {0} increased Chill Effect on enemies","此攻击与召唤生物对敌人的冰缓效果提高 {0}"
"This Attack and Minions have {0} reduced Chill Effect on enemies","此攻击与召唤生物对敌人的冰缓效果降低 {0}"
"This Attack and Minions have {0} increased Chill Duration on enemies","此攻击与召唤生物对敌人的冰缓时间延长 {0}"
"This Attack and Minions have {0} reduced Chill Duration on enemies","此攻击与召唤生物对敌人的冰缓时间缩短 {0}"
"This Attack and Minions have {0} increased Freeze Duration on enemies","此攻击与召唤生物对敌人的冰冻时间延长 {0}"
"This Attack and Minions have {0} reduced Freeze Duration on enemies","此攻击与召唤生物对敌人的冰冻时间缩短 {0}"
"This Attack and Minions have {0} increased Shock Duration on enemies","此攻击与召唤生物对敌人的感电时间延长 {0}"
"This Attack and Minions have {0} reduced Shock Duration on enemies","此攻击与召唤生物对敌人的感电时间缩短 {0}"
"This Attack and Minions Penetrate {0} Fire Resistance","此攻击与召唤生物穿透 {0} 火焰抗性"
"This Attack and Minions Penetrate {0} Cold Resistance","此攻击与召唤生物穿透 {0} 冰冷抗性"
"This Attack and Minions Penetrate {0} Elemental Resistances","此攻击与召唤生物穿透 {0} 冰冷抗性"
"This Attack and Minions Penetrate {0} Lightning Resistance","此攻击与召唤生物穿透 {0} 闪电抗性"
"This Attack and Minions have {0} chance to Blind enemies on hit","此攻击与召唤生物击中时有 {0} 的几率致盲敌人"
"This Attack and Minions have {0} increased Blinding duration","此攻击与召唤生物造成的致盲时间延长 {0}"
"This Attack and Minions have {0} reduced Blinding duration","此攻击与召唤生物造成的致盲时间缩短 {0}"
"This Attack and Minions have {0} chance to gain a Power Charge on Critical Strike","此攻击与召唤生物造成暴击时有 {0} 的几率获得暴击球"
"This Attack and Minions have {0} more Melee Attack Speed","此攻击与召唤生物的近战攻击总速度额外提高 {0}"
"This Attack and Minions have {0} less Melee Attack Speed","此攻击与召唤生物的近战攻击总速度额外降低 {0}"
"This Attack and Minions have {0} increased Area of Effect","此攻击与召唤生物会使效果区域扩大 {0}"
"This Attack and Minions have {0} reduced Area of Effect","此攻击与召唤生物会使效果区域缩小 {0}"
"This Attack and Minions have {0} more Area of Effect","此攻击与召唤生物会使效果总范围额外扩大 {0} "
"This Attack and Minions have {0} less Area of Effect","此攻击与召唤生物会使效果总范围额外缩小 {0}"
"This Attack and Minions have {0} increased Burning Damage","此攻击与召唤生物会使燃烧伤害提高 {0}"
"This Attack and Minions have {0} reduced Burning Damage","此攻击与召唤生物会使燃烧伤害降低 {0}"
"This Attack and Minions have {0} chance to gain Endurance Charges when Stunning Enemies with Melee Damage","此攻击和召唤生物使用近战伤害晕眩敌人时有 {0} 的几率获得耐力球"
"This Attack and Minions have {0} increased Attack Speed when on Low Life","低血时攻击与召唤生物的攻击速度提高 {0}"
"This Attack and Minions have {0} reduced Attack Speed when on Low Life","低血时攻击与召唤生物的攻击速度降低 {0}"
"This Attack and Minions have {0} more Attack Speed","此攻击与召唤生物的总攻击速度额外提高 {0}"
"This Attack and Minions have {0} less Attack Speed","此攻击与召唤生物的总攻击速度额外降低 {0}"
"This Attack and Minions deal {0} more Melee Physical Damage against Bleeding Enemies","此攻击与召唤生物攻击流血敌人时，近战物理总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Melee Physical Damage against Bleeding Enemies","此攻击与召唤生物攻击流血敌人时，近战物理总伤害额外降低 {0}"
"This Attack and Minions deal {0} increased Melee Damage against Bleeding Enemies","此攻击与召唤生物对流血的敌人提高 {0} 近战伤害"
"This Attack and Minions deal {0} reduced Melee Damage against Bleeding Enemies","此攻击与召唤生物对流血的敌人降低 {0} 近战伤害"
"This Attack and Minions have {0} chance to Fortify on Melee hit","此攻击与召唤生物在近战击中时有 {0} 的几率获得护体效果"
"This Attack and Minions have {0} chance to Freeze Enemies which are Chilled","此攻击与召唤生物有 {0} 的几率冰冻被冰缓的敌人"
"This Attack and Minions deal {0} more Damage with Hits and Ailments against Chilled Enemies","此攻击与召唤生物攻击被冰缓的敌人时，击中和异常状态总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage with Hits and Ailments against Chilled Enemies","此攻击与召唤生物攻击被冰缓的敌人时，击中和异常状态总伤害额外降低 {0}"
"This Skill and Minions deal {0} more Damage","此技能和召唤生物造成的总伤害额外提高 {0}"
"This Skill and Minions deal {0} less Damage","此技能和召唤生物造成的总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Trap and Mine Damage","此攻击与召唤生物的陷阱与地雷总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Trap and Mine Damage","此攻击与召唤生物的陷阱与地雷总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Damage with Ailments","此攻击和召唤生物额外提高 {0} 异常状态总伤害"
"This Attack and Minions deal {0} less Damage with Ailments","此攻击和召唤生物额外降低 {0} 异常状态总伤害"
"This Attack and Minions deal {0} more Damage with Hits","此攻击和召唤生物的击中总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage with Hits","此攻击和召唤生物的击中总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Fire Damage","此攻击和召唤生物的火焰总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Fire Damage","此攻击和召唤生物的火焰总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Damage with Ignite","此攻击和召唤生物的点燃总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage with Ignite","此攻击和召唤生物的点燃总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Damage over Time","此攻击与召唤物的持续性总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage over Time","此攻击与召唤物的持续性总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Damage with Hits for each Poison on the Enemy, up to {1}","敌人每有一层中毒效果，此攻击和召唤生物的击中总伤害就额外提高 {0}，最多 {1}"
"This Attack and Minions deal {0} less Damage with Hits for each Poison on the Enemy, up to {1}","敌人每有一层中毒效果，此攻击和召唤生物的击中总伤害就额外降低 {0}，最多 {1}"
"This Attack and Minions deal {0} more Damage with Poison","此攻击和召唤生物的中毒总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage with Poison","此攻击和召唤生物的中毒总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Elemental Damage","此攻击和召唤生物的元素总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Elemental Damage","此攻击和召唤生物的元素总伤害额外降低 {0}"
"This Attack and Minions deal {0} increased Damage over Time","此攻击和召唤生物的持续性伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage over Time","此攻击和召唤生物的持续性伤害降低 {0}"
"This Attack and Minions have {0} increased Damage with Poison","此攻击和召唤生物造成的中毒伤害提高 {0}"
"This Attack and Minions have {0} reduced Damage with Poison","此攻击和召唤生物造成的中毒伤害降低 {0}"
"This Attack and Minions have {0} increased Poison Duration","此攻击和召唤生物造成的中毒持续时间延长 {0}"
"This Attack and Minions have {0} reduced Poison Duration","此攻击和召唤生物造成的中毒持续时间缩短 {0}"
"This Attack and Minions have {0} more Melee Splash Area of Effect","此攻击和召唤生物的近战溅射总范围额外扩大 {0}"
"This Attack and Minions have {0} less Melee Splash Area of Effect","此攻击和召唤生物的近战溅射总范围额外缩小 {0}"
"{0} chance to Summon a Phantasm when this Skill, or Non-Phantasm Minions, deal a Killing Blow","当此技能或非幻灵召唤生物击败敌人时，有 {0} 的几率召唤 1 个幻灵"
"Ruthless Blows from this Attack or Minions deal {0} more Melee Damage","此攻击技能或召唤生物的【无情一击】会使近战总伤害额外提高 {0}"
"Ruthless Blows from this Attack or Minions deal {0} more Damage with Bleeding caused by Melee Hits","此攻击技能或召唤生物的近战攻击击中时，所触发的【无情一击】会使流血总伤害额外提高 {0}"
"This Attack and Minion's Attack Skills Leech {0} of Damage as Mana","此攻击与召唤生物的攻击技能造成 {0} 魔力偷取"
"This Attack and Minions' Attacks have {0} chance to Impale Enemies on Hit","该攻击和召唤生物的攻击击中时有 {0} 的几率穿刺敌人"
"This Attack and Minions have {0} chance to Poison on Hit","此攻击和召唤生物击中敌人后有 {0} 的几率使其中毒"
"This Attack and Minions have {0} of Chaos Damage Leeched as Life","该攻击和召唤生物将混沌伤害的 {0} 转化为生命偷取"
"This Attack and Minions have {0} chance to cause Bleeding","此攻击和召唤生物有 {0} 的几率造成流血"
"Projectiles Fired by Minions have {0} chance for an additional Projectile when Forking","召唤生物发射的投射物分叉时，有 {0} 的几率产生一枚额外投射物"
"This Attack and Minions Have {0} increased Effect of Cold Ailments","T该攻击和召唤生物的冰霜异常状态效果提高 {0}"
"This Attack and Minions Have {0} reduced Effect of Cold Ailments","该攻击和召唤生物的冰霜异常状态效果降低 {0}"
"This Attack and Minions have {0} increased Critical Strike Chance against Blinded Enemies","对抗目盲的敌人时，该攻击和召唤生物的暴击率提高 {0}"
"This Attack and Minions have {0} reduced Critical Strike Chance against Blinded Enemies","对抗目盲的敌人时，该攻击和召唤生物的暴击率降低 {0}"
"This Attack and Minions deal {0} increased Damage with Hits and Ailments per Freeze, Shock or Ignite on Enemy","敌人身上每种冻结、感电、点燃效果都使该攻击和召唤生物的击中和异常状态伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage with Hits and Ailments  per Freeze, Shock or Ignite on Enemy","敌人身上每种冻结、感电、点燃效果都使该攻击和召唤生物的击中和异常状态伤害降低 {0}"
"This Attack and Minions deal {0} increased Damage while Leeching Energy Shield","偷取能量护盾时，此攻击和召唤生物造成的伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage while Leeching Energy Shield","偷取能量护盾时，此攻击和召唤生物造成的伤害降低 {0}"
"This Attack and Minions deal {0} increased Damage while Leeching Life","偷取生命时，此攻击和召唤生物的伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage while Leeching Life","偷取生命时，此攻击和召唤生物的伤害降低 {0}"
"This Attack and Minions deal {0} increased Damage while Leeching Mana","偷取魔力时，此攻击和召唤生物的伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage while Leeching Mana","偷取魔力时，此攻击和召唤生物的伤害降低 {0}"
"This Attack and Minions deal {0} increased Damage with Hits and Ailments per Curse on Enemy","敌人身上的每个诅咒都使该攻击和召唤生物的击中和异常状态伤害提高 {0}"
"This Attack and Minions deal {0} reduced Damage with Hits and Ailments per Curse on Enemy","敌人身上的每个诅咒都使该攻击和召唤生物的击中和异常状态伤害降低 {0}"
"This Attack and Minions deal {0} increased Damage with Hits against Enemies that are on Low Life","对抗低血敌人时，该攻击和召唤生物的击中伤害提高 {0}"
"Damaging Ailments inflicted by this Attack or Minions deal damage {0} faster","由该攻击或召唤生物造成的伤害施加的伤害型异常状态生效速度加快 {0}"
"{0} Chance to Summon a Normal Sentinel of Dominance when you Hit a Unique Monster","击中传奇敌人时，有 {0} 的几率召唤 1 个【统御哨兵】"
"Enemies Shocked by This Attack and Minions take {0} increased Physical Damage","若敌人的感电来自该攻击和召唤生物，则它们承受的物理伤害提高 {0}"
"Enemies Shocked by This Attack and Minions take {0} reduced Physical Damage","若敌人的感电来自该攻击和召唤生物，则它们承受的物理伤害降低 {0}"
"This Attack and Minions Overwhelm {0} Physical Damage Reduction","该攻击和召唤生物压制 {0} 物理伤害减免"
"Enemies Ignited by this Attack or Minions have {0} to Fire Resistance","被此攻击或召唤生物点燃的敌人，其火焰抗性提高 {0}"
"This Attack and Minions' Attacks have {0} increased Impale Effect","该攻击和召唤生物的攻击使穿刺效果扩大 {0}"
"This Attack and Minions' Attacks have {0} reduced Impale Effect","该攻击和召唤生物的攻击使穿刺效果缩小 {0}"
"Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0} Physical Damage Reduction","该技能和召唤生物对已穿刺的敌人造成的穿刺伤害压制 {0} 物理伤害减免"
"This Attack and Minions deal {0} more Physical Damage","此攻击和召唤生物造成的物理总伤害额外提高 {0}"
"This Attack and Minions have {0} chance to Knock Enemies Back with Hits at Close Range","该攻击和召唤生物近程击中时有 {0} 的几率击退敌人"
"This Attack and Minions have {0} increased Effect of Lightning Ailments","该攻击和召唤生物的闪电异常状态效果提高 {0}"
"This Attack and Minions have {0} reduced Effect of Lightning Ailments","该攻击和召唤生物的闪电异常状态效果降低 {0}"
"This Attack and Minions Attacks have {0} chance to Maim on Hit","此攻击和召唤生物击中敌人时有 {0} 的几率使其瘫痪"
"This Attack and Minion's Melee Attacks have {0} increased Area of Effect per Repeat","该攻击和召唤生物的近战攻击每次重复都使效果区域扩大 {0}"
"This Attack and Minion's Melee Attacks have {0} reduced Area of Effect per Repeat","该攻击和召唤生物的近战攻击每次重复都使效果区域缩小 {0}"
"This Attack's and Minion's Melee Attack's First Repeat deals {0} more Damage","此攻击和召唤生物重复的第一个近战攻击造成的总伤害额外提高 {0}"
"This Attack's and Minion's Melee Attack's First Repeat deals {0} less Damage","此攻击和召唤生物重复的第一个近战攻击造成的总伤害额外降低 {0}"
"This Attack's and Minion's Melee Attack's Second Repeat deals {0} more Damage","此攻击和召唤生物重复的第二个近战攻击造成的总伤害额外提高 {0}"
"This Attack's and Minion's Melee Attack's Second Repeat deals {0} less Damage","此攻击和召唤生物重复的第二个近战攻击造成的总伤害额外降低 {0}"
"This Attack's and Minion's Melee Attack's Third Repeat deals {0} more Damage","该攻击和召唤生物近战攻击的第三次重复造成的总伤害额外提高 {0}"
"This Attack's and Minion's Melee Attack's Third Repeat deals {0} less Damage","该攻击和召唤生物近战攻击的第三次重复造成的总伤害额外降低 {0}"
"This Attack and Minions Projectiles that have Pierced deal {0} increased Damage","该攻击和召唤生物的穿透投射物的伤害提高 {0}"
"This Attack and Minions Projectiles that have Pierced deal {0} reduced Damage","该攻击和召唤生物的穿透投射物的伤害降低 {0}"
"This Attack and Minions Penetrate {0} Chaos Resistance","该攻击和召唤生物穿透 {0} 混沌抗性"
"This Attack and Minions deal {0} less Physical Damage","此攻击和召唤生物的物理总伤害额外降低 {0}"
"Enemies Chilled by this Skill or Minions take {0} increased Cold Damage over Time","被该技能或召唤生物所冰缓的敌人，其受到的冰霜持续伤害提高 {0}"
"Enemies Chilled by this Skill or Minions take {0} reduced Cold Damage over Time","被该技能或召唤生物所冰缓的敌人，其受到的冰霜持续伤害降低 {0}"
"This Attack and Minions deal {0} more Damage while Leeching Energy Shield","偷取能量护盾时，此攻击和召唤生物造成的总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage while Leeching Energy Shield","偷取能量护盾时，此攻击和召唤生物造成的总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Cold Damage Over Time","此攻击与召唤物的持续性冰霜总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Cold Damage Over Time","此攻击与召唤物的持续性冰霜总伤害额外降低 {0}"
"Enemies Maimed by this Attack and Minions take {0} increased Physical Damage","被此攻击和召唤生物瘫痪的敌人，所受到的物理总伤害提高 {0}"
"Enemies Maimed by this Attack and Minions take {0} reduced Physical Damage","被此攻击和召唤生物瘫痪的敌人，所受到的物理总伤害降低 {0}"
"This Attack and Minions deal {0} more Damage per Power Charge","每个暴击球可使此攻击与召唤物的总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Damage per Power Charge","每个暴击球可使此攻击与召唤物的总伤害额外降低 {0}"
"This Attack and Minions deal {0} more Melee Area Damage","此攻击和召唤生物的近战范围总伤害额外提高 {0}"
"This Attack and Minions deal {0} less Melee Area Damage","此攻击和召唤生物的近战范围总伤害额外降低 {0}"
"Enemies have {0} chance to Block Attack or Spell Damage from this Skill or Minions","敌人格挡来自该技能或召唤生物的攻击伤害或法术伤害的几率 {0}"
