"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"Sources:","소스:"
"Spectral Spirits","영체 혼백"
"Speed Per Trauma","외상당 속도"
"Speed","속도"
"Spell Avoid Ch.:","주문 긴급회피 획률:"
"Spell Block Chance","주문 막기 확률"
"Spell Ch.:","주문 확률:"
"Spell Ddg. Chance:","주문 회피 확률:"
"Spell Dodge Chance Max","주문 회피 확률 최대"
"Spell Dodge Chance","주문 회피 확률"
"Spell Projectile Ch.:","주문 투사체 확률:"
"Spell Suppression:","주문 억제:"
"Stack Potential:","중첩 가능성:"
"Stacks on Enemy:","적에게 중첩:"
"Stat","상태"
"Stone","모래 태세"
"Stored Uses:","축적된 사용처:"
"Str","힘"
"Str. Required:","필요 힘:"
"Strength Required","필요 ^xE05030힘^7"
"Stun Avoid Chance:","기절 긴급회피 확률:"
"Stun Chance has to be more than {0}% to stun.","기절시키려면 기절 확률이 {0}% 이상이어야 기절합니다."
"Stun Duration:","기절 시간:"
"Stun Threshold","기절 한계치"
"Stun Threshold:","기절 한계:"
"Support Mana Multiplier","마나 배율 보조"
"Supported Skills grant 1 Rage on Melee Hit, no more than once every 0.4 seconds","보조 대상 스킬이 근접 명중 시 격노 1 획득, 0.4초마다 최대 1번 획득"
"Supports any skill that hits enemies.","적을 명중하는 모든 스킬에 적용됩니다."
"Supports any skill with an area of effect.","효과 범위를 갖는 모든 스킬에 적용됩니다."
"Supports skills which summon totems.","토템을 소환하는 스킬에 적용됩니다."
"Supports skills which throw Traps or Mines.","덫이나 지뢰를 던지는 스킬에 적용됩니다"
"Supports skills which throw mines.","지뢰를 던지는 스킬에 적용됩니다."
"Suppression Ch.:","억제 확률:"
"Suppression Effect:","억제 효과:"
"Sustainable Trauma:","지속 외상:"
"Sword","검"
"Tailwind","순풍"
"Taken From Block:","막기로 받는 피해:"
"Taken","받음"
"Taken:","받는 피해:"
"Temporal Chains Action Speed","시간의 사슬 동작 속도"
"Tertiary Radius:","3단계 반경:"
"This is the average roll of a Bleed affecting the enemy if you are constantly attacking","지속적으로 공격할 경우 적에게 영향을 미치는 평균 출혈 롤입니다."
"This is the average roll of an ignite affecting the enemy if you are constantly attacking","지속적으로 공격할 경우 적에게 영향을 미치는 평균 점화 롤입니다."
"Throwing rate:","투척률:"
"Throwing time:","투척 시간:"
"Time to reach cap: {0}","도달 시간 한도: {0}"
"Time to reach max: {0}","최대 도달 시간: {0}"
"Total Base:","총 기본:"
"Total DPS inc. Ignite","총+점화 DPS"
"Total DPS inc. Poison","총+중독 DPS"
"Total DPS","총 DPS"
"Total Damage per Ignite","점화 당 총 피해"
"Total Damage per Poison","독당 총 데미지"
"Total Effective Dot Pool: {0}","받아낼 수 있는 총 지속피해: {0}"
"Total Increased:","총 증가:"
"Total Life Degen:","총 생명력 감소:"
"Total Life","총 생명력"
"Total Mana Degen:","총 마나 감소:"
"Total Mana","총 마나"
"Total More:","총 추가:"
"Total Multiplier:","총 배율:"
"Total Net Recovery:","총 순 재생:"
"Total Physical Damage Reduction: {0}%","총 물리 피해 감소: {0}%"
"Total Pool: {0}","총 생명력: {0}"
"Total Pool:","총 생명력:"
"Total Trauma damage taken per cast/attack: {0} ","시전/공격당 받는 총 외상 피해: {0}"
"Total damage from the enemy:","적에게 받는 총 피해:"
"Total damage taken after mitigation:","완화 후 받는 총 피해:"
"Total damage taken from the enemy after taken as:","적으로부터 받는 총 피해는 다음과 같습니다:"
"Total damage:","총피해:"
"Total from Base:","기본합계:"
"Total from Dexterity:","민첩합계:"
"Total from Intelligence:","지능합계:"
"Total from Item:","아이템합계:"
"Total from Mana Regen to Rage Regen","마나 재생에서 분노 재생의 합계:"
"Total from Skill:","스킬합계:"
"Total from Strength:","힘 합계:"
"Total from Tree:","트리합계:"
"Total leeched per instance:","사례당 총 흡수량:"
"Total life protected:","총 생명력 보호:"
"Total","총"
"Total: {0}%","총: {0}%"
"Total:","총:"
"TotalPool: {0}","총 생명력:^7 {0}"
"Totem Anger","분노 토템"
"Totem Armour","토템 방어도"
"Totem Armour:","토템 방어도:"
"Totem Chaos Res:","토템 카오스 저항:"
"Totem Chaos Resist Max","토템 카오스 저항 최대"
"Totem Chaos Resist","토템 카오스 저항"
"Totem Clarity","명상 토템"
"Totem Cold Res:","토템 냉기 저항:"
"Totem Cold Resist Max","토템 냉기 저항 최대"
"Totem Cold Resist","토템 냉기 저항"
"Totem Defiance Banner","전쟁의 깃발 토템"
"Totem Determination","결의 토템"
"Totem Dread Banner","공포의 깃발 토템"
"Totem Duration Mod:","토템 지속 시간 보정"
"Totem Duration","토템 지속 시간"
"Totem Duration:","토템 지속 시간"
"Totem Evasion","토템 회피"
"Totem Fire Res:","토템 화염 저항:"
"Totem Fire Resist Max","토템 화염 저항 최대"
"Totem Fire Resist","토템 화염 저항"
"Totem Grace","은총 토템"
"Totem Hatred","증오 토템"
"Totem Life Mod:","토템 생명력 보정:"
"Totem Life:","토템 생명력:"
"Totem Lightning Res:","토템 번개 저항:"
"Totem Lightning Resist Max","토템 번개 저항 최대"
"Totem Lightning Resist","토템 번개 저항"
"Totem Place Time:","토템 설치 속도:"
"Totem Placement Time","토템 설치 속도"
"Totem Precision","정밀함 토템"
"Totem Purity of Elements","원소의 순수함 토템"
"Totem Vitality","활력 토템"
"Totem Zealotry","열광 토템"
"Totem level: {0}","토템 레벨: ^7{0}"
"Totem modifiers:","토템 보정:"
"Totems Summoned: {0} (can be overridden in the Configuration tab)","토템 소환수: ^7{0} ^8(설정 탭에서 재정의할 수 있음)"
"Trap Cooldown","덫 재사용 대기시간"
"Trap Mine Damage Taken","덫 지뢰 받는 피해 증가"
"Trap Throw Time:","덫 투척 시간:"
"Trap Throwing Time","덫 투척 속도"
"Trap Trigg. Radius:","덫 발동 범위:"
"Trauma per second before increased Attack Speed","공격 속도 증가 전 초당 외상"
"Trigger Rate Cap:","발동 속도 상한:"
"Trigger rate:","발동 속도:"
"Type","유형"
"Unreserved Life","비점유 생명력"
"Unreserved Mana","비점유 마나"
"Unreserved:","비점유:"
"Utility Flasks:","특수 플라스크:"
"Vaal Blade Vortex {0}","바알 칼날 소용돌이 {0}"
"Value","값"
"View Skill Details:","스킬 상세 보기:                    MH=주무기      SH=보조무기"
"WEAPON1","무기1"
"WEAPON2","무기2"
"Ward:","수호:"
"Weapon Range:","무기 범위:"
"Weapon","무기"
"Weapon2H","양손무기"
"WeaponMelee","근접무기"
"Withered","위축"
"You can't deal Chaos damage","카오스 피해를 줄 수 없습니다."
"You can't deal Cold damage","냉기 피해를 줄 수 없습니다."
"You can't deal Fire damage","화염 피해를 줄 수 없습니다."
"You can't deal Lightning damage","번개 피해를 줄 수 없습니다."
"You can't deal Physical damage","당신은 물리 피해를 입힐 수 없습니다."
"from Config: {0}","설정에서: {0}"
"from Default: {0}","받는 기본 피해: ^7{0}"
"min combined sources + (max combined sources - min combined sources) * average ignite roll","최소 결합 소스 + (최대 결합 소스 - 최소 결합 소스) x 평균 점화 확률"
"min source phys + (max source phys - min source phys) * average bleed roll","최소 소스 물리 + (최대 소스 물리 - 최소 소스 물리) x 평균 출혈 룰"
"rounded up to nearest server tick","가장 가까운 서버 틱으로 반올림"
"up to 40% more damage over time to the skills it supports.","적용되는 모든 스킬의 지속 피해를 최대 40% 증폭시킴"
"x 0.20 (poison deals 20% per second)","^7x 0.20 ^8(초당 20% 독피해)"
"x 0.5 (ignite deals 50% per second)","^7x 0.5 ^8(초당 50% 점화 피해)"
"x Spell Suppression: {0}","x 주문 억제: {0}"
"x Taken: {0}","x 받는 피해: {0}"
"x {0} (DPS multiplier for this skill)","^7x {0} ^8(이 스킬의 DPS 배율)"
"x {0} (action speed modifier)","^7x {0} ^8(동작 속도 보정)"
"x {0} (ailment effect modifier)","^7x {0} ^8(상태 이상 효과 보정)"
"x {0} (attack rate)","^7x {0} ^8(공격률)"
"x {0} (attack speed)","^7x {0} ^8(공격 속도)^7"
"x {0} (average instances)","^7x {0} ^8(평균 사례)"
"x {0} (base damage multiplier)","^7x {0} ^8(기본 피해 배율)"
"x {0} (base leech rate is {1}% per second)","^7x {0} ^8(기본 초당 흡수율 {1}%)"
"x {0} (bleed deals {1}% per second)","^7x {0} ^8(초당 출혈 ^7{1}%^8)"
"x {0} (block effect)","^7x {0} ^8(막기 효과)"
"x {0} (cast rate)","^7x {0} ^8(시전률)"
"x {0} (cast speed)","^7x {0} ^8(시전 속도)"
"x {0} (chance for avoidance to fail)","^7x {0} ^8(회피를 실패할 확률)"
"x {0} (chance for damage avoidance to fail)","^7x {0} ^8(피해 회피를 실패할 확률)"
"x {0} (chance for dodge to fail)","^7x {0} ^8(완벽회피가 실패할 확률)"
"x {0} (chance to deal double damage)","^7x {0} ^8(두배 피해 확률)"
"x {0} (chance to double stun duration)","^7x {0} ^8(기절 지속시간을 두배로 늘릴 확률)"
"x {0} (chance to hit)","^7x {0} ^8(적중율)"
"x {0} (converted to Armour)","^7x {0} ^8(방어도로 전환)"
"x {0} (converted to Energy Shield)","^7x {0} ^8(에너지 보호막으로 변환)"
"x {0} (cost multiplier)","^7x {0} ^8(소모 배율)^7"
"x {0} (damage effectiveness)","^7x {0} ^8(유효 피해)"
"x {0} (duration modifier)","^7x {0} ^8(지속 시간 감폭)"
"x {0} (duration modifier)","^7x {0} ^8(지속 시간 보정)"
"x {0} (effective DPS modifier from enemy debuffs)","^7x {0} ^8(적의 디버프에 따른 유효 DPS 보정)"
"x {0} (effective DPS modifier)","^7x {0} ^8(DPS 효과 보정)"
"x {0} (hit rate)","^7x {0} ^8(적중률)"
"x {0} (hits per second)","^7x {0} ^8(초당 적중)"
"x {0} (ignite deals {1}% per second)","^7x {0} ^8(초당 {1}%를 점화로 처리)"
"x {0} (ignite duration)","^7x {0} ^8(점화 지속시간)"
"x {0} (impale chance)","^7x {0} ^8(꿰뚫기 확률)"
"x {0} (impale damage multiplier)","^7x {0} ^8(꿰뚫기 피해 배율)"
"x {0} (impale enemy physical damage reduction)","^7x {0} ^8(꿰뚫린 적의 물리 피해 감소)"
"x {0} (increased effect of chill)","^7x {0} ^8(냉각 효과 증가)"
"x {0} (increased effectiveness)","^7x {0} ^8(효과 증가)"
"x {0} (increased/reduced damage taken)","^7x {0} ^8(받는 피해 증가/감소)"
"x {0} (increased/reduced duration)","^7x {0} ^8(지속 시간 증가/감소)"
"x {0} (increased/reduced extra crit damage taken by enemy)","^7x {0} ^8(적의 추가 치명타 피해 증가/감소)"
"x {0} (increased/reduced life cost)","^7x {0} ^8(생명력 소모 증가/감소)^7"
"x {0} (increased/reduced mana cost)","^7x {0} ^8(마나 소비 증가/감소)"
"x {0} (increased/reduced stun duration)","^7x {0} ^8(기절 시간 증가/감소)"
"x {0} (increased/reduced throwing speed)","^7x {0} ^8(투척 속도 증가/감소)"
"x {0} (increased/reduced)","^7x {0} ^8(증가/감소)"
"x {0} (instance duration)","^7x {0} ^8(사례 지속시간)"
"x {0} (instance duration)","x {0} (instance duration)"
"x {0} (leech rate modifier)","^7x {0} ^8(흡수 속도 보정)"
"x {0} (life multiplier for this totem type)","x {0} (토템 유형의 생명력 배율)"
"x {0} (mana cost multiplier)","^7x {0} ^8(마나 소모 배율)"
"x {0} (mine laying speed)","^7x {0} ^8(지뢰 투척 속도))"
"x {0} (more/less damage taken)","^7x {0} ^8(받는 피해 증폭/감폭)"
"x {0} (more/less duration)","^7x {0} ^8(지속 시간 증가/감소)"
"x {0} (more/less life cost)","^7x {0} ^8(생명력 소모 증폭/감폭)"
"x {0} (more/less mana cost)","^7x {0} ^8(마나 소비 증폭/감폭)"
"x {0} (more/less throwing speed)","x^7 {0}^8 (투척률 증폭/감폭)"
"x {0} (more/less)","^7x {0} ^8(증폭/감폭)"
"x {0} (movement speed modifier)","^7x {0} ^8(이동 속도 보정)"
"x {0} (multiplier from {1}% chance to deal double damage)","^7x {0} ^8(^7{1}%^8 확률로 2배의 피해를 줄 수 있음)"
"x {0} (multiplier)","^7x {0} ^8(배율)"
"x {0} (number of hits)","^7x {0} ^8(적중 횟수)"
"x {0} (physical damage reduction)","^7x {0} ^8(물리 피해 감소)"
"x {0} (poison chance)","^7x {0} ^8(중독 확률)"
"x {0} (poison duration)","^7x {0} ^8(중독 지속시간)"
"x {0} (portion of instances created by crits)","^7x {0} ^8(치명타로 생성된 사례 부분)"
"x {0} (portion of instances created by main hand)","x {0} (주무기로 생성한 인스턴스 부문)"
"x {0} (portion of instances created by non-crits)","^7x {0} ^8(비-치명타로 생성된 사례 부분)"
"x {0} (portion of instances created by off hand)","x {0} (보조무기로 생성한 인스턴스 부문)"
"x {0} (portion taken from life and energy shield)","^7x {0} ^8(생명력과 에너지 보호막이 가져가는 부분)"
"x {0} (portion taken from life)","^7x {0} ^8(생명력에서 받는 부분)"
"x {0} (recovery rate modifier)","^7x {0} ^8(회복 속도 보정)"
"x {0} (resistance)","^7x {0} ^8(저항)"
"x {0} (ruthless blow effect modifier)","^7x {0} ^8(지속 효과 보정)"
"x {0} (square root of area of effect modifier)","^7x {0} ^8(효과 범위 보정의 제곱근)"
"x {0} (stored damage)","^7x {0} ^8(저장 피해)"
"x {0} (suppression effect)","^7x {0} ^8(억제 효과)"
"x {0} (total incoming damage)","^7x {0} ^8(들어오는 총 피해)"
"x {0} (totem life modifier)","x {0} (토템 생명력 보정)"
"x {0} (totem placement speed)","^7x {0} ^8(토템 설치 속도)"
"x {0} (trap throwing speed)","^7x {0} ^8(덫 투척 속도)"
"x {0} (trigger rate)","^7x {0} ^8(발동 속도)"
"x {0} (trigger speed)","^7x {0} ^8(발동 속도)"
"x {0} damage mult","x {0} ^8(피해 배율)"
"x {0} enemy attack/cast time","^7x {0} ^8(적의 공격/시전 속도)"
"x {0} leech rate modifier","^7x {0} 흡수욜 보정"
"x {0} {1}% converted to other damage types)","^7x {0} ^8({1}%가 다른 피해 유형으로 전환)"
"x {0}% (Cyclone effective crit chance)","^7x {0}% ^8(회오리바람 유효 치명타 확률)"
"x {0}% (Cyclone hit chance)","^7x {0}% ^8(회오리바람 적중 확률)"
"x {0}% (percentage of energy shield to maximum leech rate)","^7x {0}% ^8(최대 흡수 속도에 대한 에너지 보호막의 백분율)"
"x {0}% (percentage of life to maximum leech rate)","^7x {0}% ^8(흡수로 인한 생명력 최대 회복량)"
"x {0}% (percentage of mana to maximum leech rate)","^7x {0}% ^8(최대 흡수 속도에 대한 마나 비율)"
"x {0}% Damage taken from blocks","^7x {0}% ^8(막기로 받는 피해)"
"{0} (Absolution attack rate)","^7{0} ^8(면죄의 공격 속도)"
"{0} (Alchemist's Mark attack rate)","^7{0} ^8(연금술사의 징표의 공격 속도)"
"{0} (Ambush attack rate)","^7{0} ^8(매복의 공격 속도)"
"{0} (Ancestral Cry attack rate)","^7{0} ^8(선대의 함성의 공격 속도)"
"{0} (Ancestral Protector attack rate)","^7{0} ^8(선대의 수호자의 공격 속도)"
"{0} (Ancestral Warchief attack rate)","^7{0} ^8(선대의 대전사의 공격 속도)"
"{0} (Anger attack rate)","^7{0} ^8(분노의 공격 속도)"
"{0} (Animate Guardian attack rate)","^7{0} ^8(수호자 기동의 공격 속도)"
"{0} (Animate Weapon attack rate)","^7{0} ^8(무기 기동의 공격 속도)"
"{0} (Arc attack rate)","^7{0} ^8(연쇄 번개의 공격 속도)"
"{0} (Arcane Cloak attack rate)","^7{0} ^8(비전의 망토의 공격 속도)"
"{0} (Arcanist Brand attack rate)","^7{0} ^8(신비학자 낙인의 공격 속도)"
"{0} (Arctic Armour attack rate)","^7{0} ^8(한기의 방어구의 공격 속도)"
"{0} (Armageddon Brand attack rate)","^7{0} ^8(종말의 낙인의 공격 속도)"
"{0} (Artillery Ballista attack rate)","^7{0} ^8(포대 쇠뇌의 공격 속도)"
"{0} (Assassin's Mark attack rate)","^7{0} ^8(암살자의 징표의 공격 속도)"
"{0} (Ball Lightning attack rate)","^7{0} ^8(구형 번개의 공격 속도)"
"{0} (Bane attack rate)","^7{0} ^8(파멸의 공격 속도)"
"{0} (Barrage attack rate)","^7{0} ^8(연발 사격의 공격 속도)"
"{0} (Battlemage's Cry attack rate)","^7{0} ^8(전투마법사의 함성의 공격 속도)"
"{0} (Bear Trap attack rate)","^7{0} ^8(곰 덫의 공격 속도)"
"{0} (Berserk attack rate)","^7{0} ^8(광폭의 공격 속도)"
"{0} (Blade Blast attack rate)","^7{0} ^8(칼날 폭격의 공격 속도)"
"{0} (Blade Flurry attack rate)","^7{0} ^8(질풍의 칼날의 공격 속도)"
"{0} (Blade Trap attack rate)","^7{0} ^8(칼날 덫의 공격 속도)"
"{0} (Blade Vortex attack rate)","^7{0} ^8(칼날 소용돌이의 공격 속도)"
"{0} (Bladefall attack rate)","^7{0} ^8(칼날비의 공격 속도)"
"{0} (Bladestorm attack rate)","^7{0} ^8(칼날 폭풍의 공격 속도)"
"{0} (Blast Rain attack rate)","^7{0} ^8(폭발 화살비의 공격 속도)"
"{0} (Blazing Salvo attack rate)","^7{0} ^8(맹렬한 포격의 공격 속도)"
"{0} (Blight attack rate)","^7{0} ^8(황폐의 공격 속도)"
"{0} (Blink Arrow attack rate)","^7{0} ^8(점멸 화살의 공격 속도)"
"{0} (Blood Rage attack rate)","^7{0} ^8(피의 격노의 공격 속도)"
"{0} (Blood and Sand attack rate)","^7{0} ^8(피와 모래의 공격 속도)"
"{0} (Bodyswap attack rate)","^7{0} ^8(신체 전환의 공격 속도)"
"{0} (Bone Offering attack rate)","^7{0} ^8(뼈 공물의 공격 속도)"
"{0} (Boneshatter attack rate)","^7{0} ^8(뼈 박살의 공격 속도)"
"{0} (Brand Recall attack rate)","^7{0} ^8(낙인 소환의 공격 속도)"
"{0} (Burning Arrow attack rate)","^7{0} ^8(불타는 화살의 공격 속도)"
"{0} (Caustic Arrow attack rate)","^7{0} ^8(부식성 화살의 공격 속도)"
"{0} (Chain Hook attack rate)","^7{0} ^8(사슬 갈고리의 공격 속도)"
"{0} (Charged Dash attack rate)","^7{0} ^8(충전 질주의 공격 속도)"
"{0} (Clarity attack rate)","^7{0} ^8(명상의 공격 속도)"
"{0} (Cleave attack rate)","^7{0} ^8(회전베기의 공격 속도)"
"{0} (Cobra Lash attack rate)","^7{0} ^8(코브라 채찍의 공격 속도)"
"{0} (Cold Snap attack rate)","^7{0} ^8(한파의 공격 속도)"
"{0} (Conductivity attack rate)","^7{0} ^8(전도성의 공격 속도)"
"{0} (Consecrated Path attack rate)","^7{0} ^8(축성의 진격의 공격 속도)"
"{0} (Contagion attack rate)","^7{0} ^8(전염의 공격 속도)"
"{0} (Conversion Trap attack rate)","^7{0} ^8(전향 덫의 공격 속도)"
"{0} (Convocation attack rate)","^7{0} ^8(소집의 공격 속도)"
"{0} (Corrupting Fever attack rate)","^7{0} ^8(타락한 열병의 공격 속도)"
"{0} (Crackling Lance attack rate)","^7{0} ^8(치직대는 창의 공격 속도)"
"{0} (Creeping Frost attack rate)","^7{0} ^8(엄습하는 서리의 공격 속도)"
"{0} (Cremation attack rate)","^7{0} ^8(시체 소각의 공격 속도)"
"{0} (Cyclone attack rate)","^7{0} ^8(회오리바람 공격 속도)"
"{0} (Cyclone attack rate)","^7{0} ^8(회오리바람의 공격 속도)"
"{0} (Dark Pact attack rate)","^7{0} ^8(어둠의 서약의 공격 속도)"
"{0} (Dash attack rate)","^7{0} ^8(질주의 공격 속도)"
"{0} (Decoy Totem attack rate)","^7{0} ^8(미끼 토템의 공격 속도)"
"{0} (Defiance Banner attack rate)","^7{0} ^8(저항의 깃발의 공격 속도)"
"{0} (Desecrate attack rate)","^7{0} ^8(모독의 공격 속도)"
"{0} (Despair attack rate)","^7{0} ^8(절망의 공격 속도)"
"{0} (Destructive Link attack rate)","^7{0} ^8(파괴의 연결의 공격 속도)"
"{0} (Determination attack rate)","^7{0} ^8(결의의 공격 속도)"
"{0} (Detonate Dead attack rate)","^7{0} ^8(시체 폭발의 공격 속도)"
"{0} (Devouring Totem attack rate)","^7{0} ^8(포식 토템의 공격 속도)"
"{0} (Discharge attack rate)","^7{0} ^8(방출의 공격 속도)"
"{0} (Discipline attack rate)","^7{0} ^8(단련의 공격 속도)"
"{0} (Divine Ire attack rate)","^7{0} ^8(신성한 진노의 공격 속도)"
"{0} (Dominating Blow attack rate)","^7{0} ^8(지배의 맹타의 공격 속도)"
"{0} (Double Strike attack rate)","^7{0} ^8(이중 타격의 공격 속도)"
"{0} (Dread Banner attack rate)","^7{0} ^8(공포의 깃발의 공격 속도)"
"{0} (Dual Strike attack rate)","^7{0} ^8(쌍수 타격의 공격 속도)"
"{0} (Earthquake attack rate)","^7{0} ^8(지진의 공격 속도)"
"{0} (Earthshatter attack rate)","^7{0} ^8(지면 분쇄의 공격 속도)"
"{0} (Effective source rate)","^7{0} ^8(유효 소스 속도)"
"{0} (Elemental Hit attack rate)","^7{0} ^8(원소의 일격의 공격 속도)"
"{0} (Elemental Weakness attack rate)","^7{0} ^8(원소 약화의 공격 속도)"
"{0} (Enduring Cry attack rate)","^7{0} ^8(인내의 함성의 공격 속도)"
"{0} (Energy Blade attack rate)","^7{0} ^8(에너지 칼날의 공격 속도)"
"{0} (Enfeeble attack rate)","^7{0} ^8(쇠약화의 공격 속도)"
"{0} (Ensnaring Arrow attack rate)","^7{0} ^8(올가미 화살의 공격 속도)"
"{0} (Essence Drain attack rate)","^7{0} ^8(정수 흡수의 공격 속도)"
"{0} (Ethereal Knives attack rate)","^7{0} ^8(천상의 단도의 공격 속도)"
"{0} (Explosive Arrow attack rate)","^7{0} ^8(폭발 화살의 공격 속도)"
"{0} (Explosive Concoction attack rate)","^7{0} ^8(폭발성 혼합물의 공격 속도)"
"{0} (Explosive Trap attack rate)","^7{0} ^8(폭발 덫의 공격 속도)"
"{0} (Exsanguinate attack rate)","^7{0} ^8(방혈의 공격 속도)"
"{0} (Eye of Winter attack rate)","^7{0} ^8(겨울의 눈의 공격 속도)"
"{0} (Fire Trap attack rate)","^7{0} ^8(화염 덫의 공격 속도)"
"{0} (Fireball attack rate)","^7{0} ^8(화염구의 공격 속도)"
"{0} (Firestorm attack rate)","^7{0} ^8(화염 폭풍의 공격 속도)"
"{0} (Flame Dash attack rate)","^7{0} ^8(화염 질주의 공격 속도)"
"{0} (Flame Link attack rate)","^7{0} ^8(화염의 연결의 공격 속도)"
"{0} (Flame Surge attack rate)","^7{0} ^8(화염 쇄도의 공격 속도)"
"{0} (Flame Wall attack rate)","^7{0} ^8(화염 벽의 공격 속도)"
"{0} (Flameblast attack rate)","^7{0} ^8(화염파의 공격 속도)"
"{0} (Flamethrower Trap attack rate)","^7{0} ^8(화염방사기 덫의 공격 속도)"
"{0} (Flammability attack rate)","^7{0} ^8(인화성의 공격 속도)"
"{0} (Flesh Offering attack rate)","^7{0} ^8(살점 공물의 공격 속도)"
"{0} (Flesh and Stone attack rate)","^7{0} ^8(육체와 돌의 공격 속도)"
"{0} (Flicker Strike attack rate)","^7{0} ^8(점멸 타격의 공격 속도)"
"{0} (Forbidden Rite attack rate)","^7{0} ^8(금단의 의식의 공격 속도)"
"{0} (Freezing Pulse attack rate)","^7{0} ^8(동결 파동의 공격 속도)"
"{0} (Frenzy attack rate)","^7{0} ^8(격분의 공격 속도)"
"{0} (Frost Blades attack rate)","^7{0} ^8(서리 칼날의 공격 속도)"
"{0} (Frost Bomb attack rate)","^7{0} ^8(서리 폭탄의 공격 속도)"
"{0} (Frost Shield attack rate)","^7{0} ^8(서리 방패의 공격 속도)"
"{0} (Frost Wall attack rate)","^7{0} ^8(서리 방벽의 공격 속도)"
"{0} (Frostbite attack rate)","^7{0} ^8(동상의 공격 속도)"
"{0} (Frostblink attack rate)","^7{0} ^8(서리점멸의 공격 속도)"
"{0} (Frostbolt attack rate)","^7{0} ^8(서리 구체의 공격 속도)"
"{0} (Frozen Legion attack rate)","^7{0} ^8(얼어붙은 군단의 공격 속도)"
"{0} (Galvanic Arrow attack rate)","^7{0} ^8(충격 화살의 공격 속도)"
"{0} (Galvanic Field attack rate)","^7{0} ^8(충격장의 공격 속도)"
"{0} (General's Cry attack rate)","^7{0} ^8(장군의 함성의 공격 속도)"
"{0} (Glacial Cascade attack rate)","^7{0} ^8(빙하 폭포의 공격 속도)"
"{0} (Glacial Hammer attack rate)","^7{0} ^8(빙하 망치의 공격 속도)"
"{0} (Grace attack rate)","^7{0} ^8(은총의 공격 속도)"
"{0} (Ground Slam attack rate)","^7{0} ^8(대지 강타의 공격 속도)"
"{0} (Haste attack rate)","^7{0} ^8(가속의 공격 속도)"
"{0} (Hatred attack rate)","^7{0} ^8(증오의 공격 속도)"
"{0} (Heavy Strike attack rate)","^7{0} ^8(묵직한 타격의 공격 속도)"
"{0} (Herald of Agony attack rate)","^7{0} ^8(고통의 전령의 공격 속도)"
"{0} (Herald of Ash attack rate)","^7{0} ^8(재의 전령의 공격 속도)"
"{0} (Herald of Ice attack rate)","^7{0} ^8(얼음의 전령의 공격 속도)"
"{0} (Herald of Purity attack rate)","^7{0} ^8(순수의 전령의 공격 속도)"
"{0} (Herald of Thunder attack rate)","^7{0} ^8(천둥의 전령의 공격 속도)"
"{0} (Hexblast attack rate)","^7{0} ^8(사술 폭발의 공격 속도)"
"{0} (Holy Flame Totem attack rate)","^7{0} ^8(신성한 화염 토템의 공격 속도)"
"{0} (Hydrosphere attack rate)","^7{0} ^8(물의 구체의 공격 속도)"
"{0} (Ice Crash attack rate)","^7{0} ^8(얼음 충격의 공격 속도)"
"{0} (Ice Nova attack rate)","^7{0} ^8(얼음 폭발의 공격 속도)"
"{0} (Ice Shot attack rate)","^7{0} ^8(얼음 화살의 공격 속도)"
"{0} (Ice Spear attack rate)","^7{0} ^8(얼음 창의 공격 속도)"
"{0} (Ice Trap attack rate)","^7{0} ^8(얼음 덫의 공격 속도)"
"{0} (Icicle Mine attack rate)","^7{0} ^8(고드름 지뢰의 공격 속도)"
"{0} (Immortal Call attack rate)","^7{0} ^8(불멸의 외침의 공격 속도)"
"{0} (Incinerate attack rate)","^7{0} ^8(소각의 공격 속도)"
"{0} (Infernal Blow attack rate)","^7{0} ^8(지옥불 맹타의 공격 속도)"
"{0} (Infernal Cry attack rate)","^7{0} ^8(지옥불 함성의 공격 속도)"
"{0} (Intimidating Cry attack rate)","^7{0} ^8(위협의 함성의 공격 속도)"
"{0} (Intuitive Link attack rate)","^7{0} ^8(직관의 연결의 공격 속도)"
"{0} (Kinetic Blast attack rate)","^7{0} ^8(역학 폭발의 공격 속도)"
"{0} (Kinetic Bolt attack rate)","^7{0} ^8(역학 투사체의 공격 속도)"
"{0} (Lacerate attack rate)","^7{0} ^8(피부 찢기의 공격 속도)"
"{0} (Lancing Steel attack rate)","^7{0} ^8(강철 관통의 공격 속도)"
"{0} (Leap Slam attack rate)","^7{0} ^8(도약 강타의 공격 속도)"
"{0} (Lightning Arrow attack rate)","^7{0} ^8(번개 화살 공격 속도)"
"{0} (Lightning Arrow attack rate)","^7{0} ^8(번개 화살의 공격 속도)"
"{0} (Lightning Conduit attack rate)","^7{0} ^8(번개 도관의 공격 속도)"
"{0} (Lightning Spire Trap attack rate)","^7{0} ^8(번개 첨탑 덫의 공격 속도)"
"{0} (Lightning Strike attack rate)","^7{0} ^8(번개 타격의 공격 속도)"
"{0} (Lightning Tendrils attack rate)","^7{0} ^8(덩굴 번개의 공격 속도)"
"{0} (Lightning Trap attack rate)","^7{0} ^8(번개 덫의 공격 속도)"
