"#% increased Attack Speed","공격 속도 #% 증가"
"{0}% increased Attack Speed","공격 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting {0} seconds","고유 적이 접근해 있는 동안, 이동 중 {0}초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 4 seconds","고유 적이 접근해 있는 동안, 이동 중 4초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 5 seconds","고유 적이 접근해 있는 동안, 이동 중 5초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 6 seconds","고유 적이 접근해 있는 동안, 이동 중 6초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 7 seconds","고유 적이 접근해 있는 동안, 이동 중 7초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 8 seconds","고유 적이 접근해 있는 동안, 이동 중 8초 동안 지속되는 허약의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Brittle Ground while moving, lasting 9 seconds","고유 적이 접근해 있는 동안, 이동 중 9초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting # seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 #초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting {0} seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 {0}초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 6 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 6초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 7 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 7초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 8 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 8초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 9 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 9초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 10 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 10초 동안 지속되는 허약의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Brittle Ground while moving, lasting 11 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 11초 동안 지속되는 허약의 지대 생성"

"Drops Sapped Ground while moving, lasting # seconds","이동 중 #초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting {0} seconds","이동 중 {0}초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 2 seconds","이동 중 2초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 3 seconds","이동 중 3초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 4 seconds","이동 중 4초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 5 seconds","이동 중 5초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 6 seconds","이동 중 6초 동안 지속되는 활력 감소의 지대 생성"
"Drops Sapped Ground while moving, lasting 7 seconds","이동 중 7초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting # seconds","고유 적이 접근해 있는 동안, 이동 중 #초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting {0} seconds","고유 적이 접근해 있는 동안, 이동 중 {0}초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 4 seconds","고유 적이 접근해 있는 동안, 이동 중 4초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 5 seconds","고유 적이 접근해 있는 동안, 이동 중 5초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 6 seconds","고유 적이 접근해 있는 동안, 이동 중 6초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 7 seconds","고유 적이 접근해 있는 동안, 이동 중 7초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 8 seconds","고유 적이 접근해 있는 동안, 이동 중 8초 동안 지속되는 활력 감소의 지대 생성"
"While a Unique Enemy is in your Presence, Drops Sapped Ground while moving, lasting 9 seconds","고유 적이 접근해 있는 동안, 이동 중 9초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting # seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 #초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting {0} seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 {0}초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 6 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 6초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 7 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 7초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 8 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 8초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 9 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 9초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 10 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 10초 동안 지속되는 활력 감소의 지대 생성"
"While a Pinnacle Atlas Boss is in your Presence, Drops Sapped Ground while moving, lasting 11 seconds","최종 아틀라스 보스가 접근해 있는 동안, 이동 중 11초 동안 지속되는 활력 감소의 지대 생성"

"+#% to Fire Resistance","화염 저항 +#%"
"{0}% to Fire Resistance","화염 저항 {0}%"
"+(13-14)% to Fire Resistance","화염 저항 +(13-14)%"
"+(15-16)% to Fire Resistance","화염 저항 +(15-16)%"
"+(17-18)% to Fire Resistance","화염 저항 +(17-18)%"
"+(19-20)% to Fire Resistance","화염 저항 +(19-20)%"
"+(21-22)% to Fire Resistance","화염 저항 +(21-22)%"
"+(23-24)% to Fire Resistance","화염 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +#% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +#%"
"While a Unique Enemy is in your Presence, {0}% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 {0}%"
"While a Unique Enemy is in your Presence, +(19-20)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(19-20)%"
"While a Unique Enemy is in your Presence, +(21-22)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(21-22)%"
"While a Unique Enemy is in your Presence, +(23-24)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +(25-26)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(25-26)%"
"While a Unique Enemy is in your Presence, +(27-28)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(27-28)%"
"While a Unique Enemy is in your Presence, +(29-30)% to Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +(25-26)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(25-26)%"
"While a Pinnacle Atlas Boss is in your Presence, +(27-28)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(27-28)%"
"While a Pinnacle Atlas Boss is in your Presence, +(29-30)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +(31-32)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(31-32)%"
"While a Pinnacle Atlas Boss is in your Presence, +(33-34)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(33-34)%"
"While a Pinnacle Atlas Boss is in your Presence, +(35-36)% to Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 +(35-36)%"

"+#% to Cold Resistance","냉기 저항 +#%"
"{0}% to Cold Resistance","냉기 저항 {0}%"
"+(13-14)% to Cold Resistance","냉기 저항 +(13-14)%"
"+(15-16)% to Cold Resistance","냉기 저항 +(15-16)%"
"+(17-18)% to Cold Resistance","냉기 저항 +(17-18)%"
"+(19-20)% to Cold Resistance","냉기 저항 +(19-20)%"
"+(21-22)% to Cold Resistance","냉기 저항 +(21-22)%"
"+(23-24)% to Cold Resistance","냉기 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +#% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +#%"
"While a Unique Enemy is in your Presence, {0}% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 {0}%"
"While a Unique Enemy is in your Presence, +(19-20)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(19-20)%"
"While a Unique Enemy is in your Presence, +(21-22)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(21-22)%"
"While a Unique Enemy is in your Presence, +(23-24)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +(25-26)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(25-26)%"
"While a Unique Enemy is in your Presence, +(27-28)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(27-28)%"
"While a Unique Enemy is in your Presence, +(29-30)% to Cold Resistance","고유 적이 접근해 있는 동안, 냉기 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +(25-26)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(25-26)%"
"While a Pinnacle Atlas Boss is in your Presence, +(27-28)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(27-28)%"
"While a Pinnacle Atlas Boss is in your Presence, +(29-30)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +(31-32)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(31-32)%"
"While a Pinnacle Atlas Boss is in your Presence, +(33-34)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(33-34)%"
"While a Pinnacle Atlas Boss is in your Presence, +(35-36)% to Cold Resistance","최종 아틀라스 보스가 접근해 있는 동안, 냉기 저항 +(35-36)%"

"+#% to Lightning Resistance","번개 저항 +#%"
"{0}% to Lightning Resistance","번개 저항 {0}%"
"+(13-14)% to Lightning Resistance","번개 저항 +(13-14)%"
"+(15-16)% to Lightning Resistance","번개 저항 +(15-16)%"
"+(17-18)% to Lightning Resistance","번개 저항 +(17-18)%"
"+(19-20)% to Lightning Resistance","번개 저항 +(19-20)%"
"+(21-22)% to Lightning Resistance","번개 저항 +(21-22)%"
"+(23-24)% to Lightning Resistance","번개 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +#% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +#%"
"While a Unique Enemy is in your Presence, {0}% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 {0}%"
"While a Unique Enemy is in your Presence, +(19-20)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(19-20)%"
"While a Unique Enemy is in your Presence, +(21-22)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(21-22)%"
"While a Unique Enemy is in your Presence, +(23-24)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(23-24)%"
"While a Unique Enemy is in your Presence, +(25-26)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(25-26)%"
"While a Unique Enemy is in your Presence, +(27-28)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(27-28)%"
"While a Unique Enemy is in your Presence, +(29-30)% to Lightning Resistance","고유 적이 접근해 있는 동안, 번개 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +(25-26)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(25-26)%"
"While a Pinnacle Atlas Boss is in your Presence, +(27-28)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(27-28)%"
"While a Pinnacle Atlas Boss is in your Presence, +(29-30)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(29-30)%"
"While a Pinnacle Atlas Boss is in your Presence, +(31-32)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(31-32)%"
"While a Pinnacle Atlas Boss is in your Presence, +(33-34)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(33-34)%"
"While a Pinnacle Atlas Boss is in your Presence, +(35-36)% to Lightning Resistance","최종 아틀라스 보스가 접근해 있는 동안, 번개 저항 +(35-36)%"

"+#% to Chaos Resistance","카오스 저항 +#%"
"{0}% to Chaos Resistance","카오스 저항 {0}%"
"+(6-7)% to Chaos Resistance","카오스 저항 +(6-7)%"
"+(8-9)% to Chaos Resistance","카오스 저항 +(8-9)%"
"+(10-11)% to Chaos Resistance","카오스 저항 +(10-11)%"
"+(12-13)% to Chaos Resistance","카오스 저항 +(12-13)%"
"+(14-15)% to Chaos Resistance","카오스 저항 +(14-15)%"
"+(16-17)% to Chaos Resistance","카오스 저항 +(16-17)%"
"While a Unique Enemy is in your Presence, +#% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +#%"
"While a Unique Enemy is in your Presence, {0}% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 {0}%"
"While a Unique Enemy is in your Presence, +(12-13)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(12-13)%"
"While a Unique Enemy is in your Presence, +(14-15)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(14-15)%"
"While a Unique Enemy is in your Presence, +(16-17)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(16-17)%"
"While a Unique Enemy is in your Presence, +(18-19)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(18-19)%"
"While a Unique Enemy is in your Presence, +(20-21)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(20-21)%"
"While a Unique Enemy is in your Presence, +(22-23)% to Chaos Resistance","고유 적이 접근해 있는 동안, 카오스 저항 +(22-23)%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +(18-19)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(18-19)%"
"While a Pinnacle Atlas Boss is in your Presence, +(20-21)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(20-21)%"
"While a Pinnacle Atlas Boss is in your Presence, +(22-23)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(22-23)%"
"While a Pinnacle Atlas Boss is in your Presence, +(24-25)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(24-25)%"
"While a Pinnacle Atlas Boss is in your Presence, +(26-27)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(26-27)%"
"While a Pinnacle Atlas Boss is in your Presence, +(28-29)% to Chaos Resistance","최종 아틀라스 보스가 접근해 있는 동안, 카오스 저항 +(28-29)%"

"#% increased Damage per Endurance Charge","인내 충전 하나당 피해 #% 증가"
"{0}% increased Damage per Endurance Charge","인내 충전 하나당 피해 {0}% 증가"
"4% increased Damage per Endurance Charge","인내 충전 하나당 피해 4% 증가"
"5% increased Damage per Endurance Charge","인내 충전 하나당 피해 5% 증가"
"6% increased Damage per Endurance Charge","인내 충전 하나당 피해 6% 증가"
"While a Unique Enemy is in your Presence, #% increased Damage per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 피해 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Damage per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 피해 {0}% 증가"
"While a Unique Enemy is in your Presence, 5% increased Damage per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 피해 5% 증가"
"While a Unique Enemy is in your Presence, 6% increased Damage per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 피해 6% 증가"
"While a Unique Enemy is in your Presence, 7% increased Damage per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 피해 7% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Damage per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 피해 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Damage per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 피해 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 6% increased Damage per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 피해 6% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 7% increased Damage per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 피해 7% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 8% increased Damage per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 피해 8% 증가"

"While a Unique Enemy is in your Presence, Regenerate {0}% of Life per second per Endurance Charge","고유 적이 접근해 있는 동안, 인내 충전 하나당 1초마다 생명력의 {0}% 재생"
"While a Pinnacle Atlas Boss is in your Presence, Regenerate {0}% of Life per second per Endurance Charge","최종 아틀라스 보스가 접근해 있는 동안, 인내 충전 하나당 1초마다 생명력의 {0}% 재생"

"+#% to maximum Fire Resistance","화염 저항 최대치 +#%"
"{0}% to maximum Fire Resistance","화염 저항 최대치 {0}%"
"+1% to maximum Fire Resistance","화염 저항 최대치 +1%"
"+2% to maximum Fire Resistance","화염 저항 최대치 +2%"
"While a Unique Enemy is in your Presence, +#% to maximum Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 최대치 +#%"
"While a Unique Enemy is in your Presence, {0}% to maximum Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 최대치 {0}%"
"While a Unique Enemy is in your Presence, +2% to maximum Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 최대치 +2%"
"While a Unique Enemy is in your Presence, +3% to maximum Fire Resistance","고유 적이 접근해 있는 동안, 화염 저항 최대치 +3%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to maximum Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 최대치 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to maximum Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 최대치 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +3% to maximum Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 최대치 +3%"
"While a Pinnacle Atlas Boss is in your Presence, +4% to maximum Fire Resistance","최종 아틀라스 보스가 접근해 있는 동안, 화염 저항 최대치 +4%"

"#% increased Totem Placement speed","토템 설치 속도 #% 증가"
"{0}% increased Totem Placement speed","토템 설치 속도 {0}% 증가"
"10% increased Totem Placement speed","토템 설치 속도 10% 증가"
"11% increased Totem Placement speed","토템 설치 속도 11% 증가"
"12% increased Totem Placement speed","토템 설치 속도 12% 증가"
"13% increased Totem Placement speed","토템 설치 속도 13% 증가"
"14% increased Totem Placement speed","토템 설치 속도 14% 증가"
"15% increased Totem Placement speed","토템 설치 속도 15% 증가"
"While a Unique Enemy is in your Presence, #% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, 14% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 14% 증가"
"While a Unique Enemy is in your Presence, 15% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 15% 증가"
"While a Unique Enemy is in your Presence, 16% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 16% 증가"
"While a Unique Enemy is in your Presence, 17% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 17% 증가"
"While a Unique Enemy is in your Presence, 18% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 18% 증가"
"While a Unique Enemy is in your Presence, 19% increased Totem Placement speed","고유 적이 접근해 있는 동안, 토템 설치 속도 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 18% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 18% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 19% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 20% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 20% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 21% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 21% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 22% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 22% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 23% increased Totem Placement speed","최종 아틀라스 보스가 접근해 있는 동안, 토템 설치 속도 23% 증가"

"#% increased Brand Attachment range","낙인 부착 범위 #% 증가"
"{0}% increased Brand Attachment range","낙인 부착 범위 {0}% 증가"
"10% increased Brand Attachment range","낙인 부착 범위 10% 증가"
"11% increased Brand Attachment range","낙인 부착 범위 11% 증가"
"12% increased Brand Attachment range","낙인 부착 범위 12% 증가"
"13% increased Brand Attachment range","낙인 부착 범위 13% 증가"
"14% increased Brand Attachment range","낙인 부착 범위 14% 증가"
"15% increased Brand Attachment range","낙인 부착 범위 15% 증가"
"While a Unique Enemy is in your Presence, #% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 #% 증가"
"While a Unique Enemy is in your Presence, {0}% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 {0}% 증가"
"While a Unique Enemy is in your Presence, 14% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 14% 증가"
"While a Unique Enemy is in your Presence, 15% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 15% 증가"
"While a Unique Enemy is in your Presence, 16% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 16% 증가"
"While a Unique Enemy is in your Presence, 17% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 17% 증가"
"While a Unique Enemy is in your Presence, 18% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 18% 증가"
"While a Unique Enemy is in your Presence, 19% increased Brand Attachment range","고유 적이 접근해 있는 동안, 낙인 부착 범위 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 18% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 18% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 19% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 19% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 20% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 20% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 21% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 21% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 22% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 22% 증가"
"While a Pinnacle Atlas Boss is in your Presence, 23% increased Brand Attachment range","최종 아틀라스 보스가 접근해 있는 동안, 낙인 부착 범위 23% 증가"

"#% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 #% 증가"
"{0}% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 {0}% 증가"
"(31-33)% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 (31-33)% 증가"
"(34-36)% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 (34-36)% 증가"
"(37-39)% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 (37-39)% 증가"
"(40-42)% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 (40-42)% 증가"
"(43-45)% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 (43-45)% 증가"
