"	-10% to all Resistances","	모든 원소 저항 -10%"
"the strongest one will apply instead unless this option would apply a stronger Sap.","^xADAA47활력 감소^7를 증가시키는 출처의 가장 높은 ^xADAA47활력 감소^7 증가 효과가 적용됩니다."
"the strongest one will apply instead unless this option would apply a stronger Shock.","^xADAA47감전^7을 증가시키는 출처의 가장 높은 ^xADAA47감전^7 증가 효과가 적용됩니다."
"this will allow you to input the effect of the Shock applied to the enemy.","^7이 옵션을 사용하면 적에게 ^xADAA47감전^7시 효과를 적용할 수 있습니다."
"this will apply Shock's Damage Taken modifier to the enemy.","이것은 적의 감전 피해에 보너스를 적용합니다."
"this will apply the 6% life regen modifier granted by Consecrated Ground.","이것은 신성한 지대 효과로 [생명력 6% 재생] 보너스가 적용됩니다."
"this will cause hits to have 100% increased Critical Strike Chance on the enemy.","적에 대한 치명타 확률이 100 % 증가합니다."
"this will enable the Arcane Surge buff itself. (Grants 10% increased cast speed and 30% increased Mana Regeneration rate)","그러면 [비전 쇄도] 버프가 자신에게 적용됩니다.(시전 속도 10% 증가 및 마나 재생 속도 30% 증가"
"this will enable the Elusive buff itself:","효과를 받는 동안 다음과 같은 보너스가 추가됩니다."
"this will enable the Onslaught buff itself. (20% increased Attack/Cast/Movement Speed)","이것을 체크하면 [맹공] 버프 효과가 활성화됩니다. (공격/시전/이동 속도 20% 증가)"
"this will enable the Onslaught buff itself. (Grants {0}% increased Attack, Cast, and Movement Speed)","이것을 체크하면 [맹공] 버프 효과가 활성화됩니다. (공격, 시전 및 이동 속도 {0}% 증가)"
"this will enable the Tailwind buff itself. (Grants {0}% increased Action Speed)","이것을 체크하면 [순풍] 버프 효과가 활성화됩니다. (동작 속도 {0}% 증가)"
"this will enable the Tailwind buff itself. (You are {0}% faster)","이것을 체크하면 [순풍] 버프 효과가 활성화됩니다. (동작 속도 {0}% 증가)"
"this will lessen the enemy's chance to hit, and thereby increase your evade chance.","적이 실명이 되면 적의 타격 확률을 줄여 줌으로써 회피할 수 있는 확률을 높이게 됩니다."
"used in-game to calculate the estimate shown on the character sheet.","게임 내에서 캐릭터 시트에 표시된 추정치를 계산합니다."
"used in-game to calculate the stats on the character sheet.","게임 내에서 캐릭터 시트의 통계를 계산하는데 사용됩니다."
"{0} increased Minion Attack and Cast Speed","소환수의 공격 및 시전 속도 {0} 증가"
"{0} increased Minion Movement Speed","소환수 이동 속도 {0}% 증가"
"{0} more Minion Damage","소환수 피해 {0} 증폭"
"{0}% Delirious","{0}% 환영"
"{0}% increased Action Speed","동작 속도 {0}% 증가"
"{0}% increased Attack, Cast and Movement Speed","공격/시전 및 이동 속도 {0}% 증가"
"{0}% increased Damage per {1} Rampage","광란 {1}당 피해 {0}% 증가"
"{0}% increased Minion Attack and Cast Speed","소환수의 공격 및 시전 속도 {0}% 증가"
"{0}% increased Movement Speed per {1} Rampage","광란 {1}당 이동 속도 {0}% 증가"
"{0}% increased effect of Flasks","플라스크 효과 {0}% 증가"
"{0}% less Effect of your Curses","저주의 효과 {0}% 감소"
"{0}% less Effect of your Hexes","당신의 사술 효과 {0}% 감폭"
"{0}% less enemy Movement Speed","적의 이동 속도 {0}% 감폭"
"{0}% less to enemy Damage taken","{0}% 적이 받는 총 피해 감소"
"{0}% more Minion Damage","소환수 피해 {0}% 증폭"
"{0}% of monster Armour","{0}% 몬스터 방어도"
"{0}% of monster Damage of each type","{0}% 각 유형의 몬스터 피해"
"{0}% of monster Damage total","{0}% 몬스터 피해 합계"
"{0}% of monster Evasion","^xFFFFFF{0}% 몬스터 ^x70FF70회피^7"
"{0}% penetration","{0}% 관통"
"{0}% to enemy Armour","{0}% 적 방어도"
"{0}% to enemy Armour","적의 방어도 {0}%"
"{0}% to enemy Chaos Resistance","{0}% 적의 카오스 저항"
"{0}% to enemy Elemental Resistances","{0}% 적의 원소 저항"

"Molten Shell reflects damage to the enemy,","용암 방패는 완화된 피해량에 따라"
"based on the amount of damage it has mitigated.","적에게 반사 피해를 줍니다."
"Setting to {0} quality will give you:","퀄리티를 {0}으로 설정하면 다음을 제공:"

"Nemesis","천벌"
"Race Events","레이스 이벤트"

"Enemy Max Resistance is always 75%","항상 적 최대 저항 75%"
"Enemy Maximum resistance is increased by the resistance configurations ","적의 최대 저항은 저항 환경설정에 따라 증가합니다."
"This locks it at the default value","하지만 이것을 체크하면 기본값으로 잠깁니다."

"Affliction","고난"
"Hardcore Affliction","하드코어 고난"
"Solo Self-Found","솔로 모드"

"Don't disable items","아이템 비활성화 안함"
"Ignore the effects of things which disable items, like Bringer of Rain","비의 인도자처럼 아이템을 비활성화하는 효과를 무시합니다."

"Show All Configurations","모든 설정 보기"
"Hide Ineligible Configurations","관련없는 설정 숨기기"
"# of Empty Red Sockets","빈 ^xE05030빨간^7 소켓"
"# of Empty Green Sockets","빈 ^x70FF70녹색^7 소켓"
"# of Empty Blue Sockets","빈 ^x7070FF파란^7 소켓"
"# of Empty White Sockets","빈 흰색 소켓"

"This option allows you to override the default calculation for the number of Empty Red Sockets.","^7이 옵션을 사용하면 빈 ^xE05030빨간^7 소켓 수에 대한 기본 계산을 무시할 수 있습니다."
"This option allows you to override the default calculation for the number of Empty Green Sockets.","^7이 옵션을 사용하면 빈 ^x70FF70녹색^7 소켓 수에 대한 기본 계산을 무시할 수 있습니다."
"This option allows you to override the default calculation for the number of Empty Blue Sockets.","^7이 옵션을 사용하면 빈 ^x7070FF파란^7 소켓 수에 대한 기본 계산을 무시할 수 있습니다."
"This option allows you to override the default calculation for the number of Empty White Sockets.","이 옵션을 사용하면 빈 흰색 소켓 수에 대한 기본 계산을 무시할 수 있습니다."
"The default calculation assumes enabled gems in skill socket groups fill the item in socket order disregarding gem colour.","기본 계산은 스킬의 소켓 그룹에서 활성화된 젬이 젬 색상을 무시하고 소켓 순서대로 아이템에 채워졌다고 가정합니다."
"Leave blank for default calculation.","기본값으로 계산을 위해 비워두십시오."
"Are you always on Low Energy Shield?","^x88FFFF에너지 보호막^7이 항상 낮습니까?"
"Resource gain calculation mode:","자원 획득 계산 모드:"
"Controls how resource on hit/kill is calculated:","적중/처치 시 자원 계산 방식을 제어합니다:"
"	Minimum: does not include chances","최소: 획득 확률은 계산에 포하지 않습니다."
"	Average: includes chance gains, averaged based on uptime","평균: 가동 시간을 기준으로 평균 획득 확률로 계산합니다."
"	Maximum: treats all chances as certain","최대: 모든 확률을 획득하는 것으로 계산합니다. "
"Disable Emperor's Vigilance Bypass","황제의 철야 막히지 않음 비활성화"

"Is the enemy Rare or Unique?","적이 희귀 또는 고유입니까?"
"The enemy will automatically be considered to be Unique if they are a Boss,","적이 보스인 경우 자동으로 고유한 적으로 간주되지만,"
"You will automatically be considered to be on Low Energy Shield if you have at least 50% ES reserved,","^x88FFFF에너지 보호막^7이 50% 이상 점유된 경우 자동으로 ^x88FFFF낮은 에너지 보호막^7 상태로 간주됩니다."

"Are you Sapped?","^7당신은 ^xADAA47활력 감소^7 상태입니까?"
"Are you Scorched?","당신은 그을려 있습니까?"
"Are you Immune to Curses?","당신은 저주에 면역입니까?"
"Defiance:","저항:"
"Do you have Vaal Arc's Lucky Buff?","바알 연쇄 번개가 행운 버프입니까?"
"Causes Damage with Arc Hits to be rolled twice, and the maximum roll used.","연쇄될 때마다 동시에 2명의 적에게 연쇄되고, 번개 줄기가 주는 피해에 행운을 적용해서 최대 피해로 계산합니다."

"Minion is Leeching Energy Shield?","^7소환수가 ^x88FFFF에너지 보호막^7을 흡수합니까?"
"# of Withered Stacks on you:","당신의 위축 중첩 개수:"
"Withered applies 6% increased Chaos Damage Taken to the self, up to 15 stacks.","^7위축은 받는 ^xD02090카오스 피해^7를 6% 증가시킵니다. 15회까지 중첩될 수 있습니다"

"Channeling for # seconds:","집중유지 시간(초):"
"This also implies that you are channelling","입력한 시간 동안 집중유지하고 있음을 의미합니다."

"ES Recharge started past 2 seconds?","^x88FFFF보호막^7 충전이 2초 후 시작되었습니까?"
"# of seconds Affected by a Warcry Buff:","함성 버프의 영향을 받는 시간(초):"
"# of Fragile Regrowth Stacks:","가냘픈 꽃 재성장 중첩 개수:"
"Do you have Iron Reflexes?","당신은 철의 반사신경이 있습니까?"
"This option is specific to Arborix.", "이 옵션은 아보릭스에만 적용됩니다."
"Augyre rotating buff:","오귀르 순환 버프:"
"This option is specific to Augyre.","이 옵션은 오귀르에만 적용됩니다."
"Do you have Manastorm's Buff?","마나폭풍의 버프가 있습니까?"
"This option enables Manastorm's Lightning Damage Buff.","^7이 옵션을 사용하면 마나폭풍의 ^xADAA47번개^7 피해 버프가 활성화됩니다."
"(When you cast a Spell, Sacrifice all Mana to gain Added Maximum Lightning Damage","^7주문 시전 시, 모든 ^x7070FF마나^7를 희생하여 ^xADAA47번개^7 피해 최대치를 추가로 획득합니다."
"equal to 25% of Sacrificed Mana for 4 seconds)","^7추가된 최대치는 4초동안 희생된 ^x7070FF마나^7의 25%와 동일"
"Gamblesprint Movement Speed", "도박질주의 이동 속도"
"This option sets the Movement Speed from Gamblesprint boots.","이 옵션은 도박질주 장화의 이동 속도를 설정합니다."
"This option is specific to Vulconus.", "이 옵션은 불커누스에만 적용됩니다."
"% Wave of Conviction duration expired:","신념이 파도 지속시간 만료 %:"
"Is the enemy Stunned?","적이 기절해 있습니까?"
"Cap to Single Bleed on enemy?","단일 출혈"
"This is for Blood Sap Tincture, but will limit you to only applying a single Bleed on the enemy","이것은 피 진액 팅크를 위한 것이지만, 적에게 단일 출혈만 적용하도록 제한합니다."
"# of Rupture stacks?","파열 중첩 개수"
"Rupture applies 25% more bleed damage and 25% faster bleeds for 3 seconds, up to 3 stacks","파열은 출혈 피해를 25% 증폭시키고 3초 동안 출혈을 25% 더 빠르게 만료하며 최대 3중첩 됩니다."
 "# of Spirit Charges:","영혼 충전 개수:"
"Enemy hit you with Fire Damage?","^7적이 ^xB97123화염^7 피해를 입혔습니까?"
"Enemy hit you with Cold Damage?","^7적이 ^x3F6DB3냉기^7 피해를 입혔습니까?"
"Enemy hit you with Light. Damage?","^7적이 ^xADAA47번개^7 피해를 입혔습니까?"
"This option sets whether or not the enemy has hit you with Fire Damage in the last 4 seconds.","^7이 옵션은 지난 4초 동안 적이 당신에게 ^xB97123화염^7 피해를 입혔는지 여부를 설정합니다."
"This option sets whether or not the enemy has hit you with Cold Damage in the last 4 seconds.","^7이 옵션은 지난 4초 동안 적이 당신에게 ^x3F6DB3냉기^7 피해를 입혔는지 여부를 설정합니다."
"This option sets whether or not the enemy has hit you with Lightning Damage in the last 4 seconds.","^7이 옵션은 지난 4초 동안 적이 당신에게 ^xADAA47번개^7 피해를 입혔는지 여부를 설정합니다."
"Is the enemy in your Link beams?","당신과 연결된 광선 안에 적이 있습니까?"
"This option sets whether an enemy is between you and your linked target.","이 옵션은 당신과 연결된 대상 사이에 적이 있는지 여부를 설정합니다."
"# of Grasping Vines affecting enemy:","적에게 영향을 미치는 탐욕스러운 덩굴 수:"
"Is the enemy near you Linked target?","적이 연결된 대상 근처에 있습니까?"
"Is the enemy on Sapped Ground?","^7적이 ^xADAA47활력 감소의 지대^7에 있습니까?"
"This also implies that the enemy is Sapped.","^7이것은 적이 ^xADAA47활력 감소^7 되었음을 의미합니다."
"Is the enemy Chilled by your Hits?","^7당신의 공격으로 적이 ^x3F6DB3냉각^7되었습니까?"
"Seconds of chill on enemy?","적을 몇 초 동안 냉각시켰습니까?"
"#% of Curse Expired on enemy:","적에게 걸린 저주의 #%가 만료:"
"Curse Duration Expired on enemy:","적에게 걸린 저주 지속시간 만료:"
"# of Corrosion Stacks:","부식 중첩 개수:"

"Tawhoa's Chosen","타호아의 선택받은 자"
"Shock Ground","충격 지면"
"Death Walk","죽음의 발걸음"
"Brakskin","껍질피부"
"Summon Elemental Relic:","원소 유물 소환:"
"Enable Anger Aura:","분노 오라 사용:"
"Enable Hatred Aura:","증오 오라 사용:"

"Each stack of Corrosion applies -5000 to total Armour and -1000 to total Evasion Rating to the enemy.","^7부식의 각 중첩은 적에게 총 방어력의 -5000을 적용하고 총 ^x33FF77회피율^7에 -1000을 적용합니다."
"Corrosion lasts 4 seconds and refreshes the duration of existing Corrosion stacks","부식은 4초 동안 지속되며 기존 부식 중첩의 지속 시간을 새로 고칩니다."
"Corrosion has no stack limit","부식은 중첩 제한이 없습니다."

"minions have {0}% to critical strike multiplier","소환수의 치명타 피해 배율 {0}%"
"{0}% minion critical strike chance","소환수의 치명타 확률 {0}%"
"//spectra//","//망령//"
"//gem//","//젬//"
"//gem quality//","//젬 퀄리티//"
"//charm//","//부적//"

"Enemy Impale                                 Monsters have chance to with Attacks Impaling","적 꿰뚫음"
"   Monsters have {0}% chance to Impale with Attacks","   몬스터가 공격 시 {0}%의 확률로 꿰뚫음"
"12x Summon Raging Spirit:","격노의 유령 소환x12:"
"Summon Elemental Relic","원소의 유령 소환"
"Unwavering Crusade","변함없는 성전"
"Hex colour for highlight nodes:","노드를 강조할 색상 16진수:"
"Has a Minion Died Recently?","최근에 소환수가 죽었습니까?"
"Quantity Multiplier","수량 배율"
"Quantity Multiplier:","수량 배율:"
"General's Cry Support","장군의 함성 보조"

"Activates every second while Attached","낙인이 부착된 동안 1초마다 활성화"
"Base radius is {0} metres","기본 반경 {0}미터"
"Base Aura radius is {0} metres","기본 오라 반경 {0}미터"
"Lightning strikes {0} target within {1} metres","번개가 {0}미터 내의 대상 1개 타격"

"Skill is targeting the Branded enemy","스킬의 대상이 낙인이 찍힌 적입니까?"
"Chilling","^x3F6DB3냉각"
"Igniting","^xB97123점화"
"Shocking","^xADAA47감전"
"Chill + Shock + Ignite","^x3F6DB3냉각^7 + ^xADAA47감전^7 + ^xB97123점화"
"{0} ES Cost per second","{0}  초당 에너지 보호막 소모"
"{0} Soul Cost","{0} 영혼 소모"
"{0} Life Recovery","{0} 생명력 회복"
"{0}% more Damage with Hits and Ailments for each remaining Chain","남은 연쇄 하나당 명중 및 상태 이상 피해 {0}% 증폭"

"	Acrimony","	신랄"
"	Acuity","	예민함"
"	Adamant","	견고한 의지"
"	Adder's Touch","	살무사의 접촉"
"	Adjacent Animosity","	근처의 적개심"
"	Admonisher","	꾸짖는 자"
"	Aggressive Bastion","	공격적인 보루"
"	Agility","	민첩함"
"	Alacrity","	기민성"
"	Ambidexterity","	양손잡이"
"	Amplify","	증폭"
"	Ancestral Knowledge","	선대의 지식"
"	Annihilation","	전멸"
"	Anointed Flesh","	기름 부은 살"
"	Arcane Capacitor","	비전 축전기"
"	Arcane Chemistry","	비전의 반응"
"	Arcane Expanse","	비전 팽창"
"	Arcane Focus","	비전의 집중"
"	Arcane Guarding","	비전 수호"
"	Arcane Potency","	비전의 잠재력"
"	Arcane Sanctuary","	비전의 성역"
"	Arcane Will","	비전의 의지"
"	Arcanist's Dominion","	신비학자의 지배력"
"	Arcing Blows","	전호의 일격"
"	Armour and Energy Shield","	방어도 및 에너지 보호막"
"	Armour and Energy Shield, Block Recovery","	방어도 및 에너지 보호막, 막기 회복"
"	Armour and Energy Shield, Link Effect","	방어도 및 에너지 보호막, 연결 효과"
"	Armour and Life Regeneration","	방어도 및 생명력 재생"
"	Armour and Life","	방어도 및 생명력"
"	Arsonist","	방화범"
"	Art of the Gladiator","	검투사의 기교"
"	Ash, Frost and Storm","	재, 서리, 태풍"
"	Aspect of Stone","	돌의 위상"
"	Aspect of the Eagle","	독수리의 위상"
"	Aspect of the Lynx","	스라소니의 위상"
"	Assassination","	암살"
"	Assured Strike","	확실한 타격"
"	Asylum","	보호소"
"	Atrophy","	위축"
"	Avatar of the Hunt","	사냥의 화신"
"	Backstabbing","	암습"
"	Ballistics","	탄도학"
"	Bannerman","	기수"
"	Barbarism","	포악성"
"	Bastion Breaker","	보루 분쇄자"
"	Battle Rouse","	전투 분발"
"	Beef","	근력"
"	Berserking","	광폭화"
"	Blacksmith's Clout","	대장장이의 일격"
"	Blade Barrier","	칼날 방어막"
"	Blade Master","	검의 대가"
"	Blade of Cunning","	교활한 검"
"	Bladedancer","	검의 무희"
"	Blast Radius","	폭발 반경"
"	Blast Waves","	폭발의 물결"
"	Blood Drinker","	피 흡수자"
"	Blood Siphon","	혈액 착취"
"	Bloodless","	무혈"
"	Bloodletting","	출혈 과다"
"	Blunt Trauma","	둔탁한 외상"
"	Bone Breaker","	뼈 분쇄기"
"	Born in the Shadows","	어둠의 자식"
"	Born of Chaos","	육체의 연회"
"	Born to Fight","	타고난 싸움꾼"
"	Bow Accuracy","	활 정확도"
"	Bow Area of Effect","	활 효과 범위"
"	Bow Attack Speed and Accuracy","	활 공격 속도 및 정확도"
"	Bow Attack Speed and Phasing","	활 공격 속도 및 차원능력"
"	Bow Attack Speed","	활 공격 속도"
"	Bow Critical Strike Chance and Multiplier","	활 치명타 확률 및 피해"
"	Bow Damage Over Time","	활 지속 피해"
"	Bow Damage and Accuracy","	활 피해 및 정확도"
"	Bow Damage and Attack Speed","	활 피해 및 공격 속도"
"	Bow Damage and Critical Strike Chance","	활 피해 및 치명타 확률"
"	Bow Damage and Evasion","	활 피해 및 회피"
"	Bow Damage","	활 피해"
"	Bow Mastery","	활 숙련"
"	Brand Critical Strike Chance","	낙인 치명타 확률"
"	Brand Damage and Duration","	낙인 피해 및 지속 시간"
"	Brand Damage","	낙인 피해"
"	Brand Duration","	낙인 지속시간"
"	Brand Equity","	낙인 형평성"
"	Brand Loyalty","	충성의 방향"
"	Brand Mastery","	낙인 숙련"
"	Brand Range and Brand Recall Cooldown Recovery","	낙인 범위 및 낙인 소환 재사용 대기시간 회복"
"	Brand Recall Cooldown Recovery","	낙인 소환 재사용 대기시간 회복"
"	Bravery","	기개"
"	Breath of Flames","	화염의 숨결"
"	Breath of Lightning","	번개의 숨결"
"	Breath of Rime","	흰서리의 숨결"
"	Brewed for Potency","	잠재력 발산"
"	Brink of Death","	생사의 경계"
"	Brinkmanship","	벼랑 끝 전략"
"	Broadside","	측면 공격"
"	Brush with Death","	스치는 죽음"
"	Brutal Blade","	잔인한 검"
"	Brutal Fervour","	잔인한 열정"
"	Brutal Infamy","	잔인한 악명"
"	Burden Projection","	괴로운 예감"
"	Burning Bright","	불타는 광채"
"	Burning Brutality","	불타는 포악함"
"	Burning Damage Multiplier with Attacks","	공격 시 화상 피해 배율"
"	Burning Damage Multiplier","	화상 피해 배율"
"	Butchery","	도살"
"	Calamitous","	환란"
"	Call to Arms","	소집"
"	Call to the Slaughter","	살육자 호출"
"	Cannibalistic Rite","	식인 의식"
"	Capacitor","	비전 축전기"
"	Careful Conservationist","	철저한 보호론자"
"	Careful Handling","	신중한 취급"
"	Cast Speed and Spell Critical Strike Chance","	시전 속도 및 주문 치명타 확률"
"	Cast Speed","	시전 속도"
"	Caster Mastery","	시전 숙련"
"	Cauterisation","	소작"
"	Chain Distance","	연쇄 거리"
"	Chain Reaction","	연쇄 반응"
"	Champion of the Cause","	대의의 용사"
"	Champion","	챔피온"
"	Chance for Extra Fork Projectile","	추가 갈래 투사체 확률"
"	Chance to Ignite","	점화 확률"
"	Chance to Ignite, Freeze and Shock","	점화, 동결, 감전 확률"
"	Chance to Poison with Spells","	주문의 중독 확률"
"	Chaos Damage Over Time Multiplier","	지속 카오스 피해 배율"
"	Chaos Damage and Withered Expiry Rate","	카오스 피해 및 위축 만료 속도"
"	Chaos Damage","	카오스 피해"
"	Chaos Inoculation","	카오스 면역"
"	Chaos Mastery","	카오스 숙련"
"	Chaos Resistance","	카오스 저항"
"	Charge Mastery","	충전 숙련"
"	Charge on Kill","	처치 시 충전"
"	Charisma","	신비한 매력"
"	Chieftain","	치프틴"
"	Chill Effect","	냉각 효과"
"	Chill and Freeze Resistance","	냉각 및 동결 저항"
"	Chilling Presence","	차가운 존재"
"	Chip Away","	누그러짐"
"	Circle of Life","	생명의 순환"
"	Circling Oblivion","	돌고 도는 망각"
"	Clarity of Purpose","	목적의 명확성"
"	Claw Ailment Damage and Poison Chance","	클로 상태 이상 피해 및 중독 확률"
"	Claw Ailment Damage and Poison Duration","	클로 상태 이상 피해 및 중독 지속시간"
"	Claw Attack Speed and Poison Chance","	클로 공격 속도 및 중독 확률"
"	Claw Attack Speed","	클로 공격 속도"
"	Claw Critical Strike Chance and Accuracy","	클로 치명타 확률 및 정확도"
"	Claw Critical Strike Chance and Multiplier","	클로 치명타 확률 및 피해"
"	Claw Critical Strike Chance","	클로 치명타 확률"
"	Claw Critical Strike Multiplier","	클로 치명타 피해 배율"
"	Claw Damage and Attack Speed","	클로 피해 및 공격 속도"
"	Claw Damage","	클로 피해"
"	Claw Mastery","	클로 숙련"
"	Claws of the Falcon","	매의 발톱"
"	Claws of the Hawk","	사냥매의 발톱"
"	Claws of the Magpie","	까치의 발톱"
"	Cleansed Thoughts","	정화된 사고"
"	Cleansed Thoughts","	정화된 생각"
"	Cleaving","	쪼개기"
"	Clever Construction","	교묘한 구조물"
"	Clever Thief","	교묘한 도둑"
"	Cloth and Chain","	천과 사슬"
"	Cold Ailment Duration","	냉기 상태 이상 지속시간"
"	Cold Ailment Effect","	냉기 상태 이상 효과"
"	Cold Conduction","	냉기 전도"
"	Cold Damage Over Time Multiplier","	지속 냉기 피해 배율"
"	Cold Damage and Cold Ailment Effect","	냉기 피해와 냉기 상태 이상 효과"
"	Cold Damage and Freeze Chance","	냉기 피해 및 동결 확률"
"	Cold Damage","	냉기 피해"
"	Cold Mastery","	냉기 숙련"
"	Cold Resistance","	냉기 저항"
"	Cold and Lightning Damage","	냉기 및 번개 피해"
"	Cold to the Core","	파고드는 추위"
"	Cold-Blooded Killer","	냉혹한 살해자"
"	Coldhearted Calculation","	냉담한 계산"
"	Combat Rhythm","	전투 리듬"
"	Combat Stamina","	전투 지구력"
"	Command of Steel","	강철의 명령"
"	Commander of Darkness","	어둠의 사령관"
"	Compound Injury","	화합물 부상"
"	Concussive Force","	충격적인 힘"
"	Conduit","	도관"
"	Confident Combatant","	자신감있는 전투원"
"	Conjured Barrier","	상상의 장벽"
"	Conjured Wall","	상상의 벽"
"	Conqueror","	정복자"
"	Conservation of Energy","	에너지 보존"
"	Constitution","	체질"
"	Conviction of Power","	힘의 신념"
"	Cooked Alive","	기진맥진"
"	Coordination","	조율"
"	Corpse Life","	시신의 삶"
"	Corpse Pact","	시신의 서약"
"	Corrosive Elements","	부식성 원소"
"	Corruption","	타락"
"	Counterweight","	평형추"
"	Courage","	용기"
"	Crackling Speed","	치직대는 속도"
"	Crave the Slaughter","	살육의 갈망"
"	Cremator","	소각로"
"	Crimson Dance","	진홍색 춤"
"	Critical Ailment Damage Over Time Multiplier","	치명적인 상태 이상의 지속 피해 배율"
"	Critical Mastery","	치명타 숙련"
"	Critical Strike Chance against Marked Enemy","	징표가 찍힌 적에 대한 치명타 확률"
"	Critical Strike Chance and Multiplier","	치명타 확률과 피해"
"	Critical Strike Chance per Power Charge","	권능 충전 하나당 치명타 확률"
"	Critical Strike Chance","	치명타 확률"
"	Critical Strike Chance, Damage Over Time","	치명타 확률, 지속 피해"
"	Critical Strike Chance, Elusive Effect","	치명타 확률, 도피 효과"
"	Critical Strike Chance, Power Charge Duration","	치명타 확률, 권능 충전 지속시간"
"	Critical Strike Multiplier per Power Charge","	권능 충전 하나당 치명타 피해 확률"
"	Critical Strike Multiplier","	치명타 피해"
"	Critical Strikes against Blinded Enemies","	실명한 적에 대한 치명타"
"	Cruel Preparation","	잔혹한 준비"
"	Crusader","	십자군"
"	Cry Wolf","	울고 늑대"
"	Crystal Skin","	결정 가죽"
"	Cult-Leader","	컬트 리더"
"	Curse Cast Speed","	저주 시전 속도"
"	Curse Duration","	저주 지속시간"
"	Curse Effect on You and Chaos Resistance","	플레이어에게 저주 효과, 카오스 저항"
"	Curse Effect","	저주 효과"
"	Curse Mana Cost","	저주 마나 소모"
"	Curse Mana Reservation Efficiency","	저주 마나 점유 효율"
"	Curse Mastery","	저주 숙련"
"	DUELIST","	듀얼리스트"
"	Dagger Ailment Damage and Poison Chance","	단검 상태 이상 피해 및 중독 확률"
"	Dagger Ailment Damage","	단검 상태 이상 피해"
"	Dagger Critical Strike Chance and Leech","	단검 치명타 확률 및 흡수"
"	Dagger Critical Strike Chance and Multiplier","	단검 치명타 확률과 피해"
"	Dagger Critical Strike Chance","	단검 치명타 확률"
"	Dagger Critical Strike Multiplier and Poison Duration","	단검 치명타 피해 배율 및 중독 지속시간"
"	Dagger Critical Strike Multiplier","	단검 치명타 피해 배율"
"	Dagger Damage and Attack Speed","	단검 피해 및 공격 속도"
"	Dagger Damage and Movement Speed","	단검 피해 및 이동 속도"
"	Dagger Damage","	단검 피해"
"	Dagger Mastery","	단검 숙련"
"	Damage Over Time Mastery","	지속 피해 숙련"
"	Damage Over Time Multiplier and Life Regeneration","	지속 피해 배율 및 생명력 재생"
"	Damage Over Time Multiplier","	지속 피해 배율"
"	Damage Over Time","	지속 피해"
"	Damage against Marked Enemy","	징표 찍힌 적에 대한 피해"
"	Damage and Energy Shield","	피해 및 에너지 보호막"
"	Damage and Mana","	피해 및 마나"
"	Damage if Consumed a Corpse","	시신 소모 시 피해"
"	Damage with Life Cost Skills and Reduced Life Cost","	생명력 소모 스킬로 피해, 생명력 소모량 감소"
"	Damaging Ailment Duration","	피해를 주는 상태 이상 지속시간"
"	Dance of Blades","	칼춤"
"	Daring Ideas","	대담한 아이디어"
"	Dark Arts","	어둠의 기술"
"	Dark Ideation","	음울한 관념"
"	Dark Messenger","	어둠 전달자"
"	Darting Movements","	다트 운동"
"	Dazzling Strikes","	현란한 강타"
"	Dazzling Strikes","	현란한 일격"
"	Deadeye","	데드아이"
"	Deadly Draw","	치명적인 당기기"
"	Deadly Inclinations","	치명적인 의지"
"	Deadly Infusion","	치명적인 주입"
"	Deadly Repartee","	신랄한 말재간"
"	Death Attunement","	죽음의 조율"
"	Decay Ward","	부패 수호"
"	Deep Breaths","	심호흡"
"	Deep Chill","	짙은 오한"
"	Deep Cuts","	깊은 컷"
"	Deep Thoughts","	깊은 생각"
"	Deep Wisdom","	깊은 지혜"
"	Defences with Shield","	방패의 방어력"
"	Defiance","	저항"
"	Defiled Forces","	더럽혀진 힘"
"	Deflection","	굴절"
"	Defy Pain","	고통 무시"
"	Demolitions Specialist","	폭파 전문가"
"	Depth Perception","	날카로운 감각"
"	Dervish","	수도승"
"	Destroyer","	파괴자"
"	Destructive Apparatus","	파괴적인 기구"
"	Destructive Aspect","	파괴적인 측면"
"	Devastating Devices","	파괴적인 장치"
"	Devastator","	파괴자"
"	Devotion","	헌신"
"	Dexterity and Intelligence","	민첩과 지능"
"	Dexterity","	민첩"
"	Diamond Skin","	다이아몬드 가죽"
"	Diamond Skin","	다이아몬드 피부"
"	Dire Torment","	지독한 고통"
"	Dirty Techniques","	더러운 기술"
"	Disciple of the Forbidden","	금단 신봉자"
"	Disciple of the Slaughter","	학살 신봉자"
"	Disciple of the Unyielding","	완고한 신봉자"
"	Disciples","	제자들"
"	Discipline and Training","	수양과 훈련"
"	Discord Artisan","	불화의 장인"
"	Disease Vector","	질병 벡터"
"	Disemboweling","	창자 뽑기"
"	Disintegration","	분해"
"	Disintegration","	해체"
"	Dismembering","	사지 절단"
"	Disorienting Display","	혼란스러운 과시"
"	Disorienting Wounds","	상처를 혼란스럽게합니다"
"	Distilled Perfection","	증류 완벽"
"	Divine Fervour","	신성한 열정"
"	Divine Fury","	신성한 광분"
"	Divine Guidance","	신성한 인도"
"	Divine Judgement","	신성한 심판"
"	Divine Shield","	신성한 방패"
"	Divine Wrath","	신성한 진노"
"	Doedre's Apathy","	도이드리의 무관심"
"	Doedre's Gluttony","	도이드리의 폭식"
"	Doedre's Spite","	도이드리의 악의"
"	Doom Cast","	멸망 시전"
"	Doryani's Lesson","	도리아니의 교훈"
