" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
"The Merchant has an additional Choice","상인이 선택지 1개 추가 보유"
"The Merchant has {0} additional Choices","상인이 선택지 {0}개 추가 보유"
"The Ring takes no Cut","강탈단이 세금을 받지 않음"
"The Ring's Cut increased by {0}%","강탈단 세금 {0}% 증가"
"The Ring's Cut reduced by {0}%","강탈단 세금 {0}% 감소"
"The additional Trigger ignores Cooldowns","추가 발동은 재사용 대기시간을 무시함"
"The first Strongbox Opened in this Area is guarded by an additional Rare Monster","이 지역의 열려 있는 첫 번째 금고는 희귀 몬스터 1마리가 추가 방어"
"The first Strongbox Opened in this Area is guarded by {0} additional Rare Monsters","이 지역의 열려 있는 첫 번째 금고는 희귀 몬스터 {0}마리가 추가로 방어"
"The first and final shots of the sequence fire {0} additional Projectile simultaneously","연속 발사 시 첫 번째와 마지막 사격이 추가 투사체 {0}개를 동시에 발사"
"The first and final shots of the sequence fire {0} additional Projectiles simultaneously","연속 발사 시 첫 번째와 마지막 사격이 추가 투사체 {0}개를 동시에 발사"
"The first time a Player reaches {0} Rampage Kills in this Area, they will encounter a Powerful Monster","이 지역에서 플레이어가 처음으로 광란 처치 {0}회 달성 시, 강력한 몬스터 1마리 등장"
"The first time a Player reaches {0} Rampage Kills in this Area, {1} Basic Currency Items will drop","플레이어가 이 지역에서 처음으로 광란 처치 {0}회 달성 시, 기본 화폐 아이템 {1}개가 떨어짐"
"Third Repeat deals {0}% less Damage","세 번째 반복 시 주는 피해 {0}%감폭"
"Third Repeat deals {0}% more Damage","세 번째 반복 시 주는 피해 {0}%증폭"
"Third Repeat of Supported Skills deals {0}% less Damage","보조 대상 스킬 세 번째 반복 시 주는 피해 {0}% 감폭"
"Third Repeat of Supported Skills deals {0}% more Damage","보조 대상 스킬 세 번째 반복 시 주는 피해 {0}% 증폭"
"Third Stage deals {0}% less Damage","세 번째 단계가 주는 피해 {0}% 감폭"
"Third Stage deals {0}% more Damage","세 번째 단계가 주는 피해 {0}% 증폭"
"This Attack Repeats {0} additional time","이 공격이 {0}회 추가 반복"
"This Attack Repeats {0} additional times","이 공격이 {0}회 추가 반복"
"This Attack and Minion's Attack Skills Leech {0}% of Damage as Mana","이 공격 및 소환수의 공격 스킬이 피해의 {0}%를 마나로 흡수"
"This Attack and Minion's Melee Attacks have {0}% increased Area of Effect per Repeat","이 공격을 반복하거나 소환수가 근접 공격을 반복할 때마다 해당 공격의 효과 범위 {0}% 증가"
"This Attack and Minion's Melee Attacks have {0}% reduced Area of Effect per Repeat","이 공격을 반복하거나 소환수가 근접 공격을 반복할 때마다 해당 공격의 효과 범위 {0}% 감소"
"This Attack and Minion's Melee Strike Skills deal Splash Damage to surrounding targets","이 공격 및 소환수의 근접 타격 스킬로 주변 대상에게 범위 피해를 줌"
"This Attack and Minions Attacks always Maim on Hit","이 공격 및 소환수가 명중 시 항상 힘줄 절단 유발"
"This Attack and Minions Attacks have {0}% chance to Maim on Hit","이 공격 및 소환수가 명중 시 {0}%의 확률로 힘줄 절단"
"This Attack and Minions Have {0}% increased Effect of Cold Ailments","이 공격 및 소환수의 냉기 상태 이상 효과 {0}% 증가"
"This Attack and Minions Have {0}% reduced Effect of Cold Ailments","이 공격 및 소환수의 냉기 상태 이상 효과 {0}% 감소"
"This Attack and Minions Knock Enemies back on Hit","이 공격 및 소환수가 명중 시 적을 밀어냄"
"This Attack and Minions Leech {0}% of Damage as Energy Shield","이 공격 및 소환수가 피해의 {0}%를 에너지 보호막으로 흡수"
"This Attack and Minions Leech {0}% of Damage as Life","이 공격 및 소환수가 피해의 {0}%를 생명력으로 흡수"
"This Attack and Minions Overwhelm {0}% Physical Damage Reduction","이 공격 및 소환수가 물리 피해 감소의 {0}% 압도"
"This Attack and Minions Penetrate {0}% Chaos Resistance","이 공격 및 소환수가 카오스 저항 {0}% 관통"
"This Attack and Minions Penetrate {0}% Cold Resistance","이 공격 및 소환수가 냉기 저항 {0}% 관통"
"This Attack and Minions Penetrate {0}% Elemental Resistances","이 공격 및 소환수가 {0}%의 원소 저항 관통"
"This Attack and Minions Penetrate {0}% Fire Resistance","이 공격 및 소환수가 화염 저항 {0}% 관통"
"This Attack and Minions Penetrate {0}% Lightning Resistance","이 공격 및 소환수가 번개 저항 {0}% 관통"
"This Attack and Minions Poison Enemies on Hit","이 공격 및 소환수가 명중 시 적 중독 유발"
"This Attack and Minions Shock Enemies as though dealing {0}% less Damage","이 공격 및 소환수가 {0}% 감폭된 피해를 준 것처럼 적에게 감전 유발"
"This Attack and Minions Shock Enemies as though dealing {0}% more Damage","이 공격 및 소환수가 {0}% 증폭된 피해를 준 것처럼 적에게 감전 유발"
"This Attack and Minions always Freeze Enemies","이 공격 및 소환수가 항상 동결 유발"
"This Attack and Minions always Poison on Hit","이 공격 및 소환수가 명중 시 항상 중독 유발"
"This Attack and Minions cannot cause Bleeding","이 공격 및 소환수는 출혈 유발 불가"
"This Attack and Minions cannot inflict Elemental Ailments","이 공격 및 소환수 원소 상태 이상 유발 불가"
"This Attack and Minions cause Bleeding","이 공격 및 소환수가 출혈 유발"
"This Attack and Minions deal no Chaos Damage","이 공격 및 소환수가 주는 카오스 피해 없음"
"This Attack and Minions deal no Elemental Damage","이 공격 및 소환수가 주는 원소 피해 없음"
"This Attack and Minions deal {0} to {1} added Fire Damage against Burning Enemies","이 공격 및 소환수가 화상 상태의 적을 상대로 주는 화염 피해 {0}~{1} 추가"
"This Attack and Minions deal {0}% increased Damage over Time","이 공격 및 소환수가 주는 지속 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage while Leeching Energy Shield","에너지 보호막을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage while Leeching Life","생명력을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage while Leeching Mana","마나를 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage with Hits against Enemies that are on Low Life","이 공격 및 소환수가 낮은 생명력 상태의 적 명중 시 주는 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage with Hits and Ailments per Curse on Enemy","적에게 걸린 저주 하나당 이 공격 및 소환수가 주는 적중 피해 및 상태 이상 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Damage with Hits and Ailments per Freeze, Shock or Ignite on Enemy","적에게 유발된 동결, 감전 또는 점화 하나당 이 공격 및 소환수가 주는 적중 피해 및 상태 이상 피해 {0}% 증가"
"This Attack and Minions deal {0}% increased Melee Damage against Bleeding Enemies","이 공격 및 소환수가 출혈 중인 적을 상대로 주는 근접 피해 {0}% 증가"
"This Attack and Minions deal {0}% less Cold Damage Over Time","이 공격 및 소환수가 주는 지속 냉기 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage over Time","이 공격 및 소환수가 주는 지속 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage per Power Charge","이 공격 및 소환수로 권능 충전 하나당 주는 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage while Leeching Energy Shield","에너지 보호막을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Ailments","이 공격 및 소환수가 주는 상태 이상 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Hits and Ailments against Chilled Enemies","이 공격 및 소환수가 냉각된 적에 대한 적중 및 상태 이상 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Hits and Ailments against Enemies on Low Life","이 공격 및 소환수가 낮은 생명력 상태의 적에게 주는 명중 및 상태 이상 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Hits for each Poison on the Enemy, up to {1}","이 공격 및 소환수의 공격 명중 시 적에게 중첩된 중독 하나당 주는 피해 {0}% 감폭, 최대 {1}"
"This Attack and Minions deal {0}% less Damage with Hits","이 공격 및 소환수가 적 명중 시 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Ignite","이 공격 및 소환수가 주는 점화 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage with Poison","이 공격 및 소환수가 주는 중독 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Damage","이 공격 및 소환수가 주는 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Elemental Damage","이 공격 및 소환수가 주는 원소 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Fire Damage","이 공격 및 소환수가 주는 화염 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Melee Area Damage","이 공격 및 소환수가 주는 근접 범위 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Melee Physical Damage against Bleeding Enemies","이 공격 및 소환수가 출혈 중인 적을 상대로 주는 근접 물리 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Physical Damage","이 공격 및 소환수가 주는 물리 피해 {0}% 감폭"
"This Attack and Minions deal {0}% less Trap and Mine Damage","이 공격 및 소환수가 주는 덫 및 지뢰 피해 {0}% 감폭"
"This Attack and Minions deal {0}% more Cold Damage Over Time","이 공격 및 소환수가 주는 지속 냉기 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage over Time","이 공격 및 소환수가 주는 지속 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage per Power Charge","이 공격 및 소환수로 권능 충전 하나당 주는 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage while Leeching Energy Shield","에너지 보호막을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Ailments","이 공격 및 소환수가 주는 상태 이상 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Hits and Ailments against Chilled Enemies","이 공격 및 소환수가 냉각된 적에 대한 적중 및 상태 이상 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Hits and Ailments against Enemies on Low Life","이 공격 및 소환수가 낮은 생명력 상태의 적에게 주는 명중 및 상태 이상 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Hits for each Poison on the Enemy, up to {1}","이 공격 및 소환수의 공격 명중 시 적에게 중첩된 중독 하나당 주는 피해 {0}% 증폭, 최대 {1}"
"This Attack and Minions deal {0}% more Damage with Hits","이 공격 및 소환수가 적 명중 시 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Ignite","이 공격 및 소환수가 주는 점화 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage with Poison","이 공격 및 소환수가 주는 중독 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Damage","이 공격 및 소환수가 주는 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Elemental Damage","이 공격 및 소환수가 주는 원소 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Fire Damage","이 공격 및 소환수가 주는 화염 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Melee Area Damage","이 공격 및 소환수가 주는 근접 범위 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Melee Physical Damage against Bleeding Enemies","이 공격 및 소환수가 출혈 중인 적을 상대로 주는 근접 물리 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Physical Damage","이 공격 및 소환수가 주는 물리 피해 {0}% 증폭"
"This Attack and Minions deal {0}% more Trap and Mine Damage","이 공격 및 소환수가 주는 덫 및 지뢰 피해 {0}% 증폭"
"This Attack and Minions deal {0}% reduced Damage over Time","이 공격 및 소환수가 주는 지속 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Damage while Leeching Energy Shield","에너지 보호막을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Damage while Leeching Life","생명력을 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Damage while Leeching Mana","마나를 흡수하는 동안 이 공격 및 소환수가 주는 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Damage with Hits and Ailments  per Freeze, Shock or Ignite on Enemy","적에게 유발된 동결, 감전 또는 점화 하나당 이 공격 및 소환수가 주는 적중 피해 및 상태 이상 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Damage with Hits and Ailments per Curse on Enemy","적에게 걸린 저주 하나당 이 공격 및 소환수가 주는 적중 피해 및 상태 이상 피해 {0}% 감소"
"This Attack and Minions deal {0}% reduced Melee Damage against Bleeding Enemies","이 공격 및 소환수가 출혈 중인 적을 상대로 주는 근접 피해 {0}% 감소"
"This Attack and Minions gain Endurance Charges when Stunning Enemies with Melee Damage","근접 피해로 적 기절 시 이 공격 및 소환수가 인내 충전 획득"
"This Attack and Minions gain a Frenzy Charge on Killing Blow against Enemies with at least {0} Poisons","이 공격 및 소환수가 중독 {0}중첩 이상의 적을 상대로 최후의 일격 시 격분 충전 획득"
"This Attack and Minions have Culling Strike","이 공격 및 소환수가 마무리 타격 가능"
"This Attack and Minions have Point Blank","이 공격 및 소환수에게 근접 사격 추가"
"This Attack and Minions have an additional {0}% chance to Knock Enemies Back on Hit","이 공격 및 소환수가 명중 시 적을 밀어낼 확률 {0}% 추가"
"This Attack and Minions have {0} Accuracy Rating","이 공격 및 소환수의 정확도 {0}"
"This Attack and Minions have {0} Life gained per Enemy Hit","이 공격 및 소환수가 명중한 적 하나당 생명력 {0} 획득"
"This Attack and Minions have {0} Life lost per Enemy Hit","이 공격 및 소환수가 명중한 적 하나당 생명력 {0} 상실"
"This Attack and Minions have {0} additional Accuracy Rating","이 공격 및 소환수의 추가 정확도 {0}"
"This Attack and Minions have {0}% chance to Blind enemies on hit","이 공격 및 소환수는 명중 시 {0}%의 확률로 적 실명 유발"
"This Attack and Minions have {0}% chance to Freeze Enemies which are Chilled","이 공격 및 소환수가 냉각된 적을 동결시킬 확률 {0}%"
"This Attack and Minions have {0}% chance to Freeze enemies","이 공격 및 소환수가 {0}%의 확률로 적 동결 유발"
"This Attack and Minions have {0}% chance to Ignite enemies","이 공격 및 소환수가 {0}%의 확률로 적 점화 유발"
"This Attack and Minions have {0}% chance to Knock Enemies Back with Hits at Close Range","이 공격 및 소환수의 공격이 근거리에서 적중 시 {0}%의 확률로 적을 밀어냄"
"This Attack and Minions have {0}% chance to Poison on Hit","이 공격 및 소환수가 명중 시 {0}%의 확률로 중독 유발"
"This Attack and Minions have {0}% chance to Shock enemies","이 공격 및 소환수가 {0}%의 확률로 적 감전 유발"
"This Attack and Minions have {0}% chance to cause Bleeding","이 공격 및 소환수가 {0}%의 확률로 출혈 유발"
"This Attack and Minions have {0}% chance to cause Monsters to Flee when Hit","이 공격 및 소환수는 피격 시 {0}%의 확률로 몬스터를 도망치게 함"
"This Attack and Minions have {0}% chance to gain Endurance Charges when Stunning Enemies with Melee Damage","이 공격 및 소환수는 근접 피해로 적 기절 시 {0}%의 확률로 인내 충전"
"This Attack and Minions have {0}% chance to gain Onslaught for {1} seconds when you Hit a Unique Enemy","플레이어가 고유 적 명중 시 이 공격 및 소환수가 {0}%의 확률로 {1}초 동안 맹공 획득"
"This Attack and Minions have {0}% chance to gain Onslaught for {2} seconds on","이 공격 및 소환수는 최후의 일격으로 피해를 주면 {0}%의 확률로 {2}초 동안"
"This Attack and Minions have {0}% chance to gain a Frenzy Charge on Killing Blow against Enemies with at least {1} Poisons","이 공격 및 소환수가 중독 {1}중첩 이상의 적을 상대로 최후의 일격 시 {0}%의 확률로 격분 충전 획득"
"This Attack and Minions have {0}% chance to gain a Power Charge on Critical Strike","이 공격 및 소환수가 치명타 명중 시 {0}%의 확률로 권능 충전"
"This Attack and Minions have {0}% chance to gain a Power Charge on Killing Blow","이 공격 및 소환수가 최후의 일격 시 {0}%의 확률로 권능 충전 획득"
"This Attack and Minions have {0}% chance to inflict Withered on Hit","이 공격 및 소환수가 명중 시 {0}%의 확률로 위축 유발"
"This Attack and Minions have {0}% increased Accuracy Rating","이 공격 및 소환수의 정확도 {0}% 증가"
"This Attack and Minions have {0}% increased Area of Effect","이 공격 및 소환수의 효과 범위가 {0}% 증가"
"This Attack and Minions have {0}% increased Attack Speed per Momentum","기세 하나당 이 공격 및 소환수의 공격 속도 {0}% 증가"
"This Attack and Minions have {0}% increased Attack Speed when on Low Life","낮은 생명력 상태일 때 이 공격 및 소환수의 공격 속도가 {0}% 증가"
"This Attack and Minions have {0}% increased Attack Speed","이 공격 및 소환수의 공격 속도가 {0}% 증가"
"This Attack and Minions have {0}% increased Blinding duration","이 공격 및 소환수의 실명 지속시간이 {0}% 증가"
"This Attack and Minions have {0}% increased Burning Damage","이 공격 및 소환수의 화상 피해가 {0}% 증가"
"This Attack and Minions have {0}% increased Chill Duration on enemies","이 공격 및 소환수가 적에게 적용하는 냉각 지속시간 {0}% 증가"
"This Attack and Minions have {0}% increased Critical Strike Chance against Blinded Enemies","실명된 적에 대한 이 공격 및 소환수의 치명타 확률 {0}% 증가"
"This Attack and Minions have {0}% increased Critical Strike Chance","이 공격 및 소환수의 치명타 확률 {0}% 증가"
"This Attack and Minions have {0}% increased Damage with Poison","이 공격 및 소환수의 중독 피해가 {0}% 증가"
"This Attack and Minions have {0}% increased Effect of Lightning Ailments","이 공격 및 소환수의 번개 상태 이상 효과 {0}% 증가"
"This Attack and Minions have {0}% increased Enemy Stun Threshold","이 공격 및 소환수의 적 기절 한계치가 {0}% 증가"
"This Attack and Minions have {0}% increased Freeze Duration on enemies","이 공격 및 소환수가 적에게 적용하는 동결 지속시간 {0}% 증가"
"This Attack and Minions have {0}% increased Ignite Duration on Enemies","이 공격 및 소환수가 적에게 적용하는 점화 지속시간 {0}% 증가"
"This Attack and Minions have {0}% increased Knockback Distance","이 공격 및 소환수의 밀어내기 거리가 {0}% 증가"
"This Attack and Minions have {0}% increased Poison Duration","이 공격 및 소환수의 중독 지속시간이 {0}% 증가"
"This Attack and Minions have {0}% increased Projectile Speed","이 공격 및 소환수의 투사체 속도 {0}% 증가"
"This Attack and Minions have {0}% increased Shock Duration on enemies","이 공격 및 소환수가 적에게 적용하는 감전 지속시간 {0}% 증가"
"This Attack and Minions have {0}% increased Stun Duration on enemies","이 공격 및 소환수가 적에게 적용하는 기절 지속시간 {0}% 증가"
"This Attack and Minions have {0}% less Area of Effect","이 공격 및 소환수의 효과 범위 {0}% 감폭"
"This Attack and Minions have {0}% less Attack Speed","이 공격 및 소환수의 공격 속도 {0}% 감폭"
"This Attack and Minions have {0}% less Critical Strike Chance","이 공격 및 소환수의 치명타 확률 {0}% 감폭"
"This Attack and Minions have {0}% less Melee Attack Speed","이 공격 및 소환수의 근접 공격 속도가 {0}% 감폭"
"This Attack and Minions have {0}% less Melee Splash Area of Effect","이 공격 및 소환수의 근접 범위 피해 효과 범위가 {0}% 감폭"
"This Attack and Minions have {0}% more Area of Effect","이 공격 및 소환수의 효과 범위 {0}% 증폭"
"This Attack and Minions have {0}% more Attack Speed","이 공격 및 소환수의 공격 속도 {0}% 증폭"
"This Attack and Minions have {0}% more Critical Strike Chance","이 공격 및 소환수의 치명타 확률 {0}% 증폭"
"This Attack and Minions have {0}% more Melee Attack Speed","이 공격 및 소환수의 근접 공격 속도가 {0}% 증폭"
"This Attack and Minions have {0}% more Melee Splash Area of Effect","이 공격 및 소환수의 근접 범위 피해 효과 범위가 {0}% 증폭"
"This Attack and Minions have {0}% of Chaos Damage Leeched as Life","이 공격 및 소환수가 카오스 피해의 {0}%를 생명력으로 흡수"
"This Attack and Minions have {0}% reduced Accuracy Rating","이 공격 및 소환수의 정확도 {0}% 감소"
"This Attack and Minions have {0}% reduced Area of Effect","이 공격 및 소환수의 효과 범위가 {0}% 감소"
"This Attack and Minions have {0}% reduced Attack Speed per Momentum","기세 하나당 이 공격 및 소환수의 공격 속도 {0}% 감소"
"This Attack and Minions have {0}% reduced Attack Speed when on Low Life","낮은 생명력 상태일 때 이 공격 및 소환수의 공격 속도가 {0}% 감소"
"This Attack and Minions have {0}% reduced Attack Speed","이 공격 및 소환수의 공격 속도 {0}% 감소"
"This Attack and Minions have {0}% reduced Blinding duration","이 공격 및 소환수로 실명 지속시간이 {0}% 감소"
"This Attack and Minions have {0}% reduced Burning Damage","이 공격 및 소환수의 화상 피해가 {0}% 감소"
"This Attack and Minions have {0}% reduced Chill Duration on enemies","이 공격 및 소환수가 적에게 적용하는 냉각 지속시간 {0}% 감소"
"This Attack and Minions have {0}% reduced Critical Strike Chance against Blinded Enemies","실명된 적에 대한 이 공격 및 소환수의 치명타 확률 {0}% 감소"
"This Attack and Minions have {0}% reduced Critical Strike Chance","이 공격 및 소환수의 치명타 확률 {0}% 감소"
"This Attack and Minions have {0}% reduced Damage with Poison","이 공격 및 소환수의 중독 피해가 {0}% 감소"
"This Attack and Minions have {0}% reduced Effect of Lightning Ailments","이 공격 및 소환수의 번개 상태 이상 효과 {0}% 감소"
"This Attack and Minions have {0}% reduced Enemy Stun Threshold","이 공격 및 소환수의 적 기절 한계치가 {0}% 감소"
"This Attack and Minions have {0}% reduced Freeze Duration on enemies","이 공격 및 소환수가 적에게 적용하는 동결 지속시간 {0}% 감소"
"This Attack and Minions have {0}% reduced Ignite Duration on Enemies","이 공격 및 소환수가 적에게 적용하는 점화 지속시간 {0}% 감소"
"This Attack and Minions have {0}% reduced Knockback Distance","이 공격 및 소환수의 밀어내기 거리가 {0}% 감소"
"This Attack and Minions have {0}% reduced Poison Duration","이 공격 및 소환수의 중독 지속시간이 {0}% 감소"
"This Attack and Minions have {0}% reduced Projectile Speed","이 공격 및 소환수의 투사체 속도 {0}% 감소"
"This Attack and Minions have {0}% reduced Shock Duration on enemies","이 공격 및 소환수가 적에게 적용하는 감전 지속시간 {0}% 감소"
"This Attack and Minions have {0}% reduced Stun Duration on enemies","이 공격 및 소환수가 적에게 적용하는 기절 지속시간 {0}% 감소"
"This Attack and Minions have {0}% to Critical Strike Multiplier","이 공격 및 소환수의 치명타 피해 배율 {0}%"
"This Attack and Minions inflict Decay on Hit, dealing {0} Chaos Damage per second for {1} seconds","이 공격 및 소환수가 명중 시 부패를 유발하여, {1}초 동안 1초마다 {0} 카오스 피해를 줌"
"This Attack and Minions inflict Withered on Hit","이 공격 및 소환수가 명중 시 위축 유발"
"This Attack and Minions' Attacks always Impale Enemies on Hit","이 공격 및 소환수의 공격이 명중 시 항상 적을 꿰뚫음"
"This Attack and Minions' Attacks have {0}% chance to Impale Enemies on Hit","이 공격 및 소환수의 공격이 명중 시 {0}%의 확률로 적 꿰뚫음"
"This Attack and Minions' Attacks have {0}% increased Impale Effect","이 공격 및 소환수의 꿰뚫기 효과 {0}% 증가"
"This Attack and Minions' Attacks have {0}% reduced Impale Effect","이 공격 및 소환수의 꿰뚫기 효과 {0}% 감소"
"This Attack and Minoins gain a Power Charge on Critical Strike","이 공격 및 소환수가 치명타 명중 시 권능 충전 획득"
"This Attack can be Exerted as though it was not a Vaal Skill","이 공격이 바알 스킬이 아닌 것처럼 전력 공격 가능"
"This Attack's and Minion's Melee Attack's First Repeat deals {0}% less Damage","이 공격 및 소환수의 근접 공격 첫 번째 반복 시 주는 피해 {0}% 감폭"
"This Attack's and Minion's Melee Attack's First Repeat deals {0}% more Damage","이 공격 및 소환수의 근접 공격 첫 번째 반복 시 주는 피해 {0}% 증폭"
"This Attack's and Minion's Melee Attack's Second Repeat deals {0}% less Damage","이 공격 및 소환수의 근접 공격 두 번째 반복 시 주는 피해 {0}% 감폭"
"This Attack's and Minion's Melee Attack's Second Repeat deals {0}% more Damage","이 공격 및 소환수의 근접 공격 두 번째 반복 시 주는 피해 {0}% 증폭"
"This Attack's and Minion's Melee Attack's Third Repeat deals {0}% less Damage","이 공격 및 소환수의 근접 공격을 세 번째 반복 시 주는 피해 {0}% 감폭"
"This Attack's and Minion's Melee Attack's Third Repeat deals {0}% more Damage","이 공격 및 소환수의 근접 공격을 세 번째 반복 시 주는 피해 {0}% 증폭"
"This Curse is Cast as an Aura applying to nearby Enemies","주변 적들에게 오라의 형태로 시전되는 저주"
"This Curse is applied by Bane","이 저주는 파멸에 적용됨"
"This Gem can only Support Skill Gems requiring Level {0} or lower","이 젬은 요구 레벨이 {0} 이하인 스킬 젬만 보조 가능"
"This Gem gains {0}% increased Experience","이 젬의 경험치 획득 {0}% 증가"
"This Gem gains {0}% reduced Experience","이 젬의 경험치 획득 {0}% 감소"
"This Jewel's Socket has {0}% increased effect per Allocated Passive Skill between","주얼 슬롯의 효과가 해당 슬롯과 직업의 시작 지점 사이에 할당된 패시브"
"This Map's Modifiers to Quantity of Items found also apply to Rarity","이 지도의 아이템 수량 속성 부여를 아이템 희귀도에도 적용"
"This Map's Quality also applies to Rarity of Items found","이 지도의 퀄리티가 발견하는 아이템 희귀도에도 적용"
"This Passive applies to your Minions instead of you","이 패시브 스킬이 자신 대신 소환수에 적용"
"This Skill Costs nothing","해당 스킬의 비용 소모 없음"
"This Skill and Minions Spend Life instead of Mana for Skill Effects","이 스킬 및 소환수가 스킬 효과에 마나 대신 생명력 소모"
"This Skill and Minions deal up to {0}% more Melee Damage to Enemies, based on proximity","적이 가까울수록 이 스킬 및 소환수가 적에게 주는 근접 피해 최대 {0}% 증폭"
"This Skill and Minions deal {0}% less Damage","이 스킬 및 소환수가 주는 피해 {0}% 감폭"
"This Skill and Minions deal {0}% more Damage","이 스킬 및 소환수가 주는 피해 {0}% 증폭"
"This Skill and Minions gain a Frenzy Charge when a Mine is Detonated targeting an Enemy","지뢰가 적을 대상으로 폭발하면 이 스킬 및 소환수가 격분 충전 획득"
"This Skill and Minions gain a Power Charge when a Mine is Detonated targeting an Enemy","지뢰가 적을 대상으로 폭발하면 이 스킬 및 소환수가 권능 충전 획득"
"This Skill and Minions gain a Power Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 이 스킬 및 소환수가 권능 충전 획득"
"This Skill and Minions have gain a Frenzy Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 이 스킬 및 소환수가 격분 충전 획득"
"This Skill and Minions have {0}% chance to gain a Frenzy Charge when a Mine is Detonated targeting an Enemy","지뢰가 적을 대상으로 폭발하면 {0}% 확률로 이 스킬 및 소환수가 격분 충전 획득"
"This Skill and Minions have {0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 {0}%의 확률로 이 스킬 및 소환수가 격분 충전 획득"
"This Skill and Minions have {0}% chance to gain a Power Charge when a Mine is Detonated targeting an Enemy","지뢰가 적을 대상으로 폭발하면 {0}% 확률로 이 스킬 및 소환수가 권능 충전 획득"
"This Skill and Minions have {0}% chance to gain a Power Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 {0}%의 확률로 이 스킬 및 소환수가 권능 충전 획득"
"This Skill and Minions have {0}% chance to throw up to {1} additional Trap or Mine","해당 스킬 및 소환수가 {0}% 확률로 덫 또는 지뢰 최대 {1}개 추가 투척"
"This Skill and Minions have {0}% chance to throw up to {1} additional Traps or Mines","해당 스킬 및 소환수가 {0}%의 확률로 덫 또는 지뢰 최대 {1}개 추가 투척"
"This Skill and Minions have {0}% increased Mine Throwing Speed per Frenzy Charge","격분 충전 하나당 이 스킬 및 소환수의 지뢰 투척 속도 {0}% 증가"
"This Skill and Minions have {0}% increased Trap Throwing Speed per Frenzy Charge","격분 충전 하나당 이 스킬 및 소환수의 덫 투척 속도 {0}% 증가"
"This Skill and Minions have {0}% reduced Mine Throwing Speed per Frenzy Charge","격분 충전 하나당 이 스킬 및 소환수의 지뢰 투척 속도 {0}% 감소"
"This Skill and Minions have {0}% reduced Trap Throwing Speed per Frenzy Charge","격분 충전 하나당 이 스킬 및 소환수의 덫 투척 속도 {0}% 감소"
"This Skill can only be used with Axes or Swords","도끼나 검으로만 해당 스킬 사용 가능"
