Absolution,면죄
"4x Poacher's Mark:","밀렵꾼의 징표 x4:"
"4x Alchemist's Mark:","연금술사의 징표 x4:"
"4x Purity of Ice:","얼음의 순수함 x4:"
"4x Grace:","은총 x4:"
"4x Haste:","가속 x4:"
"4x Hatred:","증오 x4:"
"4x Plague Bearer:","독성 운반자 x4:"
"4x Temporal Chains:","시간의 사슬 x4:"
"4x Vaal Impurity of Ice:","바알 얼음의 부정함 x4:"
"4x Vaal Grace:","바알 은총 x4:"
"4x Vaal Haste:","바알 가속 x4:"
"4x Vaal Blade Flurry:","바알 질풍의 칼날 x4:"
"4x Blast Rain:","폭발 화살비 x4:"
"4x Blade Flurry:","질풍의 칼날 x4:"
"4x Charged Dash:","충전 질주 x4:"
"4x Cremation:","시체 소각 x4:"
"4x Cyclone:","회오리바람 x4:"
"4x Wild Strike:","사나운 타격 x4:"
"4x Explosive Arrow:","폭발 화살 x4:"
"4x Explosive Concoction:","폭발성 혼합물 x4:"
"4x Flamethrower Trap:","화염방사기 덫 x4:"
"4x Ice Trap:","얼음 덫 x4:"
"4x Lancing Steel:","강철 관통 x4:"
"4x Pestilent Strike:","전염성 일격 x4:"
"4x Artillery Ballista:","포대 쇠뇌 x4:"
"4x Storm Rain:","폭풍우 x4:"
"4x Bladefall:","칼날비 x4:"
"4x Seismic Trap:","지진 덫 x4:"
"4x Spectral Shield Throw:","환영 방패 투척 x4:"
"4x Tornado Shot:","회오리 사격 x4:"
"4x Vaal Cyclone:","바알 회오리바람 x4:"
"4x Scourge Arrow:","재앙의 화살 x4:"
"4x Ambush:","매복 x4:"
"4x Temporal Rift:","시간의 균열 x4:"
"4x Summon Ice Golem:","얼음 골렘 소환 x4:"
"4x Vampiric Link:","흡혈의 연결 x4:"
"4x Phase Run:","위상 질주 x4:"
"4x Tornado:","회오리 x4:"
"4x Intuitive Link:","직관의 연결 x4:"
"4x Blight:","황폐 x4:"
"4x Rolling Magma:","몰려오는 마그마 x4:"
"4x Fireball:","화염구 x4:"
"4x Frostbolt:","서리 구체 x4:"
"4x Freezing Pulse:","동결 파동 x4:"
"4x Stormblast Mine:","태풍 파열 지뢰 x4:"
"4x Lightning Tendrils:","덩굴 번개 x4:"
"4x Purifying Flame:","정화의 불길 x4:"
"4x Raise Zombie:","좀비 소환 x4:"
"4x Spark:","전기불꽃 x4:"
"4x Vaal Blight:","바알 황폐 x4:"
"4x Vaal Fireball:","바알 화염구 x4:"
"4x Vaal Spark:","바알 전기불꽃 x4:"
"4x Kinetic Bolt:","역학 투사체 x4:"
"4x Contagion:","전염 x4:"
"4x Conversion Trap:","전향 덫 x4:"
"4x Flame Wall:","화염 벽 x4:"
"4x Frost Bomb:","서리 폭탄 x4:"
"4x Frost Wall:","서리 방벽 x4:"
"4x Frostblink:","서리점멸 x4:"
"4x Summon Holy Relic:","신성한 유물 소환 x4:"
"4x Orb of Storms:","폭풍 보주 x4:"
"4x Summon Raging Spirit:","격노의 유령 소환 x4:"
"4x Bodyswap:","신체 전환 x4:"
"4x Clarity:","명상 x4:"
"4x Flame Dash:","화염 질주 x4:"
"4x Siphoning Trap:","착취 덫 x4:"
"4x Lightning Warp:","번개 차원 이동 x4:"
"4x Summon Skeletons:","해골 소환 x4:"
"4x Vaal Clarity:","바알 명상 x4:"
"4x Vaal Lightning Warp:","바알 번개 차원 이동 x4:"
"4x Vaal Summon Skeletons:","바알 해골 소환 x4:"
"4x Wither:","위축 x4:"
"4x Arc:","연쇄 번개 x4:"
"4x Creeping Frost:","엄습하는 서리 x4:"
"4x Bone Offering:","뼈 공물 x4:"
"4x Storm Brand:","폭풍의 낙인 x4:"
"4x Icicle Mine:","고드름 지뢰 x4:"
"4x Blazing Salvo:","맹렬한 포격 x4:"
"4x Scorching Ray:","작열 광선 x4:"
"4x Incinerate:","소각 x4:"
"4x Flame Surge:","화염 쇄도 x4:"
"4x Flesh Offering:","살점 공물 x4:"
"4x Ice Nova:","얼음 폭발 x4:"
"4x Ice Spear:","얼음 창 x4:"
"4x Lightning Trap:","번개 덫 x4:"
"4x Manabond:","마나 결속 x4:"
"4x Power Siphon:","권능 착취 x4:"
"4x Essence Drain:","정수 흡수 x4:"
"4x Spirit Offering:","영혼 공물 x4:"
"4x Storm Burst:","폭풍 점사 x4:"
"4x Storm Call:","폭풍 부름 x4:"
"4x Vaal Arc:","바알 연쇄 번개 x4:"
"4x Vaal Ice Nova:","바알 얼음 폭발 x4:"
"4x Vaal Lightning Trap:","바알 번개 덫 x4:"
"4x Vaal Storm Call:","바알 폭풍 부름 x4:"
"4x Vaal Power Siphon:","바알 권능 착취 x4:"
"4x Voltaxic Burst:","전도성 격발 x4:"
"4x Wintertide Brand:","겨울의 낙인 x4:"
"4x Assassin's Mark:","암살자의 징표 x4:"
"4x Arcane Cloak:","비전의 망토 x4:"
"4x Cold Snap:","한파 x4:"
"4x Galvanic Field:","충격장 x4:"
"4x Herald of Thunder:","천둥의 전령 x4:"
"4x Wave of Conviction:","신념의 파도 x4:"
"4x Brand Recall:","낙인 소환 x4:"
"4x Righteous Fire:","정의의 화염 x4:"
"4x Summon Skitterbots:","원격 기폭 장치 소환 x4:"
"4x Forbidden Rite:","금단의 의식 x4:"
"4x Tempest Shield:","폭풍의 방패 x4:"
"4x Vaal Cold Snap:","바알 한파 x4:"
"4x Vaal Righteous Fire:","바알 정의의 화염 x4:"
"4x Convocation:","소집 x4:"
"4x Conductivity:","전도성 x4:"
"4x Bane:","파멸 x4:"
"4x Malevolence:","악의 x4:"
"4x Despair:","절망 x4:"
"4x Discipline:","단련 x4:"
"4x Elemental Weakness:","원소 약화 x4:"
"4x Enfeeble:","쇠약화 x4:"
"4x Flammability:","인화성 x4:"
"4x Frostbite:","동상 x4:"
"4x Purity of Lightning:","번개의 순수함 x4:"
"4x Purity of Elements:","원소의 순수함 x4:"
"4x Zealotry:","열광 x4:"
"4x Spellslinger:","주문투척 x4:"
"4x Energy Blade:","에너지 칼날 x4:"
"4x Vaal Discipline:","바알 단련 x4:"
"4x Vaal Impurity of Lightning:","바알 번개의 부정함 x4:"
"4x Wrath:","진노 x4:"
"4x Vaal Firestorm:","바알 화염 폭풍 x4:"
"4x Armageddon Brand:","종말의 낙인 x4:"
"4x Ball Lightning:","구형 번개 x4:"
"4x Flameblast:","화염파 x4:"
"4x Kinetic Blast:","역학 폭발 x4:"
"4x Discharge:","방출 x4:"
"4x Crackling Lance:","치직대는 창 x4:"
"4x Divine Ire:","신성한 진노 x4:"
"4x Hexblast:","사술 폭발 x4:"
"4x Lightning Conduit:","번개 도관 x4:"
"4x Pyroclast Mine:","화산탄 지뢰 x4:"
"4x Firestorm:","화염 폭풍 x4:"
"4x Eye of Winter:","겨울의 눈 x4:"
"4x Winter Orb:","겨울 보주 x4:"
"4x Vortex:","소용돌이 x4:"
"4x Lightning Spire Trap:","번개 첨탑 덫 x4:"
"4x Penance Brand:","속죄의 낙인 x4:"
"4x Raise Spectre:","망령 소환 x4:"
"4x Dark Pact:","어둠의 서약 x4:"
"4x Shock Nova:","충격 폭발 x4:"
"4x Soulrend:","영혼 분리 x4:"
"4x Stormbind:","폭풍 연대 x4:"
"4x Summon Reaper:","수확자 소환 x4:"
"4x Glacial Cascade:","빙하 폭포 x4:"
"4x Vaal Flameblast:","바알 화염파 x4:"
"4x Void Sphere:","공허 구체 x4:"
"4x Summon Chaos Golem:","카오스 골렘 소환 x4:"
"4x Sigil of Power:","힘의 부적 x4:"
"4x Destructive Link:","파괴의 연결 x4:"
"4x Frost Shield:","서리 방패 x4:"
"4x Hydrosphere:","물의 구체 x4:"
"4x Summon Lightning Golem:","번개 골렘 소환 x4:"
"4x Soul Link:","영혼의 연결 x4:"
"4x Summon Carrion Golem:","부패 골렘 소환 x4:"
"4x Arcanist Brand:","신비학자 낙인 x4:"
"5x Vaal Cleave:","바알 회전베기 x5:"
"5x Vaal Molten Strike:","바알 용암 타격 x5:"
"5x Vaal Smite:","바알 징벌 x5:"
"5x Perforate:","천공 x5:"
"5x Cleave:","회전베기 x5:"
"5x Glacial Hammer:","빙하 망치 x5:"
"5x Ground Slam:","대지 강타 x5:"
"5x Heavy Strike:","묵직한 타격 x5:"
"5x Molten Strike:","용암 타격 x5:"
"5x Shield Crush:","방패 타쇄 x5:"
"5x Smite:","징벌 x5:"
"5x Vaal Glacial Hammer:","바알 빙하 망치 x5:"
"5x Vaal Ground Slam:","바알 대지 강타 x5:"
"5x Vaal Rejuvenation Totem:","바알 회복 토템 x5:"
"5x Ancestral Protector:","선대의 수호자 x5:"
"5x Blood and Sand:","피와 모래 x5:"
"5x Decoy Totem:","미끼 토템 x5:"
"5x Devouring Totem:","포식 토템 x5:"
"5x Holy Flame Totem:","신성한 화염 토템 x5:"
"5x Molten Shell:","용암 방패 x5:"
"5x Steelskin:","강철피부 x5:"
"5x Rejuvenation Totem:","회복 토템 x5:"
"5x Reckoning:","역습 x5:"
"5x Vaal Molten Shell:","바알 용암 방패 x5:"
"5x Vigilant Strike:","경계 타격 x5:"
"5x War Banner:","전쟁 깃발 x5:"
"5x Enduring Cry:","인내의 함성 x5:"
"5x Intimidating Cry:","위협의 함성 x5:"
"5x Leap Slam:","도약 강타 x5:"
"5x Shield Charge:","방패 돌진 x5:"
"5x Vitality:","활력 x5:"
"5x Vaal Absolution:","바알 면죄 x5:"
"5x Vaal Volcanic Fissure:","바알 화산 균열 x5:"
"5x Volcanic Fissure:","화산 균열 x5:"
"5x Absolution:","면죄 x5:"
"5x Exsanguinate:","방혈 x5:"
"5x Chain Hook:","사슬 갈고리 x5:"
"5x Infernal Blow:","지옥불 맹타 x5:"
"5x Searing Bond:","불타는 굴레 x5:"
"5x Sunder:","산산조각 x5:"
"5x Earthshatter:","지면 분쇄 x5:"
"5x Sweep:","휩쓸기 x5:"
"5x Static Strike:","정전기 타격 x5:"
"5x Ancestral Cry:","선대의 함성 x5:"
"5x Defiance Banner:","저항의 깃발 x5:"
"5x Flesh and Stone:","육체와 돌 x5:"
"5x Corrupting Fever:","타락한 열병 x5:"
"5x Herald of Purity:","순수의 전령 x5:"
"5x Herald of Ash:","재의 전령 x5:"
"5x Seismic Cry:","지진 함성 x5:"
"5x Warlord's Mark:","전쟁군주의 징표 x5:"
"5x Anger:","분노 x5:"
"5x Determination:","결의 x5:"
"5x Battlemage's Cry:","전투마법사의 함성 x5:"
"5x Dread Banner:","공포의 깃발 x5:"
"5x Purity of Fire:","불의 순수함 x5:"
"5x General's Cry:","장군의 함성 x5:"
"5x Infernal Cry:","지옥불 함성 x5:"
"5x Petrified Blood:","피 석화 x5:"
"5x Pride:","자부심 x5:"
"5x Punishment:","응징 x5:"
"5x Rallying Cry:","집결의 함성 x5:"
"5x Vaal Impurity of Fire:","바알 불의 부정함 x5:"
"5x Vengeance:","복수 x5:"
"5x Vulnerability:","취약성 x5:"
"5x Vaal Reap:","바알 낫질 x5:"
"5x Vaal Domination:","바알 지배 x5:"
"5x Animate Guardian:","수호자 기동 x5:"
"5x Boneshatter:","뼈 박살 x5:"
"5x Reap:","낫질 x5:"
"5x Bladestorm:","칼날 폭풍 x5:"
"5x Dominating Blow:","지배의 맹타 x5:"
"5x Consecrated Path:","축성의 진격 x5:"
"5x Ice Crash:","얼음 충격 x5:"
"5x Earthquake:","지진 x5:"
"5x Rage Vortex:","격노 소용돌이 x5:"
"5x Shockwave Totem:","충격파 토템 x5:"
"5x Ancestral Warchief:","선대의 대전사 x5:"
"5x Vaal Ancestral Warchief:","바알 선대의 대전사 x5:"
"5x Tectonic Slam:","지층 강타 x5:"
"5x Vaal Earthquake:","바알 지진 x5:"
"5x Frozen Legion:","얼어붙은 군단 x5:"
"5x Berserk:","광폭 x5:"
"5x Protective Link:","보호의 연결 x5:"
"5x Summon Flame Golem:","화염 골렘 소환 x5:"
"5x Flame Link:","화염의 연결 x5:"
"5x Immortal Call:","불멸의 외침 x5:"
"5x Summon Stone Golem:","돌 골렘 소환 x5:"
"5x Vaal Immortal Call:","바알 불멸의 외침 x5:"
"5x Vaal Ice Shot:","바알 얼음 화살 x5:"
"5x Vaal Caustic Arrow:","바알 부식성 화살 x5:"
"5x Vaal Split Arrow:","바알 분할 화살 x5:"
"5x Burning Arrow:","불타는 화살 x5:"
"5x Cobra Lash:","코브라 채찍 x5:"
"5x Double Strike:","이중 타격 x5:"
"5x Dual Strike:","쌍수 타격 x5:"
"5x Ethereal Knives:","천상의 단도 x5:"
"5x Spectral Throw:","환영 무기 투척 x5:"
"5x Ice Shot:","얼음 화살 x5:"
"5x Frost Blades:","서리 칼날 x5:"
"5x Splitting Steel:","강철 분할 x5:"
"5x Caustic Arrow:","부식성 화살 x5:"
"5x Galvanic Arrow:","충격 화살 x5:"
"5x Explosive Trap:","폭발 덫 x5:"
"5x Split Arrow:","분할 화살 x5:"
"5x Vaal Burning Arrow:","바알 불타는 화살 x5:"
"5x Vaal Spectral Throw:","바알 환영 무기 투척 x5:"
"5x Vaal Double Strike:","바알 이중 타격 x5:"
"5x Viper Strike:","맹독 타격 x5:"
"5x Vaal Animate Weapon:","바알 무기 기동 x5:"
"5x Animate Weapon:","무기 기동 x5:"
"5x Bear Trap:","곰 덫 x5:"
"5x Detonate Dead:","시체 폭발 x5:"
"5x Sniper's Mark:","저격수의 징표 x5:"
"5x Puncture:","관통상 x5:"
"5x Dash:","질주 x5:"
"5x Riposte:","반격 x5:"
"5x Shrapnel Ballista:","파편 쇠뇌 x5:"
"5x Vaal Detonate Dead:","바알 시체 폭발 x5:"
"5x Snipe:","저격 x5:"
"5x Vaal Flicker Strike:","바알 점멸 타격 x5:"
"5x Precision:","정밀함 x5:"
"5x Unearth:","발굴 x5:"
"5x Blink Arrow:","점멸 화살 x5:"
"5x Flicker Strike:","점멸 타격 x5:"
"5x Mirror Arrow:","거울 화살 x5:"
"5x Smoke Mine:","연막 지뢰 x5:"
"5x Whirling Blades:","칼날 선회 x5:"
"5x Withering Step:","고사시키는 걸음 x5:"
"5x Vaal Lightning Arrow:","바알 번개 화살 x5:"
"5x Vaal Venom Gyre:","바알 독액 선회 x5:"
"5x Barrage:","연발 사격 x5:"
"5x Blade Trap:","칼날 덫 x5:"
"5x Siege Ballista:","공성 쇠뇌 x5:"
"5x Lacerate:","피부 찢기 x5:"
"5x Elemental Hit:","원소의 일격 x5:"
"5x Fire Trap:","화염 덫 x5:"
"5x Lightning Arrow:","번개 화살 x5:"
"5x Lightning Strike:","번개 타격 x5:"
"5x Poisonous Concoction:","독성 혼합물 x5:"
"5x Rain of Arrows:","화살비 x5:"
"5x Toxic Rain:","맹독성 비 x5:"
"5x Reave:","약탈 x5:"
"5x Shattering Steel:","강철 파편 x5:"
"5x Venom Gyre:","독액 선회 x5:"
"5x Spectral Helix:","영체 나선 x5:"
"5x Blade Vortex:","칼날 소용돌이 x5:"
"5x Vaal Lightning Strike:","바알 번개 타격 x5:"
"5x Vaal Blade Vortex:","바알 칼날 소용돌이 x5:"
"5x Vaal Rain of Arrows:","바알 화살비 x5:"
"5x Vaal Reave:","바알 약탈 x5:"
"5x Volatile Dead:","시체 불덩이 x5:"
"5x Vaal Arctic Armour:","바알 한기의 방어구 x5:"
"5x Blood Rage:","피의 격노 x5:"
"5x Blade Blast:","칼날 폭격 x5:"
"5x Desecrate:","모독 x5:"
"5x Ensnaring Arrow:","올가미 화살 x5:"
"5x Frenzy:","격분 x5:"
"5x Herald of Agony:","고통의 전령 x5:"
"5x Herald of Ice:","얼음의 전령 x5:"
"5x Arctic Armour:","한기의 방어구 x5:"
"5x Poacher's Mark:","밀렵꾼의 징표 x5:"
"5x Alchemist's Mark:","연금술사의 징표 x5:"
"5x Purity of Ice:","얼음의 순수함 x5:"
"5x Grace:","은총 x5:"
"5x Haste:","가속 x5:"
"5x Hatred:","증오 x5:"
"5x Plague Bearer:","독성 운반자 x5:"
"5x Temporal Chains:","시간의 사슬 x5:"
"5x Vaal Impurity of Ice:","바알 얼음의 부정함 x5:"
"5x Vaal Grace:","바알 은총 x5:"
"5x Vaal Haste:","바알 가속 x5:"
"5x Vaal Blade Flurry:","바알 질풍의 칼날 x5:"
"5x Blast Rain:","폭발 화살비 x5:"
"5x Blade Flurry:","질풍의 칼날 x5:"
"5x Charged Dash:","충전 질주 x5:"
"5x Cremation:","시체 소각 x5:"
"5x Cyclone:","회오리바람 x5:"
"5x Wild Strike:","사나운 타격 x5:"
"5x Explosive Arrow:","폭발 화살 x5:"
"5x Explosive Concoction:","폭발성 혼합물 x5:"
"5x Flamethrower Trap:","화염방사기 덫 x5:"
"5x Ice Trap:","얼음 덫 x5:"
"5x Lancing Steel:","강철 관통 x5:"
"5x Pestilent Strike:","전염성 일격 x5:"
"5x Artillery Ballista:","포대 쇠뇌 x5:"
"5x Storm Rain:","폭풍우 x5:"
"5x Bladefall:","칼날비 x5:"
"5x Seismic Trap:","지진 덫 x5:"
"5x Spectral Shield Throw:","환영 방패 투척 x5:"
"5x Tornado Shot:","회오리 사격 x5:"
"5x Vaal Cyclone:","바알 회오리바람 x5:"
"5x Scourge Arrow:","재앙의 화살 x5:"
"5x Ambush:","매복 x5:"
"5x Temporal Rift:","시간의 균열 x5:"
"5x Summon Ice Golem:","얼음 골렘 소환 x5:"
"5x Vampiric Link:","흡혈의 연결 x5:"
"5x Phase Run:","위상 질주 x5:"
"5x Tornado:","회오리 x5:"
"5x Intuitive Link:","직관의 연결 x5:"
"5x Blight:","황폐 x5:"
"5x Rolling Magma:","몰려오는 마그마 x5:"
"5x Fireball:","화염구 x5:"
"5x Frostbolt:","서리 구체 x5:"
"5x Freezing Pulse:","동결 파동 x5:"
"5x Stormblast Mine:","태풍 파열 지뢰 x5:"
"5x Lightning Tendrils:","덩굴 번개 x5:"
"5x Purifying Flame:","정화의 불길 x5:"
"5x Raise Zombie:","좀비 소환 x5:"
"5x Spark:","전기불꽃 x5:"
"5x Vaal Blight:","바알 황폐 x5:"
"5x Vaal Fireball:","바알 화염구 x5:"
"5x Vaal Spark:","바알 전기불꽃 x5:"
"5x Kinetic Bolt:","역학 투사체 x5:"
"5x Contagion:","전염 x5:"
"5x Conversion Trap:","전향 덫 x5:"
"5x Flame Wall:","화염 벽 x5:"
"5x Frost Bomb:","서리 폭탄 x5:"
"5x Frost Wall:","서리 방벽 x5:"
"5x Frostblink:","서리점멸 x5:"
"5x Summon Holy Relic:","신성한 유물 소환 x5:"
"5x Orb of Storms:","폭풍 보주 x5:"
"5x Summon Raging Spirit:","격노의 유령 소환 x5:"
"5x Bodyswap:","신체 전환 x5:"
"5x Clarity:","명상 x5:"
"5x Flame Dash:","화염 질주 x5:"
"5x Siphoning Trap:","착취 덫 x5:"
"5x Lightning Warp:","번개 차원 이동 x5:"
"5x Summon Skeletons:","해골 소환 x5:"
"5x Vaal Clarity:","바알 명상 x5:"
"5x Vaal Lightning Warp:","바알 번개 차원 이동 x5:"
"5x Vaal Summon Skeletons:","바알 해골 소환 x5:"
"5x Wither:","위축 x5:"
"5x Arc:","연쇄 번개 x5:"
"5x Creeping Frost:","엄습하는 서리 x5:"
"5x Bone Offering:","뼈 공물 x5:"
"5x Storm Brand:","폭풍의 낙인 x5:"
"5x Icicle Mine:","고드름 지뢰 x5:"
"5x Blazing Salvo:","맹렬한 포격 x5:"
"5x Scorching Ray:","작열 광선 x5:"
"5x Incinerate:","소각 x5:"
"5x Flame Surge:","화염 쇄도 x5:"
"5x Flesh Offering:","살점 공물 x5:"
"5x Ice Nova:","얼음 폭발 x5:"
"5x Ice Spear:","얼음 창 x5:"
"5x Lightning Trap:","번개 덫 x5:"
"5x Manabond:","마나 결속 x5:"
"5x Power Siphon:","권능 착취 x5:"
"5x Essence Drain:","정수 흡수 x5:"
"5x Spirit Offering:","영혼 공물 x5:"
"5x Storm Burst:","폭풍 점사 x5:"
"5x Storm Call:","폭풍 부름 x5:"
"5x Vaal Arc:","바알 연쇄 번개 x5:"
"5x Vaal Ice Nova:","바알 얼음 폭발 x5:"
"5x Vaal Lightning Trap:","바알 번개 덫 x5:"
"5x Vaal Storm Call:","바알 폭풍 부름 x5:"
"5x Vaal Power Siphon:","바알 권능 착취 x5:"
"5x Voltaxic Burst:","전도성 격발 x5:"
"5x Wintertide Brand:","겨울의 낙인 x5:"
"5x Assassin's Mark:","암살자의 징표 x5:"
"5x Arcane Cloak:","비전의 망토 x5:"
"5x Cold Snap:","한파 x5:"
"5x Galvanic Field:","충격장 x5:"
"5x Herald of Thunder:","천둥의 전령 x5:"
"5x Wave of Conviction:","신념의 파도 x5:"
"5x Brand Recall:","낙인 소환 x5:"
"5x Righteous Fire:","정의의 화염 x5:"
"5x Summon Skitterbots:","원격 기폭 장치 소환 x5:"
"5x Forbidden Rite:","금단의 의식 x5:"
"5x Tempest Shield:","폭풍의 방패 x5:"
"5x Vaal Cold Snap:","바알 한파 x5:"
"5x Vaal Righteous Fire:","바알 정의의 화염 x5:"
"5x Convocation:","소집 x5:"
"5x Conductivity:","전도성 x5:"
"5x Bane:","파멸 x5:"
"5x Malevolence:","악의 x5:"
"5x Despair:","절망 x5:"
"5x Discipline:","단련 x5:"
"5x Elemental Weakness:","원소 약화 x5:"
"5x Enfeeble:","쇠약화 x5:"
"5x Flammability:","인화성 x5:"
"5x Frostbite:","동상 x5:"
"5x Purity of Lightning:","번개의 순수함 x5:"
"5x Purity of Elements:","원소의 순수함 x5:"
"5x Zealotry:","열광 x5:"
"5x Spellslinger:","주문투척 x5:"
"5x Energy Blade:","에너지 칼날 x5:"
"5x Vaal Discipline:","바알 단련 x5:"
"5x Vaal Impurity of Lightning:","바알 번개의 부정함 x5:"
"5x Wrath:","진노 x5:"
"5x Vaal Firestorm:","바알 화염 폭풍 x5:"
"5x Armageddon Brand:","종말의 낙인 x5:"
"5x Ball Lightning:","구형 번개 x5:"
"5x Flameblast:","화염파 x5:"
"5x Kinetic Blast:","역학 폭발 x5:"
"5x Discharge:","방출 x5:"
"5x Crackling Lance:","치직대는 창 x5:"
"5x Divine Ire:","신성한 진노 x5:"
"5x Hexblast:","사술 폭발 x5:"
"5x Lightning Conduit:","번개 도관 x5:"
"5x Pyroclast Mine:","화산탄 지뢰 x5:"
"5x Firestorm:","화염 폭풍 x5:"
"5x Eye of Winter:","겨울의 눈 x5:"
"5x Winter Orb:","겨울 보주 x5:"
"5x Vortex:","소용돌이 x5:"
"5x Lightning Spire Trap:","번개 첨탑 덫 x5:"
"5x Penance Brand:","속죄의 낙인 x5:"
"5x Raise Spectre:","망령 소환 x5:"
"5x Dark Pact:","어둠의 서약 x5:"
"5x Shock Nova:","충격 폭발 x5:"
"5x Soulrend:","영혼 분리 x5:"
"5x Stormbind:","폭풍 연대 x5:"
"5x Summon Reaper:","수확자 소환 x5:"
"5x Glacial Cascade:","빙하 폭포 x5:"
"5x Vaal Flameblast:","바알 화염파 x5:"
"5x Void Sphere:","공허 구체 x5:"
"5x Summon Chaos Golem:","카오스 골렘 소환 x5:"
"5x Sigil of Power:","힘의 부적 x5:"
"5x Destructive Link:","파괴의 연결 x5:"
"5x Frost Shield:","서리 방패 x5:"
"5x Hydrosphere:","물의 구체 x5:"
"5x Summon Lightning Golem:","번개 골렘 소환 x5:"
"5x Soul Link:","영혼의 연결 x5:"
"5x Summon Carrion Golem:","부패 골렘 소환 x5:"
"5x Arcanist Brand:","신비학자 낙인 x5:"
"from Vaal Cleave","바알 회전베기에서"
"from Vaal Molten Strike","바알 용암 타격에서"
"from Vaal Smite","바알 징벌에서"
"from Perforate",천공에서
"from Cleave",회전베기에서
"from Glacial Hammer","빙하 망치에서"
"from Ground Slam","대지 강타에서"
"from Heavy Strike","묵직한 타격에서"
"from Molten Strike","용암 타격에서"
"from Shield Crush","방패 타쇄에서"
"from Smite",징벌에서
"from Vaal Glacial Hammer","바알 빙하 망치에서"
"from Vaal Ground Slam","바알 대지 강타에서"
"from Vaal Rejuvenation Totem","바알 회복 토템에서"
"from Ancestral Protector","선대의 수호자에서"
"from Blood and Sand","피와 모래에서"
"from Decoy Totem","미끼 토템에서"
"from Devouring Totem","포식 토템에서"
"from Holy Flame Totem","신성한 화염 토템에서"
"from Molten Shell","용암 방패에서"
"from Steelskin",강철피부에서
"from Rejuvenation Totem","회복 토템에서"
"from Reckoning",역습에서
"from Vaal Molten Shell","바알 용암 방패에서"
"from Vigilant Strike","경계 타격에서"
"from War Banner","전쟁 깃발에서"
"from Enduring Cry","인내의 함성에서"
"from Intimidating Cry","위협의 함성에서"
"from Leap Slam","도약 강타에서"
"from Shield Charge","방패 돌진에서"
"from Vitality",활력에서
"from Vaal Absolution","바알 면죄에서"
"from Vaal Volcanic Fissure","바알 화산 균열에서"
"from Volcanic Fissure","화산 균열에서"
"from Absolution",면죄에서
"from Exsanguinate",방혈에서
"from Chain Hook","사슬 갈고리에서"
"from Infernal Blow","지옥불 맹타에서"
"from Searing Bond","불타는 굴레에서"
"from Sunder",산산조각에서
"from Earthshatter","지면 분쇄에서"
"from Sweep",휩쓸기에서
"from Static Strike","정전기 타격에서"
"from Ancestral Cry","선대의 함성에서"
"from Defiance Banner","저항의 깃발에서"
"from Flesh and Stone","육체와 돌에서"
"from Corrupting Fever","타락한 열병에서"
"from Herald of Purity","순수의 전령에서"
"from Herald of Ash","재의 전령에서"
"from Seismic Cry","지진 함성에서"
"from Warlord's Mark","전쟁군주의 징표에서"
"from Anger",분노에서
"from Determination",결의에서
"from Battlemage's Cry","전투마법사의 함성에서"
"from Dread Banner","공포의 깃발에서"
"from Purity of Fire","불의 순수함에서"
"from General's Cry","장군의 함성에서"
"from Infernal Cry","지옥불 함성에서"
"from Petrified Blood","피 석화에서"
"from Pride",자부심에서
"from Punishment",응징에서
"from Rallying Cry","집결의 함성에서"
"from Vaal Impurity of Fire","바알 불의 부정함에서"
"from Vengeance",복수에서
"from Vulnerability",취약성에서
"from Vaal Reap","바알 낫질에서"
"from Vaal Domination","바알 지배에서"
"from Animate Guardian","수호자 기동에서"
"from Boneshatter","뼈 박살에서"
"from Reap",낫질에서
"from Bladestorm","칼날 폭풍에서"
"from Dominating Blow","지배의 맹타에서"
"from Consecrated Path","축성의 진격에서"
"from Ice Crash","얼음 충격에서"
"from Earthquake",지진에서
"from Rage Vortex","격노 소용돌이에서"
"from Shockwave Totem","충격파 토템에서"
"from Ancestral Warchief","선대의 대전사에서"
"from Vaal Ancestral Warchief","바알 선대의 대전사에서"
"from Tectonic Slam","지층 강타에서"
"from Vaal Earthquake","바알 지진에서"
"from Frozen Legion","얼어붙은 군단에서"
"from Berserk",광폭에서
"from Protective Link","보호의 연결에서"
"from Summon Flame Golem","화염 골렘 소환에서"
"from Flame Link","화염의 연결에서"
"from Immortal Call","불멸의 외침에서"
"from Summon Stone Golem","돌 골렘 소환에서"
"from Vaal Immortal Call","바알 불멸의 외침에서"
"from Vaal Ice Shot","바알 얼음 화살에서"
"from Vaal Caustic Arrow","바알 부식성 화살에서"
"from Vaal Split Arrow","바알 분할 화살에서"
"from Burning Arrow","불타는 화살에서"
"from Cobra Lash","코브라 채찍에서"
"from Double Strike","이중 타격에서"
"from Dual Strike","쌍수 타격에서"
"from Ethereal Knives","천상의 단도에서"
"from Spectral Throw","환영 무기 투척에서"
"from Ice Shot","얼음 화살에서"
"from Frost Blades","서리 칼날에서"
"from Splitting Steel","강철 분할에서"
"from Caustic Arrow","부식성 화살에서"
"from Galvanic Arrow","충격 화살에서"
"from Explosive Trap","폭발 덫에서"
"from Split Arrow","분할 화살에서"
"from Vaal Burning Arrow","바알 불타는 화살에서"
"from Vaal Spectral Throw","바알 환영 무기 투척에서"
"from Vaal Double Strike","바알 이중 타격에서"
"from Viper Strike","맹독 타격에서"
"from Vaal Animate Weapon","바알 무기 기동에서"
"from Animate Weapon","무기 기동에서"
