"Absolution of Inspiring","격려의 면죄"
"Summon Skeletons of Archers (Active) (FullDPS)","^7궁수의 해골 소환 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Summon Skeletons of Mages (Active) (FullDPS)","^7마법사의 해골 소환 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Hordes (Active) (FullDPS)","^7군단의 돌 골렘 소환 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Summon Stone Golem of Safeguarding (Active) (FullDPS)","^7방비의 돌 골렘 소환 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Sunder of Earthbreaking (Active) (FullDPS)","^7대지 분쇄의 산산조각 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Tectonic Slam of Cataclysm (Active) (FullDPS)","^7대재앙의 지층 강타 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Tornado Shot of Cloudburst (Active) (FullDPS)","^7구름폭발의 회오리 사격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Toxic Rain of Sporeburst (Active) (FullDPS)","^7포자 폭발의 맹독성 비 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Toxic Rain of Withering (Active) (FullDPS)","^7고사의 맹독성 비 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Viper Strike of the Mamba (Active) (FullDPS)","^7큰독사의 맹독 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Void Sphere of Rending (Active) (FullDPS)","^7분리의 공허 구체 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Volatile Dead of Confinement (Active) (FullDPS)","^7감금의 시체 불덩이 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Volatile Dead of Seething (Active) (FullDPS)","^7끓어오름의 시체 불덩이 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Volcanic Fissure of Snaking (Active) (FullDPS)","^7구불거림의 화산 균열 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Vortex of Projection (Active) (FullDPS)","^7투영의 소용돌이 ^x60C060(활성) ^x5CF0BB(전체DPS)"
"Wild Strike of Extremes (Active) (FullDPS)","^7극단의 사나운 타격 ^x60C060(활성) ^x5CF0BB(전체DPS)"

"Portal (Disabled)","^7포탈 ^x7F7F7F(사용안함)"
"Absolution of Inspiring (Disabled)","^7격려의 면죄 ^x7F7F7F(사용안함)"
"Animate Guardian of Smiting (Disabled)","^7징벌의 수호자 기동 ^x7F7F7F(사용안함)"
"Animate Weapon of Ranged Arms (Disabled)","^7원거리 병기의 무기 기동 ^x7F7F7F(사용안함)"
"Animate Weapon of Self Reflection (Disabled)","^7자기 반사의 무기 기동 ^x7F7F7F(사용안함)"
"Arc of Oscillating (Disabled)","^7뇌동의 연쇄 번개 ^x7F7F7F(사용안함)"
"Arc of Surging (Disabled)","^7쇄도의 연쇄 번개 ^x7F7F7F(사용안함)"
"Armageddon Brand of Recall (Disabled)","^7소환의 종말의 낙인 ^x7F7F7F(사용안함)"
"Armageddon Brand of Volatility (Disabled)","^7일촉즉발의 종말의 낙인 ^x7F7F7F(사용안함)"
"Ball Lightning of Orbiting (Disabled)","^7공전의 구형 번개 ^x7F7F7F(사용안함)"
"Ball Lightning of Static (Disabled)","^7정전기의 구형 번개 ^x7F7F7F(사용안함)"
"Bane of Condemnation (Disabled)","^7규탄의 파멸 ^x7F7F7F(사용안함)"
"Barrage of Volley Fire (Disabled)","^7일제 포격의 연발 사격 ^x7F7F7F(사용안함)"
"Bear Trap of Skewers (Disabled)","^7꼬챙이의 곰 덫 ^x7F7F7F(사용안함)"
"Blade Blast of Dagger Detonation (Disabled)","^7단검 폭파의 칼날 폭격 ^x7F7F7F(사용안함)"
"Blade Blast of Unloading (Disabled)","^7난사의 칼날 폭격 ^x7F7F7F(사용안함)"
"Blade Flurry of Incision (Disabled)","^7절개의 질풍의 칼날 ^x7F7F7F(사용안함)"
"Blade Trap of Greatswords (Disabled)","^7대검의 칼날 덫 ^x7F7F7F(사용안함)"
"Blade Trap of Laceration (Disabled)","^7열상의 칼날 덫 ^x7F7F7F(사용안함)"
"Blade Vortex of the Scythe (Disabled)","^7낫의 칼날 소용돌이 ^x7F7F7F(사용안함)"
"Bladefall of Impaling (Disabled)","^7꿰뚫기의 칼날비 ^x7F7F7F(사용안함)"
"Bladefall of Volleys (Disabled)","^7사격 공세의 칼날비 ^x7F7F7F(사용안함)"
"Bladestorm of Uncertainty (Disabled)","^7불확실성의 칼날 폭풍 ^x7F7F7F(사용안함)"
"Blight of Atrophy (Disabled)","^7위축의 황폐 ^x7F7F7F(사용안함)"
"Blight of Contagion (Disabled)","^7전염의 황폐 ^x7F7F7F(사용안함)"
"Blink Arrow of Bombarding Clones (Disabled)","^7포격 분신의 점멸 화살 ^x7F7F7F(사용안함)"
"Blink Arrow of Prismatic Clones (Disabled)","^7분광 분신의 점멸 화살 ^x7F7F7F(사용안함)"
"Bodyswap of Sacrifice (Disabled)","^7희생의 신체 전환 ^x7F7F7F(사용안함)"
"Boneshatter of Carnage (Disabled)","^7살육의 뼈 박살 ^x7F7F7F(사용안함)"
"Boneshatter of Complex Trauma (Disabled)","^7복합 외상의 뼈 박살 ^x7F7F7F(사용안함)"
"Burning Arrow of Vigour (Disabled)","^7활력의 불타는 화살 ^x7F7F7F(사용안함)"
"Caustic Arrow of Poison (Disabled)","^7독의 부식성 화살 ^x7F7F7F(사용안함)"
"Cleave of Rage (Disabled)","^7격노의 회전베기 ^x7F7F7F(사용안함)"
"Cold Snap of Power (Disabled)","^7권능의 한파 ^x7F7F7F(사용안함)"
"Consecrated Path of Endurance (Disabled)","^7인내의 축성의 진격 ^x7F7F7F(사용안함)"
"Contagion of Subsiding (Disabled)","^7침하의 전염 ^x7F7F7F(사용안함)"
"Contagion of Transference (Disabled)","^7전이의 전염 ^x7F7F7F(사용안함)"
"Crackling Lance of Branching (Disabled)","^7파생의 치직대는 창 ^x7F7F7F(사용안함)"
"Crackling Lance of Disintegration (Disabled)","^7분해의 치직대는 창 ^x7F7F7F(사용안함)"
"Cremation of Exhuming (Disabled)","^7발굴의 시체 소각 ^x7F7F7F(사용안함)"
"Cremation of the Volcano (Disabled)","^7화산의 시체 소각 ^x7F7F7F(사용안함)"
"Cyclone of Tumult (Disabled)","^7소동의 회오리바람 ^x7F7F7F(사용안함)"
"Detonate Dead of Chain Reaction (Disabled)","^7연쇄 반응의 시체 폭발 ^x7F7F7F(사용안함)"
"Detonate Dead of Scavenging (Disabled)","^7청소부의 시체 폭발 ^x7F7F7F(사용안함)"
"Discharge of Misery (Disabled)","^7비참의 방출 ^x7F7F7F(사용안함)"
"Divine Ire of Disintegration (Disabled)","^7분해의 신성한 진노 ^x7F7F7F(사용안함)"
"Divine Ire of Holy Lightning (Disabled)","^7상서로운 번개의 신성한 진노 ^x7F7F7F(사용안함)"
"Dominating Blow of Inspiring (Disabled)","^7격려의 지배의 맹타 ^x7F7F7F(사용안함)"
"Double Strike of Impaling (Disabled)","^7꿰뚫기의 이중 타격 ^x7F7F7F(사용안함)"
"Double Strike of Momentum (Disabled)","^7기세의 이중 타격 ^x7F7F7F(사용안함)"
"Dual Strike of Ambidexterity (Disabled)","^7양손잡이의 쌍수 타격 ^x7F7F7F(사용안함)"
"Earthquake of Amplification (Disabled)","^7증폭의 지진 ^x7F7F7F(사용안함)"
"Earthshatter of Fragility (Disabled)","^7허약의 지면 분쇄 ^x7F7F7F(사용안함)"
"Earthshatter of Prominence (Disabled)","^7출중의 지면 분쇄 ^x7F7F7F(사용안함)"
"Essence Drain of Desperation (Disabled)","^7필사의 정수 흡수 ^x7F7F7F(사용안함)"
"Essence Drain of Wickedness (Disabled)","^7사악함의 정수 흡수 ^x7F7F7F(사용안함)"
"Ethereal Knives of Lingering Blades (Disabled)","^7지속되는 칼날의 천상의 단도 ^x7F7F7F(사용안함)"
"Ethereal Knives of the Massacre (Disabled)","^7도륙의 천상의 단도 ^x7F7F7F(사용안함)"
"Explosive Concoction of Destruction (Disabled)","^7파괴의 폭발성 혼합물 ^x7F7F7F(사용안함)"
"Explosive Trap of Magnitude (Disabled)","^7규모의 폭발 덫 ^x7F7F7F(사용안함)"
"Explosive Trap of Shrapnel (Disabled)","^7파편의 폭발 덫 ^x7F7F7F(사용안함)"
"Exsanguinate of Transmission (Disabled)","^7전송의 방혈 ^x7F7F7F(사용안함)"
"Eye of Winter of Finality (Disabled)","^7종극의 겨울의 눈 ^x7F7F7F(사용안함)"
"Eye of Winter of Transience (Disabled)","^7덧없음의 겨울의 눈 ^x7F7F7F(사용안함)"
"Fire Trap of Blasting (Disabled)","^7폭발의 화염 덫 ^x7F7F7F(사용안함)"
"Firestorm of Meteors (Disabled)","^7유성의 화염 폭풍 ^x7F7F7F(사용안함)"
"Firestorm of Pelting (Disabled)","^7퍼부음의 화염 폭풍 ^x7F7F7F(사용안함)"
"Flame Dash of Incinerating (Disabled)","^7소각의 화염 질주 ^x7F7F7F(사용안함)"
"Flame Dash of Return (Disabled)","^7귀환의 화염 질주 ^x7F7F7F(사용안함)"
"Flame Surge of Combusting (Disabled)","^7발화의 화염 쇄도 ^x7F7F7F(사용안함)"
"Flameblast of Celerity (Disabled)","^7민첩함의 화염파 ^x7F7F7F(사용안함)"
"Flameblast of Contraction (Disabled)","^7수축의 화염파 ^x7F7F7F(사용안함)"
"Flicker Strike of Power (Disabled)","^7권능의 점멸 타격 ^x7F7F7F(사용안함)"
"Forbidden Rite of Soul Sacrifice (Disabled)","^7영혼 희생의 금단의 의식 ^x7F7F7F(사용안함)"
"Frenzy of Onslaught (Disabled)","^7맹공의 격분 ^x7F7F7F(사용안함)"
"Frost Blades of Katabasis (Disabled)","^7퇴각의 서리 칼날 ^x7F7F7F(사용안함)"
"Frost Bomb of Forthcoming (Disabled)","^7임박의 서리 폭탄 ^x7F7F7F(사용안함)"
"Frost Bomb of Instability (Disabled)","^7불안정의 서리 폭탄 ^x7F7F7F(사용안함)"
"Frostblink of Wintry Blast (Disabled)","^7차가운 폭발의 서리점멸 ^x7F7F7F(사용안함)"
"Frozen Legion of Rallying (Disabled)","^7재집결의 얼어붙은 군단 ^x7F7F7F(사용안함)"
"Galvanic Arrow of Energy (Disabled)","^7에너지의 충격 화살 ^x7F7F7F(사용안함)"
"Galvanic Arrow of Surging (Disabled)","^7쇄도의 충격 화살 ^x7F7F7F(사용안함)"
"Galvanic Field of Intensity (Disabled)","^7격렬함의 충격장 ^x7F7F7F(사용안함)"
"Glacial Cascade of the Fissure (Disabled)","^7균열의 빙하 폭포 ^x7F7F7F(사용안함)"
"Glacial Hammer of Shattering (Disabled)","^7산산조각의 빙하 망치 ^x7F7F7F(사용안함)"
"Ground Slam of Earthshaking (Disabled)","^7지동의 대지 강타 ^x7F7F7F(사용안함)"
"Hexblast of Contradiction (Disabled)","^7상반의 사술폭발 ^x7F7F7F(사용안함)"
"Hexblast of Havoc (Disabled)","^7혼란의 사술폭발 ^x7F7F7F(사용안함)"
"Holy Flame Totem of Ire (Disabled)","^7노여움의 신성한 화염 토템 ^x7F7F7F(사용안함)"
"Ice Crash of Cadence (Disabled)","^7운율의 얼음 충격 ^x7F7F7F(사용안함)"
"Ice Nova of Deep Freeze (Disabled)","^7결빙의 얼음 폭발 ^x7F7F7F(사용안함)"
"Ice Nova of Frostbolts (Disabled)","^7서리 구체의 얼음 폭발 ^x7F7F7F(사용안함)"
"Ice Spear of Splitting (Disabled)","^7분할의 얼음 창 ^x7F7F7F(사용안함)"
"Ice Trap of Hollowness (Disabled)","^7무상의 얼음 덫 ^x7F7F7F(사용안함)"
"Icicle Mine of Fanning (Disabled)","^7퍼짐의 고드름 지뢰 ^x7F7F7F(사용안함)"
"Icicle Mine of Sabotage (Disabled)","^7방해 공작의 고드름 지뢰 ^x7F7F7F(사용안함)"
"Infernal Blow of Immolation (Disabled)","^7제물의 지옥불 맹타 ^x7F7F7F(사용안함)"
"Kinetic Bolt of Fragmentation (Disabled)","^7파쇄의 역학 투사체 ^x7F7F7F(사용안함)"
"Lacerate of Butchering (Disabled)","^7도살의 피부 찢기 ^x7F7F7F(사용안함)"
"Lacerate of Haemorrhage (Disabled)","^7실혈의 피부 찢기 ^x7F7F7F(사용안함)"
"Lancing Steel of Spraying (Disabled)","^7분사의 강철 관통 ^x7F7F7F(사용안함)"
"Leap Slam of Groundbreaking (Disabled)","^7땅 분쇄의 도약 강타 ^x7F7F7F(사용안함)"
"Lightning Arrow of Electrocution (Disabled)","^7전기 처형의 번개 화살 ^x7F7F7F(사용안함)"
"Lightning Conduit of the Heavens (Disabled)","^7천국의 번개 도관 ^x7F7F7F(사용안함)"
"Lightning Spire Trap of Overloading (Disabled)","^7과부하의 번개 첨탑 덫 ^x7F7F7F(사용안함)"
"Lightning Spire Trap of Zapping (Disabled)","^7전류의 번개 첨탑 덫 ^x7F7F7F(사용안함)"
"Lightning Strike of Arcing (Disabled)","^7전호의 번개 타격 ^x7F7F7F(사용안함)"
"Lightning Tendrils of Eccentricity (Disabled)","^7기행의 덩굴 번개 ^x7F7F7F(사용안함)"
"Lightning Tendrils of Escalation (Disabled)","^7격화의 덩굴 번개 ^x7F7F7F(사용안함)"
"Lightning Trap of Sparking (Disabled)","^7전기불꽃의 번개 덫 ^x7F7F7F(사용안함)"
"Mirror Arrow of Bombarding Clones (Disabled)","^7포격 분신의 거울 화살 ^x7F7F7F(사용안함)"
"Mirror Arrow of Prismatic Clones (Disabled)","^7분광 분신의 거울 화살 ^x7F7F7F(사용안함)"
"Molten Strike of the Zenith (Disabled)","^7북극성의 용암 타격 ^x7F7F7F(사용안함)"
"Pacify (Disabled)","^7진정 ^x7F7F7F(사용안함)"
"Penance Brand of Conduction (Disabled)","^7전도의 속죄의 낙인 ^x7F7F7F(사용안함)"
"Penance Brand of Dissipation (Disabled)","^7소실의 속죄의 낙인 ^x7F7F7F(사용안함)"
"Penance Mark (Disabled)","^7속죄의 징표 ^x7F7F7F(사용안함)"
"Perforate of Bloodshed (Disabled)","^7유혈의 천공 ^x7F7F7F(사용안함)"
"Perforate of Duality (Disabled)","^7이중성의 천공 ^x7F7F7F(사용안함)"
"Power Siphon of the Archmage (Disabled)","^7대마법사의 권능 착취 ^x7F7F7F(사용안함)"
"Purifying Flame of Revelations (Disabled)","^7계시의 정화의 불길 ^x7F7F7F(사용안함)"
"Pyroclast Mine of Sabotage (Disabled)","^7방해 공작의 화산탄 지뢰 ^x7F7F7F(사용안함)"
"Rage Vortex of Berserking (Disabled)","^7광폭화의 격노 소용돌이 ^x7F7F7F(사용안함)"
"Rain of Arrows of Artillery (Disabled)","^7포대의 화살비 ^x7F7F7F(사용안함)"
"Rain of Arrows of Saturation (Disabled)","^7포화의 화살비 ^x7F7F7F(사용안함)"
"Raise Spectre of Transience (Disabled)","^7덧없음의 망령 소환 ^x7F7F7F(사용안함)"
"Raise Zombie of Falling (Disabled)","^7추락의 좀비 소환 ^x7F7F7F(사용안함)"
"Raise Zombie of Slamming (Disabled)","^7강타의 좀비 소환 ^x7F7F7F(사용안함)"
"Ravenous (Disabled)","^7굶주림 ^x7F7F7F(사용안함)"
"Reave of Refraction (Disabled)","^7굴절의 약탈 ^x7F7F7F(사용안함)"
"Righteous Fire of Arcane Devotion (Disabled)","^7비전 헌신의 정의의 화염 ^x7F7F7F(사용안함)"
"Rune Blast of Teleportation (Disabled)","^7순간이동의 룬 폭발 ^x7F7F7F(사용안함)"
"Scorching Ray of Immolation (Disabled)","^7제물의 작열 광선 ^x7F7F7F(사용안함)"
"Scourge Arrow of Menace (Disabled)","^7위험의 재앙의 화살 ^x7F7F7F(사용안함)"
"Seismic Trap of Swells (Disabled)","^7팽창의 지진 덫 ^x7F7F7F(사용안함)"
"Shattering Steel of Ammunition (Disabled)","^7탄약의 강철 파편 ^x7F7F7F(사용안함)"
"Shield Crush of the Chieftain (Disabled)","^7부족장의 방패 타쇄 ^x7F7F7F(사용안함)"
"Shrapnel Ballista of Steel (Disabled)","^7강철의 파편 쇠뇌 ^x7F7F7F(사용안함)"
"Siege Ballista of Splintering (Disabled)","^7파편의 공성 쇠뇌 ^x7F7F7F(사용안함)"
"Smite of Divine Judgement (Disabled)","^7신성한 심판의 징벌 ^x7F7F7F(사용안함)"
"Soulrend of Reaping (Disabled)","^7낫질의 영혼 분리 ^x7F7F7F(사용안함)"
"Soulrend of the Spiral (Disabled)","^7나선의 영혼 분리 ^x7F7F7F(사용안함)"
"Spark of Unpredictability (Disabled)","^7예측 불허의 전기불꽃 ^x7F7F7F(사용안함)"
"Spark of the Nova (Disabled)","^7폭발의 전기불꽃 ^x7F7F7F(사용안함)"
"Spectral Shield Throw of Shattering (Disabled)","^7산산조각의 환영 방패 투척 ^x7F7F7F(사용안함)"
"Spectral Throw of Materialising (Disabled)","^7구체화의 환영 무기 투척 ^x7F7F7F(사용안함)"
"Split Arrow of Splitting (Disabled)","^7분할의 분할 화살 ^x7F7F7F(사용안함)"
"Splitting Steel of Ammunition (Disabled)","^7탄약의 강철 분할 ^x7F7F7F(사용안함)"
"Spray Paint Blood (Disabled)","^7핏빛 물감 뿌리기 ^x7F7F7F(사용안함)"
"Spray Paint Celestial (Disabled)","^7천공의 물감 뿌리기 ^x7F7F7F(사용안함)"
"Spray Paint Magmatic (Disabled)","^7마그마 물감 뿌리기 ^x7F7F7F(사용안함)"
"Storm Brand of Indecision (Disabled)","^7우유부단의 폭풍의 낙인 ^x7F7F7F(사용안함)"
"Storm Rain of the Conduit (Disabled)","^7도관의 폭풍우 ^x7F7F7F(사용안함)"
"Storm Rain of the Fence (Disabled)","^7울타리의 폭풍우 ^x7F7F7F(사용안함)"
"Stormbind of Teleportation (Disabled)","^7순간이동의 폭풍 연대 ^x7F7F7F(사용안함)"
"Summon Carrion Golem of Hordes (Disabled)","^7군단의 부패 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Carrion Golem of Scavenging (Disabled)","^7청소부의 부패 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Chaos Golem of Hordes (Disabled)","^7군단의 카오스 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Chaos Golem of the Maelström (Disabled)","^7마엘스트롬의 카오스 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Dark Effigy (Disabled)","^7어둠의 제웅 소환 ^x7F7F7F(사용안함)"
"Summon Flame Golem of Hordes (Disabled)","^7군단의 화염 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Flame Golem of the Meteor (Disabled)","^7유성의 화염 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Ice Golem of Hordes (Disabled)","^7군단의 얼음 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Ice Golem of Shattering (Disabled)","^7산산조각의 얼음 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Lightning Golem of Hordes (Disabled)","^7군단의 번개 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Raging Spirit of Enormity (Disabled)","^7극악무도의 격노의 유령 소환 ^x7F7F7F(사용안함)"
"Summon Reaper of Eviscerating (Disabled)","^7적출의 수확자 소환 ^x7F7F7F(사용안함)"
"Summon Reaper of Revenants (Disabled)","^7원령의 수확자 소환 ^x7F7F7F(사용안함)"
"Summon Skeletons of Archers (Disabled)","^7궁수의 해골 소환 ^x7F7F7F(사용안함)"
"Summon Skeletons of Mages (Disabled)","^7마법사의 해골 소환 ^x7F7F7F(사용안함)"
"Summon Stone Golem of Hordes (Disabled)","^7군단의 돌 골렘 소환 ^x7F7F7F(사용안함)"
"Summon Stone Golem of Safeguarding (Disabled)","^7방비의 돌 골렘 소환 ^x7F7F7F(사용안함)"
"Sunder of Earthbreaking (Disabled)","^7대지 분쇄의 산산조각 ^x7F7F7F(사용안함)"
"Tectonic Slam of Cataclysm (Disabled)","^7대재앙의 지층 강타 ^x7F7F7F(사용안함)"
"Tornado Shot of Cloudburst (Disabled)","^7구름폭발의 회오리 사격 ^x7F7F7F(사용안함)"
"Toxic Rain of Sporeburst (Disabled)","^7포자 폭발의 맹독성 비 ^x7F7F7F(사용안함)"
"Toxic Rain of Withering (Disabled)","^7고사의 맹독성 비 ^x7F7F7F(사용안함)"
"Viper Strike of the Mamba (Disabled)","^7큰독사의 맹독 타격 ^x7F7F7F(사용안함)"
"Void Sphere of Rending (Disabled)","^7분리의 공허 구체 ^x7F7F7F(사용안함)"
"Volatile Dead of Confinement (Disabled)","^7감금의 시체 불덩이 ^x7F7F7F(사용안함)"
"Volatile Dead of Seething (Disabled)","^7끓어오름의 시체 불덩이 ^x7F7F7F(사용안함)"
"Volcanic Fissure of Snaking (Disabled)","^7구불거림의 화산 균열 ^x7F7F7F(사용안함)"
"Vortex of Projection (Disabled)","^7투영의 소용돌이 ^x7F7F7F(사용안함)"
"Wild Strike of Extremes (Disabled)","^7극단의 사나운 타격 ^x7F7F7F(사용안함)"

"Portal (Disabled) (FullDPS)","^7포탈 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Absolution of Inspiring (Disabled) (FullDPS)","^7격려의 면죄 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Animate Guardian of Smiting (Disabled) (FullDPS)","^7징벌의 수호자 기동 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Animate Weapon of Ranged Arms (Disabled) (FullDPS)","^7원거리 병기의 무기 기동 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Animate Weapon of Self Reflection (Disabled) (FullDPS)","^7자기 반사의 무기 기동 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Arc of Oscillating (Disabled) (FullDPS)","^7뇌동의 연쇄 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Arc of Surging (Disabled) (FullDPS)","^7쇄도의 연쇄 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Recall (Disabled) (FullDPS)","^7소환의 종말의 낙인 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Armageddon Brand of Volatility (Disabled) (FullDPS)","^7일촉즉발의 종말의 낙인 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ball Lightning of Orbiting (Disabled) (FullDPS)","^7공전의 구형 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Ball Lightning of Static (Disabled) (FullDPS)","^7정전기의 구형 번개 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bane of Condemnation (Disabled) (FullDPS)","^7규탄의 파멸 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Barrage of Volley Fire (Disabled) (FullDPS)","^7일제 포격의 연발 사격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bear Trap of Skewers (Disabled) (FullDPS)","^7꼬챙이의 곰 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Blast of Dagger Detonation (Disabled) (FullDPS)","^7단검 폭파의 칼날 폭격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Blast of Unloading (Disabled) (FullDPS)","^7난사의 칼날 폭격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Flurry of Incision (Disabled) (FullDPS)","^7절개의 질풍의 칼날 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Trap of Greatswords (Disabled) (FullDPS)","^7대검의 칼날 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Trap of Laceration (Disabled) (FullDPS)","^7열상의 칼날 덫 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blade Vortex of the Scythe (Disabled) (FullDPS)","^7낫의 칼날 소용돌이 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bladefall of Impaling (Disabled) (FullDPS)","^7꿰뚫기의 칼날비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bladefall of Volleys (Disabled) (FullDPS)","^7사격 공세의 칼날비 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bladestorm of Uncertainty (Disabled) (FullDPS)","^7불확실성의 칼날 폭풍 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blight of Atrophy (Disabled) (FullDPS)","^7위축의 황폐 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blight of Contagion (Disabled) (FullDPS)","^7전염의 황폐 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blink Arrow of Bombarding Clones (Disabled) (FullDPS)","^7포격 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Blink Arrow of Prismatic Clones (Disabled) (FullDPS)","^7분광 분신의 점멸 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Bodyswap of Sacrifice (Disabled) (FullDPS)","^7희생의 신체 전환 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Boneshatter of Carnage (Disabled) (FullDPS)","^7살육의 뼈 박살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Boneshatter of Complex Trauma (Disabled) (FullDPS)","^7복합 외상의 뼈 박살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Burning Arrow of Vigour (Disabled) (FullDPS)","^7활력의 불타는 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Caustic Arrow of Poison (Disabled) (FullDPS)","^7독의 부식성 화살 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Cleave of Rage (Disabled) (FullDPS)","^7격노의 회전베기 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Cold Snap of Power (Disabled) (FullDPS)","^7권능의 한파 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Consecrated Path of Endurance (Disabled) (FullDPS)","^7인내의 축성의 진격 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Contagion of Subsiding (Disabled) (FullDPS)","^7침하의 전염 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Contagion of Transference (Disabled) (FullDPS)","^7전이의 전염 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Crackling Lance of Branching (Disabled) (FullDPS)","^7파생의 치직대는 창 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Crackling Lance of Disintegration (Disabled) (FullDPS)","^7분해의 치직대는 창 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Cremation of Exhuming (Disabled) (FullDPS)","^7발굴의 시체 소각 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Cremation of the Volcano (Disabled) (FullDPS)","^7화산의 시체 소각 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Cyclone of Tumult (Disabled) (FullDPS)","^7소동의 회오리바람 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Detonate Dead of Chain Reaction (Disabled) (FullDPS)","^7연쇄 반응의 시체 폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Detonate Dead of Scavenging (Disabled) (FullDPS)","^7청소부의 시체 폭발 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Discharge of Misery (Disabled) (FullDPS)","^7비참의 방출 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Divine Ire of Disintegration (Disabled) (FullDPS)","^7분해의 신성한 진노 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Divine Ire of Holy Lightning (Disabled) (FullDPS)","^7상서로운 번개의 신성한 진노 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
"Dominating Blow of Inspiring (Disabled) (FullDPS)","^7격려의 지배의 맹타 ^x7F7F7F(사용안함) ^x5CF0BB(전체DPS)"
