"Two Sockets","홈 2개"
"+1 to Level of Socketed Melee Gems/+2 metres to Melee Strike Range","장착된 근접 젬 레벨 +1/근접 타격 범위 +2"
"+2 to Level of Socketed Melee Gems/+0.2 metres to Melee Strike Range","장착된 근접 젬 레벨 +2/근접 타격 범위 +0.2미터"
"+1 to Level of Socketed Melee Gems/+0.2 metres to Melee Strike Range","장착된 근접 젬 레벨 +1/근접 타격 범위 +0.2미터"
"+(25-31)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(25~31)%"
"+(32-38)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(32~38)%"
"+(39-45)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(39~45)%"
"+(17-21)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(17~21)%"
"+(22-25)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(22~25)%"
"+(26-30)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있으면 치명타 피해 배율 +(26~30)%"
"(14-16)% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (14~16)% 증가"
"(17-19)% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (17~19)% 증가"
"(20-22)% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (20~22)% 증가"
"7% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 7% 증가"
"(8-9)% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (8~9)% 증가"
"(10-11)% increased Attack Speed while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (10~11)% 증가"
"Regenerate 90 Energy Shield per second while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 동안 1초마다 에너지 보호막 90 재생"
"Regenerate 120 Energy Shield per second while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 동안 1초마다 에너지 보호막 120 재생"
"Regenerate 150 Energy Shield per second while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 동안 1초마다 에너지 보호막 150 재생"
"(9-10)% increased Global Critical Strike Chance/3% chance to gain a Frenzy Charge on Critical Strike","일반 치명타 확률 (9~10)% 증가/치명타 명중 시 3%의 확률로 격분 충전 획득"
"(11-12)% increased Global Critical Strike Chance/4% chance to gain a Frenzy Charge on Critical Strike","일반 치명타 확률 (11~12)% 증가/치명타 명중 시 4%의 확률로 격분 충전 획득"
"(13-14)% increased Global Critical Strike Chance/5% chance to gain a Frenzy Charge on Critical Strike","일반 치명타 확률 (13~14)% 증가/치명타 명중 시 5%의 확률로 격분 충전 획득"
"(11-12)% increased Global Critical Strike Chance/(14-16)% increased Elemental Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (11~12)% 증가/최근 4초 이내 치명타 명중 시 원소 피해 (14~16)% 증가"
"(13-14)% increased Global Critical Strike Chance/(17-19)% increased Elemental Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (13~14)% 증가/최근 4초 이내 치명타 명중 시 원소 피해 (17~19)% 증가"
"(15-16)% increased Global Critical Strike Chance/(20-22)% increased Elemental Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (15~16)% 증가/최근 4초 이내 치명타 명중 시 원소 피해 (20~22)% 증가"
"(11-12)% increased Global Critical Strike Chance/Adds (10-11) to (14-16) Chaos Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (11~12)% 증가/최근 4초 이내 치명타 명중 시 카오스 피해 (10~11)~(14~16) 추가"
"(13-14)% increased Global Critical Strike Chance/Adds (12-13) to (17-20) Chaos Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (13~14)% 증가/최근 4초 이내 치명타 명중 시 카오스 피해 (12~13)~(17~20) 추가"
"(15-16)% increased Global Critical Strike Chance/Adds (14-16) to (21-24) Chaos Damage if you've dealt a Critical Strike Recently","일반 치명타 확률 (15~16)% 증가/최근 4초 이내 치명타 명중 시 카오스 피해 (14~16)~(21~24) 추가"
"+(28-33) to maximum Life/Regenerate 2 Mana per second","생명력 최대치 +(28~33)/1초마다 마나 2 재생"
"+(34-40) to maximum Life/Regenerate 3 Mana per second","생명력 최대치 +(34~40)/1초마다 마나 3 재생"
"+(41-45) to maximum Life/Regenerate 4 Mana per second","생명력 최대치 +(41~45)/1초마다 마나 4 재생"
"Regenerate 15 Life per second/+(28-33) to maximum Mana","1초마다 생명력 15 재생/마나 최대치 +(28~33)"
"Regenerate 20 Life per second/+(34-40) to maximum Mana","1초마다 생명력 20 재생/마나 최대치 +(34~40)"
"Regenerate 25 Life per second/+(41-45) to maximum Mana","1초마다 생명력 25 재생/마나 최대치 +(41~45)"
"(18-20)% increased Totem Placement speed","토템 설치 속도 (18~20)% 증가"
"(21-25)% increased Totem Placement speed","토템 설치 속도 (21~25)% 증가"
"(26-30)% increased Totem Placement speed","토템 설치 속도 (26~30)% 증가"
"Adds (6-7) to (9-10) Fire Damage/Adds (6-7) to (9-10) Cold Damage","화염 피해 (6~7)~(9~10) 추가/냉기 피해 (6~7)~(9~10) 추가"
"Adds (8-9) to (11-13) Fire Damage/Adds (8-9) to (11-13) Cold Damage","화염 피해 (8~9)~(11~13) 추가/냉기 피해 (8~9)~(11~13) 추가"
"Adds (10-12) to (14-16) Fire Damage/Adds (10-12) to (14-16) Cold Damage","화염 피해 (10~12)~(14~16) 추가/냉기 피해 (10~12)~(14~16) 추가"
"Adds (6-7) to (9-10) Fire Damage/Adds 1 to (14-16) Lightning Damage","화염 피해 (6~7)~(9~10) 추가/번개 피해 1~(14~16) 추가"
"Adds (8-9) to (11-13) Fire Damage/Adds 1 to (17-20) Lightning Damage","화염 피해 (8~9)~(11~13) 추가/번개 피해 1~(17~20) 추가"
"Adds (10-12) to (14-16) Fire Damage/Adds 1 to (21-24) Lightning Damage","화염 피해 (10~12)~(14~16) 추가/번개 피해 1~(21~24) 추가"
"Adds (6-7) to (9-10) Cold Damage/Adds 1 to (14-16) Lightning Damage","냉기 피해 (6~7)~(9~10) 추가/번개 피해 1~(14~16) 추가"
"Adds (8-9) to (11-13) Cold Damage/Adds 1 to (17-20) Lightning Damage","냉기 피해 (8~9)~(11~13) 추가/번개 피해 1~(17~20) 추가"
"Adds (10-12) to (14-16) Cold Damage/Adds 1 to (21-24) Lightning Damage","냉기 피해 (10~12)~(14~16) 추가/번개 피해 1~(21~24) 추가"
"Your Critical Strike Chance is Lucky while Focused","집중하는 동안 치명타 확률에 행운 적용"
"(16-18)% increased Evasion Rating while Focused/","집중하는 동안 회피 (16~18)% 증가"
"(19-22)% increased Evasion Rating while Focused","집중하는 동안 회피 (19~22)% 증가"
"(23-25)% increased Evasion Rating while Focused","집중하는 동안 회피 (23~25)% 증가"
"8% additional Physical Damage Reduction while Focused","집중하는 동안 받는 물리 피해 8% 추가 감소"
"(9-10)% additional Physical Damage Reduction while Focused","집중하는 동안 받는 물리 피해 (9~10)% 추가 감소"
"(11-12)% additional Physical Damage Reduction while Focused","집중하는 동안 받는 물리 피해 (11~12)% 추가 감소"
"Shock nearby Enemies for 2 Seconds when you Focus","집중 시 2초 동안 주변의 적 감전"
"Shock nearby Enemies for 3 Seconds when you Focus","집중 시 3초 동안 주변의 적 감전"
"Shock nearby Enemies for 4 Seconds when you Focus","집중 시 4초 동안 주변의 적 감전"
"1% of Evasion Rating is Regenerated as Life per second while Focused","집중하는 동안 1초마다 회피의 1%를 생명력으로 재생"
"Recover (23-25)% of Mana and Energy Shield when you Focus","집중 시 마나 및 에너지 보호막의 (23~25)% 회복"
"Recover (26-28)% of Mana and Energy Shield when you Focus","집중 시 마나 및 에너지 보호막의 (26~28)% 회복"
"Recover (29-31)% of Mana and Energy Shield when you Focus","집중 시 마나 및 에너지 보호막의 (29~31)% 회복"
"(16-20)% chance to deal Double Damage while Focused","집중하는 동안 (16~20)%의 확률로 2배의 피해를 줌"
"(21-25)% chance to deal Double Damage while Focused","집중하는 동안 (21~25)%의 확률로 2배의 피해를 줌"
"(26-30)% chance to deal Double Damage while Focused","집중하는 동안 (26~30)%의 확률로 2배의 피해를 줌"
"(7-9)% chance to deal Double Damage while Focused","집중하는 동안 (7~9)%의 확률로 2배의 피해를 줌"
"(10-12)% chance to deal Double Damage while Focused","집중하는 동안 (10~12)%의 확률로 2배의 피해를 줌"
"(13-15)% chance to deal Double Damage while Focused","집중하는 동안 (13~15)%의 확률로 2배의 피해를 줌"
"(22-25)% increased Attack and Cast Speed while Focused","집중하는 동안 공격 및 시전 속도 (22~25)% 증가"
"(26-30)% increased Attack and Cast Speed while Focused","집중하는 동안 공격 및 시전 속도 (26~30)% 증가"
"(31-36)% increased Attack and Cast Speed while Focused","집중하는 동안 공격 및 시전 속도 (31~36)% 증가"
"(16-20)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (16~20)% 증가"
"(21-25)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (21~25)% 증가"
"(26-30)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (26~30)% 증가"
"(81-100)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (81~100)% 증가"
"(101-120)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (101~120)% 증가"
"(121-140)% increased Duration of Ailments you inflict while Focused","집중하는 동안 적에게 유발한 상태 이상 지속시간 (121~140)% 증가"
"You are Immune to Ailments while Focused","집중하는 동안 상태 이상에 면역"
"You have Vaal Pact while Focused/10% of Damage Leeched as Life while Focused","집중하는 동안 바알의 계약 획득/집중하는 동안 피해의 10%를 생명력으로 흡수"
"+5 to maximum Fortification while Focused","집중하는 동안 방어 상승 최대치 +5"
"+6 to maximum Fortification while Focused","집중하는 동안 방어 상승 최대치 +6"
"+7 to maximum Fortification while Focused","집중하는 동안 방어 상승 최대치 +7"
"Trigger Socketed Spells when you Focus, with a 0.25 second Cooldown","집중 시 장착된 주문 발동, 재사용 대기시간 0.25초"
"(11-15)% of Damage is taken from Mana before Life while Focused","집중하는 동안 받는 피해의 (11~15)%를 생명력 대신 마나 소모"
"(21-25)% of Damage is taken from Mana before Life while Focused","집중하는 동안 받는 피해의 (21~25)%를 생명력 대신 마나 소모"
"Minions Recover 100% of their Life when you Focus","자신이 집중하는 동안 소환수가 생명력의 100% 회복"
"Skills Cost no Mana or Life while Focused","집중하는 동안 스킬의 마나 또는 생명력 비용 소모 없음"
"(12-14)% increased Damage","피해 (12~14)% 증가"
"(15-17)% increased Damage","피해 (15~17)% 증가"
"+1 to Level of Socketed Support Gems","장착된 보조 젬 레벨 +1"
"+2 to Level of Socketed Support Gems","장착된 보조 젬 레벨 +2"
"Channelling Skills have -1 to Total Mana Cost","집중 유지 스킬의 총 마나 소모 -1"
"Channelling Skills have -2 to Total Mana Cost","집중 유지 스킬의 총 마나 소모 -2"
"Channelling Skills have -3 to Total Mana Cost","집중 유지 스킬의 총 마나 소모 -3"
"Non-Channelling Skills have -4 to Total Mana Cost","비-집중 유지 스킬의 총 마나 소모 -4"
"Non-Channelling Skills have -5 to Total Mana Cost","비-집중 유지 스킬의 총 마나 소모 -5"
"Non-Channelling Skills have {0} to Total ...","비-집중 유지 스킬의 총 마나 소모 {0}"
"Non-Channelling Skills have -(7-6) to Total Mana Cost","비-집중 유지 스킬의 총 마나 소모 -(7~6)"
"(31-36)% increased Damage while Leeching","흡수하는 동안 피해 (31~36)% 증가"
"(37-43)% increased Damage while Leeching","흡수하는 동안 피해 (37~43)% 증가"
"+(6-7)% to Quality of Socketed Gems","장착된 젬 퀄리티 +(6~7)%"
"+(7-8)% to Quality of Socketed Gems","장착된 젬 퀄리티 +(7~8)%"
"Adds (11-13) to (16-17) Physical Damage/35% chance to cause Bleeding on Hit","물리 피해 (11~13)~(16~17) 추가/명중 시 35%의 확률로 출혈 유발"
"Adds (14-16) to (18-20) Physical Damage/40% chance to cause Bleeding on Hit","물리 피해 (14~16)~(18~20) 추가/명중 시 40%의 확률로 출혈 유발"
"Adds (7-8) to (10-11) Physical Damage/35% chance to cause Bleeding on Hit","물리 피해 (7~8)~(10~11) 추가/명중 시 35%의 확률로 출혈 유발"
"Adds (9-11) to (12-14) Physical Damage/40% chance to cause Bleeding on Hit","물리 피해 (9~11)~(12~14) 추가/명중 시 40%의 확률로 출혈 유발"
"Hits can't be Evaded","무조건 명중"
"(19-23)% increased Damage during any Flask Effect","아무 플라스크나 효과를 받는 동안 피해 (19~23)% 증가"
"(24-28)% increased Damage during any Flask Effect","아무 플라스크나 효과를 받는 동안 피해 (24~28)% 증가"
"(36-40)% increased Rarity of Items Dropped by Slain Rare or Unique Enemies","희귀 또는 고유 적 처치 시 떨어지는 아이템 희귀도 (36~40)% 증가"
"(41-45)% increased Rarity of Items Dropped by Slain Rare or Unique Enemies","희귀 또는 고유 적 처치 시 떨어지는 아이템 희귀도 (41~45)% 증가"
"Gain (11-13)% of Fire Damage as Extra Chaos Damage","화염 피해의 (11~13)%를 추가 카오스 피해로 획득"
"Gain (14-16)% of Fire Damage as Extra Chaos Damage","화염 피해의 (14~16)%를 추가 카오스 피해로 획득"
"Gain (5-6)% of Fire Damage as Extra Chaos Damage","화염 피해의 (5~6)%를 추가 카오스 피해로 획득"
"Gain (7-8)% of Fire Damage as Extra Chaos Damage","화염 피해의 (7~8)%를 추가 카오스 피해로 획득"
"Gain (11-13)% of Cold Damage as Extra Chaos Damage","냉기 피해의 (11~13)%를 추가 카오스 피해로 획득"
"Gain (14-16)% of Cold Damage as Extra Chaos Damage","냉기 피해의 (14~16)%를 추가 카오스 피해로 획득"
"Gain (5-6)% of Cold Damage as Extra Chaos Damage","냉기 피해의 (5~6)%를 추가 카오스 피해로 획득"
"Gain (7-8)% of Cold Damage as Extra Chaos Damage","냉기 피해의 (7~8)%를 추가 카오스 피해로 획득"
"Gain (11-13)% of Lightning Damage as Extra Chaos Damage","번개 피해의 (11~13)%를 추가 카오스 피해로 획득"
"Gain (14-16)% of Lightning Damage as Extra Chaos Damage","번개 피해의 (14~16)%를 추가 카오스 피해로 획득"
"Gain (5-6)% of Lightning Damage as Extra Chaos Damage","번개 피해의 (5~6)%를 추가 카오스 피해로 획득"
"Gain (7-8)% of Lightning Damage as Extra Chaos Damage","번개 피해의 (7~8)%를 추가 카오스 피해로 획득"
"Gain (11-13)% of Physical Damage as Extra Chaos Damage","물리 피해의 (11~13)%를 추가 카오스 피해로 획득"
"Gain (14-16)% of Physical Damage as Extra Chaos Damage","물리 피해의 (14~16)%를 추가 카오스 피해로 획득"
"Gain (5-6)% of Physical Damage as Extra Chaos Damage","물리 피해의 (5~6)%를 추가 카오스 피해로 획득"
"Gain (7-8)% of Physical Damage as Extra Chaos Damage","물리 피해의 (7~8)%를 추가 카오스 피해로 획득"
"5% increased Attributes","능력치 5% 증가"
"6% increased Attributes","능력치 6% 증가"
"Gain (7-8)% of Maximum Life as Extra Maximum Energy Shield","최대 생명력의 (7~8)%를 추가 에너지 보호막 최대치로 획득"
"Gain (9-10)% of Maximum Life as Extra Maximum Energy Shield","최대 생명력의 (9~10)%를 추가 에너지 보호막 최대치로 획득"
"10% Chance to Trigger Level 10 Summon Spectral Wolf on Kill","처치 시 10%의 확률로 10레벨 영체 늑대 소환 발동"
"(3-4)% of Physical Damage from Hits taken as Fire Damage","피격 시 물리 피해의 (3~4)%를 화염 피해로 받음"
"(5-6)% of Physical Damage from Hits taken as Fire Damage","피격 시 물리 피해의 (5~6)%를 화염 피해로 받음"
"(7-8)% of Physical Damage from Hits taken as Fire Damage","피격 시 물리 피해의 (7~8)%를 화염 피해로 받음"
"(3-4)% of Physical Damage from Hits taken as Fire Damage/(3-4)% of Physical Damage from Hits taken as Lightning Damage","피격 시 물리 피해의 (3~4)%를 화염 피해로 받음/피격 시 물리 피해의 (3~4)%를 번개 피해로 받음"
"(5-6)% of Physical Damage from Hits taken as Fire Damage/(5-6)% of Physical Damage from Hits taken as Lightning Damage","피격 시 물리 피해의 (5~6)%를 화염 피해로 받음/피격 시 물리 피해의 (5~6)%를 번개 피해로 받음"
"80% chance to Avoid being Frozen","80%의 확률로 동결 회피"
"Cannot be Frozen","동결 면역"
"(12-13)% increased Global Critical Strike Chance/+(18-20)% to Critical Strike Multiplier if you've Shattered an Enemy Recently","일반 치명타 확률 (12~13)% 증가/최근 4초 이내 적을 산산이 조각내면 치명타 피해 배율 +(18~20)%"
"(14-16)% increased Global Critical Strike Chance/+(21-23)% to Critical Strike Multiplier if you've Shattered an Enemy Recently","일반 치명타 확률 (14~16)% 증가/최근 4초 이내 적을 산산이 조각내면 치명타 피해 배율 +(21~23)%"
"(11-13)% increased Global Physical Damage/(11-13)% increased Chaos Damage","일반 물리 피해 (11~13)% 증가/카오스 피해 (11~13)% 증가"
"(14-16)% increased Global Physical Damage/(14-16)% increased Chaos Damage","일반 물리 피해 (14~16)% 증가/카오스 피해 (14~16)% 증가"
"(11-13)% increased Fire Damage/(11-13)% increased Lightning Damage","화염 피해 (11~13)% 증가/번개 피해 (11~13)% 증가"
"(14-16)% increased Fire Damage/(14-16)% increased Lightning Damage","화염 피해 (14~16)% 증가/번개 피해 (14~16)% 증가"
"Regenerate 3% of Life per second during Flask Effect","플라스크 효과를 받는 동안 1초마다 생명력의 3% 재생"
"50% Chance to Avoid being Stunned during Flask Effect","플라스크 효과를 받는 동안 50%의 확률로 기절 회피"
"(20-25)% reduced Mana Cost of Skills during Flask Effect","플라스크 효과를 받는 동안 스킬의 마나 소모 (20~25)% 감소"
"(20-30)% increased Rarity of Items found during Flask Effect","플라스크 효과를 받는 동안 발견하는 아이템 희귀도 (20~30)% 증가"
"(45-55)% reduced Reflected Damage taken during Flask Effect","플라스크 효과를 받는 동안 받는 반사 피해 (45~55)% 감소"
"(45-55)% reduced Reflected Damage taken during Effect","효과를 받는 동안 받는 반사 피해 (45~55)% 감소"
"15% of Damage Taken from Hits is Leeched as Life during Flask Effect","플라스크 효과를 받는 동안 피격 시 피해의 15%를 생명력으로 흡수"
"+(15-19) to Dexterity and Intelligence/(8-10)% increased Attack Speed","민첩 및 지능 +(15~19)/공격 속도 (8~10)% 증가"
"+(20-24) to Dexterity and Intelligence/(13-16)% increased Attack Speed","민첩 및 지능 +(20~24)/공격 속도 (13~16)% 증가"
"+(15-19) to Strength and Intelligence/(15-20)% increased Critical Strike Chance","힘 및 지능 +(15~19)/치명타 확률 (15~20)% 증가"
"+(20-24) to Strength and Intelligence/(21-25)% increased Critical Strike Chance","힘 및 지능 +(20~24)/치명타 확률 (21~25)% 증가"
"+(15-19) to Strength and Dexterity/+(161-200) to Accuracy Rating","힘 및 민첩 +(15~19)/정확도 +(161~200)"
"+(20-24) to Strength and Dexterity/+(201-250) to Accuracy Rating","힘 및 민첩 +(20~24)/정확도 +(201~250)"
"10% chance to Trigger Level 1 Blood Rage when you Kill an Enemy/(8-10)% increased Attack Speed","적 처치 시 10%의 확률로 1레벨 피의 격노 발동/공격 속도 (8~10)% 증가"
"10% chance to Trigger Level 1 Blood Rage when you Kill an Enemy/(13-16)% increased Attack Speed","적 처치 시 10%의 확률로 1레벨 피의 격노 발동/공격 속도 (13~16)% 증가"
"(8-9)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (8~9)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(10-12)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (10~12)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(13-16)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (13~16)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(12-14)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (12~14)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(13-15)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (13~15)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(15-18)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (15~18)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(16-19)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (16~19)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(19-24)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (19~24)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(7-8)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (7~8)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(9-10)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (9~10)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"(11-13)% increased Cast Speed/10% chance to gain Arcane Surge when you Kill an Enemy","시전 속도 (11~13)% 증가/적 처치 시 10%의 확률로 비전 쇄도 획득"
"Trigger a Socketed Spell when you Use a Skill, with a 8 second Cooldown/Spells Triggered this way have 150% more Cost","스킬 사용 시 장착된 주문 발동, 재사용 대기시간 8초/이렇게 발동된 주문의 비용 150% 증폭"
"+(9-10)% to Fire and Chaos Resistances","화염 및 카오스 저항 +(9~10)%"
"+(11-12)% to Fire and Chaos Resistances","화염 및 카오스 저항 +(11~12)%"
"+(13-15)% to Fire and Chaos Resistances","화염 및 카오스 저항 +(13~15)%"
"+(9-10)% to Lightning and Chaos Resistances","번개 및 카오스 저항 +(9~10)%"
"+(11-12)% to Lightning and Chaos Resistances","번개 및 카오스 저항 +(11~12)%"
"+(13-15)% to Lightning and Chaos Resistances","번개 및 카오스 저항 +(13~15)%"
"+(9-10)% to Cold and Chaos Resistances","냉기 및 카오스 저항 +(9~10)%"
"+(11-12)% to Cold and Chaos Resistances","냉기 및 카오스 저항 +(11~12)%"
"+(13-15)% to Cold and Chaos Resistances","냉기 및 카오스 저항 +(13~15)%"
"+(10-15) to Strength/(21-25)% chance to Avoid being Ignited","힘 +(10~15)/(21~25)%의 확률로 점화 회피"
"+(16-20) to Strength/(21-25)% chance to Avoid being Ignited","힘 +(16~20)/(21~25)%의 확률로 점화 회피"
"+(21-25) to Strength/(21-25)% chance to Avoid being Ignited","힘 +(21~25)/(21~25)%의 확률로 점화 회피"
"+(10-15) to Dexterity/(21-25)% chance to Avoid being Frozen","민첩 +(10~15)/(21~25)%의 확률로 동결 회피"
"+(16-20) to Dexterity/(21-25)% chance to Avoid being Frozen","민첩 +(16~20)/(21~25)%의 확률로 동결 회피"
"+(21-25) to Dexterity/(21-25)% chance to Avoid being Frozen","민첩 +(21~25)/(21~25)%의 확률로 동결 회피"
"+(10-15) to Intelligence/(21-25)% chance to Avoid being Shocked","지능 +(10~15)/(21~25)%의 확률로 감전 회피"
"+(16-20) to Intelligence/(21-25)% chance to Avoid being Shocked","지능 +(16~20)/(21~25)%의 확률로 감전 회피"
"+(21-25) to Intelligence/(21-25)% chance to Avoid being Shocked","지능 +(21~25)/(21~25)%의 확률로 감전 회피"
"(7-8)% increased Trap Throwing Speed","덫 투척 속도 (7~8)% 증가"
"(9-10)% increased Trap Throwing Speed","덫 투척 속도 (9~10)% 증가"
"(11-12)% increased Trap Throwing Speed","덫 투척 속도 (11~12)% 증가"
"(7-8)% increased Mine Throwing Speed","지뢰 투척 속도 (7~8)% 증가"
"(9-10)% increased Mine Throwing Speed","지뢰 투척 속도 (9~10)% 증가"
"(11-12)% increased Mine Throwing Speed","지뢰 투척 속도 (11~12)% 증가"
"(11-13)% increased Brand Attachment range","낙인 부착 범위 (11~13)% 증가"
"(14-16)% increased Brand Attachment range","낙인 부착 범위 (14~16)% 증가"
"(17-20)% increased Brand Attachment range","낙인 부착 범위 (17~20)% 증가"
"(5-8)% increased maximum Life/(5-8)% increased maximum Mana","최대 생명력 (5~8)% 증가/최대 마나 (5~8)% 증가"
"(5-7)% Chance to Block Attack Damage","(5~7)%의 확률로 공격 피해를 막아냄"
"(6-8)% Chance to Block Spell Damage","(6~8)%의 확률로 주문 피해를 막아냄"
"(20-25)% chance to Avoid Elemental Ailments/(20-25)% chance to Avoid being Stunned","(20~25)%의 확률로 원소 상태 이상 회피/(20~25)%의 확률로 기절 회피"
"(6-7)% increased Area of Effect/(9-10)% increased Area Damage","효과 범위 (6~7)% 증가/범위 피해 (9~10)% 증가"
"(8-9)% increased Area of Effect/(11-13)% increased Area Damage","효과 범위 (8~9)% 증가/범위 피해 (11~13)% 증가"
"(10-12)% increased Area of Effect/(14-16)% increased Area Damage","효과 범위 (10~12)% 증가/범위 피해 (14~16)% 증가"
"(10-12)% increased Projectile Speed/(9-10)% increased Projectile Damage","투사체 속도 (10~12)% 증가/투사체 피해 (9~10)% 증가"
"(13-16)% increased Projectile Speed/(11-13)% increased Projectile Damage","투사체 속도 (13~16)% 증가/투사체 피해 (11~13)% 증가"
"(17-20)% increased Projectile Speed/(14-16)% increased Projectile Damage","투사체 속도 (17~20)% 증가/투사체 피해 (14~16)% 증가"
"(9-10)% increased Melee Damage/+1 to Melee Strike Range","근접 피해 (9~10)% 증가/근접 타격 범위 +1"
"(11-13)% increased Melee Damage/+1 to Melee Strike Range","근접 피해 (11~13)% 증가/근접 타격 범위 +1"
"(14-16)% increased Melee Damage/+1 to Melee Strike Range","근접 피해 (14~16)% 증가/근접 타격 범위 +1"
"(9-10)% increased Melee Damage/+0.1 metres to Melee Strike Range","근접 피해 (9~10)% 증가/근접 타격 범위 +0.1미터"
"(11-13)% increased Melee Damage/+0.1 metres to Melee Strike Range","근접 피해 (11~13)% 증가/근접 타격 범위 +0.1미터"
"(14-16)% increased Melee Damage/+0.1 metres to Melee Strike Range","근접 피해 (14~16)% 증가/근접 타격 범위 +0.1미터"
"Focus has (21-25)% increased Cooldown Recovery Rate","집중의 재사용 대기시간 회복 속도 (21~25)% 증가"
"Prefixes Cannot Be Changed","접두어 변경 불가"
"Suffixes Cannot Be Changed","접미어 변경 불가"
"Can have up to 3 Crafted Modifiers","제작 속성 부여 최대 3개 보유 가능"
"Cannot roll Attack Modifiers","공격 속성 부여 불가"
"Cannot roll Caster Modifiers","시전 속성 부여 불가"
"Trigger Level 10 Summon Spectral Wolf on Kill","처치 시 10레벨 영체 늑대 소환 발동"
