
"Abandoned Abode","버려진 거처"
"Fungus Coat","곰팡이의 외투"
"Fungus Coffers","곰팡이의 궤짝"
"Fungus Coil","곰팡이의 감개"
"Fungus Collar","곰팡이의 목걸이"
"Fungus Colony","곰팡이의 식민지"
"Fungus Construct","곰팡이의 구조물"
"Fungus Contraption","곰팡이의 고안품"
"Fungus Cord","곰팡이의 줄"
"Fungus Core","곰팡이의 중심부"
"Fungus Corona","곰팡이의 광환"
"Fungus Court","곰팡이의 법정"
"Fungus Covenant","곰팡이의 계약"
"Fungus Cover","곰팡이의 덮개"
"Fungus Cowl","곰팡이의 고깔"
"Fungus Crack","곰팡이의 균열"
"Fungus Cradle","곰팡이의 받침대"
"Fungus Crag","곰팡이의 바위"
"Fungus Cramp","곰팡이의 경련"
"Fungus Crate","곰팡이의 나무상자"
"Fungus Creed","곰팡이의 신념"
"Fungus Crest","곰팡이의 문양"
"Fungus Crown","곰팡이의 왕관"
"Fungus Crusher","곰팡이의 타쇄자"
"Fungus Cry","곰팡이의 함성"
"Fungus Curio","곰팡이의 골동품"
"Fungus Curtain","곰팡이의 장막"
"Fungus Cut","곰팡이의 조각"
"Fungus Dart","곰팡이의 화살침"
"Fungus Dash","곰팡이의 질주"
"Fungus Deed","곰팡이의 증서"
"Fungus Delirium","곰팡이의 섬망"
"Fungus Depths","곰팡이의 심연"
"Fungus Desire","곰팡이의 갈망"
"Fungus Device","곰팡이의 장치"
"Fungus Dew","곰팡이의 이슬"
"Fungus Disguise","곰팡이의 위장"
"Fungus Dome","곰팡이의 돔"
"Fungus Dream","곰팡이의 꿈"
"Fungus Dregs","곰팡이의 찌꺼기"
"Fungus Drop","곰팡이의 방울"
"Fungus Duty","곰팡이의 의무"
"Fungus Dwelling","곰팡이의 거주지"
"Fungus Edge","곰팡이의 칼날"
"Fungus Ember","곰팡이의 잉걸불"
"Fungus Emblem","곰팡이의 상징"
"Fungus Enterprise","곰팡이의 사업"
"Fungus Equipment","곰팡이의 장착품"
"Fungus Essence","곰팡이의 에센스"
"Fungus Etcher","곰팡이의 부각사"
"Fungus Excavation","곰팡이의 발굴터"
"Fungus Excursion","곰팡이의 기행"
"Fungus Expedition","곰팡이의 탐험"
"Fungus Exploration","곰팡이의 원정"
"Fungus Eye","곰팡이의 눈"
"Fungus Fang","곰팡이의 송곳니"
"Fungus Fend","곰팡이의 방어"
"Fungus Fetish","곰팡이의 숭배물"
"Fungus Finger","곰팡이의 손가락"
"Fungus Fingers","곰팡이의 손가락"
"Fungus Firestorm","곰팡이의 화염 폭풍"
"Fungus Fish","곰팡이의 물고기"
"Fungus Fist","곰팡이의 주먹"
"Fungus Flame","곰팡이의 화염"
"Fungus Fletch","곰팡이의 화살깃"
"Fungus Flight","곰팡이의 비행"
"Fungus Folktale","곰팡이의 설화"
"Fungus Frontier","곰팡이의 개척지"
"Fungus Gaze","곰팡이의 응시"
"Fungus Gear","곰팡이의 장비"
"Fungus Gill","곰팡이의 아가미"
"Fungus Girdle","곰팡이의 허리띠"
"Fungus Glance","곰팡이의 곁눈질"
"Fungus Glare","곰팡이의 섬광"
"Fungus Glimmer","곰팡이의 미광"
"Fungus Glisten","곰팡이의 반짝임"
"Fungus Globe","곰팡이의 구체"
"Fungus Gnarl","곰팡이의 마디"
"Fungus Gnash","곰팡이의 악문 이빨"
"Fungus Goad","곰팡이의 몰이 막대"
"Fungus Gorget","곰팡이의 목가리개"
"Fungus Grasp","곰팡이의 장악"
"Fungus Grinder","곰팡이의 갈이개"
"Fungus Grip","곰팡이의 손아귀"
"Fungus Guard","곰팡이의 수호"
"Fungus Guardian","곰팡이의 가디언"
"Fungus Guide","곰팡이의 안내"
"Fungus Gutter","곰팡이의 시궁창"
"Fungus Gyre","곰팡이의 선회"
"Fungus Hail","곰팡이의 칭송"
"Fungus Halo","곰팡이의 후광"
"Fungus Hand","곰팡이의 손"
"Fungus Harness","곰팡이의 고삐"
"Fungus Haven","곰팡이의 안식처"
"Fungus Heart","곰팡이의 심장"
"Fungus Hide","곰팡이의 가죽"
"Fungus Hold","곰팡이의 유지"
"Fungus Hoof","곰팡이의 발굽"
"Fungus Hope","곰팡이의 희망"
"Fungus Horn","곰팡이의 뿔"
"Fungus Hunger","곰팡이의 갈망"
"Fungus Ichor","곰팡이의 영액"
"Fungus Idol","곰팡이의 우상"
"Fungus Impaler","곰팡이의 꼬챙이"
"Fungus Implement","곰팡이의 기물"
"Fungus Incitement","곰팡이의 조장"
"Fungus Inferno","곰팡이의 지옥불"
"Fungus Inscription","곰팡이의 명문"
"Fungus Instigation","곰팡이의 교사"
"Fungus Instrument","곰팡이의 계기"
"Fungus Invitation","곰팡이의 초대"
"Fungus Invocation","곰팡이의 기원"
"Fungus Iridescence","곰팡이의 무지개 빛깔"
"Fungus Jack","곰팡이의 상인"
"Fungus Jig","곰팡이의 지그"
"Fungus Journey","곰팡이의 여정"
"Fungus Joy","곰팡이의 기쁨"
"Fungus Keep","곰팡이의 감옥"
"Fungus Keeper","곰팡이의 보관자"
"Fungus Key","곰팡이의 열쇠"
"Fungus Kit","곰팡이의 공구"
"Fungus Knell","곰팡이의 전조"
"Fungus Knot","곰팡이의 매듭"
"Fungus Knuckle","곰팡이의 관절"
"Fungus Lahar","곰팡이의 화산이류"
"Fungus Lands","곰팡이의 땅"
"Fungus Lash","곰팡이의 채찍"
"Fungus League","곰팡이의 리그"
"Fungus Leash","곰팡이의 가죽끈"
"Fungus Leer","곰팡이의 시선"
"Fungus Lens","곰팡이의 시점"
"Fungus Line","곰팡이의 낚싯줄"
"Fungus Liturgy","곰팡이의 기도문"
"Fungus Lock","곰팡이의 자물쇠"
"Fungus Locket","곰팡이의 갑 목걸이"
"Fungus Loop","곰팡이의 고리"
"Fungus Lure","곰팡이의 루어"
"Fungus Machine","곰팡이의 장치"
"Fungus Magma","곰팡이의 마그마"
"Fungus Mandate","곰팡이의 통치"
"Fungus Mangler","곰팡이의 파괴자"
"Fungus Manifesto","곰팡이의 성명서"
"Fungus Mantle","곰팡이의 외투"
"Fungus March","곰팡이의 행진"
"Fungus Mark","곰팡이의 징표"
"Fungus Mast","곰팡이의 돛대"
"Fungus Material","곰팡이의 재료"
"Fungus Medallion","곰팡이의 메달리온"
"Fungus Mission","곰팡이의 임무"
"Fungus Mitts","곰팡이의 미트"
"Fungus Myth","곰팡이의 신화"
"Fungus Nail","곰팡이의 손톱"
"Fungus Nails","곰팡이의 손톱"
"Fungus Needle","곰팡이의 바늘"
"Fungus Nexus","곰팡이의 연결부"
"Fungus Nock","곰팡이의 활시위"
"Fungus Noose","곰팡이의 올가미"
"Fungus Oath","곰팡이의 서약"
"Fungus Oculus","곰팡이의 눈"
"Fungus Offer","곰팡이의 제안"
"Fungus Orb","곰팡이의 구체"
"Fungus Orders","곰팡이의 명령서"
"Fungus Ornament","곰팡이의 장신구"
"Fungus Oubliette","곰팡이의 지하 감옥"
"Fungus Outpost","곰팡이의 전초기지"
"Fungus Pace","곰팡이의 보조"
"Fungus Pact","곰팡이의 맹약"
"Fungus Palm","곰팡이의 손바닥"
"Fungus Panorama","곰팡이의 전경"
"Fungus Passage","곰팡이의 통로"
"Fungus Pause","곰팡이의 중지"
"Fungus Paw","곰팡이의 발"
"Fungus Peak","곰팡이의 앞챙"
"Fungus Pelt","곰팡이의 가죽모"
"Fungus Pendant","곰팡이의 펜던트"
"Fungus Pile","곰팡이의 더미"
"Fungus Pillar","곰팡이의 기둥"
"Fungus Pit","곰팡이의 구덩이"
"Fungus Pith","곰팡이의 핵심"
"Fungus Pledge","곰팡이의 선서"
"Fungus Point","곰팡이의 끝"
"Fungus Pole","곰팡이의 기둥"
"Fungus Portent","곰팡이의 전조"
"Fungus Post","곰팡이의 말뚝"
"Fungus Precinct","곰팡이의 구획"
"Fungus Prism","곰팡이의 분광기"
"Fungus Provocation","곰팡이의 촉발"
"Fungus Quarters","곰팡이의 구역"
"Fungus Quest","곰팡이의 도전"
"Fungus Quill","곰팡이의 화살"
"Fungus Rain","곰팡이의 비"
"Fungus Ram","곰팡이의 충격"
"Fungus Razor","곰팡이의 면도날"
"Fungus Reach","곰팡이의 역량"
"Fungus Reaches","곰팡이의 역량"
"Fungus Refuge","곰팡이의 피난처"
"Fungus Refuse","곰팡이의 거절"
"Fungus Relic","곰팡이의 유물"
"Fungus Remains","곰팡이의 유물"
"Fungus Remnant","곰팡이의 유물"
"Fungus Rend","곰팡이의 분리"
"Fungus Rite","곰팡이의 의례"
"Fungus Road","곰팡이의 길"
"Fungus Roar","곰팡이의 포효"
"Fungus Rock","곰팡이의 바위"
"Fungus Rod","곰팡이의 막대"
"Fungus Rook","곰팡이의 성"
"Fungus Roost","곰팡이의 보금자리"
"Fungus Rosary","곰팡이의 묵주"
"Fungus Ruin","곰팡이의 유적"
"Fungus Rupture","곰팡이의 파열"
"Fungus Saga","곰팡이의 영웅담"
"Fungus Salvation","곰팡이의 구원"
"Fungus Sanctuary","곰팡이의 성역"
"Fungus Sanctum","곰팡이의 지성소"
"Fungus Saw","곰팡이의 톱"
"Fungus Scalpel","곰팡이의 수술칼"
"Fungus Scar","곰팡이의 흉터"
"Fungus Scarab","곰팡이의 갑충석"
"Fungus Scratch","곰팡이의 찰과상"
"Fungus Scripture","곰팡이의 성서"
"Fungus Scum","곰팡이의 쓰레기"
"Fungus Secrets","곰팡이의 비밀"
"Fungus Sector","곰팡이의 영역"
"Fungus Sentry","곰팡이의 보초"
"Fungus Sepulchre","곰팡이의 매장소"
"Fungus Sever","곰팡이의 절단"
"Fungus Shackle","곰팡이의 족쇄"
"Fungus Shadows","곰팡이의 그림자"
"Fungus Shard","곰팡이의 파편"
"Fungus Shatter","곰팡이의 산산조각"
"Fungus Shell","곰팡이의 껍질"
"Fungus Shelter","곰팡이의 대피소"
"Fungus Shine","곰팡이의 광채"
"Fungus Shot","곰팡이의 사격"
"Fungus Shroud","곰팡이의 연막"
"Fungus Siege","곰팡이의 공성"
"Fungus Sight","곰팡이의 통찰력"
"Fungus Sinker","곰팡이의 봉돌"
"Fungus Skewer","곰팡이의 꼬챙이"
"Fungus Skin","곰팡이의 피부"
"Fungus Slag","곰팡이의 용재"
"Fungus Slayer","곰팡이의 슬레이어"
"Fungus Slicer","곰팡이의 썰기"
"Fungus Slippers","곰팡이의 슬리퍼"
"Fungus Sliver","곰팡이의 편린"
"Fungus Smasher","곰팡이의 파쇄기"
"Fungus Snare","곰팡이의 올가미"
"Fungus Solace","곰팡이의 위안"
"Fungus Sole","곰팡이의 밑창"
"Fungus Solitude","곰팡이의 고독"
"Fungus Song","곰팡이의 노래"
"Fungus Span","곰팡이의 발"
"Fungus Spark","곰팡이의불꽃"
"Fungus Spawn","곰팡이의 유충"
"Fungus Spear","곰팡이의 창"
"Fungus Spell","곰팡이의 주문"
"Fungus Sphere","곰팡이의 구"
"Fungus Spike","곰팡이의 가시"
"Fungus Spiker","곰팡이의 가시등"
"Fungus Spiral","곰팡이의 소용돌이"
"Fungus Spire","곰팡이의 첨탑"
"Fungus Spires","곰팡이의 첨탑"
"Fungus Splinter","곰팡이의 파편"
"Fungus Splitter","곰팡이의 스플리터"
"Fungus Spur","곰팡이의 박차"
"Fungus Star","곰팡이의 별"
"Fungus Stare","곰팡이의 눈초리"
"Fungus Stinger","곰팡이의 쐐기털"
"Fungus Stone","곰팡이의 돌"
"Fungus Strap","곰팡이의 혁대"
"Fungus Stride","곰팡이의 질주"
"Fungus Strike","곰팡이의 일격"
"Fungus Suit","곰팡이의 복장"
"Fungus Summons","곰팡이의 소환"
"Fungus Sunder","곰팡이의 작렬"
"Fungus Tackle","곰팡이의 낚시 도구"
"Fungus Tale","곰팡이의 이야기"
"Fungus Talisman","곰팡이의 부적"
"Fungus Talons","곰팡이의 발톱"
"Fungus Territory","곰팡이의 영토"
"Fungus Testament","곰팡이의 증거"
"Fungus Tether","곰팡이의 밧줄"
"Fungus Thirst","곰팡이의 갈증"
"Fungus Thread","곰팡이의 실타래"
"Fungus Thresher","곰팡이의 도리깨"
"Fungus Thunder","곰팡이의 천둥"
"Fungus Tool","곰팡이의 도구"
"Fungus Torc","곰팡이의 목걸이 사슬"
"Fungus Touch","곰팡이의 손길"
"Fungus Tower","곰팡이의 탑"
"Fungus Track","곰팡이의 통로"
"Fungus Trail","곰팡이의 발자취"
"Fungus Trap","곰팡이의 덫"
"Fungus Tread","곰팡이의 발걸음"
"Fungus Trek","곰팡이의 길"
"Fungus Trinket","곰팡이의 장신구"
"Fungus Turn","곰팡이의 선회"
"Fungus Twine","곰팡이의 꼬임"
"Fungus Twirl","곰팡이의 회전"
"Fungus Undertaking","곰팡이의 일"
"Fungus Urge","곰팡이의 열망"
"Fungus Vault","곰팡이의 금고"
"Fungus Veil","곰팡이의 장막"
"Fungus Vessel","곰팡이의 그릇"
"Fungus View","곰팡이의 관점"
"Fungus Vine","곰팡이의 덩굴"
"Fungus Visage","곰팡이의 얼굴"
"Fungus Vise","곰팡이의 조임쇠"
"Fungus Vision","곰팡이의 시각"
"Fungus Visor","곰팡이의 차양"
"Fungus Volcano","곰팡이의 화산"
"Fungus Volley","곰팡이의 사격 공세"
"Fungus Vow","곰팡이의 맹세"
"Fungus Voyage","곰팡이의 항해"
"Fungus Ward","곰팡이의 수호"
"Fungus Warden","곰팡이의 간수"
"Fungus Waste","곰팡이의 황무지"
"Fungus Watch","곰팡이의 감시"
"Fungus Watcher","곰팡이의 감시자"
"Fungus Weaver","곰팡이의 직공"
"Fungus Whorl","곰팡이의 나사선"
"Fungus Wind","곰팡이의 바람"
"Fungus Wing","곰팡이의 부속 건물"
"Fungus Wisdom","곰팡이의 지혜"
"Fungus Wish","곰팡이의 소망"
"Fungus Wound","곰팡이의 상처"
"Fungus Wrap","곰팡이의 겉옷"
"Fungus Wreck","곰팡이의 붕괴"
"Fungus Writ","곰팡이의 영장"
"Fungus Ziggurat","곰팡이의 지구라트"
"Fungus Zone","곰팡이의 지역"
"Gale Abode","강풍의 거처"
"Gale Abyss","강풍의 심연"
"Gale Aegis","강풍의 비호"
"Gale Angler","강풍의 낚시꾼"
"Gale Anthem","강풍의 찬가"
"Gale Apex","강풍의 정점"
"Gale Apparatus","강풍의 기구"
"Gale Arbiter","강풍의 중재자"
"Gale Arch","강풍의 활"
"Gale Arrow","강풍의 화살"
"Gale Artifice","강풍의 책략"
"Gale Badge","강풍의 배지"
"Gale Bait","강풍의 미끼"
"Gale Ballad","강풍의 담시"
"Gale Band","강풍의 띠"
"Gale Bane","강풍의 파멸"
"Gale Barb","강풍의 가시"
"Gale Barrage","강풍의 연발 사격"
"Gale Barrier","강풍의 방어막"
"Gale Bastion","강풍의 보루"
"Gale Batter","강풍의 구타"
"Gale Bauble","강풍의 방울"
"Gale Bead","강풍의 구슬"
"Gale Beads","강풍의 구슬"
"Gale Beak","강풍의 부리"
"Gale Beam","강풍의 광선"
"Gale Bid","강풍의 노력"
"Gale Bind","강풍의 묶음"
"Gale Bite","강풍의 이빨"
"Gale Blast","강풍의 폭발"
"Gale Bliss","강풍의 지복"
"Gale Blood","강풍의 피의"
"Gale Bloom","강풍의 꽃"
"Gale Blow","강풍의 일격"
"Gale Blunt","강풍의 둔기"
"Gale Bolt","강풍의 화살"
"Gale Bond","강풍의 유대"
"Gale Braid","강풍의 끈"
"Gale Branch","강풍의 나뭇가지"
"Gale Brand","강풍의 낙인"
"Gale Breach","강풍의 균열"
"Gale Breaker","강풍의 분쇄기"
"Gale Breath","강풍의 숨결"
"Gale Breeze","강풍의 바람"
"Gale Brow","강풍의 이마"
"Gale Buckle","강풍의 버클"
"Gale Bulwark","강풍의 방벽"
"Gale Burst","강풍의 격발"
"Gale Butcher","강풍의 도살자"
"Gale Cage","강풍의 창살"
"Gale Caldera","강풍의 칼데라"
"Gale Call","강풍의 소환"
"Gale Campaign","강풍의 작전"
"Gale Carapace","강풍의 등딱지"
"Gale Caress","강풍의 손길"
"Gale Cast","강풍의 던지기"
"Gale Challenge","강풍의 도전"
"Gale Chambers","강풍의 방"
"Gale Chant","강풍의 노래"
"Gale Charm","강풍의 부적"
"Gale Choker","강풍의 목줄"
"Gale Chum","강풍의 밑밥"
"Gale Circle","강풍의 고리"
"Gale Clasp","강풍의 걸쇠"
"Gale Claw","강풍의 클로"
"Gale Cloak","강풍의 망토"
"Gale Clutches","강풍의 손아귀"
"Gale Coat","강풍의 외투"
"Gale Coffers","강풍의 궤짝"
"Gale Coil","강풍의 감개"
"Gale Collar","강풍의 목걸이"
"Gale Colony","강풍의 식민지"
"Gale Construct","강풍의 구조물"
"Gale Contraption","강풍의 고안품"
"Gale Cord","강풍의 줄"
"Gale Core","강풍의 중심부"
"Gale Corona","강풍의 광환"
"Gale Court","강풍의 법정"
"Gale Covenant","강풍의 계약"
"Gale Cover","강풍의 덮개"
"Gale Cowl","강풍의 고깔"
"Gale Crack","강풍의 균열"
"Gale Cradle","강풍의 받침대"
"Gale Crag","강풍의 바위"
"Gale Cramp","강풍의 경련"
"Gale Crate","강풍의 나무상자"
"Gale Creed","강풍의 신념"
"Gale Crest","강풍의 문양"
"Gale Crown","강풍의 왕관"
"Gale Crusher","강풍의 타쇄자"
"Gale Cry","강풍의 함성"
"Gale Curio","강풍의 골동품"
"Gale Curtain","강풍의 장막"
"Gale Cut","강풍의 조각"
"Gale Dart","강풍의 화살침"
"Gale Dash","강풍의 질주"
"Gale Deed","강풍의 증서"
"Gale Delirium","강풍의 섬망"
"Gale Depths","강풍의 심연"
"Gale Desire","강풍의 갈망"
"Gale Device","강풍의 장치"
"Gale Dew","강풍의 이슬"
"Gale Disguise","강풍의 위장"
"Gale Dome","강풍의 돔"
"Gale Dream","강풍의 꿈"
"Gale Dregs","강풍의 찌꺼기"
"Gale Drop","강풍의 방울"
"Gale Duty","강풍의 의무"
"Gale Dwelling","강풍의 거주지"
"Gale Edge","강풍의 칼날"
"Gale Ember","강풍의 잉걸불"
"Gale Emblem","강풍의 상징"
"Gale Enterprise","강풍의 사업"
"Gale Equipment","강풍의 장착품"
"Gale Essence","강풍의 에센스"
"Gale Etcher","강풍의 부각사"
"Gale Excavation","강풍의 발굴터"
"Gale Excursion","강풍의 기행"
"Gale Expedition","강풍의 탐험"
"Gale Exploration","강풍의 원정"
"Gale Eye","강풍의 눈"
"Gale Fang","강풍의 송곳니"
"Gale Fend","강풍의 방어"
"Gale Fetish","강풍의 숭배물"
"Gale Finger","강풍의 손가락"
"Gale Fingers","강풍의 손가락"
"Gale Firestorm","강풍의 화염 폭풍"
"Gale Fish","강풍의 물고기"
"Gale Fist","강풍의 주먹"
"Gale Flame","강풍의 화염"
"Gale Fletch","강풍의 화살깃"
"Gale Flight","강풍의 비행"
"Gale Folktale","강풍의 설화"
"Gale Frontier","강풍의 개척지"
"Gale Gaze","강풍의 응시"
"Gale Gear","강풍의 장비"
"Gale Gill","강풍의 아가미"
"Gale Girdle","강풍의 허리띠"
"Gale Glance","강풍의 곁눈질"
"Gale Glare","강풍의 섬광"
"Gale Glimmer","강풍의 미광"
"Gale Glisten","강풍의 반짝임"
"Gale Globe","강풍의 구체"
"Gale Gnarl","강풍의 마디"
"Gale Gnash","강풍의 악문 이빨"
"Gale Goad","강풍의 몰이 막대"
"Gale Gorget","강풍의 목가리개"
"Gale Grasp","강풍의 장악"
"Gale Grinder","강풍의 갈이개"
"Gale Grip","강풍의 손아귀"
"Gale Guard","강풍의 수호"
"Gale Guardian","강풍의 가디언"
"Gale Guide","강풍의 안내"
"Gale Gutter","강풍의 시궁창"
"Gale Gyre","강풍의 선회"
"Gale Hail","강풍의 칭송"
"Gale Halo","강풍의 후광"
"Gale Hand","강풍의 손"
"Gale Harness","강풍의 고삐"
"Gale Haven","강풍의 안식처"
"Gale Heart","강풍의 심장"
"Gale Hide","강풍의 가죽"
"Gale Hold","강풍의 유지"
"Gale Hoof","강풍의 발굽"
"Gale Hope","강풍의 희망"
"Gale Horn","강풍의 뿔"
"Gale Hunger","강풍의 갈망"
"Gale Ichor","강풍의 영액"
"Gale Idol","강풍의 우상"
"Gale Impaler","강풍의 꼬챙이"
"Gale Implement","강풍의 기물"
"Gale Incitement","강풍의 조장"
"Gale Inferno","강풍의 지옥불"
"Gale Inscription","강풍의 명문"
"Gale Instigation","강풍의 교사"
"Gale Instrument","강풍의 계기"
"Gale Invitation","강풍의 초대"
"Gale Invocation","강풍의 기원"
"Gale Iridescence","강풍의 무지개 빛깔"
"Gale Jack","강풍의 상인"
"Gale Jig","강풍의 지그"
"Gale Journey","강풍의 여정"
"Gale Joy","강풍의 기쁨"
"Gale Keep","강풍의 감옥"
"Gale Keeper","강풍의 보관자"
"Gale Key","강풍의 열쇠"
"Gale Kit","강풍의 공구"
"Gale Knell","강풍의 전조"
"Gale Knot","강풍의 매듭"
"Gale Knuckle","강풍의 관절"
"Gale Lahar","강풍의 화산이류"
"Gale Lands","강풍의 땅"
"Gale Lash","강풍의 채찍"
"Gale League","강풍의 리그"
"Gale Leash","강풍의 가죽끈"
"Gale Leer","강풍의 시선"
"Gale Lens","강풍의 시점"
"Gale Line","강풍의 낚싯줄"
"Gale Liturgy","강풍의 기도문"
"Gale Lock","강풍의 자물쇠"
"Gale Locket","강풍의 갑 목걸이"
"Gale Loop","강풍의 고리"
"Gale Lure","강풍의 루어"
"Gale Machine","강풍의 장치"
"Gale Magma","강풍의 마그마"
"Gale Mandate","강풍의 통치"
"Gale Mangler","강풍의 파괴자"
"Gale Manifesto","강풍의 성명서"
"Gale Mantle","강풍의 외투"
"Gale March","강풍의 행진"
"Gale Mark","강풍의 징표"
"Gale Mast","강풍의 돛대"
"Gale Material","강풍의 재료"
"Gale Medallion","강풍의 메달리온"
"Gale Mission","강풍의 임무"
"Gale Mitts","강풍의 미트"
"Gale Myth","강풍의 신화"
"Gale Nail","강풍의 손톱"
"Gale Nails","강풍의 손톱"
"Gale Needle","강풍의 바늘"
"Gale Nexus","강풍의 연결부"
"Gale Nock","강풍의 활시위"
"Gale Noose","강풍의 올가미"
"Gale Oath","강풍의 서약"
"Gale Oculus","강풍의 눈"
"Gale Offer","강풍의 제안"
"Gale Orb","강풍의 구체"
"Gale Orders","강풍의 명령서"
"Gale Ornament","강풍의 장신구"
"Gale Oubliette","강풍의 지하 감옥"
"Gale Outpost","강풍의 전초기지"
"Gale Pace","강풍의 보조"
"Gale Pact","강풍의 맹약"
"Gale Palm","강풍의 손바닥"
"Gale Panorama","강풍의 전경"
"Gale Passage","강풍의 통로"
"Gale Pause","강풍의 중지"
"Gale Paw","강풍의 발"
"Gale Peak","강풍의 앞챙"
"Gale Pelt","강풍의 가죽모"
"Gale Pendant","강풍의 펜던트"
"Gale Pile","강풍의 더미"
"Gale Pillar","강풍의 기둥"
"Gale Pit","강풍의 구덩이"
"Gale Pith","강풍의 핵심"
"Gale Pledge","강풍의 선서"
"Gale Point","강풍의 끝"
"Gale Pole","강풍의 기둥"
"Gale Portent","강풍의 전조"
"Gale Post","강풍의 말뚝"
"Gale Precinct","강풍의 구획"
"Gale Prism","강풍의 분광기"
"Gale Provocation","강풍의 촉발"
"Gale Quarters","강풍의 구역"
"Gale Quest","강풍의 도전"
"Gale Quill","강풍의 화살"
"Gale Rain","강풍의 비"
"Gale Ram","강풍의 충격"
"Gale Razor","강풍의 면도날"
"Gale Reach","강풍의 역량"
"Gale Reaches","강풍의 역량"
"Gale Refuge","강풍의 피난처"
"Gale Refuse","강풍의 거절"
"Gale Relic","강풍의 유물"
"Gale Remains","강풍의 유물"
"Gale Remnant","강풍의 유물"
"Gale Rend","강풍의 분리"
"Gale Rite","강풍의 의례"
"Gale Road","강풍의 길"
"Gale Roar","강풍의 포효"
"Gale Rock","강풍의 바위"
"Gale Rod","강풍의 막대"
"Gale Rook","강풍의 성"
"Gale Roost","강풍의 보금자리"
"Gale Rosary","강풍의 묵주"
"Gale Ruin","강풍의 유적"
"Gale Rupture","강풍의 파열"
"Gale Saga","강풍의 영웅담"
"Gale Salvation","강풍의 구원"
"Gale Sanctuary","강풍의 성역"
"Gale Sanctum","강풍의 지성소"
"Gale Saw","강풍의 톱"
"Gale Scalpel","강풍의 수술칼"
"Gale Scar","강풍의 흉터"
"Gale Scarab","강풍의 갑충석"
"Gale Scratch","강풍의 찰과상"
"Gale Scripture","강풍의 성서"
"Gale Scum","강풍의 쓰레기"
"Gale Secrets","강풍의 비밀"
"Gale Sector","강풍의 영역"
"Gale Sentry","강풍의 보초"
"Gale Sepulchre","강풍의 매장소"
"Gale Sever","강풍의 절단"
"Gale Shackle","강풍의 족쇄"
"Gale Shadows","강풍의 그림자"
"Gale Shard","강풍의 파편"
"Gale Shatter","강풍의 산산조각"
"Gale Shell","강풍의 껍질"
"Gale Shelter","강풍의 대피소"
"Gale Shine","강풍의 광채"
"Gale Shot","강풍의 사격"
"Gale Shroud","강풍의 연막"
"Gale Siege","강풍의 공성"
"Gale Sight","강풍의 통찰력"
"Gale Sinker","강풍의 봉돌"
"Gale Skewer","강풍의 꼬챙이"
"Gale Skin","강풍의 피부"
"Gale Slag","강풍의 용재"
"Gale Slayer","강풍의 슬레이어"
"Gale Slicer","강풍의 썰기"
"Gale Slippers","강풍의 슬리퍼"
"Gale Sliver","강풍의 편린"
"Gale Smasher","강풍의 파쇄기"
"Gale Snare","강풍의 올가미"
"Gale Solace","강풍의 위안"
"Gale Sole","강풍의 밑창"
"Gale Solitude","강풍의 고독"
"Gale Song","강풍의 노래"
"Gale Span","강풍의 발"
"Gale Spark","강풍의불꽃"
"Gale Spawn","강풍의 유충"
"Gale Spear","강풍의 창"
"Gale Spell","강풍의 주문"
"Gale Sphere","강풍의 구"
"Gale Spike","강풍의 가시"
"Gale Spiker","강풍의 가시등"
"Gale Spiral","강풍의 소용돌이"
"Gale Spire","강풍의 첨탑"
"Gale Spires","강풍의 첨탑"
"Gale Splinter","강풍의 파편"
"Gale Splitter","강풍의 스플리터"
"Gale Spur","강풍의 박차"
"Gale Star","강풍의 별"
"Gale Stare","강풍의 눈초리"
"Gale Stinger","강풍의 쐐기털"
"Gale Stone","강풍의 돌"
"Gale Strap","강풍의 혁대"
"Gale Stride","강풍의 질주"
"Gale Strike","강풍의 일격"
"Gale Suit","강풍의 복장"
"Gale Summons","강풍의 소환"
"Gale Sunder","강풍의 작렬"
"Gale Tackle","강풍의 낚시 도구"
"Gale Tale","강풍의 이야기"
"Gale Talisman","강풍의 부적"
"Gale Talons","강풍의 발톱"
"Gale Territory","강풍의 영토"
"Gale Testament","강풍의 증거"
"Gale Tether","강풍의 밧줄"
"Gale Thirst","강풍의 갈증"
"Gale Thread","강풍의 실타래"
"Gale Thresher","강풍의 도리깨"
"Gale Thunder","강풍의 천둥"
"Gale Tool","강풍의 도구"
"Gale Torc","강풍의 목걸이 사슬"
"Gale Touch","강풍의 손길"
"Gale Tower","강풍의 탑"
"Gale Track","강풍의 통로"
"Gale Trail","강풍의 발자취"
"Gale Trap","강풍의 덫"
"Gale Tread","강풍의 발걸음"
"Gale Trek","강풍의 길"
"Gale Trinket","강풍의 장신구"
"Gale Turn","강풍의 선회"
"Gale Twine","강풍의 꼬임"
"Gale Twirl","강풍의 회전"
"Gale Undertaking","강풍의 일"
"Gale Urge","강풍의 열망"
"Gale Vault","강풍의 금고"
"Gale Veil","강풍의 장막"
"Gale Vessel","강풍의 그릇"
"Gale View","강풍의 관점"
"Gale Vine","강풍의 덩굴"
"Gale Visage","강풍의 얼굴"
"Gale Vise","강풍의 조임쇠"
"Gale Vision","강풍의 시각"
"Gale Visor","강풍의 차양"
"Gale Volcano","강풍의 화산"
"Gale Volley","강풍의 사격 공세"
"Gale Vow","강풍의 맹세"
"Gale Voyage","강풍의 항해"
"Gale Ward","강풍의 수호"
"Gale Warden","강풍의 간수"
