"Abberath's Hooves","아버라스의 발굽(Abberath's Hooves)"
"The Formless Flame","무형의 불꽃(The Formless Flame)"
"The Formless Inferno","무형의 지옥불(The Formless Inferno)"
"The Fracturing Spinner","분쇄형 회전기(The Fracturing Spinner)"
"The Front Line","최전방(The Front Line)"
"The Fulcrum","버팀대(The Fulcrum)"
"The Ghastly Theatre","무시무시한 극장(The Ghastly Theatre)"
"The Goddess Bound","속박된 여신(The Goddess Bound)"
"The Goddess Scorned","경멸받는 여신(The Goddess Scorned)"
"The Goddess Unleashed","해방된 여신(The Goddess Unleashed)"
"The Golden Rule","황금 법칙(The Golden Rule)"
"The Green Dream","녹색 꿈(The Green Dream)"
"The Green Nightmare","녹색 악몽(The Green Nightmare)"
"The Grey Spire","회색 가지(The Grey Spire)"
"The Gryphon","그리폰(The Gryphon)"
"The Gull","갈매기(The Gull)"
"The Halcyon","평온(The Halcyon)"
"The Harvest","수확(The Harvest)"
"The Hidden Blade","숨겨진 칼날(The Hidden Blade)"
"The Highwayman","노상강도(The Highwayman)"
"The Hungry Loop","허기진 고리(The Hungry Loop)"
"The Ignomon","이그노몬(The Ignomon)"
"The Immortal Will","불멸의 의지(The Immortal Will)"
"The Infinite Pursuit","끝없는 추적(The Infinite Pursuit)"
"The Interrogation","취조(The Interrogation)"
"The Iron Fortress","철의 요새(The Iron Fortress)"
"The Iron Mass","철제 운집(The Iron Mass)"
"The Ivory Tower","상아탑(The Ivory Tower)"
"The Jinxed Juju","징크스 액막이(The Jinxed Juju)"
"The Long Winter","기나긴 겨울(The Long Winter)"
"The Magnate","거물(The Magnate)"
"The Naming Temporary","임시 이름(The Naming Temporary)"
"The Nomad","유목민(The Nomad)"
"The Oak","참나무(The Oak)"
"The Overflowing Chalice","넘치는 성배(The Overflowing Chalice)"
"The Pandemonius","대혼란(The Pandemonius)"
"The Pariah","부랑자(The Pariah)"
"The Perandus Manor","페란두스 저택(The Perandus Manor)"
"The Peregrine","송골매(The Peregrine)"
"The Perfect Form","완벽한 구조(The Perfect Form)"
"The Poet's Pen","시인의 펜(The Poet's Pen)"
"The Primordial Chain","태고의 사슬(The Primordial Chain)"
"The Princess","공주(The Princess)"
"The Putrid Cloister","악취 나는 수도원(The Putrid Cloister)"
"The Queen's Hunger","여왕의 갈망(The Queen's Hunger)"
"The Rat Cage","쥐덫(The Rat Cage)"
"The Red Dream","붉은 꿈(The Red Dream)"
"The Red Nightmare","붉은 악몽(The Red Nightmare)"
"The Red Trail","붉은 발자취(The Red Trail)"
"The Restless Ward","끊임없는 수호(The Restless Ward)"
"The Retch","레치(The Retch)"
"The Rippling Thoughts","퍼져나가는 생각(The Rippling Thoughts)"
"The Saviour","구원자(The Saviour)"
"The Scales of Justice","정의의 저울(The Scales of Justice)"
"The Scourge","재앙(The Scourge)"
"The Screaming Eagle","울부짖는 독수리(The Screaming Eagle)"
"The Searing Touch","이글거리는 손길(The Searing Touch)"
"The Shattered Divinity","산산이 조각난 신성(The Shattered Divinity)"
"The Siege","포위 작전(The Siege)"
"The Signal Fire","봉화(The Signal Fire)"
"The Snowblind Grace","설맹의 은총(The Snowblind Grace)"
"The Sorrow of the Divine","신의 슬픔(The Sorrow of the Divine)"
"The Squire","종자(The Squire)"
"The Stampede","쇄도(The Stampede)"
"The Stormheart","태풍의 눈(The Stormheart)"
"The Stormwall","태풍의 장벽(The Stormwall)"
"The Supreme Truth","지고의 진리(The Supreme Truth)"
"The Surging Thoughts","쇄도하는 생각(The Surging Thoughts)"
"The Surrender","포기(The Surrender)"
"The Tactician","전술가(The Tactician)"
"The Taming","조련(The Taming)"
"The Tempest's Binding","폭풍의 속박(The Tempest's Binding)"
"The Tempest's Liberation","폭풍의 해방(The Tempest's Liberation)"
"The Tempest","폭풍(The Tempest)"
"The Tempestuous Steel","격렬한 강철(The Tempestuous Steel)"
"The Three Dragons","세 마리의 용(The Three Dragons)"
"The Torrent's Reclamation","격류의 교화(The Torrent's Reclamation)"
"The Twilight Temple","황혼의 사원(The Twilight Temple)"
"The Unshattered Will","불굴의 의지(The Unshattered Will)"
"The Vast Horizon","끝없는 지평선(The Vast Horizon)"
"The Vertex","최정점(The Vertex)"
"The Vigil","철야 기도(The Vigil)"
"The Vinktar Square","빙타 광장(The Vinktar Square)"
"The Walls","장벽(The Walls)"
"The Warden's Brand","간수의 낙인(The Warden's Brand)"
"The Wasp Nest","말벌의 독침(The Wasp Nest)"
"The Whispering Ice","속삭이는 얼음(The Whispering Ice)"
"The Wise Oak","지혜의 참나무(The Wise Oak)"
"The Writhing Jar","꿈틀거리는 단지(The Writhing Jar)"
"The Yielding Mortality","누그러진 필멸성(The Yielding Mortality)"
"Thief's Torment","도둑의 고통(Thief's Torment)"
"Thirst for Horrors","공포에 대한 갈증(Thirst for Horrors)"
"Thousand Ribbons","천 개의 리본(Thousand Ribbons)"
"Thousand Teeth Temu","천 개의 이빨 테무(Thousand Teeth Temu)"
"Thread of Hope","희망의 실타래(Thread of Hope)"
"Three-step Assault","삼단 공격(Three-step Assault)"
"Thunder of the Dawn","새벽의 천둥(Thunder of the Dawn)"
"Thunderfist","천둥 주먹(Thunderfist)"
"Thundersight","천둥 시야(Thundersight)"
"Tidebreaker","물결 분쇄기(Tidebreaker)"
"Timeclasp","시간의 속박(Timeclasp)"
"Timetwist","시간 왜곡(Timetwist)"
"Tinkerskin","톱니의 보호(Tinkerskin)"
"Titucius' Span","티투시우스의 방패(Titucius' Span)"
"To Dust","먼지처럼 사라져라(To Dust)"
"Tombfist","툼피스트(Tombfist)"
"Torchoak Step","횃불 참나무 층계(Torchoak Step)"
"Touch of Anguish","비통의 손길(Touch of Anguish)"
"Transcendent Flesh","초월한 육체(Transcendent Flesh)"
"Transcendent Mind","초월한 마음(Transcendent Mind)"
"Transcendent Spirit","초월한 정신(Transcendent Spirit)"
"Tremor Rod","전율의 막대(Tremor Rod)"
"Triad Grip","삼합의 손아귀(Triad Grip)"
"Triumvirate Authority","삼두 정치의 권위(Triumvirate Authority)"
"Trolltimber Spire","트롤나무 꼭대기(Trolltimber Spire)"
"Trypanon","트리파논(Trypanon)"
"Tukohama's Fortress","투코하마의 요새(Tukohama's Fortress)"
"Tulborn","툴의 탄생(Tulborn)"
"Tulfall","툴의 몰락(Tulfall)"
"Twisted Distant Memory","뒤틀린 희미한 기억(Twisted Distant Memory)"
"Twyzel","트위즐(Twyzel)"
"Ulaman's Gaze","울라만의 응시(Ulaman's Gaze)"
"Ullr's Advent","울러의 출현(Ullr's Advent)"
"Umbilicus Immortalis","불멸의 탯줄(Umbilicus Immortalis)"
"Underdog's Fury","패배자의 광분(Underdog's Fury)"
"Unending Hunger","끝없는 허기(Unending Hunger)"
"Ungil's Gauche","웅힐의 투박함(Ungil's Gauche)"
"Ungil's Harmony","웅힐의 조화(Ungil's Harmony)"
"United in Dream","꿈속의 연합(United in Dream)"
"Unnatural Instinct","기이한 본능(Unnatural Instinct)"
"Unstable Payload","불안정한 하중(Unstable Payload)"
"Untainted Paradise","때묻지 않은 낙원(Untainted Paradise)"
"Unyielding Flame","완고한 불꽃(Unyielding Flame)"
"Usurper's Penance","찬탈자의 속죄(Usurper's Penance)"
"Uul-Netol's Embrace","울네톨의 포옹(Uul-Netol's Embrace)"
"Uul-Netol's Kiss","울네톨의 입맞춤(Uul-Netol's Kiss)"
"Uul-Netol's Vow","울네톨의 맹세(Uul-Netol's Vow)"
"Uzaza's Meadow","우자자의 초원(Uzaza's Meadow)"
"Uzaza's Mountain","우자자의 산(Uzaza's Mountain)"
"Uzaza's Valley","우자자의 계곡(Uzaza's Valley)"
"Vaal Caress","바알의 손길(Vaal Caress)"
"Vaal Sentencing","바알의 판결(Vaal Sentencing)"
"Valako's Sign","발라코의 표식(Valako's Sign)"
"Valyrium","발리륨(Valyrium)"
"Vampire's Might","흡혈귀의 완력(Vampire's Might)"
"Varunastra","바루나스트라(Varunastra)"
"Vaults of Atziri","앗지리의 금고실(Vaults of Atziri)"
"Veil of the Night","밤의 장막(Veil of the Night)"
"Venopuncture","혈관 관통(Venopuncture)"
"Ventor's Gamble","벤토의 도박(Ventor's Gamble)"
"Veruso's Battering Rams","베루소의 공성추(Veruso's Battering Rams)"
"Vessel of Vinktar","빙타의 그릇(Vessel of Vinktar)"
"Vestige of Divinity","신성의 자취(Vestige of Divinity)"
"Victario's Acuity","빅타리오의 예리함(Victario's Acuity)"
"Victario's Charity","빅타리오의 자비(Victario's Charity)"
"Victario's Flight","빅타리오의 비상(Victario's Flight)"
"Victario's Influence","빅타리오의 영향력(Victario's Influence)"
"Violent Dead","난폭한 망자(Violent Dead)"
"Viper's Scales","독사의 비늘(Viper's Scales)"
"Viridi's Veil","비리디의 장막(Viridi's Veil)"
"Vis Mortis","비스 모티스(Vis Mortis)"
"Vivinsect","생체 해부(Vivinsect)"
"Vix Lunaris","불굴의 달(Vix Lunaris)"
"Vixen's Entrapment","암여우의 함정(Vixen's Entrapment)"
"Voice of the Storm","태풍의 목소리(Voice of the Storm)"
"Voices","목소리(Voices)"
"Void Battery","공허 충전기(Void Battery)"
"Voidbringer","공허 인도자(Voidbringer)"
"Voideye","공허의 눈(Voideye)"
"Voidfletcher","공허 화살깃(Voidfletcher)"
"Voidforge","무효화(Voidforge)"
"Voidheart","공허의 심장(Voidheart)"
"Voidhome","공허한 고향(Voidhome)"
"Voidwalker","공허 보행자(Voidwalker)"
"Volkuur's Guidance","볼쿠르의 인도(Volkuur's Guidance)"
"Voll's Devotion","볼의 헌신(Voll's Devotion)"
"Voll's Protector","볼의 보호자(Voll's Protector)"
"Voll's Vision","볼의 시각(Voll's Vision)"
"Volley Fire","일제 포격(Volley Fire)"
"Voltaxic Rift","전도성 균열(Voltaxic Rift)"
"Vorana's March","보라나의 행진(Vorana's March)"
"Vorana's Preparation","보라나의 준비(Vorana's Preparation)"
"Vulconus","불커누스(Vulconus)"
"Wake of Destruction","파괴의 경야(Wake of Destruction)"
"Wall of Brambles","가시나무 벽(Wall of Brambles)"
"Wanderlust","방랑벽(Wanderlust)"
"War Among the Stars","별들의 전쟁(War Among the Stars)"
"Warlord's Reach","전쟁군주의 역량(Warlord's Reach)"
"Warped Timepiece","뒤틀린 시계(Warped Timepiece)"
"Warrior's Legacy","전사의 유산(Warrior's Legacy)"
"Watcher's Eye","감시자의 눈(Watcher's Eye)"
"Weight of Sin","죄의 무게(Weight of Sin)"
"Weight of the Empire","제국의 무게(Weight of the Empire)"
"Whakatutuki o Matua","와카투투키 오 마투아(Whakatutuki o Matua)"
"Whakawairua Tuahu","와카와 투아후(Whakawairua Tuahu)"
"Wheel of the Stormsail","거친 항해의 타륜(Wheel of the Stormsail)"
"White Wind","눈바람(White Wind)"
"Wideswing","넓은 자루 도끼(Wideswing)"
"Widowmaker","위도우메이커(Widowmaker)"
"Wildfire","도깨비불(Wildfire)"
"Wildslash","거친 베기(Wildslash)"
"Wildwrap","황야의 겉옷(Wildwrap)"
"Willclash","의지의 충돌(Willclash) 모조품"
"Willowgift","버드나무 선물(Willowgift)"
"Windripper","윈드리퍼(Windripper)"
"Winds of Change","변화의 바람(Winds of Change)"
"Windscream","바람의 괴성(Windscream)"
"Windshriek","바람의 비명(Windshriek)"
"Wings of Entropy","엔트로피의 날개(Wings of Entropy)"
"Winter's Bounty","겨울의 하사품(Winter's Bounty)"
"Winter Burial","한겨울의 장례식(Winter Burial)"
"Winterheart","겨울심장(Winterheart)"
"Winterweave","겨울 매듭(Winterweave)"
"Witchfire Brew","불타는 마녀의 술(Witchfire Brew)"
"Witchhunter's Judgment","마녀 사냥꾼의 심판(Witchhunter's Judgment)"
"Wondertrap","기적의 발판(Wondertrap)"
"Worldcarver","세계분쇄기(Worldcarver)"
"Wraeclast Pantheon","레이클라스트 판테온(Wraeclast Pantheon)"
"Wraithlord","악령 군주(Wraithlord)"
"Wreath of Phrecia","프레시아의 화관(Wreath of Phrecia)"
"Wurm's Molt","웜의 허물(Wurm's Molt)"
"Wyrmsign","아룡의 징조(Wyrmsign)"
"Xirgil's Crank","저글의 손잡이(Xirgil's Crank)"
"Xoph's Blood","조프의 피(Xoph's Blood)"
"Xoph's Heart","조프의 심장(Xoph's Heart)"
"Xoph's Inception","조프의 시초(Xoph's Inception)"
"Xoph's Nurture","조프의 보살핌(Xoph's Nurture)"
"Yaomac's Accord","야오맥의 합의(Yaomac's Accord)"
"Ylfeban's Trickery","일프밴의 계략(Ylfeban's Trickery)"
"Yoke of Suffering","고통의 멍에(Yoke of Suffering)"
"Yriel's Fostering","이리엘의 훈육(Yriel's Fostering)"
"Zahndethus' Cassock","잔데투스의 성직복(Zahndethus' Cassock)"
"Zeel's Amplifier","질의 증폭기(Zeel's Amplifier)"
"Zerphi's Heart","제르피의 심장(Zerphi's Heart)"
"Zerphi's Last Breath","제르피의 마지막 숨결(Zerphi's Last Breath)"
"Zerphi's Youth","제르피의 젊음(Zerphi's Youth)"
"Usurper's Penance","찬탈자의 속죄(Usurper's Penance)"
"Glimpse of Chaos","혼돈의 섬광(Glimpse of Chaos)"
"Hateforge","증오의 탄생(Hateforge)"
"Temptation Step","유혹의 발걸음(Temptation Step)"
"Faithguard","신념의 수호(Faithguard)"
"Cadigan's Crown","캐디건의 왕관(Cadigan's Crown)"
"Nightgrip","밤손아귀(Nightgrip)"
"Medved's Challenge","메드베드의 도전(Medved's Challenge)"
"Vorana's March","보라나의 행진(Vorana's March)"
"Olroth's Charge","올로스의 돌진(Olroth's Charge)"
"Cane of Kulemak","쿨레막의 지팡이(Cane of Kulemak)"
"Atziri's Rule","앗지리의 통치(Atziri's Rule)"
"Yaomac's Accord","야오맥의 합의(Yaomac's Accord)"
"Relic of the Pact","맹약의 유물(Relic of the Pact)"
"Triumvirate Authority","삼두 정치의 권위(Triumvirate Authority)"
"Seething Fury","끓어오르는 광분(Seething Fury)"
"Mahuxotl's Machination","마훅소틀의 계책(Mahuxotl's Machination)"
"The Scales of Justice","정의의 저울(The Scales of Justice)"
"Tecrod's Gaze","테크로드의 응시(Tecrod's Gaze)"
"Ulaman's Gaze","울라만의 응시(Ulaman's Gaze)"
"Amanamu's Gaze","아마나무의 응시(Amanamu's Gaze)"
"Steelworm","강철지렁이(Steelworm)"
"Kurgal's Gaze","쿠르갈의 응시(Kurgal's Gaze)"
"Olroth's Resolve","올로스의 결의(Olroth's Resolve)"
"Starlight Chalice","별빛 성배(Starlight Chalice)"
"Elixir of the Unbroken Circle","끊어진 원의 영액(Elixir of the Unbroken Circle)"
"Vorana's Preparation","보라나의 준비(Vorana's Preparation)"
"Stasis Prison","정체 감옥(Stasis Prison)"
"Gravebind","무덤의 속박(Gravebind)"
"Stranglegasp","교살의 손아귀(Stranglegasp)"
"Uul-Netol's Vow","울네톨의 맹세(Uul-Netol's Vow)"
"Band of the Victor","승리자의 반지(Band of the Victor)"
"Mageblood","마법사의 피(Mageblood)"
"The Squire","종자(The Squire)"
"The Oppressor","억압자(The Oppressor)"
"Ashes of the Stars","별의 재(Ashes of the Stars)"
"Crystallised Omniscience","결정화된 전지력(Crystallised Omniscience)"
"Forbidden Flesh","금단의 살점(Forbidden Flesh)"
"Forbidden Flame","금단의 화염(Forbidden Flame)"
"Melding of the Flesh","살점의 융합(Melding of the Flesh)"

"Hotfooted","핫풋(Hotfooted)"
"Hotheaded","핫헤드(Hotheaded)"
"Replica Hotheaded","핫헤드(Hotheaded) 모조품"
"Replica Perfect Form","완벽한 구조 모조품(Replica Perfect Form)"
