"Doedre's Gluttony","도이드리의 폭식"
"Projectile Damage, Accuracy","투사체 피해, 정확도"
"Projectile Damage, Mark Cast Speed","투사체 피해, 징표 시전 속도"
"Projectile Damage, Critical Strike Chance","투사체 피해, 치명타 확률"
"Projectile Damage, Projectile Speed","투사체 피해, 투사체 속도"
"Ricochet","튕겨 쏘기"
"Trickster","트릭스터"
"Special Reserve","특별한 점유"
"Exceptional Performance","특출난 솜씨"
"Strong Arm","튼튼한 팔"
"Precise Focus","틀림없는 집중"
"Cold to the Core","파고드는 추위"
"Wrecking Ball","파괴구"
"Raze and Pillage","파괴와 약탈"
"Heart of Destruction","파괴의 심장"
"Agent of Destruction","파괴의 요원"
"Drive the Destruction","파괴의 원동력"
"Destroyer","파괴자"
"Devastator","파괴자"
"Destructive Apparatus","파괴적인 기구"
"Devastating Devices","파괴적인 장치"
"Destructive Aspect","파괴적인 측면"
"Whispers of Doom","파멸의 속삭임"
"Surveillance","파수"
"Sentinel","파수꾼"
"Rupturing","파열의 힘"
"Passive Point","패시브 포인트"
"Pathfinder","패스파인더"
"Counterweight","평형추"
"Rite of Ruin","폐허의 의식"
"Vicious Skewering","포악한 꿰기"
"Vicious Guard","포악한 방어"
"Vicious Bite","포악한 이빨"
"Riot Queller","폭동 진압자"
"Explosive Runes","폭발 룬"
"Blast Radius","폭발 반경"
"Explosive Elements","폭발 원소"
"Blast-Freeze","폭발-동결"
"Explosive Force","폭발력"
"Explosives Expert","폭발물 전문가"
"Volatile Mines","폭발성 지뢰"
"Blast Waves","폭발의 물결"
"Explosive Impact","폭발적인 충격"
"Unstoppable","폭주"
"Bomb Specialist","폭탄 전문가"
"Demolitions Specialist","폭파 전문가"
"Tempest Blast","폭풍 강타"
"Valako, Storm's Embrace","폭풍으로 감싸는 자, 발라코"
"Eye of the Storm","폭풍의 눈"
"Shaper of Storms","폭풍의 형성자"
"Weathered Hunter","풍파에 시달린 사냥꾼"
"Flask Mastery","플라스크 숙련"
"Flask Charges Used","플라스크 충전 사용"
"Flask Charges Gained","플라스크 충전 획득"
"Flask Effect and Duration","플라스크 효과 및 지속시간"
"Flask Effect and Charges Gained","플라스크 효과 및 충전 획득"
"Flask Effect Duration","플라스크 효과 지속시간"
"Flask Effect, Attack Damage","플라스크 효과, 공격 피해"
"Flask Effect, Poison Duration","플라스크 효과, 중독 지속시간"
"Flask Effect, Chaos Damage","플라스크 효과, 카오스 피해"
"Curse Effect on You and Chaos Resistance","플레이어에게 저주 효과, 카오스 저항"
"Bloodletting","피 뽑기"
"Blood Siphon","피 착취"
"Blood Drinker","피 흡수자"
"Blood in the Eyes","피맺힌 눈"
"Taste for Blood","피의 갈증"
"Inevitable Judgement","피할 수 없는 심판"
"Damage and Mana","피해 및 마나"
"Damage and Energy Shield","피해 및 에너지 보호막"
"Damaging Ailment Duration","피해를 주는 상태 이상 지속시간"
"Vital Focus","필수적인 집중"
"Hound's Mark","하운드의 마크"
"Hierophant","하이로펀트"
"Disciple of the Slaughter","학살 신봉자"
"Lust for Carnage","학살의 욕망"
"Aspect of Carnage","학살의 위상"
"Path of the Savant","학자의 길"
"One Step Ahead","한발 앞서"
"One Handed Melee Damage","한손 근접 피해"
"One Handed Damage","한손 피해"
"Warcry Buff Effect","함성 버프 효과"
"Warcry Speed","함성 속도"
"Warcry Speed and Cooldown Recovery","함성 속도 및 재사용 대기시간 회복"
"Warcry Speed and Exerted Attack Damage","함성 속도 및 전력 공격 피해"
"Warcry Speed and Duration","함성 속도 및 지속시간"
"Warcry Speed and Area of Effect","함성 속도 및 효과 범위"
"Warcry Mastery","함성 숙련"
"Warcry Cooldown Recovery","함성 재사용 대기시간 회복"
"Warcry Cooldown Recovery and Exerted Attack Damage","함성 재사용 대기시간 회복 및 전력 공격 피해"
"Warcry Cooldown Recovery and Duration","함성 재사용 대기시간 회복 및 지속기간"
"Warcry Cooldown Recovery and Area of Effect","함성 재사용 대기시간 회복 및 효과 범위"
"Warcry Area of Effect","함성 효과 범위"
"Skull Cracking","해골 부수기"
"Skullbreaker","해골 분쇄자"
"Skeletal Atrophy","해골의 위축"
"Harrier","해리어"
"Disintegration","해체"
"Devotion","헌신"
"Hulking Corpses","헐킹 시체"
"Dazzling Strikes","현란한 강타"
"Sage","현자"
"Blood Magic","혈마법"
"Written in Blood","혈서"
"Blood Artist","혈액 예술가"
"Bloodscent","혈향"
"Unspeakable Gifts","형언불가"
"Bodyguards","호위병"
"Worthy Foe","호적수"
"Ghost Reaver","혼 강탈자"
"Disorienting Display","혼란스러운 과시"
"Spirit Void","혼백 비우기"
"Spiritual Aid","혼백의 도움"
"Spiritual Command","혼백의 명령"
"Ghost Dance","혼의 춤"
"Master Fletcher","화살 숙련가"
"Burning Damage Multiplier","화상 피해 배율"
"Fire and Cold Damage","화염 및 냉기 피해"
"Fire Walker","화염 보행자"
"Fire Mastery","화염 숙련"
"Fire Resistance","화염 저항"
"Maximum Fire Resistance","화염 저항 최대치"
"Fire Damage","화염 피해"
"Fire Damage and Life Regeneration","화염 피해 및 생명력 재생"
"Fire Damage and Cast Speed","화염 피해 및 시전 속도"
"Fire Damage and Area of Effect","화염 피해 및 효과 범위"
"Fan the Flames","화염을 팬"
"Breath of Flames","화염의 숨결"
"Heart of Flame","화염의 심장"
"Shaper of Flames","화염의 형성자"
"Fire Attunement","화재 조율"
"Compound Injury","화합물 부상"
"Resolute Technique","확고한 기술"
"Magnifier","확대경"
"Assured Strike","확실한 타격"
"Revelry","환락"
"Calamitous","환란"
"Bow Attack Speed and Accuracy","활 공격 속도 및 정확도"
"Bow Attack Speed and Phasing","활 공격 속도 및 차원능력"
"Physical Bow Damage and Stun Threshold","활 물리 피해 및 기절 한계치"
"Bow Mastery","활 숙련"
"Bow Accuracy","활 정확도"
"Bow Damage Over Time","활 지속 피해"
"Bow Critical Strike Chance and Multiplier","활 치명타 확률 및 피해"
"Bow Damage","활 피해"
"Bow Damage and Attack Speed","활 피해 및 공격 속도"
"Bow Damage and Accuracy","활 피해 및 정확도"
"Bow Damage and Critical Strike Chance","활 피해 및 치명타 확률"
"Bow Damage and Evasion","활 피해 및 회피"
"Bow Area of Effect","활 효과 범위"
"Vigour","활력"
"Vitality Void","활력 비우기"
"Invigorating Portents","상쾌한 조짐"
"Swagger","활보"
"Replenishing Remedies","회복 요법"
"Evasion","회피"
"Evasion and Life","회피 및 생명력"
"Evasion and Blind Effect","회피 및 실명 효과"
"Evasion and Energy Shield","회피 및 에너지 보호막"
"Evasion and Energy Shield Mastery","회피 및 에너지 보호막 숙련"
"Evasion and Elemental Resistances","회피 및 원소 저항"
"Evasion and Movement Speed","회피 및 이동 속도"
"Evasion and Movement Skill Cooldown Recovery","회피 및 이동 스킬 재사용 대기시간 회복"
"Evasion and Spell Suppression","회피 및 주문 억제"
"Evasion and Phasing","회피 및 차원 능력"
"Evasion Mastery","회피 숙련"
"Evasion, Frenzy Charge Duration","회피, 격분 충전 지속시간"
"Evasion, Onslaught Effect","회피, 맹공 효과"
"Evasion, Elemental Damage","회피, 원소 피해"
"Area of Effect","효과 범위"
"Area of Effect Damage","효과 범위 피해"
"Shrieking Bolts","효시"
"Expeditious Munitions","효율적인 탄약"
"Efficient Explosives","효율적인 폭발물"
"Follow-Through","후속 조치"
"Wrapped in Flame","휘감은 화염"
"Volatile Presence","휘발성 존재"
"Ribcage Crusher","흉골 분쇄자"
"Presage","흉조"
"Liquid Inspiration","흐르는영감"
"Leech Mastery","흡수 숙련"
"Vampirism","흡혈"
"Hematophagy","흡혈"
"Bastion of Hope","희망의 보루"
"Sacrifice","희생"
"Mistress of Sacrifice","희생의 여주인"
"Breath of Rime","흰서리의 숨결"
"Strength","힘"
"Strength and Dexterity","힘과 민첩"
"Strength and Intelligence","힘과 지능"
"Conviction of Power","힘의 신념"
"Force Shaper","힘의 형성자"
"Projectile Damage and Accuracy","투사체 피해, 정확도"
"Attack Speed and Rage","공격 속도 및 격노"
"Axe Damage and Impale Chance","도끼 피해 및 꿰뚫기 확률"
"Evasion and Energy Shield, Frenzy Charge Duration","회피 및 에너지 보호막, 격분 충전 지속시간"
"Evasion and Energy Shield, Movement Speed","회피 및 에너지 보호막, 이동 속도"
"Evasion and Energy Shield, Attack and Cast Speed","회피 및 에너지 보호막, 공격 및 시전 속도"
"Evasion and Energy Shield, Energy Shield Leech","회피 및 에너지 보호막, 에너지 보호막 흡수"
"Evasion and Energy Shield, Damage","회피 및 에너지 보호막, 피해"
"Evasion and Energy Shield, Energy Shield Recharge","회피 및 에너지 보호막, 에너지 보호막 재충전"
"Damage Over Time Multiplier","지속 피해 배율"
"Minion Critical Strike Chance","소환수 치명타 확률"
"Minion Critical Strike Multiplier","소환수 치명타 피해 배율"
"Cold Conduction","냉기 전도"
"Born of Chaos","육체의 연회"

"Hinekora's Lock","히네코라의 머리카락"
"Silver Coin","실버 코인"
"Tattoo of the Ngamahu Firewalker","나마후 화염보행자의 문신"
"Tattoo of the Ngamahu Shaman","나마후 주술사의 문신"
"Tattoo of the Ngamahu Warrior","나마후 전사의 문신"
"Tattoo of the Ngamahu Warmonger","나마후 전쟁광의 문신"
"Tattoo of the Ngamahu Woodcarver","나마후 목각사의 문신"
"Loyalty Tattoo of Kaom","카옴의 충성 문신"
"Tattoo of the Ngamahu Makanga","나마후 마캉가의 문신"
"Tattoo of the Kitava Blood Drinker","키타바 피 흡수자의 문신"
"Tattoo of the Kitava Rebel","키타바 반란자의 문신"
"Tattoo of the Kitava Warrior","키타바 전사의 문신"
"Tattoo of the Kitava Heart Eater","키타바 심장 포식자의 문신"
"Tattoo of the Kitava Shaman","키타바 주술사의 문신"
"Loyalty Tattoo of Utula","우툴라의 충성 문신"
"Tattoo of the Kitava Makanga","키타바 마캉가의 문신"
"Tattoo of the Tukohama Shaman","투코하마 주술사의 문신"
"Tattoo of the Tukohama Warrior","투코하마 전사의 문신"
"Tattoo of the Tukohama Brawler","투코하마 싸움꾼의 문신"
"Tattoo of the Tukohama Warmonger","투코하마 전쟁광의 문신"
"Tattoo of the Tukohama Warcaller","투코하마 전쟁 소집자의 문신"
"Loyalty Tattoo of Akoya","아코야의 충성 문신"
"Tattoo of the Tukohama Makanga","투코하마 마캉가의 문신"
"Tattoo of the Rongokurai Warrior","롱고쿠라이 전사의 문신"
"Tattoo of the Rongokurai Brute","롱고쿠라이 돌격병의 문신"
"Tattoo of the Rongokurai Goliath","롱고쿠라이 골리앗의 문신"
"Tattoo of the Rongokurai Turtle","롱고쿠라이 거북이의 문신"
"Tattoo of the Rongokurai Guard","롱고쿠라이 수호병의 문신"
"Loyalty Tattoo of Kahuturoa","카후투로아의 충성 문신"
"Tattoo of the Rongokurai Makanga","롱고쿠라이 마캉가의 문신"
"Tattoo of the Tasalio Bladedancer","타살리오 검의 무희의 문신"
"Tattoo of the Tasalio Tideshifter","타살리오 파도변화술사의 문신"
"Tattoo of the Tasalio Shaman","타살리오 주술사의 문신"
"Tattoo of the Tasalio Warrior","타살리오 전사의 문신"
"Tattoo of the Tasalio Scout","타살리오 정찰병의 문신"
"Loyalty Tattoo of Rakiata","라키아타의 충성 문신"
"Tattoo of the Tasalio Makanga","타살리오 마캉가의 문신"
"Tattoo of the Arohongui Moonwarden","아로호누이 달의 간수의 문신"
"Tattoo of the Arohongui Scout","아로호누이 정찰병의 문신"
"Tattoo of the Arohongui Warrior","아로호누이 전사의 문신"
"Tattoo of the Arohongui Warmonger","아로호누이 전쟁광의 문신"
"Tattoo of the Arohongui Shaman","아로호누이 주술사의 문신"
"Loyalty Tattoo of Ikiaho","이키아호의 충성 문신"
"Tattoo of the Arohongui Makanga","아로호누이 마캉가의 문신"
"Tattoo of the Ramako Scout","라마코 정찰병의 문신"
"Tattoo of the Ramako Archer","라마코 궁수의 문신"
"Tattoo of the Ramako Sniper","라마코 저격수의 문신"
"Tattoo of the Ramako Fleetfoot","라마코 쾌속병의 문신"
"Tattoo of the Ramako Shaman","라마코 주술사의 문신"
"Loyalty Tattoo of Ahuana","아후아나의 충성 문신"
"Tattoo of the Ramako Makanga","라마코 마캉가의 문신"
"Tattoo of the Hinekora Warrior","히네코라 전사의 문신"
"Tattoo of the Hinekora Deathwarden","히네코라 죽음의 간수의 문신"
"Tattoo of the Hinekora Shaman","히네코라 주술사의 문신"
"Tattoo of the Hinekora Storyteller","히네코라 이야기꾼의 문신"
"Tattoo of the Hinekora Warmonger","히네코라 전쟁광의 문신"
"Loyalty Tattoo of Tawhanuku","타하누쿠의 충성 문신"
"Tattoo of the Hinekora Makanga","히네코라 마캉가의 문신"
"Tattoo of the Tawhoa Naturalist","타호아 박물학자의 문신"
"Tattoo of the Tawhoa Scout","타호아 정찰병의 문신"
"Tattoo of the Tawhoa Warrior","타호아 전사의 문신"
"Tattoo of the Tawhoa Herbalist","타호아 약초상의 문신"
"Tattoo of the Tawhoa Shaman","타호아 주술사의 충성 문신"
"Loyalty Tattoo of Maata","마아타의 충성 문신"
"Tattoo of the Tawhoa Makanga","타호아 마캉가의 문신"
"Tattoo of the Valako Stormrider","발라코 태풍의 기수의 문신"
"Tattoo of the Valako Scout","발라코 정찰병의 문신"
"Tattoo of the Valako Warrior","발라코 전사의 문신"
"Tattoo of the Valako Shieldbearer","발라코 방패 운반자의 문신"
"Tattoo of the Valako Shaman","발라코 주술사의 문신"
"Loyalty Tattoo of Kiloava","킬로아바의 충성 문신"
"Tattoo of the Valako Makanga","발라코 마캉가의 문신"
"Honoured Tattoo of the Dove","비둘기의 명예로운 문신"
"Honoured Tattoo of the Sky","하늘의 명예로운 문신"
"Honoured Tattoo of the Tuatara","투아타라의 명예로운 문신"
"Honoured Tattoo of the Pillager","약탈꾼의 명예로운 문신"
"Honoured Tattoo of the Turtle","거북이의 명예로운 문신"
"Honoured Tattoo of the Oak","참나무의 명예로운 문신"
"Honoured Tattoo of the Hatungo","하툰고의 명예로운 문신"
"Honoured Tattoo of the Flock","무리의 명예로운 문신"
"Honoured Tattoo of the Warlord","전쟁군주의 명예로운 문신"
"Honoured Tattoo of the Mountain","산맥의 명예로운 문신"
"Honoured Tattoo of the Pa","파의 명예로운 문신"
"Honoured Tattoo of the Hunter","사냥꾼의 명예로운 문신"
"Honoured Tattoo of the Barbarian","야만인의 명예로운 문신"
"Honoured Tattoo of the Berserker","광전사의 명예로운 문신"
"Honoured Tattoo of the Wise","현명한 자의 명예로운 문신"
"Honoured Tattoo of the Storm","폭풍의 명예로운 문신"
"Honoured Tattoo of the Flood","홍수의 명예로운 문신"
"Omen of Amelioration","개량의 징조"
"Omen of Return","귀환의 징조"
"Omen of Death-dancing","죽음의 춤의 징조"
"Omen of Refreshment","원기 회복의 징조"
"Omen of the Soul Devourer","영혼 포식자의 징조"
"Omen of Acceleration","가속의 징조"
"Omen of Fortune","행운의 징조"
"Omen of the Jeweller","보석상의 징조"
"Omen of Connections","연결의 징조"
"Omen of Blanching","표백의 징조"
"Omen of Revenge","복수의 징조"
"Omen of Bequeathal","대물림의 징조"
"Omen of Resurgence","재기의 징조"
"Omen of Adrenaline","아드레날린의 징조"
"Omen of Death's Door","죽음의 문턱의 징조"
"Omen of Brilliance","광채의 징조"
"Searing Purity","이글거리는 순수"
"Indomitable Resolve","불굴의 결의"
"Unleashed Potential","해방된 잠재력"
"Recovery Mastery","회복 숙련"
"Stun Mastery","기절 숙련"
"Protection Mastery","보호 숙련"
"Faster Ailments","상태 이상 가속"
"Cauterisation","소작"
"Ignite and Bleed Duration","점화 및 출혈 지속시간"
"Concussive Force","충격적인 힘"
"Settling Ash","내려앉는 재"
"Surge of Vigour","쇄도하는 활력"
"Trial of the Faith","신념의 시험"
"Link Effect","연결 효과"
"Empowered Bond","강화된 유대"
"Circle of Life","생명의 순환"
"Excess Sustenance","과잉 자양분"
"Relentless Pursuit","집요한 추적"
"Perfectionist","완벽주의자"
"Multishot","다중 사격"
"Bow Attack Speed","활 공격 속도"
"Brink of Death","생사의 경계"
"Invigorating Blaze","활기를 주는 불길"
"Dance of Blades","칼춤"
"Flask Charges against Marked Enemy","징표 찍힌 적에 대한 플라스크 충전"
"Stance Skill Cooldown Recovery","태세 스킬 재사용 대기시간 회복"
"Link Cast Speed","연결 시전 속도"
"Potent Connections","위력적인 연결"
"Fury of Nature","자연의 광분"
"Master Distiller","증류의 달인"
"Fatal Flourish","치명적인 번창"
"Like Clockwork","태엽장치처럼"
"Area of Effect, Area Damage","효과 범위, 범위 피해"
"Area of Effect, Blind Effect","효과 범위, 실명 효과"
"Harness the Void","공허의 고삐"
"Nine Lives","아홉 목숨"
"Stun Recovery","기절 회복"
"Righteous Fury","정의로운 광분"
"Templar/Witch","템플러/위치"

"# Acrobatics: {0}","# 곡예: {0}"
"# Call to Arms: {0}","# 소집: {0}"
"# Conduit: {0}","# 도관: {0}"
"# Divine Shield: {0}","# 신성한 방패: {0}"
"# Duelst: {0}","# 듀얼리스트: {0}"
"# Eldritch Battery: {0}","# 섬뜩한 충전기: {0}"
"# Elemental Equilibrium: {0}","# 원소 균형: {0}"
"# Eternal Youth: {0}","# 영원한 젊음: {0}"
"# Ghost Dance: {0}","# 혼의 춤: {0}"
"# Iron Grip: {0}","# 강철 손아귀: {0}"
"# Iron Will: {0}","# 강철의 의지: {0}"
"# Marauder: {0}","# 머라우더: {0}"
"# Mind Over Matter: {0}","# 물질보다 정신: {0}"
"# Minion Instability: {0}","# 소환수 불안정: {0}"
"# Pain Attunement: {0}","# 고통의 조율: {0}"
"# Perfect Agony: {0}","# 완벽한 고통: {0}"
"# Point Blank: {0}","# 근접 사격: {0}"
"# Supreme Ego: {0}","# 자만의 정점: {0}"
"# The Agnostic: {0}","# 불가지론자: {0}"
"# Unwavering Stance: {0}","# 변함없는 자세: {0}"
"# Templar/Witch: {0}","# 템플러/위치: {0}"

"Chill Effect","냉각 효과"
"Seasoned Swordplay","노련한 검술"
"Glacial Cage","빙하 창살"
"Expert Hunter","사냥 전문가"
"Escalation","증대자"
"Conjured Barrier","상상의 장벽"
"Warcry Duration and Buff Effect","함성 지속시간 및 버프 효과"
"Warcry Duration","함성 지속시간"
