
"                Acrimony","                신랄"
"                Spiteful Presence","                악의에 찬 존재"
"                Split Shot","                분할 사격"
"                Spring Back","                재주 넘기"
"                Staff Accuracy","                지팡이 정확도"
"                Staff Area of Effect","                지팡이 효과 범위"
"                Staff Block","                지팡이 막기"
"                Staff Critical Strike Chance and Multiplier","                지팡이 치명타 확률 및 피해"
"                Staff Critical Strike Chance","                지팡이 치명타 확률"
"                Staff Damage and Armour","                지팡이 피해 및 방어도"
"                Staff Damage and Block","                지팡이 피해 및 막기"
"                Staff Damage and Stun Duration","                지팡이 피해 및 기절 지속시간"
"                Staff Elemental Damage and Penetration","                지팡이 원소 피해 및 관통"
"                Staff Mastery","                지팡이 숙련"
"                Staff Spell Damage and Block","                지팡이 주문 피해 및 막기"
"                Staff Spell Damage and Spell Block","                지팡이 주문 피해 및 주문 막기"
"                Staff Spell Damage","                지팡이 주문 피해"
"                Stamina","                지구력"
"                Stance Skill Cooldown Recovery","                태세 스킬 재사용 대기시간 회복"
"                Static Blows","                정전기 타격"
"                Steadfast","                요지부동"
"                Steady Torment","                꾸준한 격통"
"                Steelwood Stance","                강철목 자세"
"                Steeped in the Profane","                부정에 대한 몰입"
"                Stoic Focus","                엄격한 집중"
"                Storm Drinker","                태풍 흡수자"
"                Storm Weaver","                태풍술사"
"                Storm's Hand","                태풍의 손"
"                Stormrider","                태풍의 기수"
"                Streamlined","                간소화"
"                Strength and Dexterity","                힘과 민첩"
"                Strength and Intelligence","                힘과 지능"
"                Strength","                힘"
"                Strike Leader","                타격대장"
"                Strong Arm","                튼튼한 팔"
"                Stubborn Student","                완고한 연구자"
"                Student of Decay","                부패 연구자"
"                Stun Avoidance","                기절 회피"
"                Stun Duration per Endurance Charge","                인내 충전 하나당 기절 지속시간"
"                Stun Duration","                기절 지속시간"
"                Stun Mastery","                기절 숙련"
"                Stun Recovery","                기절 회복"
"                Stun Threshold Reduction","                기절 한계치 감소"
"                Sublime Form","                숭고한 형상"
"                Sublime Sensation","                숭고한 감각"
"                Successive Detonations","                연이은 폭발"
"                Supercharge","                초과 충전"
"                Supreme Ego","                자만의 정점"
"                Surefooted Striker","                굳건한 공격"
"                Surge of Vigour","                쇄도하는 활력"
"                Surging Vitality","                솟구치는 활력"
"                Surprise Sabotage","                기습적인 방해"
"                Surveillance","                파수"
"                Survivalist","                생존주의자"
"                Swagger","                활보"
"                Swift Killer","                재빠른 살인자"
"                Swift Venoms","                즉발성 맹독"
"                Sword Accuracy and Critical Strike Chance","                검 정확도 및 치명타 확률"
"                Sword Critical Strike Chance and Multiplier","                검 치명타 확률 및 피해"
"                Sword Critical Strike Chance","                검 치명타 확률"
"                Sword Critical Strike Multiplier","                검 치명타 피해 배율"
"                Sword Damage and Attack Speed","                검 피해 및 공격 속도"
"                Sword Damage and Block","                검 피해 및 막기"
"                Sword Damage and Melee Range","                검 피해 및 근접 범위"
"                Sword Damage","                검 피해"
"                Sword Mastery","                검 숙련"
"                TEMPLAR","                템플러"
"                Tasalio, Cleansing Water","                물을 정화하는 자, 타살리오"
"                Taste for Blood","                피의 갈증"
"                Tattoo of the Arohongui Makanga","                아로호누이 마캉가의 문신"
"                Tattoo of the Arohongui Moonwarden","                아로호누이 달의 간수의 문신"
"                Tattoo of the Arohongui Scout","                아로호누이 정찰병의 문신"
"                Tattoo of the Arohongui Shaman","                아로호누이 주술사의 문신"
"                Tattoo of the Arohongui Warmonger","                아로호누이 전쟁광의 문신"
"                Tattoo of the Arohongui Warrior","                아로호누이 전사의 문신"
"                Tattoo of the Hinekora Deathwarden","                히네코라 죽음의 간수의 문신"
"                Tattoo of the Hinekora Makanga","                히네코라 마캉가의 문신"
"                Tattoo of the Hinekora Shaman","                히네코라 주술사의 문신"
"                Tattoo of the Hinekora Storyteller","                히네코라 이야기꾼의 문신"
"                Tattoo of the Hinekora Warmonger","                히네코라 전쟁광의 문신"
"                Tattoo of the Hinekora Warrior","                히네코라 전사의 문신"
"                Tattoo of the Kitava Blood Drinker","                키타바 피 흡수자의 문신"
"                Tattoo of the Kitava Heart Eater","                키타바 심장 포식자의 문신"
"                Tattoo of the Kitava Makanga","                키타바 마캉가의 문신"
"                Tattoo of the Kitava Rebel","                키타바 반란자의 문신"
"                Tattoo of the Kitava Shaman","                키타바 주술사의 문신"
"                Tattoo of the Kitava Warrior","                키타바 전사의 문신"
"                Tattoo of the Ngamahu Firewalker","                나마후 화염보행자의 문신"
"                Tattoo of the Ngamahu Makanga","                나마후 마캉가의 문신"
"                Tattoo of the Ngamahu Shaman","                나마후 주술사의 문신"
"                Tattoo of the Ngamahu Warmonger","                나마후 전쟁광의 문신"
"                Tattoo of the Ngamahu Warrior","                나마후 전사의 문신"
"                Tattoo of the Ngamahu Woodcarver","                나마후 목각사의 문신"
"                Tattoo of the Ramako Archer","                라마코 궁수의 문신"
"                Tattoo of the Ramako Fleetfoot","                라마코 쾌속병의 문신"
"                Tattoo of the Ramako Makanga","                라마코 마캉가의 문신"
"                Tattoo of the Ramako Scout","                라마코 정찰병의 문신"
"                Tattoo of the Ramako Shaman","                라마코 주술사의 문신"
"                Tattoo of the Ramako Sniper","                라마코 저격수의 문신"
"                Tattoo of the Rongokurai Brute","                롱고쿠라이 돌격병의 문신"
"                Tattoo of the Rongokurai Goliath","                롱고쿠라이 골리앗의 문신"
"                Tattoo of the Rongokurai Guard","                롱고쿠라이 수호병의 문신"
"                Tattoo of the Rongokurai Makanga","                롱고쿠라이 마캉가의 문신"
"                Tattoo of the Rongokurai Turtle","                롱고쿠라이 거북이의 문신"
"                Tattoo of the Rongokurai Warrior","                롱고쿠라이 전사의 문신"
"                Tattoo of the Tasalio Bladedancer","                타살리오 검의 무희의 문신"
"                Tattoo of the Tasalio Makanga","                타살리오 마캉가의 문신"
"                Tattoo of the Tasalio Scout","                타살리오 정찰병의 문신"
"                Tattoo of the Tasalio Shaman","                타살리오 주술사의 문신"
"                Tattoo of the Tasalio Tideshifter","                타살리오 파도변화술사의 문신"
"                Tattoo of the Tasalio Warrior","                타살리오 전사의 문신"
"                Tattoo of the Tawhoa Herbalist","                타호아 약초상의 문신"
"                Tattoo of the Tawhoa Makanga","                타호아 마캉가의 문신"
"                Tattoo of the Tawhoa Naturalist","                타호아 박물학자의 문신"
"                Tattoo of the Tawhoa Scout","                타호아 정찰병의 문신"
"                Tattoo of the Tawhoa Shaman","                타호아 주술사의 충성 문신"
"                Tattoo of the Tawhoa Warrior","                타호아 전사의 문신"
"                Tattoo of the Tukohama Brawler","                투코하마 싸움꾼의 문신"
"                Tattoo of the Tukohama Makanga","                투코하마 마캉가의 문신"
"                Tattoo of the Tukohama Shaman","                투코하마 주술사의 문신"
"                Tattoo of the Tukohama Warcaller","                투코하마 전쟁 소집자의 문신"
"                Tattoo of the Tukohama Warmonger","                투코하마 전쟁광의 문신"
"                Tattoo of the Tukohama Warrior","                투코하마 전사의 문신"
"                Tattoo of the Valako Makanga","                발라코 마캉가의 문신"
"                Tattoo of the Valako Scout","                발라코 정찰병의 문신"
"                Tattoo of the Valako Shaman","                발라코 주술사의 문신"
"                Tattoo of the Valako Shieldbearer","                발라코 방패 운반자의 문신"
"                Tattoo of the Valako Stormrider","                발라코 태풍의 기수의 문신"
"                Tattoo of the Valako Warrior","                발라코 전사의 문신"
"                Tawhoa, Forest's Strength","                숲의 힘, 타호아"
"                Tempered Arrowheads","                단조한 화살촉"
"                Tempest Blast","                폭풍 강타"
"                Templar Ascendancy","                템플러 전직"
"                Templar/Witch","                템플러/위치"
"                Tempt the Storm","                태풍 유혹"
"                Tenacity","                완강"
"                Tenacity","                참을성"
"                Testudo","                귀갑 방패"
"                Thaumophage","                마석 항체"
"                The Agnostic","                불가지론자"
"                The Impaler","                꿰뚫는 자"
"                Thick Skin","                두꺼운 가죽"
"                Thief's Craft","                도둑의 술책"
"                Thrill Killer","                살인마"
"                Throatseeker","                숨통 노리기"
"                Thunderstruck","                벼락 직격"
"                Time of Need","                긴요한 시기"
"                Tireless","                끈기"
"                Titanic Impacts","                거대한 충격"
"                Titanic Swings","                거대한 휘두르기"
"                Tolerance","                내성"
"                Totem Attack and Cast Speed","                토템 공격 및 시전 속도"
"                Totem Attack and Placement Speed","                토템 공격 및 설치 속도"
"                Totem Critical Strike Chance and Multiplier","                토템 치명타 확률 및 배율"
"                Totem Critical Strike Chance","                토템 치명타 확률"
"                Totem Critical Strike Multiplier","                토템 치명타 피해 배율"
"                Totem Damage and Attack Speed","                토템 피해 및 공격 속도"
"                Totem Damage and Placement Speed","                토템 피해 및 설치 속도"
"                Totem Life and Elemental Resistances","                토템 생명력 및 원소 저항"
"                Totem Life and Physical Damage Reduction","                토템 생명력 및 물리 피해 감소"
"                Totem Life and Placement Speed","                토템 생명력 및 배치 속도"
"                Totem Mastery","                토템 숙련"
"                Totem Placement Speed and Duration","                토템 설치 속도 및 지속시간"
"                Totemic Zeal","                토템의 열의"
"                Touch of Cruelty","                잔혹한 손길"
"                Towering Threat","                맹렬한 위협"
"                Toxic Delivery","                맹독성 전달"
"                Toxic Strikes","                맹독성 일격"
"                Tranquility","                고요함"
"                Trap Cooldown Recovery","                덫 재사용 대기시간 회복"
"                Trap Critical Strike Chance and Multiplier","                덫 치명타 확률 및 배율"
"                Trap Damage","                덫 피해"
"                Trap Mastery","                덫 숙련"
"                Trap Throwing Speed and Trigger Area","                덫 투척 속도 및 발동 범위"
"                Trap Throwing Speed","                덫 투척 속도"
"                Trap Trigger Area","                덫 발동 범위"
"                Trap and Mine Damage","                덫 및 지뢰 피해 보조"
"                Trap and Mine Damage, Elemental Resistances","                덫 및 지뢰 피해, 원소 저항"
"                Trap and Mine Damage, Mine Throwing Speed","                덫과 지뢰 피해, 지뢰 투척 속도"
"                Trap and Mine Damage, Movement Speed","                덫과 지뢰 피해, 이동 속도"
"                Trap and Mine Damage, Trap Throwing Speed","                덫과 지뢰 피해, 덫 투척 속도"
"                Trap and Mine Throwing Speed","                덫과 지뢰 투척 속도"
"                Trial of the Faith","                신념의 시험"
"                Tribal Fury","                부족의 광분"
"                Trick Shot","                기교 사격"
"                Trickery","                계략"
"                Trickster","                트릭스터"
"                True Strike","                정확한 일격"
"                Tukohama, War's Herald","                전쟁의 전령, 투코하마"
"                Twin Terrors","                쌍수의 공포"
"                Two Hand Mastery","                양손 숙련"
"                Two Handed Attack Speed","                양손 공격 속도"
"                Two Handed Melee Accuracy","                양손 근접 정확도"
"                Two Handed Melee Critical Strike Chance and Accuracy","                양손 근접 치명타 확률 및 정확도"
"                Two Handed Melee Damage and Area of Effect","                양손 근접 피해 및 효과 범위"
"                Two Handed Melee Damage and Attack Speed","                양손 근접 피해 및 공격 속도"
"                Two Handed Melee Damage and Leech","                양손 근접 피해 및 흡수"
"                Two Handed Melee Damage and Life Leech Speed","                양손 근접 피해 및 생명력 흡수 속도"
"                Two Handed Melee Damage and Reduced Enemy Stun Threshold","                양손 근접 피해 및 적 기절 한계치 감소"
"                Two Handed Melee Damage and Stun Duration","                양손 근접 피해 및 기절 지속시간"
"                Two Handed Melee Damage","                양손 근접 피해"
"                Unbreakable","                무적"
"                Uncompromising","                타협 불가"
"                Undeniable","                명명백백"
"                Undertaker","                장의사"
"                Unfaltering","                단호함"
"                Unflinching","                불굴"
"                Unholy Authority","                불경한 권위"
"                Unholy Grace","                불경한 은총"
"                Unleashed Potential","                해방된 잠재력"
"                Unnatural Calm","                기이한 고요"
"                Unnatural Strength","                초자연적인 힘"
"                Unrelenting","                분투"
"                Unspeakable Gifts","                형언불가"
"                Unstable Infusion","                불안정한 주입"
"                Unstable Munitions","                불안정한 탄약"
"                Unstoppable Hero","                무적의 영웅"
"                Unstoppable","                폭주"
"                Untiring","                견인불발"
"                Untouchable","                무적의"
"                Unwavering Crusade","                변함없는 성전"
"                Unwavering Faith","                변함없는 믿음"
"                Unwavering Focus","                변함없는 집중"
"                Unwavering Stance","                변함없는 자세"
"                Unwaveringly Evil","                변함없는 악"
"                Unyielding","                완고"
"                Utmost Intellect","                극에 이른 지능"
"                Utmost Might","                극에 이른 힘"
"                Utmost Swiftness","                극에 이른 속도"
"                Vaal Pact","                바알의 계약"
"                Valako, Storm's Embrace","                폭풍으로 감싸는 자, 발라코"
"                Vampirism","                흡혈"
"                Vanquisher","                격퇴자"
"                Vast Power","                광대한 권능"
"                Vengeant Cascade","                빗발치는 응징"
"                Versatile Combatant","                유연한 전투원"
"                Versatility","                융통성"
"                Veteran Bowyer","                노련한 활장이"
"                Veteran Defender","                노련한 방어"
"                Veteran Soldier","                역전 용사"
"                Vicious Bite","                포악한 이빨"
"                Vicious Guard","                포악한 방어"
"                Vicious Skewering","                포악한 꿰기"
"                Victim Maker","                제물 제조기"
"                Vigour","                활력"
"                Vile Bastion","                끔찍한 보루"
"                Vile Reinvigoration","                끔찍한 재활"
"                Violent Retaliation","                격렬한 보복"
"                Vital Focus","                필수적인 집중"
"                Vitality Void","                활력 비우기"
"                Vivid Hues","                선명한 빛깔"
"                Void Barrier","                공허 방어막"
"                Void Beacon","                공허의 등불"
"                Volatile Mines","                폭발성 지뢰"
"                Volatile Presence","                휘발성 존재"
"                WITCH","                위치"
"                Wall of Muscle","                근육 벽"
"                Wand Attack Speed and Accuracy","                마법봉 공격 속도 및 정확도"
"                Wand Critical Strike Chance and Multiplier","                마법봉 치명타 확률 및 피해"
"                Wand Damage and Attack Speed","                마법봉 피해 및 공격 속도"
"                Wand Damage","                마법봉 피해"
"                Wand Elemental Damage and Penetration","                마법봉 원소 피해 및 관통"
"                Wand Elemental Damage","                마법봉 원소 피해"
"                Wand Lightning Damage","                마법봉 번개 피해"
"                Wand Mastery","                마법봉 숙련"
"                Wand Physical Damage and Attack Speed","                마법봉 물리 피해 및 공격 속도"
"                Wand Physical Damage","                마법봉 물리 피해"
"                Wandslinger","                마법봉 투척가"
"                War Bringer","                전쟁 인도자"
"                Warcry Area of Effect","                함성 효과 범위"
"                Warcry Buff Effect","                함성 버프 효과"
"                Warcry Cooldown Recovery and Area of Effect","                함성 재사용 대기시간 회복 및 효과 범위"
"                Warcry Cooldown Recovery and Duration","                함성 재사용 대기시간 회복 및 지속기간"
"                Warcry Cooldown Recovery and Exerted Attack Damage","                함성 재사용 대기시간 회복 및 전력 공격 피해"
"                Warcry Cooldown Recovery","                함성 재사용 대기시간 회복"
"                Warcry Duration and Buff Effect","                함성 지속시간 및 버프 효과"
"                Warcry Duration","                함성 지속시간"
"                Warcry Mastery","                함성 숙련"
"                Warcry Speed and Area of Effect","                함성 속도 및 효과 범위"
"                Warcry Speed and Cooldown Recovery","                함성 속도 및 재사용 대기시간 회복"
"                Warcry Speed and Duration","                함성 속도 및 지속시간"
"                Warcry Speed and Exerted Attack Damage","                함성 속도 및 전력 공격 피해"
"                Warcry Speed","                함성 속도"
"                Warning Call","                경고 신호"
"                Warrior Training","                전사 훈련"
"                Warrior's Blood","                전사의 피"
"                Wasting Affliction","                쓸모없는 고통"
"                Wasting","                소모성"
"                Watchtowers","                감시 포탑"
"                Way of the Poacher","                밀렵꾼의 길"
"                Way of the Warrior","                전사의 길"
"                Weapon Artistry","                무기의 예술성"
"                Weapon Cold Damage","                무기 냉기 피해"
"                Weapon Elemental Damage and Ailment Effect","                무기 원소 피해 및 상태 이상 효과"
"                Weapon Elemental Damage","                무기 원소 피해"
"                Weapon Elemental Damage, Status Ailment Chance","                무기 원소 피해, 상태 이상 확률"
"                Weapon Fire Damage","                무기 화염 피해"
"                Weapon Lightning Damage","                무기 번개 피해"
"                Weathered Hunter","                풍파에 시달린 사냥꾼"
"                Weight Advantage","                중량의 우위"
"                Whirling Barrier","                소용돌이 방어막"
"                Whispers of Doom","                멸망의 속삭임"
"                Whispers of Doom","                파멸의 속삭임"
"                Wicked Pall","                사악한 휘장"
"                Wicked Ward","                사악한 수호"
"                Widespread Destruction","                광범위 파괴"
"                Will Shaper","                의지 형성자"
"                Will of Blades","                칼날의 의지"
"                Wind Dancer","                바람의 무희"
"                Wind Ward","                바람 수호"
"                Wind-up","                마무리 일격"
"                Window of Opportunity","                기회의 창"
"                Winter Prowler","                겨울 배회자"
"                Winter Spirit","                겨울의 혼백"
"                Winter's Embrace","                겨울의 포옹"
"                Wisdom of the Glade","                숲의 지혜"
"                Wish for Death","                죽음 갈망"
"                Witch Ascendancy","                위치 전직"
"                Withering Presence","                고사시키는 존재"
"                Wizardry","                기묘한 마법"
"                Worthy Foe","                호적수"
"                Wound Aggravation","                상처 악화"
"                Wrapped in Flame","                휘감은 화염"
"                Wrecking Ball","                파괴구"
"                Written in Blood","                혈서"
"                Zealot's Oath","                맹신자의 서약"
"        (12-17)% increased Mana Regeneration Rate:","        마나 재생 속도 (12-17)% 증가:"
"        (17-23)% increased maximum Mana + (15-25)% increased Mana Regeneration Rate:","        최대 마나 (17-23)% 증가 + 마나 재생 속도 (15-25)% 증가:"
"        (2-3)% increased Cast Speed:","        시전 속도 (2-3)% 증가:"
"        (2-3)% increased Movement Speed:","        이동 속도 (2-3)% 증가:"
"        (2-4)% chance to deal Double Damage + (25-35)% increased Physical Damage:","        (2-4)%의 확률로 2배의 피해를 줌 + 물리 피해 (25-35)% 증가:"
"        (2-4)% increased effect of Non-Curse Auras from your Skills:","        자신의 비-저주 오라 스킬 효과 (2-4)% 증가:"
"        (2-4)% increased maximum Life:","        최대 생명력 (2-4)% 증가:"
"        (25-35)% increased Chaos Damage + 0.2% of Chaos Damage Leeched as Life:","        카오스 피해 (25-35)% 증가 + 카오스 피해의 0.2%를 생명력으로 흡수:"
"        (25-35)% increased Chaos Damage + 25% chance to inflict Withered for 2 seconds on Hit:","        카오스 피해 (25-35)% 증가 + 명중 시 25%의 확률로 2초 동안 위축 유발:"
"        (25-35)% increased Cold Damage + 0.2% of Cold Damage Leeched as Life:","        냉기 피해 (25-35)% 증가 + 냉기 피해의 0.2%를 생명력으로 흡수:"
"        (25-35)% increased Cold Damage + 10% of Physical Damage Converted to Cold Damage:","        냉기 피해 (25-35)% 증가 + 물리 피해의 10%를 냉기 피해로 전환:"
"        (25-35)% increased Cold Damage + Damage Penetrates (2-4)% Cold Resistance:","        냉기 피해 (25-35)% 증가 + 피해가 냉기 저항 (2-4)% 관통:"
"        (25-35)% increased Damage over Time + (7-11)% increased Skill Effect Duration:","        지속 피해 (25-35)% 증가 + 스킬 효과 지속시간 (7-11)% 증가:"
"        (25-35)% increased Fire Damage + 0.2% of Fire Damage Leeched as Life:","        화염 피해 (25-35)% 증가 + 화염 피해의 0.2%를 생명력으로 흡수:"
"        (25-35)% increased Fire Damage + 10% of Physical Damage Converted to Fire Damage:","        화염 피해 (25-35)% 증가 + 물리 피해의 10%를 화염 피해로 전환:"
"        (25-35)% increased Fire Damage + Damage Penetrates (2-4)% Fire Resistance:","        화염 피해 (25-35)% 증가 + 피해가 화염 저항 (2-4)% 관통:"
"        (25-35)% increased Lightning Damage + 0.2% of Lightning Damage Leeched as Life:","        번개 피해 (25-35)% 증가 + 번개 피해의 0.2%를 생명력으로 흡수:"
"        (25-35)% increased Lightning Damage + 10% of Physical Damage Converted to Lightning Damage:","        번개 피해 (25-35)% 증가 + 물리 피해의 10%를 번개 피해로 전환:"
"        (25-35)% increased Lightning Damage + Damage Penetrates (2-4)% Lightning Resistance:","        번개 피해 (25-35)% 증가 + 피해가 번개 저항 (2-4)% 관통:"
"        (25-35)% increased Spell Damage + (35-50)% increased Critical Strike Chance for Spells:","        주문 피해 (25-35)% 증가 + 주문 치명타 확률 (35-50)% 증가:"
"        (3-4)% increased Attack Speed:","        공격 속도 (3-4)% 증가:"
"        (3-5)% increased maximum Energy Shield:","        에너지 보호막 최대치 (3-5)% 증가:"
"        (3-6)% chance to Freeze:","        (3-6)%의 확률로 동결 유발:"
"        (3-6)% chance to Ignite:","        (3-6)%의 확률로 점화 유발:"
"        (3-6)% chance to Shock:","        (3-6)%의 확률로 감전 유발:"
"        (30-40)% increased Armour + (3-4)% additional Physical Damage Reduction:","        방어도 (30-40)% 증가 + 받는 물리 피해 (3-4)% 추가 감소:"
"        (30-40)% increased Evasion Rating + (5-7)% chance to Blind Enemies on Hit:","        회피 (30-40)% 증가 + 명중 시 (5-7)%의 확률로 적 실명 유발:"
"        (4-6)% increased Effect of your Curses + Curse Skills have 20% increased Skill Effect Duration:","        플레이어가 시전하는 저주 효과 (4-6)% 증가 + 저주 스킬의 스킬 효과 지속시간 20% 증가:"
"        (4-6)% increased maximum Mana:","        최대 마나 (4-6)% 증가:"
"        (4-7)% increased Area of Effect:","        효과 범위 (4-7)% 증가:"
"        (4-7)% increased Skill Effect Duration:","        스킬 효과 지속시간 (4-7)% 증가:"
"        (6-10) Life gained when you Block + +5% Chance to Block Attack Damage:","        막아낼 시 생명력 (6-10) 획득 + 공격 피해 막기 확률 +5%:"
"        (6-10)% increased maximum Life + 0.4% of Attack Damage Leeched as Life:","        최대 생명력 (6-10)% 증가 + 공격 피해의 0.4%를 생명력으로 흡수:"
"        (6-10)% increased maximum Life + Regenerate (0.7-1.2)% of Life per second:","        최대 생명력 (6-10)% 증가 + 1초마다 생명력의 (0.7-1.2)% 재생:"
"        (7-12)% increased Area Damage:","        범위 피해 (7-12)% 증가:"
"        (7-12)% increased Armour:","        방어도 (7-12)% 증가:"
"        (7-12)% increased Attack Damage:","        공격 피해 (7-12)% 증가:"
"        (7-12)% increased Chaos Damage:","        카오스 피해 (7-12)% 증가:"
"        (7-12)% increased Cold Damage:","        냉기 피해 (7-12)% 증가:"
"        (7-12)% increased Damage over Time:","        지속 피해 (7-12)% 증가:"
"        (7-12)% increased Evasion Rating:","        회피 (7-12)% 증가:"
"        (7-12)% increased Fire Damage:","        화염 피해 (7-12)% 증가:"
"        (7-12)% increased Lightning Damage:","        번개 피해 (7-12)% 증가:"
"        (7-12)% increased Physical Damage:","        물리 피해 (7-12)% 증가:"
"        (7-12)% increased Projectile Damage:","        투사체 피해 (7-12)% 증가:"
"        (7-12)% increased Projectile Speed:","        투사체 속도 (7-12)% 증가:"
"        (7-12)% increased Spell Damage:","        주문 피해 (7-12)% 증가:"
"        (7-14)% increased Critical Strike Chance:","        치명타 확률 (7-14)% 증가:"
"        (8-10)% chance to Avoid being Stunned + (8-10)% chance to Avoid Elemental Ailments:","        (8-10)%의 확률로 기절 긴급회피 + (8-10)%의 확률로 원소 상태 이상 긴급회피:"
"        (8-12)% increased maximum Energy Shield + (10-15)% increased Energy Shield Recharge Rate:","        에너지 보호막 최대치 (8-12)% 증가 + 에너지 보호막 재충전 속도 (10-15)% 증가:"
"        (8-12)% increased maximum Energy Shield + 0.3% of Spell Damage Leeched as Energy Shield:","        에너지 보호막 최대치 (8-12)% 증가 + 주문 피해의 0.3%를 에너지 보호막으로 흡수:"
"        +(13-19)% to Chaos Resistance + +1% to maximum Chaos Resistance:","        카오스 저항 +(13-19)% + 카오스 저항 최대치 +1%:"
"        +(20-30)% to Cold Resistance + +1% to maximum Cold Resistance:","        냉기 저항 +(20-30)% + 냉기 저항 최대치 +1%:"
"        +(6-10)% to Chaos Resistance:","        카오스 저항 +(6-10)%:"
"        +(6-10)% to Critical Strike Multiplier:","        치명타 피해 배율 +(6-10)%:"
"        +(9-14)% to Cold Resistance:","        냉기 저항 +(9-14)%:"
"        +(9-14)% to Fire Resistance:","        화염 저항 +(9-14)%:"
"        +(9-14)% to Lightning Resistance:","        번개 저항 +(9-14)%:"
"        +1 to maximum Fortification:","        방어 상승 최대치 +1:"
"        +1% Chance to Block Attack Damage:","        공격 피해 막기 확률 +1%:"
"        +1% to maximum Fire Resistance + +(20-30)% to Fire Resistance:","        화염 저항 최대치 +1% + 화염 저항 +(20-30)%:"
"        +1% to maximum Lightning Resistance + +(20-30)% to Lightning Resistance:","        번개 저항 최대치 +1% + 번개 저항 +(20-30)%:"
"        +15% to Melee Critical Strike Multiplier:","        근접 치명타 피해 배율 +15%:"
"        +2 to Dexterity:","        민첩 +2:"
"        +2 to Strength:","        힘 +2:"
"        +2% chance to Suppress Spell Damage:","        주문 피해 억제 확률 +2%:"
"        +20 to Dexterity:","        민첩 +20:"
"        +20 to Strength:","        힘 +20:"
"        +20% to Cold Resistance:","        냉기 저항 +20%:"
"        +20% to Fire Resistance:","        화염 저항 +20%:"
"        +4 to Dexterity:","        민첩 +4:"
"        +4 to Strength:","        힘 +4:"
"        +5 to Devotion:","        헌신 +5:"
"        +6% chance to Suppress Spell Damage + +(8-10)% to all Elemental Resistances:","        주문 피해 억제 확률 +6% + 모든 원소 저항 +(8-10)%:"
"        0.2% of Physical Damage Leeched as Life + (25-35)% increased Physical Damage:","        물리 피해의 0.2%를 생명력으로 흡수 + 물리 피해 (25-35)% 증가:"
"        0.4% of Attack Damage Leeched as Life:","        공격 피해의 0.4%를 생명력으로 흡수:"
"        1% Chance to Block Spell Damage:","        1%의 확률로 주문 피해를 막아냄:"
"        10% chance to Intimidate Enemies for 4 seconds on Hit:","        적중 시 10%의 확률로 4초 동안 적 위협:"
"        10% increased Duration of Elemental Ailments on Enemies:","        적에게 적용되는 원소 상태 이상 지속시간 10% 증가:"
"        10% increased Effect of Non-Damaging Ailments:","        비-피해 상태 이상 효과 10% 증가:"
"        10% increased Flask Charges gained:","        플라스크 충전량 10% 증가:"
"        10% reduced Enemy Stun Threshold:","        적 기절 한계치 10% 감소:"
"        12% increased Totem Placement speed:","        토템 설치 속도 12% 증가:"
"        2% increased Effect of your Curses:","        플레이어가 시전하는 저주 효과 2% 증가:"
"        20% chance to Avoid being Stunned:","        20%의 확률로 기절 긴급회피:"
"        20% increased Area of Effect of Aura Skills + (7-10)% increased effect of Non-Curse Auras from your Skills:","        오라 스킬의 효과 범위 20% 증가 + 자신의 비-저주 오라 스킬 효과 (7-10)% 증가:"
"        20% increased Armour:","        방어도 20% 증가:"
"        20% increased Burning Damage:","        화상 피해 20% 증가:"
"        20% increased Damage with Poison:","        중독 피해 20% 증가:"
"        20% increased Elemental Damage:","        원소 피해 20% 증가:"
"        20% increased Evasion Rating:","        회피 20% 증가:"
"        20% increased Melee Damage:","        근접 피해 20% 증가:"
"        20% increased Physical Damage:","        물리 피해 20% 증가:"
"        20% increased Projectile Damage:","        투사체 피해 20% 증가:"
"        20% increased Stun Duration on Enemies:","        적에게 적용되는 기절 지속시간 20% 증가:"
"        20% increased Totem Damage:","        토템 피해 20% 증가:"
"        25% chance to gain Alchemist's Genius when you use a Flask:","        플라스크 사용 시 25%의 확률로 연금술사의 천재성 획득:"
"        25% increased Critical Strike Chance:","        치명타 확률 25% 증가:"
"        3% chance to Avoid Elemental Ailments:","        3%의 확률로 원소 상태 이상 긴급회피:"
"        30% increased Melee Critical Strike Chance:","        근접 치명타 확률 30% 증가:"
"        4% increased maximum Life:","        최대 생명력 4% 증가:"
"        5% Chance to Block Spell Damage + (20-30)% increased Defences from Equipped Shield:","        5%의 확률로 주문 피해를 막아냄 + 장착한 방패로 얻는 방어력 (20-30)% 증가:"
"        5% chance to Blind Enemies on Hit:","        명중 시 5%의 확률로 적 실명 유발:"
"        5% chance to deal Double Damage:","        5%의 확률로 2배의 피해를 줌:"
"        5% chance to gain a Frenzy Charge on Kill:","        처치 시 5%의 확률로 격분 충전 획득:"
"        5% chance to gain an Endurance Charge on Kill:","        처치 시 5%의 확률로 인내 충전 획득:"
"        5% increased Attack and Cast Speed:","        공격 및 시전 속도 5% 증가:"
"        5% increased Dexterity:","        민첩 5% 증가:"
"        5% increased Global Accuracy Rating:","        일반 정확도 5% 증가:"
"        5% increased Movement Speed:","        이동 속도 5% 증가:"
"        5% increased Strength:","        힘 5% 증가:"
"        5% of Physical Damage from Hits taken as Fire Damage:","        피격 시 물리 피해의 5%를 화염 피해로 받음:"
"        8% increased Warcry Buff Effect:","        함성 버프 효과 8% 증가:"
