原文(有{0}),翻譯
"Exposure applies {0}% to Elemental Resistance matching highest Damage taken","曝曬使承受最高的元素傷害，{0}% 對應的元素抗性"
"Exposure inflicted this way applies {0}% to Resistances","以此方式造成的曝曬 {0}% 抗性"
"Exposure you inflict applies an extra {0} to the affected Resistance","你施加的曝曬效果會使受影響的抗性額外 {0}"
"Exposure you inflict applies an extra {0}% to the affected Resistance","你造成的曝曬額外 {0}% 至影響的抗性"
"Exposure you inflict applies at least {0}% to the affected Resistance","你造成的曝曬至少套用 {0}% 被影響的抗性"
"Exsanguinate deals {0}% increased Damage","抽血增加 {0}% 傷害"
"Exsanguinate deals {0}% reduced Damage","抽血減少 {0}% 傷害"
"Exsanguinate has a {0}% chance to Chain an additional time","抽血有 {0}% 機率連鎖額外1 次"
"Extra Targets can be found {0} further away","可以設置距離 {0} 以外的額外目標"
"Extra Targets can be found {0}% further away","額外的目標可以遠 {0}% 被找到"
"Extra Targets for Supported Skills can be found {0} further away","被輔助技能可以設置距離 {0} 以外的額外目標"
"Extra Targets for Supported Skills can be found {0}% further away","被輔助技能的額外目標可以遠 {0}% 被找到"
"Eye of Winter fires Shard projectiles with {0}% increased Frequency during flight","凜冬之眼飛行期間增加 {0}% 頻率發射碎片投射物"
"Eye of Winter fires Shard projectiles with {0}% reduced Frequency during flight","凜冬之眼飛行期間減少 {0}% 頻率發射碎片投射物"
"Feeding Frenzy base Duration is {0} second","豢養狂熱基礎持續時間 {0} 秒"
"Feeding Frenzy base Duration is {0} seconds","豢養狂熱基礎持續時間 {0} 秒"
"Feeding Frenzy lasts {0} second","豢養狂熱持續 {0} 秒"
"Feeding Frenzy lasts {0} seconds","豢養狂熱持續 {0} 秒"
"Final Burst Deals {0} more Damage","最後一次爆發造成的總傷害更多 {0}"
"Final Burst Deals {0}% less Damage","最終爆炸造成 {0}% 更少傷害"
"Final Burst Deals {0}% more Damage","最終爆炸造成 {0}% 更多傷害"
"Final Burst has {0} more Area of Effect","最後一次爆發的總效果區域擴大 {0}"
"Final Burst has {0}% more Area of Effect","最終爆炸有 {0}% 範圍效果"
"Final Flurry has {0} increased Area of Effect","最後一道刀刃亂舞的效果區域擴大 {0}"
"Final Flurry has {0} reduced Area of Effect","最後一道刀刃亂舞的效果區域縮小 {0}"
"Final Flurry has {0}% increased Area of Effect","最終的亂舞增加 {0}% 範圍效果"
"Final Flurry has {0}% reduced Area of Effect","最終的亂舞減少 {0}% 範圍效果"
"Final Repeat deals {0} less Damage","最後一次重復的總傷害更少 {0}"
"Final Repeat deals {0} more Damage","最後一次重復的總傷害更多 {0}"
"Final Repeat deals {0}% less Damage","最終重複造成 {0}% 更少傷害"
"Final Repeat deals {0}% more Damage","最終重複造成 {0}% 更多傷害"
"Final Repeat has {0} chance to deal Double Damage","最後一次重復 {0} 的機率造成雙倍傷害"
"Final Repeat has {0}% chance to deal Double Damage","最後的重複有 {0}% 機率造成 2 倍傷害"
"Final Repeat of Spells has {0}% increased Area of Effect","最終重複的法術增加 {0}% 範圍效果"
"Final Repeat of Spells has {0}% reduced Area of Effect","最終重複的法術減少 {0}% 範圍效果"
"Final Repeat of Supported Skills deals {0} less Damage","被輔助技能最後一次重復的總傷害更少 {0}"
"Final Repeat of Supported Skills deals {0} more Damage","被輔助技能最後一次重復的總傷害更多 {0}"
"Final Repeat of Supported Skills deals {0}% less Damage","被輔助技能的最終重複造成 {0}% 更少傷害"
"Final Repeat of Supported Skills deals {0}% more Damage","被輔助技能的最終重複造成 {0}% 更多傷害"
"Final Repeat of Supported Skills has {0} chance to deal Double Damage","被輔助技能最後一次重復有 {0} 的機率造成雙倍傷害"
"Final Repeat of Supported Skills has {0}% chance to deal Double Damage","被輔助技能的第一次重複有 {0}% 機率造成 2 倍傷害"
"Final Repeat of this Spell or Minion's Spells deals {0}% less Damage","此法術或召喚物法術的最終重複造成 {0}% 更少傷害"
"Final Repeat of this Spell or Minion's Spells deals {0}% more Damage","此法術或召喚物法術的最終重複造成 {0}% 更多傷害"
"Final wave deals {0} less Damage with Hits","最後一波的擊中總傷害更少 {0}"
"Final wave deals {0} less Damage with Ignite","最後一波的點燃總傷害更少 {0}"
"Final wave deals {0} more Damage with Hits","最後一波的擊中總傷害更多 {0}"
"Final wave deals {0} more Damage with Ignite","最後一波的點燃總傷害更多 {0}"
"Final wave deals {0} of Damage per stage","每有一層，可使最後一波造成 {0} 傷害"
"Final wave deals {0}% less Damage with Hits","最後一波擊中造成 {0}% 更少傷害"
"Final wave deals {0}% less Damage with Ignite","最後一波點燃造成 {0}% 更少傷害"
"Final wave deals {0}% more Damage with Hits","最後一波擊中造成 {0}% 更多傷害"
"Final wave deals {0}% more Damage with Ignite","最後一波點燃造成 {0}% 更多傷害"
"Final wave deals {0}% of Damage per stage","最終波造成每層 {0}% 的傷害"
"Fire Damage is increased by {0} per {1} Intelligence from Allocated Passives in Radius","範圍內每配置 {1} 點智慧，火焰傷害增加 {0}"
"Fire Damage is increased by {0}% per {1} Intelligence from Allocated Passives in Radius","範圍內每配置 {1} 點智慧，火焰傷害增加 {0}%"
"Fire Damage is increased by {1}% per {0} Intelligence from Allocated Passives in Radius","範圍內每配置 {0} 點智慧增加 {1}% 火焰傷害"
"Fire Elementals have {0} increased maximum Life","火元素的最大生命增加 {0}"
"Fire Elementals have {0} reduced maximum Life","火元素的最大生命減少 {0}"
"Fire Elementals have {0}% increased maximum Life","火元素增加 {0}% 最大生命"
"Fire Elementals have {0}% reduced maximum Life","火元素減少 {0}% 最大生命"
"Fire Exposure applies {0} to Fire Resistance","【火焰曝曬】 {0} 火焰抗性"
"Fire Exposure applies {0}% to Fire Resistance","火焰曝曬 {0}% 火焰抗性"
"Fire Exposure you inflict applies an extra {0}% to Fire Resistance","你造成的火焰曝曬套用額外 {0}% 火焰抗性"
"Fire Modifiers have {0} increased Effect","火焰詞綴的效果增加 {0}"
"Fire Modifiers have {0} reduced Effect","火焰詞綴的效果減少 {0}"
"Fire Modifiers have {0}% increased Effect","火焰詞綴增加 {0}% 效果"
"Fire Modifiers have {0}% reduced Effect","火焰詞綴減少 {0}% 效果"
"Fire Nova Mine repeats an additional {0} times","火焰新星地雷額外施放 {0} 次"
"Fire Resistance is {0}","火焰抗性 {0}"
"Fire Resistance is {0}%","火焰抗性為 {0}%"
"Fire Skills have {0} chance to Poison on Hit","火焰技能有 {0} 的機率使敵人中毒"
"Fire Skills have {0}% chance to Poison on Hit","火焰技能擊中時有 {0}% 機率造成中毒"
"Fire Skills have a {0} chance to apply Fire Exposure on Hit","火焰技能在擊中時有 {0} 的機率附加【火焰曝曬】"
"Fire Skills have a {0}% chance to apply Fire Exposure on Hit","火焰技能擊中時有 {0}% 機率造成火焰曝曬"
"Fire Spells have {0} of Physical Damage Converted to Fire Damage","火焰法術的 {0} 物理傷害轉換為火焰傷害"
"Fire Spells have {0}% of Physical Damage Converted to Fire Damage","火焰法術 {0}% 物理傷害轉化至火焰傷害"
"Fire Trap has {0} increased Cooldown Recovery Rate","火焰陷阱的冷卻回復率增加 {0}"
"Fire Trap has {0} reduced Fire Trap Cooldown Recovery Rate","火焰陷阱的冷卻回復率減少 {0}"
"Fire Trap has {0}% increased Cooldown Recovery Rate","火焰陷阱增加 {0}% 冷卻時間恢復速度"
"Fire Trap has {0}% reduced Fire Trap Cooldown Recovery Rate","火焰陷阱減少 {0}% 冷卻時間恢復速度"
"Fire Trap throws up to {0} additional Trap","火焰陷阱投擲最多 {0} 個額外陷阱"
"Fire Trap throws up to {0} additional Traps","火焰陷阱投擲最多 {0} 個額外陷阱"
"Fireball has {0} chance to Ignite","火球有 {0} 的機率點燃"
"Fireball has {0} chance to Scorch","【火球】有 {0} 的機率導致焦灼"
"Fireball has {0}% chance to Ignite","火球有 {0}% 機率點燃"
"Fireball has {0}% chance to Scorch","火球 {0}% 機率焦灼"
"Fireball Projectiles gain Area as they travel farther, up to {0} increased Area of Effect","火球投射物的爆炸範圍將隨飛行距離擴大，最多擴大 {0}"
"Fireball Projectiles gain Area as they travel farther, up to {0} reduced Area of Effect","火球投射物爆炸範圍將隨飛行距離縮小，最多縮小 {0}"
"Fireball Projectiles gain Area as they travel farther, up to {0}% increased Area of Effect","火球投射物爆炸範圍將隨著飛行距離提升，最多增加 {0}% 範圍"
"Fireball Projectiles gain Area as they travel farther, up to {0}% reduced Area of Effect","火球投射物爆炸範圍將隨著飛行距離減少，最多減少 {0}% 範圍"
"Fireball Projectiles gain Radius as they travel farther, up to {0} Radius","火球投射物爆炸範圍將隨著飛行距離提升，最多增加 {0} 範圍半徑"
"Fires {0} additional Arrows","發射 {0} 個額外箭矢"
"Fires {0} additional Projectiles","發射 {0} 個額外投射物"
"Fires {0} additional Projectiles per Intensity","每層強化發射 {0} 個額外投射物"
"Fires {0} additional sequences of arrows","發射 {0} 次額外連續箭矢"
"Fires {0} Arrow","發射 {0} 箭矢"
"Fires {0} Arrow in a random direction","以隨機方位發射 {0} 箭矢"
"Fires {0} Arrows","發射 {0} 箭矢"
"Fires {0} Arrows in a circle","以環狀型式發射 {0} 箭矢"
"Fires {0} Arrows in a Nova","新星狀發射 {0} 支箭矢"
"Fires {0} Arrows in a spiral","以螺旋型式發射 {0} 箭矢"
"Fires {0} Arrows in each of two mirrored spirals","以兩個鏡像螺旋型式發射 {0} 箭矢"
"Fires {0} Arrows in random directions","以隨機方位發射 {0} 箭矢"
"Fires {0} Arrows sequentially","連續發射 {0} 箭矢"
"Fires {0} fewer Projectile per Intensity","每層強化少發射 {0} 個額外投射物"
"Fires {0} fewer Projectiles per Intensity","每層強化少發射 {0} 個額外投射物"
"Fires {0} less Projectiles per Steel Shard consumed","每消耗一枚鋼刃碎片，就使投射物發射總量額外減少 {0}"
"Fires {0} more Projectiles per Steel Shard consumed","每消耗一枚鋼刃碎片，就使投射物發射總量額外增多 {0}"
"Fires {0} Projectile","發射 {0} 投射物"
"Fires {0} Projectile in a random direction","以隨機方位發射 {0} 投射物"
"Fires {0} Projectiles","發射 {0} 投射物"
"Fires {0} Projectiles at each nearby Enemy","發射 {0} 投射物至附近每個敵"
"Fires {0} Projectiles in a circle","以環狀型式發射 {0} 投射物"
"Fires {0} Projectiles in a Nova","新星狀發射 {0} 個投射物"
"Fires {0} Projectiles in a spiral","以螺旋型式發射 {0} 投射物"
"Fires {0} Projectiles in each of two mirrored spirals","以兩個鏡像螺旋型式發射 {0} 投射物"
"Fires {0} Projectiles in random directions","以隨機方位發射 {0} 投射物"
"Fires {0} Projectiles sequentially","連續發射 {0} 投射物"
"Fires {0} secondary Projectile","發射 {0} 個二段投射物"
"Fires {0} secondary Projectiles","發射 {0} 個二段投射物"
"Fires {0} sequences of {1} Arrows","持續 {0} 次發射 {1} 枚箭矢"
"Fires {0} Shard Projectiles in a Spiral when Projectile ends","當投射物結束時，以螺旋型式發射 {0} 碎片投射物"
"Fires {0}% less Projectiles per Steel Shard consumed","每個消耗的鋼鐵碎片，發射 {0}% 更少投射物"
"Fires {0}% more Projectiles per Steel Shard consumed","每個消耗的鋼鐵碎片，發射 {0}% 更多投射物"
"Fires {5} sequences of {0} Arrows","發射 {0} 箭矢在 {5} 次序列中"
"Fires 1 sequence of {0} Arrows","發射一串 {0} 支箭矢"
"Fires a sequence of {0} Arrows","發射 {0} 箭矢在 1 次序列中"
"Fires an additional Projectile for every {0} prior Mines in Detonation Sequence","爆炸序列中每 {0} 個先前地雷發射 1 個額外投射物"
"Fires extra Projectiles at up to {0} surrounding Enemies","對附近至多 {0} 個敵人發射額外投射物"
"Fires Projectiles {0} faster","投射物發射速度加快 {0}"
"Fires Projectiles {0} slower","投射物發射速度減慢 {0}"
"Fires Projectiles {0}% faster","發射投射物加速 {0}%"
"Fires Projectiles {0}% slower","發射投射物減慢 {0}%"
"Fires projectiles every {0} seconds","每 {0} 秒發射一波投射物"
"Fires Projectiles every {0} seconds","每 {0} 秒發射投射物"
"Fires tendrils at up to {0} Targets","對最多 {0} 目標發射觸手"
"First Hit deals {0} less Damage","第一擊造成的總傷害更少 {0}"
"First Hit deals {0} more Damage","第一擊造成的總傷害更多 {0}"
"First Hit deals {0}% less Damage","第一次擊中造成 {0}% 更少傷害"
"First Hit deals {0}% more Damage","第一次擊中造成 {0}% 更多傷害"
"First Impact deals {0} less  Damage with Hits and Ailments","首次撞擊的擊中和異常狀態總傷害更少 {0}"
"First Impact deals {0} less damage","首次撞擊的總傷害更少 {0}"
"First Impact deals {0} more damage","首次撞擊的總傷害更多 {0}"
"First Impact deals {0} more Damage with Hits and Ailments","首次撞擊的擊中和異常狀態總傷害更多 {0}"
"First Impact deals {0}% less  Damage with Hits and Ailments","第一次撞擊造成 {0}% 更少擊中和異常狀態傷害"
"First Impact deals {0}% more Damage with Hits and Ailments","第一次撞擊造成 {0}% 更多擊中和異常狀態傷害"
"First Impact has {0} less area of effect","首次撞擊的總效果區域額外縮小 {0}"
"First Impact has {0} less Area of Effect","首次撞擊的總效果區域額外縮小 {0}"
"First Impact has {0} more area of effect","首次撞擊的總效果區域額外擴大 {0}"
"First Impact has {0} more Area of Effect","首次撞擊的總效果區域額外擴大 {0}"
"First Impact has {0}% less Area of Effect","第一次撞擊有 {0}% 更少範圍效果"
"First Impact has {0}% more Area of Effect","第一次撞擊有 {0}% 更多範圍效果"
"First Repeat deals {0} less Damage","第一次重復造成的總傷害更少 {0}"
"First Repeat deals {0} more Damage","第一次重復造成的總傷害更多 {0}"
"First Repeat deals {0}% less Damage","第一次重複造成 {0}% 更少傷害"
"First Repeat deals {0}% more Damage","第一次重複造成 {0}% 更多傷害"
"First Repeat of Supported Skills deals {0} less Damage","第一個重復的被輔助技能造成的總傷害更少 {0}"
"First Repeat of Supported Skills deals {0} more Damage","第一個重復的被輔助技能造成的總傷害更多 {0}"
"First Repeat of Supported Skills deals {0}% less Damage","被輔助的技能第一次重複造成 {0}% 更少傷害"
"First Repeat of Supported Skills deals {0}% more Damage","被輔助的技能第一次重複造成 {0}% 更多傷害"
"First Stage deals {0} less Damage","第一層的總傷害更少 {0}"
"First Stage deals {0} more Damage","第一層的總傷害更多 {0}"
"First Stage deals {0}% less Damage","第一階段造成 {0}% 更少傷害"
"First Stage deals {0}% more Damage","第一階段造成 {0}% 更多傷害"
"Fissures deal {0} less Damage","裂縫的總傷害更少 {0}"
"Fissures deal {0} more Damage","裂縫的總傷害更多 {0}"
"Fissures deal {0}% less Damage","裂縫造成 {0}% 更少傷害"
"Fissures deal {0}% more Damage","裂縫造成 {0}% 更多傷害"
"Flame Dash has {0} increased Cooldown Recovery Rate","烈燄衝刺的冷卻回復率增加 {0}"
"Flame Dash has {0} reduced Cooldown Recovery Rate","烈燄衝刺的冷卻回復率減少 {0}"
"Flame Dash has {0}% increased Cooldown Recovery Rate","烈焰衝刺增加 {0}% 冷卻時間恢復速度"
"Flame Dash has {0}% reduced Cooldown Recovery Rate","烈焰衝刺減少 {0}% 冷卻時間恢復速度"
"Flame Golems have {0} increased Damage","【烈燄魔像】的傷害增加 {0}"
"Flame Golems have {0} reduced Damage","【烈燄魔像】的傷害減少 {0}"
"Flame Golems have {0}% increased Damage","增加 {0}% 烈焰魔像的傷害"
"Flame Golems have {0}% reduced Damage","減少 {0}% 烈焰魔像的傷害"
"Flame Wall deals {0} increased Damage","烈燄之牆的傷害增加 {0}"
"Flame Wall deals {0} reduced Damage","烈燄之牆的傷害減少 {0}"
"Flame Wall deals {0}% increased Damage","烈焰之牆增加 {0}% 傷害"
"Flame Wall deals {0}% reduced Damage","烈焰之牆減少 {0}% 傷害"
"Flame Wall grants {0} to {1} Added Fire Damage to Projectiles","烈焰之牆使投射物附加 {0} 至 {1} 火焰傷害"
"Flamethrower Trap deals {0} increased Damage","【擲火陷阱】的傷害增加 {0}"
"Flamethrower Trap deals {0} reduced Damage","【擲火陷阱】的傷害減少 {0}"
"Flamethrower Trap deals {0}% increased Damage","噴火陷阱增加 {0}% 傷害"
"Flamethrower Trap deals {0}% reduced Damage","噴火陷阱減少 {0}% 傷害"
"Flamethrower Trap has {0} additional Flames","噴火陷阱有 {0} 道額外火焰"
"Flamethrower Trap has {0} increased Cast Speed","【擲火陷阱】的施放速度增加 {0}"
"Flamethrower Trap has {0} increased Cooldown Recovery Rate","【擲火陷阱】的冷卻回復速度增加 {0}"
"Flamethrower Trap has {0} increased Skill Effect Duration","【擲火陷阱】的技能效果持續時間延長 {0}"
"Flamethrower Trap has {0} reduced Cast Speed","【擲火陷阱】的施放速度減少 {0}"
"Flamethrower Trap has {0} reduced Cooldown Recovery Rate","【擲火陷阱】的冷卻回復速度減少 {0}"
"Flamethrower Trap has {0} reduced Skill Effect Duration","【擲火陷阱】的技能效果持續時間縮短 {0}"
"Flamethrower Trap has {0}% increased Cast Speed","噴火陷阱增加 {0}% 施放速度"
"Flamethrower Trap has {0}% increased Cooldown Recovery Rate","噴火陷阱增加 {0}% 冷卻時間恢復速度"
"Flamethrower Trap has {0}% increased Cooldown Recovery Speed","【擲火陷阱】的冷卻回復速度增加 {0}%"
"Flamethrower Trap has {0}% increased Skill Effect Duration","噴火陷阱增加 {0}% 技能效果持續時間"
"Flamethrower Trap has {0}% reduced Cast Speed","噴火陷阱減少 {0}% 施放速度"
"Flamethrower Trap has {0}% reduced Cooldown Recovery Rate","噴火陷阱減少 {0}% 冷卻時間恢復速度"
"Flamethrower Trap has {0}% reduced Cooldown Recovery Speed","【擲火陷阱】的冷卻回復速度減少 {0}%"
"Flamethrower Trap has {0}% reduced Skill Effect Duration","噴火陷阱減少 {0}% 技能效果持續時間"
"Flammability has {0} increased Mana Reservation if Cast as an Aura","以光環形式施放時，【易燃】的魔力保留增加 {0}"
"Flammability has {0} reduced Mana Reservation if Cast as an Aura","以光環形式施放時，【易燃】的魔力保留減少 {0}"
"Flammability has {0}% increased Mana Reservation","【易燃】的魔力保留增加 {0}%"
"Flammability has {0}% increased Mana Reservation if Cast as an Aura","若以光環施放易燃，易燃增加 {0}% 魔力保留"
"Flammability has {0}% increased Reservation if Cast as an Aura","易燃若以光環施放增加 {0}% 保留"
"Flammability has {0}% reduced Mana Reservation","【易燃】的魔力保留減少 {0}%"
"Flammability has {0}% reduced Mana Reservation if Cast as an Aura","若以光環施放易燃，易燃減少 {0}% 魔力保留"
"Flammability has {0}% reduced Reservation if Cast as an Aura","易燃若以光環施放減少 {0}% 保留"
"Flask {0}","藥劑 {0}"
"Flask effect modifier: {0}%","藥劑效果加成: {0}%"
"Flasks applied to you have {0} increased Effect","你身上的藥劑效果增加 {0}"
"Flasks applied to you have {0} reduced Effect","你身上的藥劑效果減少 {0}"
"Flasks applied to you have {0}% increased Effect","作用於你的藥劑增加 {0}% 效果"
"Flasks applied to you have {0}% reduced Effect","作用於你的藥劑減少 {0}% 效果"
"Flasks gain {0} Charge per second if you've Hit a Unique Enemy Recently","若你近期有擊中傳奇敵人，每秒藥劑獲得 {0} 充能"
"Flasks gain {0} Charges every {1} seconds","藥劑每 {1} 秒獲得 {0} 個充能"
"Flasks gain {0} Charges every {1} seconds while they are inactive","藥劑未啟用時，每 {1} 秒獲得 {0} 充能"
"Flasks Gain {0} Charges per empty Flask Slot every {1} seconds","每 {1} 秒藥劑根據每個空藥劑欄位獲得 {0} 充能"
"Flasks gain {0} Charges per second if you've Hit a Unique Enemy Recently","若你近期有擊中傳奇敵人，每秒藥劑獲得 {0} 充能"
"Flasks gain {0} Charges when you hit a Non-Unique Enemy, no more than once per second","當你擊中非傳奇敵人，藥劑獲得 {0} 充能，每秒不超過 1 次"
"Flasks gain {0} Charges when you take a Critical Strike","當你受到暴擊時獲得 {0} 點藥劑充能"
"Flasks gain a Charge every {0} seconds","藥劑每 {0} 秒獲得一個充能"
"Flesh and Stone has {0} increased Mana Reservation","【血肉與岩石】的魔力保留增加 {0}"
"Flesh and Stone has {0} reduced Mana Reservation","【血肉與岩石】的魔力保留減少 {0}"
"Flesh and Stone has {0}% increased Mana Reservation","血肉骸骨增加 {0}% 魔力保留"
"Flesh and Stone has {0}% increased Mana Reservation Efficiency","血肉骸骨增加 {0}% 魔力保留效用"
"Flesh and Stone has {0}% increased Reservation","血肉骸骨增加 {0}% 保留"
"Flesh and Stone has {0}% reduced Mana Reservation","血肉骸骨減少 {0}% 魔力保留"
"Flesh and Stone has {0}% reduced Mana Reservation Efficiency","血肉骸骨減少 {0}% 魔力保留效用"
"Flesh and Stone has {0}% reduced Reservation","血肉骸骨減少 {0}% 保留"
"Flesh Offering grants an additional {0} increased Attack Speed","【血肉奉獻】提供的召喚生物攻擊速度增加 {0}"
"Flesh Offering grants an additional {0} reduced Attack Speed","【血肉奉獻】提供的召喚生物攻擊速度減少 {0}"
"Flesh Offering grants an additional {0}% increased Attack Speed","增加 {0}% 血肉奉獻提供的召喚物攻擊速度"
"Flesh Offering grants an additional {0}% reduced Attack Speed","減少 {0}% 血肉奉獻提供的召喚物攻擊速度"
"Flicker Strike has {0} increased Cooldown Recovery Rate","閃現打擊的冷卻回復率增加 {0}"
"Flicker Strike has {0} reduced Flicker Strike Cooldown Recovery Rate","閃現打擊的冷卻回復率減少 {0}"
"Flicker Strike has {0}% increased Cooldown Recovery Rate","閃現打擊增加 {0}% 冷卻時間恢復速度"
"Flicker Strike has {0}% reduced Flicker Strike Cooldown Recovery Rate","閃現打擊減少 {0}% 冷卻時間恢復速度"
"Focus has {0} Cooldown","專注 {0} 冷卻時間"
"Focus has {0} increased Cooldown Recovery Rate","專注的冷卻回復速度增加 {0}"
"Focus has {0} reduced Cooldown Recovery Rate","專注的冷卻回復速度減少 {0}"
"Focus has {0}% increased Cooldown Recovery Rate","專注增加 {0}% 冷卻時間恢復速度"
"Focus has {0}% increased Cooldown Recovery Speed","專注的冷卻回復速度增加 {0}%"
"Focus has {0}% reduced Cooldown Recovery Rate","專注減少 {0}% 冷卻時間恢復速度"
"Focus has {0}% reduced Cooldown Recovery Speed","專注的冷卻回復速度減少 {0}%"
"For {0} seconds after you Impale Enemies, they cannot be Impaled again, and Impales cannot be Called from them","你穿刺敵人後 {0} 秒，他們不能再次被穿刺，鋼之呼喚不能從他們身上移除穿刺"
"For each Element you've been hit by Damage of Recently, {0} increased Damage of that Element","近期內，每個擊中你的元素可使你的該元素傷害增加 {0}"
"For each Element you've been hit by Damage of Recently, {0} increased Damage taken of that Element","近期內，每個擊中你的元素可使你所承受的該元素傷害增加 {0}"
"For each Element you've been hit by Damage of Recently, {0} reduced Damage of that Element","近期內，可使你的該元素傷害減少 {0}"
"For each Element you've been hit by Damage of Recently, {0} reduced Damage taken of that Element","近期內，每個擊中你的元素可使你所承受的該元素傷害減少 {0}"
"For each Element you've been hit by Damage of Recently, {0}% increased Damage of that Element","在 4 秒內每個擊中你的元素增加你 {0}% 該元素傷害"
"For each Element you've been hit by Damage of Recently, {0}% increased Damage taken of that Element","在 4 秒內每個擊中你的元素增加你 {0}% 承受的該元素傷害"
"For each Element you've been hit by Damage of Recently, {0}% reduced Damage of that Element","在 4 秒內每個擊中你的元素減少你 {0}% 該元素傷害"
"For each Element you've been hit by Damage of Recently, {0}% reduced Damage taken of that Element","在 4 秒內每個擊中你的元素減少你 {0}% 承受的該元素傷害"
"For each nearby corpse, Regenerate {0} Life per second, up to {1}","週圍每個屍體都使你每秒再生 {0} 生命，最多 {1}"
"For each nearby corpse, Regenerate {0}% Life per second, up to {1}%","附近每個屍體，每秒回復 {0}% 生命，最多 {1}%"
"For each nearby corpse, you and nearby Allies Regenerate {0} Mana per second, up to {1} per second","週圍每個屍體使你和週圍友軍每秒回復 {0} 魔力，最多每秒 {1} 點"
"For each nearby corpse, you and nearby Allies Regenerate {0} of Energy Shield per second, up to {1} per second","週圍每個屍體使你和週圍友軍每秒回復 {0} 能量護盾，每秒最多 {1}"
"For each nearby corpse, you and nearby Allies Regenerate {0}% of Energy Shield per second, up to {1}% per second","附近每個屍體，你和附近友方每秒回復 {0}% 能量護盾，最多每秒 {1}%"
"For freeze to apply, target must have no more than {0} life.","要冰凍敵人, 目標生命不能低於 {0}"
"For shock to apply, target must have no more than {0} life.","要感電敵人, 目標生命不能低於 {0}"
"Forbidden Rite fires {0} additional Projectiles","禁忌儀式發射 {0} 個額外投射物"
"Forbidden Rite fires extra Projectiles at up to {0} surrounding Enemies","禁忌儀式對附近最多 {0} 名敵人發射額外投射物"
"Fortifies you and Nearby Allies for {0} seconds","戒備打擊使附近友方獲得 {0} 秒護體"
"Fortify Buffs you create instead grant {0} more Evasion Rating","你創造的【護體】改為使總閃避值更多 {0}"
"Fortify Buffs you create instead grant {0}% more Evasion Rating","你製造的護體效果改為提供 {0}% 更多閃避值"
"Fortify Duration is increased by {0} per {1} Intelligence from Allocated Passives in Radius","範圍內每配置 {1} 點智慧，護體持續時間增加 {0}"
"Fortify Duration is increased by {0}% per {1} Intelligence from Allocated Passives in Radius","範圍內每配置 {1} 點智慧，護體持續時間增加 {0}%"
"Fortify Duration is increased by {1}% per {0} Intelligence from Allocated Passives in Radius","範圍內每配置 {0} 點智慧增加 {1}% 護體持續時間"
"Fortifying Hits against Unique Enemies grant {0}% increased Fortification","對傳奇敵人的護體擊中增加 {0}% 護體"
"Fortifying Hits against Unique Enemies grant {0}% reduced Fortification","對傳奇敵人的護體擊中減少 {0}% 護體"
"Fortifying Hits grant {0}% increased Fortification","護體擊中增加 {0}% 護體"
"Fortifying Hits grant {0}% reduced Fortification","護體擊中減少 {0}% 護體"
"Found Items have {0} chance to drop Corrupted in Area","區域內找到的物品有 {0} 的機率在掉落時腐化"
"Found Items have {0}% chance to drop Corrupted in Area","區域中掉落的物品有 {0}% 機率為已汙染"
"Found Items have a {0} chance to drop Corrupted in Area","該區域掉落的物品有 {0} 機率已被腐化"
"Found Items have a {0}% chance to drop Corrupted in Area","該區域掉落的物品有 {0}% 機率已被腐化"
"Freeze Chilled Enemies as though dealing {0} less Damage","冰凍冰緩的敵人如同總傷害更少 {0}"
"Freeze Chilled Enemies as though dealing {0} more Damage","冰凍冰緩的敵人如同總傷害更多 {0}"
"Freeze Chilled Enemies as though dealing {0}% less Damage","冰凍被冰緩的敵人，有如造成 {0}% 更少傷害"
"Freeze Chilled Enemies as though dealing {0}% more Damage","冰凍被冰緩的敵人，有如造成 {0}% 更多傷害"
"Freeze Enemies as though dealing {0} more Damage","冰凍敵人如同總傷害更多 {0}"
"Freeze Enemies as though dealing {0}% more Damage","冰凍的敵人如同造成 {0}% 更多傷害"
"Freeze Mine causes Enemies to lose an additional {0} Cold Resistance while Frozen","冰凍地雷冰凍敵人時，使其冰冷抗性更少 {0}"
"Freeze Mine causes Enemies to lose an additional {0}% Cold Resistance while Frozen","冰凍地雷造成冰凍的敵人減少額外 {0}% 冰冷抗性"
"Freezes enemies as though dealing {0} more Damage","額外獲得 {0} 總傷害下的冰凍效果"
"Freezes enemies as though dealing {0}% more Damage","冰凍敵人如同造成 {0}% 更多傷害"
"Freezes on Cursed enemies have {0} increased Duration","被詛咒敵人的冰凍持續時間延長 {0}"
"Freezes on Cursed enemies have {0} reduced Duration","被詛咒敵人的冰凍持續時間縮短 {0}"
"Freezes on Cursed enemies have {0}% increased Duration","被詛咒敵人增加 {0}% 冰凍持續時間"
"Freezes on Cursed enemies have {0}% reduced Duration","被詛咒敵人減少 {0}% 冰凍持續時間"
"Freezes you inflict spread to other Enemies within a Radius of {0}","你造成的冰凍擴散至範圍 {0} 內的其他敵人"
"Freezing Pulse fires {0} additional Projectiles","【冰冷脈衝】增加 {0} 個拋射物"
"Frost Blades Melee Damage Penetrates {0} Cold Resistance","冰霜之刃的近戰傷害穿透 {0} 冰冷抗性"
"Frost Blades Melee Damage Penetrates {0}% Cold Resistance","冰霜之刃的近戰傷害穿透 {0}% 冰冷抗性"
