"Lava Lash",熔岩之力
"Daring Ideas",大膽的想法
"Clarity of Purpose",明淨之志
"Scintillating Idea",靈光乍現
"Holistic Health",整體健康
Genius,天才
Improvisor,即興詩人
"Stubborn Student",頑固學生
"Savour the Moment",享受時光
"Energy From Naught",虛無淬能
"Will Shaper",意志雕塑
"Spring Back",彈回
"Conservation of Energy",節能
Self-Control,自制力
"Heart of Iron",鋼鐵之心
"Prismatic Carapace",多稜甲殼
Militarism,軍國主義
"Second Skin",換皮
"Dragon Hunter",獵龍幻士
"Enduring Composure",耐久鎮靜
Uncompromising,永不妥協
"Prismatic Dance",多稜舞蹈
"Natural Vigour",自然活力
Untouchable,無法觸碰
"Shifting Shadow",替換陰影
Readiness,準備就緒
"Sublime Form",昇華之型
"Confident Combatant",自信戰士
"Flexible Sentry",機動哨兵
"Vicious Guard",惡毒護衛
"Mystical Ward",魔幻守衛
"Rote Reinforcement",加強記憶
"Mage Hunter",魔術獵手
"Riot Queller",暴動殺手
"One with the Shield",持盾者
Aerialist,高空特技
"Elegant Form",高雅之姿
"Darting Movements",猛突位移
"No Witnesses",無目擊者
"Molten One's Mark",熔火之印
"Fire Attunement",火焰曲調
"Pure Might",純粹之力
Blacksmith,鐵匠
Non-Flammable,非易燃
"Winter Prowler",冬季竊賊
Hibernator,冬眠
"Pure Guile",純粹詭計
Alchemist,鍊金術師
Antifreeze,抗凍
Wizardry,巫術
Capacitor,容器
"Pure Aptitude",純粹才能
Sage,哲人
Insulated,絕緣
"Born of Chaos",混沌之誕
Antivenom,抗毒
Rot-Resistant,抗鏽
Blessed,祝福
"Student of Decay",腐朽之徒
"Medium Jewel Socket",中型珠寶插槽
"Small Jewel Socket",小型珠寶插槽
"Position Proxy",位置取代
"Trial of the Faith",信仰試煉
"Stance Skill Cooldown Recovery",姿態技能冷卻恢復
"Bow Attack Speed",弓的攻擊速度
"Circle of Life",生命循環
"Dance of Blades",劍舞
"Link Effect",連結效果
"Stun Recovery",暈眩恢復
"Life Gain on Hit",擊中生命回復
"Excess Sustenance",營養過剩
"Stance Reservation Efficiency",姿態保留效用
"Glacial Cage",冰牢
Perfectionist,完美主義者
"Attack Damage in Blood Stance",血腥姿態攻擊傷害
"Attack Speed in Sand Stance",沙戮姿態攻擊速度
"Chill Effect",冰緩效果
"Seasoned Swordplay",劍術精通
"Fortify on Melee Stun",近戰暈眩時護體
"Link Cast Speed",連結施放速度
"Master Distiller",精釀大師
"Area of Effect, Blind Effect",範圍效果、致盲效果
"Area of Effect, Movement Speed",範圍效果、移動速度
"Area of Effect, Elemental Resistances",範圍效果、元素抗性
"Area of Effect, Mine Throwing Speed",範圍效果、地雷投擲速度
"Like Clockwork",規律化
"Area of Effect, Trap Throwing Speed",範圍效果、陷阱投擲速度
"Area of Effect, Area Damage",範圍效果、範圍傷害
"Righteous Fury",正義怒火
Multishot,多重射擊
"Stun Threshold",暈眩門檻
Escalation,進階
"Chaos Resistance and Avoidance",混沌抗性和避免
"Empowered Bond",賦予之絆
"Expert Hunter",獵人專家
"Avoid Interruption while Casting",施放時避免阻礙
"Conjured Barrier",召喚屏障
"Surge of Vigour",活力之湧
"Brink of Death",死亡邊緣
"Winter's Embrace",寒冬之擁
"Potent Connections",強大聯繫
"Warcry Duration and Buff Effect",戰吼持續時間和增益效果
"Warcry Duration",戰吼持續時間
"Flask Charges against Marked Enemy",對印記的敵人藥劑充能
"Mark Cast Speed and Mana Cost",印記施放速度和魔力消耗
"Mark Cast Speed",印記施放速度
"Mark Mana Cost",印記魔力消耗
"Relentless Pursuit",努力不懈
"Curse and Chaos Resistance",詛咒和混沌抗性
"Stun Mastery",暈眩專精
"Recovery Mastery",恢復專精
"Protection Mastery",保護專精
"Life Regeneration, Melee Damage",生命回復、近戰傷害
"Armour and Energy Shield, Block Recovery",護甲和能量護盾、格擋恢復
"Armour and Energy Shield, Link Effect",護甲和能量護盾、連結效果
"Faster Ailments",加速異常狀態
"Ignite and Bleed Duration",點燃和流血持續時間
"Settling Ash",沉澱灰燼
"Concussive Force",震爆之力
"Invigorating Blaze",振奮之焰
Cauterisation,燒灼
"Warden of the Maji",聖賢守護者
"Coated Blade",塗層刀刃
"Nature's Concoction",自然調劑
"Intensifying Suffusion",強化瀰漫
"Wildwood Blessing",荒林祝福
"Lesson of the Seasons",學習季節
"Oath of the Maji",聖賢的誓言
"Detect Evil",邪靈探測
"Vivid Wisps found",掉落靈現妖精
"Warlock of the Mists",嵐之術士
Sanguimancy,占血術
"Crimson Power",緋紅之力
"Cannibalised Faith",食人族信仰
"Soul Splitting",靈魂撕裂
"Creeping Lobotomy",前額葉切除術
"Choir of the Damned",惡魔樂團
"Black Mass",黑暗彌撒
"Warlock Power",術士之力
"Foul Pact",邪惡契約
"Blood Hunt",鮮血獵捕
"Wild Wisps found",掉落野性妖精
"Wildwood Primalist",荒野始者
"Might of the Bear",熊之志
"Charm Socket",咒語插槽
"Howl of the Wolf",狼之嚎
"Primal Wisps found",掉落原始妖精
"Warlord's Call",督軍的呼喚
"Mana and Increased Mana Cost",魔力和增加魔力消耗
"Totem Life and Damage",圖騰生命和傷害
"Physical Damage and Ignore Physical Damage Reduction",物理傷害和無視物理傷害減免
"Life Leech Speed",生命偷取速度
"Mana Leech Speed",魔力偷取速度
"Rage on Hit",擊中時獲得盛怒
"Slower Rage Decay",減緩盛怒衰退
"Battle Trance",戰鬥冥想
"Maximum Rage and Armour",最大盛怒和護甲
"Slower Rage Decay and Armour",較慢的盛怒衰退和護甲
Vengeance,復仇
"Savage Intensity",野性強化
"Maximum Rage",最大盛怒
"Veteran's Wrath",老兵的暴怒
"Armour, Chaos Resistance",護甲、混沌抗性
"Physical Damage, Rage on Hit",物理傷害、擊中獲得盛怒機率
"Life Regeneration, Warcry Duration",生命回復、戰吼持續時間
"Sione, Sun's Roar",烈日怒吼．西奧妮
"Evasion, Chance to Freeze",閃避值、冰凍機率
"Oath of Spring",新春誓言
"Evasion, Chance to Shock",閃避值、感電機率
"Oath of Winter",凜冬誓言
"Evasion, Spell Suppression",閃避值、法術壓抑
"Mother's Teachings",母親的教誨
"Evasion, Chance to Ignite",閃避值、點燃機率
"Oath of Summer",炎夏誓言
"Evasion, Elemental Ailment Duration",閃避、元素異常狀態持續時間
"Avatar of the Wilds",獸性化身
"Evasion, Tincture Effect",閃避、萃取物效果
"Experienced Herbalist",經驗豐富的藥草師
"Enduring Suffusion",耐久瀰漫
Avidity,貪慾
"Attack Speed, Bleed Chance",攻擊速度、流血機率
"Jagged Technique",鋸齒技法
"Weapon Master",武器大師
"Determined Survivor",堅定的倖存者
"Measured Retaliation",精準復仇
"More Than Skill",技能不止
"Attack Speed, Attack Damage",攻擊速度、攻擊傷害
"War of Attrition",消耗戰
Warden,守護者
"Attack Mana Cost",攻擊魔力消耗
"Staff Spell Block",長杖法術格擋
"Spell Area of Effect",法術範圍效果
"Melee Area of Effect",近戰範圍效果
"Totem Attack Speed",圖騰攻擊速度
"Wild Hunger",野性渴望
"Awe and Terror",敬畏與恐懼
"Rallying Icon",團結象徵
"Defiant Stand",反抗立場
"Renowned Deeds",著名事蹟
"Banner Area of Effect",鬥旗範圍效果
"Banner Duration",鬥旗持續時間
"Banner Valour Gained",獲得的鬥旗勇氣
"Banner Maximum Valour and Duration",鬥旗最大勇氣和持續時間
"Banner Maximum Valour",鬥旗最大勇氣
"Banner Aura Effect",旌旗光環效果
"Wicked Blade",殘靈刀刃
"Bleed Duration",流血持續時間
"Master of Wounds",創傷大師
"Impale Chance and Attack Speed",穿刺機率和攻擊速度
"Brutal Skewering",殘酷串燒
"Leader of the Pack",群體領袖
"Thrill of Battle",戰鬥亢奮
"Spirit of War",戰爭之靈
"Slower Mana Burn",魔力灼燒減速
"Tincture Effect",萃取物效果
"Practised Reapplication",熟以致用
"Colloidal Mixture",膠體混合物
"Perfected Formula",完美配方
"Dual Wield Attack Speed and Block",雙持攻擊速度和格擋
"Feline Swiftness",貓族迅捷
"As The Mountain",宛如神山
"Block and Armour",格擋與護甲
"Block and Block Recovery",格擋與格擋恢復
"Wall of Steel",鋼鐵之壁
"As The Thunder",宛如雷鳴
"Savage Skewering",野蠻穿刺
"Nomadic Teachings",浪人教誨
"Bleed and Critical Strike Chance",流血與暴擊率
"Aggravate Bleeding On Critical Strike Chance",暴擊率加劇流血
"Cornered Prey",甕中之鱉
"Tincture Mana on Kill",擊殺回復萃取物魔力
"Burst of Energy",能量爆發
"Flask and Tincture Effect",藥劑與萃取物效果
"Flask Duration",藥劑持續時間
"Roaring Challenge",咆哮挑戰
"Two Handed Melee Damage and Ignore Physical Damage Reduction",雙手武器近戰傷害和無視物理傷害減免
"Banner Mastery",鬥旗專精
"Rage Mastery",盛怒專精
"Tincture Mastery",萃取物專精
"Vinespike Cordial",荊刺之誠
"Selective Precision",細選精準
"Legacy of the Wilds",荒野的傳承
"Hollow Effigy",空洞雕像
"Force of Darkness",黑暗之力
"Lasting Tempest",恆久風暴
"Adaptive Steel",適性之鋼
"Always Angry",保持憤怒
"Sione's Ambition",西奧妮的野心
"Bastion of Faith",信心堡壘
"Beacon of Hope",希望信標
"Wood, Stone, and Spell",木頭、石頭和法術
"Jagged Wounds",鋸齒重創
"No Forgiveness",絕不饒恕
"Deliberate Brutality",蓄意殘虐
"Knowledge Barrier",知識屏障
Incorporeal,無形之靈
"Mixed Munitions",混合彈藥
"Worship the Blightheart",崇拜凋落之心
"Unrestrained Focus",率性專注
"Careful Counterattack",謹慎反擊
"Prepared Response",預備反應
"Flow of Battle",戰鬥節奏
"Cruel Retort",殘酷反駁
"Indiscriminate Revenge",無差別報復
"Crushing Reply",粉碎回應
"Retaliation Skill Damage and Shield Block",復仇技能傷害與盾牌格擋
"Retaliation Skill Damage",復仇技能傷害
"Retaliation Skill Speed and Shield Spell Block",復仇技能速度與盾牌法術格擋
"Retaliation Mastery",復仇專精
"Retaliation Skill Usable Duration",復仇技能可使用持續時間
"Retaliation Skill Cooldown Recovery",復仇技能冷卻恢復
"Retaliation Skill Speed",復仇技能速度
"Retaliation Skill Area Of Effect",復仇技能範圍
"Retaliation Skill Stun Duration",復仇技能暈眩持續時間
"Retaliation Skill Damage and Stun Threshold",復仇技能傷害與暈眩門檻
"Arsenal of Vengeance",復仇兵工廠
"Seasoned Hunter",老練獵人
"Bloodsoaked Blade",浸血之刃
