ㄎ,翻譯
Is the enemy Frozen?,^xFFFFFF敵人是否被^x3F6DB3【冰凍】^7?
Is the enemy Brittle?,^xFFFFFF敵人是否被^x3F6DB3【易碎】^7?
Is the enemy on Brittle Ground?,^xFFFFFF敵人是否在^x3F6DB3【易碎地面】^7?
Is the enemy Exposed to Cold?,^xFFFFFF敵人是否被^x3F6DB3【冰冷曝曬】^7?
Is the enemy Shocked?,^xFFFFFF敵人是否被^xADAA47【感電】^7?
Is the enemy Sapped?,^xFFFFFF敵人是否被^xADAA47【殘喘】^7?
Is the enemy on Sapped Ground?,^xFFFFFF敵人是否在^xADAA47【殘喘地面】^7?
Is the enemy Exposed to Lightning?,^xFFFFFF敵人是否被^xADAA47【閃電曝曬】^7?
Are you Chilled?,^xFFFFFF你被^x3F6DB3【冰緩】^7?
Are you Frozen?,^xFFFFFF你被^x3F6DB3【冰凍】^7?
Are you Ignited?,^xFFFFFF你被^xB97123【點燃】^7?
Are you Burning?,^xFFFFFF你被^xB97123【燃燒】^7?
Are you Shocked?,^xFFFFFF你被^xADAA47【感電】^7?
Effect of Scorched:,^xB97123【焦灼】^7效果:
Effect of Chill:,^x3F6DB3【冰緩】^7效果:
Effect of Brittle:,^x3F6DB3【易碎】^7效果:
Effect of Shock:,^xADAA47【感電】^7效果:
Effect of Sap:,^xADAA47【殘喘】^7效果:
x {0} (multiplier from {1}% chance to deal triple damage),x {0} ({1}%機率造成三倍傷害的加成)
x {0} (multiplier from {1}% chance to deal double damage),x {0} ({1}%機率造成雙倍傷害的加成)
(action speed modifier),(行動速度修正)
Lightning Damage Convert To Cold,閃電傷害轉換為冰冷傷害
Lightning Damage Gain As Cold,獲得閃電傷害的額外冰冷傷害
Physical Damage Convert To Fire,物理傷害轉換為火焰傷害
Lightning Damage Convert To Fire,閃電傷害轉換為火焰傷害
Cold Damage Convert To Fire,冰冷傷害轉換為火焰傷害
You can't deal Physical damage,你無法造成物理傷害
You can't deal Lightning damage,你無法造成閃電傷害
You can't deal Cold damage,你無法造成冰冷傷害
You can't deal Fire damage,你無法造成火焰傷害
You can't deal Chaos damage,你無法造成混沌傷害
{0} to {1} (base damage from skill),{0} 至 {1} (技能基礎傷害)
(resistance ignored),(無視抗性)
(leech rate modifier),(偷取總恢復修正)
(maximum mana),(最大魔力)
x {0}% (percentage of mana to maximum leech rate),x {0}% (最大魔力偷取速率百分比)
= {0} per second,= {0} 每秒
= {0} (attack speed),= {0} (攻擊次數)
= {0} attacks per second,= {0} 每秒攻擊次數
Trauma,創傷
x {0} (duration),x {0} (持續時間)
= {0} trauma,= {0} 創傷
Extra Trauma,額外創傷
Your spells have 100% chance to Shock against Frozen enemies,你的法術有 100% 機率對冰凍的敵人造成感電
Projectile Count,投射物數量
Pierce Count,穿透數量
Gain Accuracy Rating equal to your Intelligence,獲得等同你智慧的命中值
Minion's Accuracy Rating is equal to yours,召喚生物的命中值等同於你的命中值
50% increased Accuracy Rating at Close Range,近距離時命中值提高50%
"+500 to Accuracy Rating, -2 to Accuracy per Level",+500命中值，每1級-2命中值
"20% increased Armour per second you've been stationary, up to a maximum of 100%",靜止狀態下的裝甲每秒增加20%，最高增加100%
"Gain 25 Life per Enemy Hit with Main Hand Claw Attacks, Gain 25 Mana per Enemy Hit with Off Hand Claw Attacks",主手爪每次擊中敵人可獲得25生命，副手爪每次擊中敵人可獲得25法力
60% increased Damage with Claws against Enemies that are on Low Life,對低血量敵人的爪擊傷害提高60%
10% of Leech is Instant per Equipped Claw,每裝備一個爪子偷取的10%為瞬間回复
50% increased Stealth if you've Hit with a Claw Recently,如果你最近用爪子擊中，則匿踪效果提高50%
10% Chance to Inflict Cold Exposure on Hit with Cold Damage,用冰霜傷害擊中怪物時有10%的機率對怪物造成寒冷暴露
Enemies near targets you Shatter have 20% chance to be Covered in Frost for 5 seconds,被你粉碎的目標附近的敵人有20%的機率被冰霜附體5秒
+1% to maximum Cold Resistance,+1%最大冰霜抗性
Chills from your Hits always reduce Action Speed by at least 10%,你的命中造成的冰緩總是會降低至少10%的行動速度
"Enemies permanently take 5% increased Damage for each second they've ever been Frozen by you, up to a maximum 50%",敵人每被你冰凍一秒，他們受到的傷害就會永久提高5%，最高50%
50% reduced effect of Exposure on you,曝露對你的影響降低50%
Hits have 25% chance to treat Enemy Monster Elemental Resistance values as inverted,命中有25%的機率將敵方怪物的元素抗性值倒置
Critical Strikes against you do not inherently inflict Elemental Ailments,對你的暴擊不會固有地造成元素異常
3% chance for Hits to deal 300% of Physical Damage as Extra Damage of a random Element,擊中有3%的機率造成300%的物理傷害作為隨機元素的額外傷害
10% less Physical Damage Taken while on Full Energy Shield,滿能量護盾時受到的物理傷害降低10%
30% of Chaos Damage taken does not bypass Energy Shield,受到的30%混沌傷害不會繞過能量護盾
100% increased Energy Shield from Equipped Helmet,裝備頭盔的能量護盾提高100%
"=+15% chance to Suppress Spell Damage if Equipped Helmet, Body Armour, Gloves, and Boots all have Evasion Rating",如果裝備的頭盔、胸甲、手套和靴子都具有閃避，則+15%機率抑制法術傷害
"20% increased Maximum Energy Shield if both Equipped Rings have Evasion Modifiers, 40% increased Energy Shield Recharge Rate if Equipped Amulet has an Evasion Modifier",如果兩個裝備的戒指都有閃避修改器，最大能量護盾增加20%，如果裝備的護身符有閃避修改器，能量護盾充電率增加40%
100% increased Evasion Rating if Energy Shield Recharge has started in the past 2 seconds,如果在過去2秒內開始能量護盾充能，則閃避等級提高100%
"1% increased Evasion Rating per 5 Intelligence, Dexterity provides no inherent bonus to Evasion Rating",每5點智力提高1%的閃避，敏捷不提供閃避的內在加成
"Every 4 seconds, Regenerate Energy Shield equal to 1% of Evasion Rating over 1 second",每4秒，在1秒內恢復相當於閃避值1%的能量護盾
"Burning Enemies you kill have a 3% chance to Explode, dealing a tenth of their maximum Life as Fire Damage",你殺死的燃燒敵人有3%的機率爆炸，造成其最大生命值十分之一的火焰傷害
50% chance to refresh Ignite Duration on Critical Strike,暴擊時有50%機率刷新點燃持續時間
Regenerates 1 Life per second for each 1% Uncapped Fire Resistance,每增加1%的火焰抗性，每秒回复1點生命
"Critical Strikes do not inherently Ignite, 100% increased Damage with Hits against Ignited Enemies",暴擊不會必定造成點燃，對被點燃的敵人的擊中傷害提高100%
25% chance to gain a Flask Charge when you deal a Critical Strike,當你造成暴擊時，有25%的機率獲得藥劑充能
Enemies you Kill that are affected by Elemental Ailments grant 100% increased Flask Charges,你擊敗的受元素異常影響的敵人所獲得的藥劑充能提高100%
Recover 4% of Life when you use a Flask,使用藥劑時回复4%的生命
Recover 100 Life for each Fortification lost,每失去一層護體就恢復100點生命
Gain 20 Fortification on Melee Kill against a Rare or Unique Enemy,近戰擊殺稀有或獨特敵人時獲得20層護體
2% reduced Duration of Ailments inflicted on you per Fortification,每層護體都會使你受到的異常狀態持續時間縮短2%
4% increased Stun and Block Recovery per Fortification,每層護體增加4%的眩暈和格擋恢復
10% chance on Hitting an Enemy for all Impales on that Enemy to last for an additional Hit,擊中敵人時有10%的機率使該敵人身上的所有穿刺持續額外一擊
"20% chance on Hit to remove all Impales from Enemy, Impales removed this way multiply their Reflected Damage for this Hit by the number of Hits they have left",擊中時有20%的機率移除敵人的所有穿刺，以這種方式移除的穿刺將其反射的這次擊中傷害乘以它們剩餘的擊中次數
10% of Leech is Instant,10%的偷取是瞬間回复的
40% increased Armour and Evasion Rating while Leeching,偷取時護甲值和閃避值提高40%
25% more Damage with Hits against Enemies that cannot have Life Leeched from them,對無法偷取生命的??敵人的擊中傷害提高25%
25% of Damage taken Recouped as Life if Leech was removed by Filling Unreserved Life Recently,如果最近通過未保留的生命滿溢導致的移除偷取效果，則25%的傷害會吸納為生命
"25% increased Maximum total Life, Mana and Energy Shield Recovery per second from Leech",每秒從吸取中恢復的最大總生命、法力和能量護盾增加25%
60% increased Critical Strike Chance against enemies with Lightning Exposure,閃電暴露對敵人的暴擊率提高60%
Lightning Damage of Enemies Hitting you while you're Shocked is Unlucky,敵人在你感電時擊中你的閃電傷害是不幸的
10% more Maximum Life if you have at least 6 Life Masteries allocated,如果你至少分配了6個生命專精，則最大生命總增10%
15% increased maximum Life if there are no Life Modifiers on Equipped Body Armour,如果裝備的胸甲衣上沒有生命詞綴，則最大生命增加15%
You count as on Low Life while at 55% of maximum Life or below,你在最大生命值的55%或以下時算作低生命值
You count as on Full Life while at 90% of maximum Life or above,當你達到最大生命值的90%或以上時，你算作滿血
Skills cost Life instead of 30% of Mana Cost,技能消耗30%魔力消耗的生命而不是魔力消耗
Links take twice as long to break,羈絆需要兩倍的時間才會斷開
Link Skills Link to 1 additional random target,羈絆技能鏈接到1個額外的隨機目標
"Linked targets share Endurance, Frenzy and Power Charges with you",羈絆的目標與你共享耐力球、狂怒球和暴擊球
Your Movement Speed is equal to the highest Movement Speed among Linked Players,你的移動速度等於羈絆玩家中最高的移動速度
Regenerate 5 Mana per second,每秒恢復5魔力
12% increased Mana Reservation Efficiency of Skills,技能的魔力保留效率提高12%
You gain 5% increased Area of Effect for each Mine,每個地雷的作用範圍擴大5%
Marked Enemy cannot Regenerate Life,被標記的敵人無法重生生命
Marked Enemy cannot deal Critical Strikes,被標記的敵人無法造成暴擊
Your Mark Transfers to another Enemy when Marked Enemy dies,當被標記的敵人死亡時，你的標記轉移給另一個敵人
50% increased Accuracy Rating against Marked Enemy,對被標記的敵人的命中提高50%
10% more Maximum Physical Attack Damage,最大物理攻擊傷害額外提高10%
Cannot be Stunned by Hits that deal only Physical Damage,不會被僅造成物理傷害的擊暈
Hits have 40% chance to ignore Enemy Monster Physical Damage Reduction,擊中有40%機率無視敵方怪物物理傷害減免
=+6% to Damage over Time Multiplier for Bleeding per Impale on Enemy,每次刺穿敵人時流血的持續傷害加成+6%
Enemies Poisoned by you cannot deal Critical Strikes,被你中毒的敵人無法造成暴擊
65% reduced effect of Withered on you,（新）凋零對你的影響降低 65%
Your Elemental Resistances cannot be lowered by Curses,（新）你的元素抗性不會被詛咒降低
"Damaging Ailments cannot be inflicted on you while you already have one, Non-Damaging Ailments cannot be inflicted on you while you already have one",（新）當你已經有一種傷害異常狀態時，不能對你施加傷害異常狀態，當你已經有一種非傷害異常狀態時，不能對你施加非傷害性疾病
=+1% to all maximum Elemental Resistances if you have Reserved Life and Mana,如果你有保留生命和法力，則所有最大元素抗性+1%
"Inflict Fire, Cold and Lightning Exposure on Enemies when you Suppress their Spell Damage",當你壓制敵人的法術傷害時，對敵人造成火焰、寒冷和閃電暴露
"Prevent +1% of Suppressed Spell Damage per Hit Suppressed Recently, -2% chance to Suppress Spell Damage per Hit Suppressed Recently",最近每壓制法術一次獲得壓制的法術傷害+1%，最近每次壓制法術傷害使你獲得-2%法術壓制機率
Suppressed Spell Damage cannot inflict Elemental Ailments on you,被壓制的法術無法對你造成元素異常
"You have Phasing if you have Suppressed Spell Damage Recently, +8% chance to Suppress Spell Damage while Phasing",如果你最近有壓制法術傷害，獲得迷踪，迷踪狀態時獲得+8%法術壓制機率
Chance to Suppress Spell Damage is Lucky,法術壓制機率是幸運的
8% chance for Traps to Trigger an additional time,陷阱有8%的機率額外觸發一次
Ruthless Hits Intimidate Enemies for 4 seconds,無情打擊威嚇敵人4秒
Warcries cannot Exert Travel Skills,戰吼無法使用位移技能
Remove all Damaging Ailments when you Warcry,當你戰吼時移除所有傷害性異常狀態
Warcries have 10% chance to Exert 3 additional Attacks,戰吼有10%的機率發動3次額外攻擊
Atziri Flameblast,女王的烈焰爆破
{0}% of monster Damage of each type,每種類型的{0}%怪物傷害
{0}% of monster Damage total,總計{0}%的怪物傷害
{0}% of monster Armour,{0}%的怪物護甲
{0}% of monster Evasion,^xFFFFFF{0}%的怪物^x70FF70閃避^7
Enemy Base Evasion:,^xFFFFFF敵人基礎^x70FF70閃避^7:
Enemy Base Armour:,敵人基礎護甲:
Bosses' armour and evasion multiplier are calculated using the average of the boss type,BOSS的護甲與閃避倍率是以BOSS類型的平均值來計算
"Bosses' damage is modified by roll range configuration, defaulted at a 70% roll, at the normal monster level for your character level (capped at 85)",BOSS的傷害由ROLL的範圍配置決定，默認配置為70%的傷害範圍，一般怪物等級為你的角色等級(上限為85等)。
Enemy Skill Roll Range %:,敵人技能傷害範圍 %
This is divided by 4.40 to represent 4 damage types + some (40% as much) chaos,^xFFFFFF這裡除以4.40，代表四種傷害類型+一些(40%相同)的^xD02090混沌^7平均傷害
Exarch Ball,灼烙總督的球
Eater Beam,吞噬天地的光速炮
Maven Fireball,釋界的火球
Minions' Accuracy Rating is equal to yours,召喚物的命中值等同你的
-2 to Accuracy Rating per Level,每級 -2 命中值
+1 Armour per 2 Strength,每 2 點力量 +1 護甲
2% chance to Defend with 150% of Armour per 5% missing Energy Shield,每 5% 失去的能量護盾，有 2% 機率使用 150% 護甲防禦
Recover 5% of Energy Shield over 1 second when you take Physical Damage from an Enemy Hit,當你承受來自敵人擊中的物理傷害時，在 1 秒內恢復 5% 能量護盾
10% of Armour also applies to Chaos Damage taken from Hits,10% 護甲同時套用至承受擊中的混沌傷害
Increases and Reductions to Armour also apply to Energy,增加與減少護甲同時以
Shield Recharge Rate at 20% of their value,20% 它們的值套用至能量護盾充能
"100% increased Armour and Energy Shield from Equipped Body Armour if Equipped Helmet,",若裝備的手套、頭盔和鞋子都有護甲和能量護盾，
Gloves and Boots all have Armour and Energy Shield,增加 100% 護甲和能量護盾
Defend with 120% of Armour against Projectile Attacks,對投射物的攻擊，以 120% 護甲防禦
5% more chance to Evade Melee Attacks,有 5% 更多機率避免近戰攻擊
"Every 4 seconds, Regenerate Life equal to 1% of Armour and Evasion Rating over 1 second",每 4 秒，在 1 秒回復等同 1% 護甲和閃避值的生命
40% increased Armour if you haven't been Hit Recently,若你近期沒有被擊中，增加 40% 護甲
Non-Vaal Strike Skills target 1 additional nearby Enemy,非瓦爾打擊技能瞄準 1 額外附近敵人
Remove Damaging Ailments when you Change Stance,當你切換姿態時，移除傷害型異常狀態
Stance Skills have +6 seconds to Cooldown,姿態技能冷卻時間 +6 秒
Monsters cannot Block your Attacks,怪物不能格擋你的攻擊
5% increased Attack Speed per Enemy in Close Range,每個近距離的敵人，增加 5% 攻擊速度
Nearby Enemies are Intimidated while you have Rage,你有盛怒時，附近敵人被威嚇
25% more Spell Damage if you've been Stunned while Casting Recently,若你近期施放時被暈眩，有 25% 更多法術傷害
6% increased Cast Speed for each different Non-Instant Spell you've Cast Recently,近期你施放的每個不同的非立即法術，增加 6% 施放速度
25% chance to open nearby Chests when you Cast a Spell,當你釋放法術時，有 25% 機率開啟附近保險箱
Recover 1% of Life per Withered Debuff on each Enemy you Kill,你擊殺的每個敵人身上的每層凋零，恢復 1% 生命
Deal 10% more Chaos Damage to enemies which have Energy Shield,對有能量護盾的敵人，造成 10% 更多渾沌傷害
5% chance when you inflict Withered to inflict up to 15 Withered Debuffs instead,當你造成凋零時有 5% 機率改成造成最多 15 凋零減益效果
Gain 25 Life per Enemy Hit with Main Hand Claw Attacks,主手爪攻擊每下擊中敵人，獲得 25 生命
Gain 25 Mana per Enemy Hit with Off Hand Claw Attacks,副手爪攻擊每下擊中敵人，獲得 25 魔力
Inherent Attack Speed bonus from Dual Wielding is doubled while wielding two Claws,雙持爪時，來自雙持固有的攻擊速度加成為 2 倍
50% increased Stealth if you've Hit With a Claw Recently,若你近期有使用爪擊中，增加 50% 隱身
50% increased Projectile Speed while wielding a Dagger,持匕首時，增加 50% 投射物速度
50% reduced Effect of Exposure on you,減少 50% 你身上的曝曬效果
100% increased Evasion Rating from Equipped Body Armour,增加 100% 你胸甲的閃避值
20% increased Maximum Energy Shield if both Equipped Rings have Evasion Modifiers,若裝備的 2 個戒指都有閃避詞綴，增加 20% 最大能量護盾
40% increased Energy Shield Recharge Rate if Equipped Amulet has an Evasion Modifier,若裝備的項鍊有閃避詞綴，增加 40% 能量護盾充能率
Regenerate 1 Life per second for each 1% Uncapped Fire Resistance,每 1% 絕對火焰抗性，每秒回復 1 生命
Critical Strikes do not inherently Ignite,暴擊不會造成點燃
100% increased Damage with Hits against Ignited Enemies,增加 100% 對被點燃敵人的擊中傷害
Remove a random Non-Elemental Ailment when you use a Life Flask,當你使用生命藥劑時，移除 1 個隨機非元素異常狀態
3% chance to Recover all Life when you Kill an Enemy,當你擊殺敵人時，有 3% 機率恢復全部生命
Life Recoup Effects instead occur over 3 seconds,生命補償效果改為 3 秒內發生
"Every 3 seconds, Consume a nearby Corpse to Recover 10% of Life",每 3 秒，消耗附近屍體恢復 10% 生命
"Every 4 seconds, Recover 1 Life for every 0.1 Life Recovery per second from Regeneration",每 4 秒，根據回復的每秒 0.1 生命恢復恢復 1 生命
25% more Damage with Hits against Enemies that cannot have Life Leeched from them,對無法偷取生命的敵人有 25% 更多擊中傷害
20% chance on Hit to remove all Impales from Enemy,擊中時有 20% 機率移除敵人身上全部穿刺
Impales removed this way multiply their Reflected Damage for this Hit by the number of Hits they have left,此方式移除穿刺，會根據穿刺剩餘擊中次數來乘算此擊中的反射傷害
Skills Cost Life instead of 30% of Mana Cost,技能消耗30%魔力消耗的生命而不是魔力消耗
Elemental Ailments are inflicted on you instead of Linked targets,對你造成元素異常狀態，而不是連結的目標
+1% to all maximum Elemental Resistances if you have Reserved Life and Mana,若你有保留生命與魔力，+1% 全部最大元素抗性
Recovery Mastery,恢復專精
+6% to Damage over Time Multiplier for Bleeding per Impale on Enemy,敵人身上每層穿刺 +6% 持續傷害加成
Protection Mastery,保護專精
65% reduced Effect of Withered on you,減少 65% 你身上凋零的效果
Damaging Ailments Cannot Be inflicted on you while you already have one,你已經有傷害型異常狀態時，不會再對你造成傷害型異常狀態
Non-Damaging Ailments Cannot Be inflicted on you while you already have one,你已經有非傷害型異常狀態時，不會再對你造成非傷害型異常狀態
Non-Damaging Ailments Cannot Be inflicted on you while you already have one,你已經有非傷害型異常狀態時，不會再對你造成非傷害型異常狀態
Prevent +1% of Suppressed Spell Damage per Hit Suppressed Recently,近期每個擊中壓抑，防止 +1% 法術壓抑傷害
-2% chance to Suppress Spell Damage per Hit Suppressed Recently,近期每個擊中壓抑，-2% 壓抑法術傷害率
You have Phasing if you have Suppressed Spell Damage Recently,若你近期有壓抑法術傷害，你有迷蹤效果
+8% chance to Suppress Spell Damage while Phasing,迷蹤時，+8% 壓抑法術傷害率
+50% to Critical Strike Multiplier against Stunned Enemies,對暈眩的敵人 +50% 暴擊加成
Hits against you Cannot be Critical Strikes if you've been Stunned Recently,若你近期有被暈眩，對你的擊中不會造成暴擊
25% chance to deal a Stunning Hit to Nearby Enemy Monsters when you're Stunned,當你被暈眩時，有 25% 機率暈眩附近敵人怪物
"Gain Adrenaline when Stunned, for 2 seconds per 100ms of Stun Duration",當暈眩時，每 0.1 秒暈眩持續時間，獲得腎上腺素 2 秒
100% increased Armour from Equipped Boots and Gloves,增加 100% 裝備的鞋子和手套的護甲
30% increased Damage if you've Shattered an Enemy Recently,若你近期有粉碎敵人，增加 30% 傷害
"Enemies permanently take {0}% increased Damage for each second they've ever been Frozen by you, up to a maximum of {1}%",敵人根據被你冰凍的秒數，永久增加承受 {0}% 傷害，最多 {1}%
"+1% to all maximum Elemental Resistances if Equipped Helmet, Body Armour, Gloves, and Boots all have Armour",若裝備的頭盔、胸甲、手套和鞋子都有護甲，+1% 全部最大元素抗性
"+15% chance to Suppress Spell Damage if Equipped Helmet, Body Armour, Gloves, and Boots all have Evasion Rating",若裝備的頭盔、胸甲、手套和鞋子都有閃避值，+15% 壓抑法術傷害率
Immune to Bleeding if Equipped Helmet has higher Armour than Evasion Rating,若裝備的頭盔的護甲高於閃避值，免疫流血
Immune to Poison if Equipped Helmet has higher Evasion Rating than Armour,若裝備的頭盔的閃避值高於護甲，免疫中毒
Empowered Bond,賦予之絆
=+2 to Level of all Link Skill Gems,全部連結技能寶石等級 +2
Inspiring Bond,啟發之絆
{0}% chance for Energy Shield Recharge to start when you Link to a target,當你連結目標時，有 {0}% 機率開始充能能量護盾
Link Skills have {0}% increased Buff Effect if you have Linked to a target Recently,若你近期有連結目標，連結技能增加 {0}% 增益效果
Flasks:,藥劑:
Inc. Effect:,增加效果:
Inc. Duration:,增加持續時間:
Inc. Charges Gain:,增加充能獲取:
Inc. Charges Used:,增加充能使用:
% to not Consume:,%機率不消耗充能使用:
Charge on crit %:,暴擊時 #% 充能:
Charges/s:,每秒充能:
Utility Flasks:,功能藥劑:
Inc. Magic Effect:,魔法藥劑增加效果:
Life Flasks:,生命藥劑:
Inc. Recovery:,增加恢復:
More Recovery:,更多恢復:
Inc. Recovery Rate:,增加恢復率:
Mana Flasks:,魔力藥劑:
Recovery:,恢復:
Manaforged Arrows,魔改箭矢輔助
Vaal Ice Shot,瓦爾‧冰霜射擊
Vaal Lightning Arrow,瓦爾‧閃電箭矢
Barrage Support,彈幕輔助
Vaal Absolution,瓦爾‧赦免
Vaal Animate Weapon,瓦爾‧幻化武器
Vaal Arctic Armour,瓦爾‧極地裝甲
Vaal Domination,瓦爾‧霸氣
Vaal Firestorm,瓦爾‧烈炎風暴
Vaal Reap,瓦爾‧收割
Vaal Rejuvenation Totem,瓦爾‧回春圖騰
Prismatic Burst,三相爆發輔助
Momentum,氣勢輔助
Armour from Equipped Body Armour is doubled,來自裝備胸甲的護甲為 2 倍
{0} to Evasion Rating per {1} Maximum Energy Shield on Equipped Helmet,裝備的頭盔每 {1} 最大能量護盾 {0} 閃避值
{0} to maximum Energy Shield per {1} Evasion Rating on Equipped Body Armour,裝備的胸甲每 {1} 閃避值 {0} 最大能量護盾
Triggers Level {0} Summon Triggerbots when Allocated,當配置時觸發等級 {0} 的召喚誘餌機械
{0}% less Damage with Triggered Spells,被觸發的法術有 {0}% 更少傷害
Mines Hinder Enemies near them for {0} seconds when they Land,當地雷落地時，阻礙附近敵人 {0} 秒
Nearby Enemies have {0}% reduced Cooldown Recovery Rate,附近敵人減少 {0}% 冷卻時間恢復速度
Hits have {0}% chance to deal {1}% more Area Damage,擊中有 {0}% 機率造成 {1}% 更多範圍傷害
Master Distiller,精釀大師
Grant bonuses to Non-Channelling Skills you use by consuming {0} Charges from a Flask of,如果可能的話，消耗下列類型藥劑 {0} 充能，
"each of the following types, if possible:",給予你使用的非引導技能加成
"If Diamond Flask Charges are consumed, {0}% increased Critical Strike Chance",若消耗寶鑽藥劑充能，增加 {0}% 暴擊率
"If Bismuth Flask Charges are consumed, Penetrate {0}% Elemental Resistances",若消耗灰岩藥劑充能，穿透 {0}% 元素抗性
"If Amethyst Flask Charges are consumed, {0}% of Physical Damage as Extra Chaos Damage",若消耗紫晶藥劑充能，有 {0}% 物理傷害的額外混沌傷害
Life Flask Effects are not removed when Unreserved Life is Filled,當未保留生命填滿時，生命藥劑效果不會被移除
Life Flask Effects do not Queue,生命藥劑效果不會列隊
Party,隊伍
Ignore Jewel Limits,忽略珠寶限制
Ignore the limits on jewels,忽略珠寶上的限制
Do you have Arcane Surge?,你有【秘能波動】?
% increased effect of map mods,% 增加地圖詞綴的效果
Map Tier,地圖階級
Red,紅
Yellow,黃
White,白
Uses Lua pattern matching for complex searches,使用 Lua 模式匹配進行複雜搜尋
Export Support,匯出支援
"This is for party play, to export support character, it enables the exporting of auras and curses",這是用於組隊玩法，匯出輔助角色，它可以匯出光環和詛咒
Contains searches from the official trading site to help find,包含來自官方交易網站的搜尋
similar or better items for this build,以幫助找到適合此版本的類似或更好的物品
Exposure Effect:,曝曬效果:
Average Ignite Roll:,平均點燃數值:
Totem Grace,圖騰優雅
Totem Hatred,圖騰憎恨
Totem Precision,圖騰精準
Totem Evasion,圖騰閃避
Projectile Damage Taken,承受投射物傷害
{0}% more DPS,{0}% 更多秒傷
{0}% less DPS,{0}% 更少秒傷
Trauma,創傷輔助
Devour,吞噬輔助
Sadism,虐待輔助
Flamewood,焚木輔助
Sacrifice,獻祭輔助
Spellblade,魔刃輔助
Fresh Meat,鮮肉輔助
Locus Mine,定位地雷輔助
Volatility,易變輔助
Frigid Bond,冰寒之繫輔助
Returning Projectiles,投射物返回輔助
Corrupting Cry,汙染戰吼輔助
Controlled Blaze,精準烈火輔助
Guardian's Blessing,守護者的祝福輔助
Delete Socket Group,刪除插槽組
Manual,手動
Auto,自動
Enemies you Kill have 5% chance to Explode,擊敗的敵人有 5%機率爆炸
dealing 500% of their maximum Life as Fire Damage,造成等同他們最大生命 500% 的火焰傷害。
Skills from Equipped Body Armour are Supported by Level 30 Ancestral Call,胸甲上的技能寶石被 30 級的先祖呼喚輔助，
Skills from Equipped Body Armour are Supported by Level 20 Fist of War,胸甲上的技能寶石被 20 級的拳霸輔助。
Trigger Level 20 Tawhoa's Chosen when you Attack with,"打擊時觸發 20 級的塔赫亞的抉擇,"
a Non-Vaal Slam or Strike Skill near an Enemy,在靠近敵人使用非瓦爾猛擊。
Non-Unique Jewels cause Increases and Reductions to other Damage Types in a Large Radius to be Transformed to apply to Fire Damage,非傳奇珠寶大範圍內的非火焰增或減傷詞綴轉化為火焰傷害，
Recoup 25% of Damage Taken by your Totems as Life,圖騰所受傷害的 25% 補償為你的生命.
Totems Regenerate 1 Life per second per 4 of your Life Recovery per second from Regeneration,你每秒恢復 4 點生命圖騰就每秒恢復 1 點生命.
Modifiers to Maximum Fire Resistance also apply to Maximum Cold and Lightning Resistances,最大火焰抗性上限詞綴也做用於最大冰冷和閃電抗性上限。
Modifiers to Fire Resistance also apply to Cold and Lightning Resistance at 50% of their Value,火焰詞綴的 50% 也作用於冰冷和閃電抗性。
Modifiers to Fire Resistance also apply to Cold and Lightning Resistances at 50% of their Value,火焰詞綴的 50% 也作用於冰冷和閃電抗性。
Vortex,旋渦
Enemies on Profane Ground receive the following modifiers:,在褻瀆地面的敵人受到以下效果
	-10% to all Resistances,-10% 全部抗性
	100% increased chance to be Critically Hit,增加 100% 被擊中的暴擊機率
"Withered applies 6% increased Chaos Damage Taken to the enemy, up to 15 stacks.",^xFFFFFF凋零對敵人增加6%承受^xD02090混沌傷害^7. 最多可堆疊15次
Warrior's Tale,戰士的故事
Replica Dragonfang's Flight,贗品‧龍牙翱翔
Kahuturoa's Certainty,卡胡圖羅亞的確信
Recoup:,補償:
- Requires POESESSID.,- 需要 POESESSID.
"- You can search, compare, and quickly import items without leaving Path of Building.",- 你可以搜尋、比較和快速匯入項目，而無需關閉POB.
- You can generate and perform searches for the private leagues you are participating.,- 你可以為參加的私人聯賽產生連結和執行搜尋.
- Doesn't require POESESSID.,- 不需要 POESESSID.
- You cannot search and compare items in Path of Building.,- 你不能在POB中搜尋與比較項目
- You can generate weighted search URLs but have to visit the trade site and manually import items.,"- 你可以產生搜尋加權網址,但必須親自開啟網站並手動匯入道具"
Include Enchants:,包括附魔
Adjust search weights,調整搜尋權重
- You can only generate weighted searches for public leagues. (Generated searches can be modified,"- 您只能為開放的聯盟產生加權搜尋.(產生的搜尋可以在交易網站上修改,"
on trade site to work on other leagues and realms),以便在其他聯盟和領域中使用）
Fractured Item,破麻道具
Nearby Enemy Monsters' Fire Resistance against,你站立時，附近敵人怪物的
Damage over Time is -20% while you are Stationary,火焰抗性對持續傷害為 -20%
Non-Unique Jewels cause Small and Notable Passive Skills in a Large Radius to,非傳奇珠寶使大範圍內小型和核心天賦，
also grant +3 to Strength,同時 +3 力量
Minions' Base Attack Critical Strike Chance is equal to the Critical Strike Chance of your Main Hand Weapon,召喚物的基礎工擊暴擊率等同於你主手武器的暴擊率
Ancestor,祖靈
Hits against you are always Critical Strikes,對你的擊中必定暴擊
Spells cause you to gain Energy Shield equal to their Upfront Cost every fifth time you Pay it,每 5 次你支付法術時，你會獲得等同於它前期消耗的能量護盾
Charges used,充能使用
Recovers {0} Life instantly,總共恢復 {0} 生命
{0} of {0} ({0} uses),{0} of {0} ({0} 可使用次數)
