add,翻譯
Left ring slot: Projectiles from Spells Fork,左戒指欄位：法術的投射物會分裂
Left ring slot: You cannot Recharge or Regenerate Energy Shield,左戒指欄位：不能回復能量護盾
Left Ring Slot: Your Chilling Skitterbot's Aura applies Socketed Curse instead,左戒指欄位：用插入的【詛咒】替換你【冰冷的飛掠者】的光環
Left Ring Slot: Your Chilling Skitterbot's Aura applies Socketed Hex Curse instead,左戒指欄位：你冰緩探測機獸的光環改施放插槽中的咒術詛咒
Legacy of Fury,傳承憤怒
Legendary,傳奇
Legion,戰亂
Legion Boots,軍團長靴
Legion Gloves,軍團手套
Legion Hammer,軍團之錘
Legion Sword,軍團長劍
Lens,透鏡
Leper's Alms,痲瘋的醫款
Less Area of Effect:,更少範圍效果:
Less Duration,持續時間縮短輔助
Less effect of Curses on enemy:,對敵人的詛咒效果更少:
Less effect of Curses on Enemy:,對怪物的詛咒效果更少:
Less Recovery of Life and Energy Shield:,玩家的生命和能量護盾總回復速度更少:
Less Recovery Rate of Life and Energy Shield:,生命和能量護盾的回復率更少:
Lesser Multi Fireball,低階多重火球
Lesser Multi Ice Spear,低階多重冰矛
Lesser Multiple Projectiles,低階多重投射輔助
Lesser Poison,低階中毒輔助
Lesser Reduced Mana Cost,低階魔力減免輔助
Lethal Assault,致死突襲
Lethal Pride,致命的驕傲
Lethality,致命鋒芒
Lethe Shade,忘卻陰影
Level:,等級:
Leyline Gloves,荒野手套
Liege of the Primordial,先祖諸王
Life,生命
Life and Armour,生命與護甲
Life and Chaos Resistance,生命和混沌抗性
Life and Elemental Ailment Avoidance,生命和避免元素異常狀態
Life and Elemental Resistances,生命與元素抗性
Life and Energy Shield,生命與能量護盾
Life and Energy Shield Mastery,生命與能量護盾精通
Life and Energy Shield on Kill,擊殺時獲得生命和能量護盾
Life and Flasks,生命與藥劑
Life and Life on Kill,生命與擊殺回復生命
Life and Mana Leech,生命與魔力偷取
Life and Mana Leech are instant during effect,效果持續時間內立即獲得生命和魔力偷取
Life and Mana Leech from Critical Strikes are instant,立即獲得暴擊的生命和魔力偷取
Life and Mana on Hit,擊中時獲得生命和魔力
Life and Mana recovery from Flasks,藥劑回復生命和魔力
Life and Mana Recovery from Flasks are instant,來自藥劑的生命和魔力立即回復
Life and Mana recovery from Flasks Mastery,生命和魔力回復專精
Life and Reduced Cost,生命與減少消耗
Life and Reduced Mana Cost,生命與減少魔力消耗
Life and Strength,生命與力量
Life and Stun Avoidance,生命和避免暈眩
Life Cost:,生命消耗:
Life Flask Charge Gain,生命藥劑獲得充能
Life Flasks and Flask Duration,生命藥劑和藥劑持續時間
Life Flasks gain 1 Charge every 3 seconds,生命藥劑每 3 秒獲得 1 充能
Life Flasks gain 2 Charges every 3 seconds,生命藥劑每 3 秒獲得 2 充能
Life Flasks gain 3 Charges when you Suppress Spell Damage,當你壓抑法術傷害時，生命藥劑獲得 3 充能
"Life Flasks gain a Charge when you hit an Enemy, no more than once each second",當你擊中敵人時獲得 1 生命藥劑充能，每秒不超過 1 次
Life from Death,死而復生
Life Gain on Hit,擊中生命回復輔助
Life Gain per Hit:,生命擊回(每次擊中):
Life Gain Rate:,生命擊回速率:
Life Leech,生命偷取輔助
Life Leech and Attack Speed,生命偷取和攻擊速度
Life Leech Cap:,生命偷取極限:
Life Leech effects apply Recovery Linked Target instead of you,生命偷取效果改為恢復連結的目標而不是你
Life Leech effects are not removed at Full Life,滿血時不會移除生命偷取效果
Life Leech effects are not removed when Unreserved Life is Filled,當未保留生命滿時，生命偷取效果不會被移除
Life Leech effects Recover Energy Shield instead,生命偷取效果轉為恢復能量護盾
Life Leech effects Recover Energy Shield instead while on Full Life,滿血時生命偷取效果改為回復能量護盾
Life Leech from Hits with this Weapon is instant,立即獲得此武器擊中的生命偷取
Life Leech is instant,立即獲得生命偷取
Life Leech is instant during Flask Effect,藥劑效果期間內生命偷取為立即
Life Leech per Hit:,生命偷取(每次擊中):
Life Leech Rate:,生命偷取速度:
Life Leech Speed and Attack Speed,生命偷取速度和攻擊速度
Life Leech/Gain per Hit,生命偷取(每次擊中)
Life Leech/Gain per Hit:,生命偷取(每次擊中):
Life Leech/On Hit Rate,生命偷取(擊中速率)
Life Leech/On Hit Rate:,生命偷取(擊中速率):
Life Leeched per Second is doubled,每秒生命偷取加倍
Life Mastery,生命專精
Life multiplier,生命倍率
Life on Block:,格擋時回復生命:
Life on Hit,擊中獲得生命
Life on Kill against Cursed Enemies,擊殺被詛咒的敵人獲得生命
Life on Kill and Recoup,擊殺時護的生命和補償
Life Raker,生靈收割者
Life Recoup,生命補償
Life Recovery from Flasks also applies to Energy Shield,藥劑的生命回復同時套用至能量護盾
Life Recovery from Flasks also applies to Energy Shield during Flask Effect,藥劑效果期間，透過藥劑回復生命同時套用在能量護盾
Life Recovery from Leech is not applied,來自偷取的生命回復不被使用
Life Recovery from Non-Instant Leech is not applied,來自非立即偷取的生命回覆沒有被套用
Life Recovery other than Flasks cannot Recover Life to above Low Life,生命回復除了藥劑外不能恢復生命至瀕血以上
Life Regen,生命再生
Life regen calculation mode:,生命回復計算模式：
Life Regen Percent,生命回復百分比
Life Regen:,生命回復:
Life Regeneration,生命回復
Life Regeneration also Recovers Energy Shield,回復生命同時回復能量護盾
Life Regeneration and Stun Threshold,生命回復和暈眩門檻
Life Regeneration has no effect,生命回復沒有效果
Life Regeneration is applied to Energy Shield instead,生命回復套用到能量護盾上
Life Regeneration per Endurance Charge,耐力球生命回復
"Life Regeneration, Area of Effect",生命回復、範圍效果
"Life Regeneration, Endurance Charge Duration","生命回復速度, 耐力球持續時間"
"Life Regeneration, Endurance Charge on Kill",生命回復、擊殺時獲得耐力球
"Life Regeneration, Fire Damage",生命回復、火焰傷害
"Life Regeneration, Fire Resistance",生命回復、火焰抗性
"Life Regeneration, Totem Placement Speed",生命回復、圖騰放置速度
Life Reserve Mod:,生命保留:
Life to Energy Shield,生命到能量護盾
"Life, Mana, Energy Shield and Flasks are not refilled in Towns",回城鎮裡不會補充生命、魔力、能量護盾和藥劑
Life:,生命:
Lifelong Warrior,終身戰士
Lifesprig,生機之記
Lifetap,活栓輔助
Light Brigandine,輕鎖甲
Light Eater,嗜光者
Light of Divinity,神聖啟蒙
Light of Lunaris,月影之耀
Light Quiver,輕巧箭袋
Light Radius is based on Energy Shield instead of Life,基於能量護盾的照亮範圍
Light Radius Mod:,視野詞綴:
Lightbane Raiment,魔道之衣
Lightning,閃電
Lightning Aegis,閃電聖盾
Lightning Ailment Effect,閃電異常狀態效果
Lightning Arrow,閃電箭矢
Lightning Arrow hits an additional Enemy,閃電箭矢擊中目標附近額外一名敵人
Lightning Arrow Hits an additional Enemy,閃電箭矢擊中 1 個額外敵人
Lightning Ball,天雷之珠
Lightning bolt,閃電弧
Lightning Bolt,雷擊
Lightning Channel,閃電鏈結
Lightning Circle,雷霆之環
Lightning Clone Retaliation,閃電複製體復仇
Lightning Coil,雷語
Lightning Damage,造成閃電傷害
Lightning Damage and Cast Speed,閃電傷害和施放速度
Lightning Damage and Lightning Ailment Duration,閃電傷害和閃電異常狀態持續時間
Lightning Damage and Lightning Ailment Effect,閃電傷害和閃電異常狀態效果
Lightning Damage and Lightning Conversion,閃電傷害和感電效果
Lightning Damage and Shock Avoidance,閃電傷害和避免感電
Lightning Damage and Shock Chance,閃電傷害和感電機率
Lightning Damage and Shock Effect,閃電傷害和感電效果
Lightning Damage from Enemies Hitting you is Lucky,敵人擊中你的閃電傷害會特別幸運
Lightning Damage from Hits is taken from the Aegis before your Life or Energy Shield,在你的生命或能量護盾承受閃電傷害前，先由聖盾扣除
Lightning Damage Mastery,閃電傷害專精
Lightning Damage of Enemies Hitting you is Lucky,來自敵人擊中你的閃電傷害很幸運
Lightning Damage with Non-Critical Strikes is Lucky,非暴擊的閃電傷害很幸運
"Lightning Damage, Shock Duration and Effect","閃電傷害, 感電持續和機率"
Lightning Golem,閃電魔像
Lightning hit,閃電擊中
Lightning Hit/DoT:,閃電 擊中/持續:
Lightning Laser,噬魂者激光（部分）
Lightning Mastery,閃電專精
Lightning Penetration,閃電穿透輔助
Lightning Projectile,閃電投射物
Lightning Res. Over Max,閃電抗性(溢出)
Lightning Res. Over Max:,閃電抗性(溢出):
Lightning Resist,閃電抗性
Lightning Resist Max,閃電抗性上限
Lightning Resist:,閃電抗性:
Lightning Resistance,閃電抗性
Lightning Resistance does not affect Lightning Damage taken,閃電抗性不影響承受閃電傷害
Lightning Resistance:,閃電抗性:
Lightning Skills have 20% reduced Enemy Stun Threshold,閃電技能減少 20% 敵人暈眩門檻
Lightning Spells have 10% of Physical Damage Converted to Lightning Damage,閃電法術可將物理傷害的 10% 轉換為閃電傷害
Lightning Spells have 15% of Physical Damage Converted to Lightning Damage,閃電法術可將物理傷害的 15% 轉換為閃電傷害
Lightning Spells have 25% of Physical Damage Converted to Lightning Damage,閃電法術 25% 物理傷害轉化至閃電傷害
Lightning Spire Trap,鋒雷陷阱
Lightning Spire Trap strikes an additional area,鋒雷陷阱落雷至 1 個額外區域
Lightning Strike,閃電打擊
Lightning Strike fires an additional Projectile,閃電打擊發射 1 個額外投射物
Lightning Strike pierces an additional Target,閃電打擊穿透一個額外目標
Lightning Surge,閃電奔騰
Lightning Tendrils,電能釋放
Lightning Thorns,閃電荊棘
Lightning Trap,閃電陷阱
Lightning Trap pierces an additional Target,閃電陷阱穿透一個額外目標
Lightning Walker,雷靈之道
Lightning Warp,閃電傳送
Lightning:,閃電:
Lightpoacher,光明獵盜者
Limbsplit,斷罪
Linden Kite Shield,椴木鳶盾
Line,之線
Lingering Toxins,殘留毒素
Link,連結
Link Duration,連結持續時間
Link Duration and Cast Speed,連結持續時間和施放速度
Link Mana Cost,連結魔力消耗
Link Mana Cost and Cast Speed,連結魔力消耗和施放速度
Link Mastery,連結專精
Link Skills can target Damageable Minions,連結技能可以瞄準傷害型召喚物
Link Skills have 10% increased Cast Speed,連結技能增加 10% 施放速度
Link Skills have 10% increased Skill Effect Duration,連結技能增加 10% 技能效果持續時間
Link Skills have 20% increased Buff Effect,連結技能增加 20% 增益效果
Linked target's Chance to Block Attack Damage is equal to yours,連結目標的攻擊傷害格擋率等同你的
Linked target's Main Hand Critical Strike Chance is equal to yours,連結目標的主手暴擊率等同你的
Linked target's Maximum Chance to Block Attack Damage is equal to yours,連結目標的最大攻擊傷害格擋率等同你的
Linked target's Maximum total Life Recovery per second from Leech is equal to yours,連結目標偷取的每秒最大總生命恢復等同你的
Lion Pelt,獅首皮盔
Lion Sword,獅爪巨劍
Lion's Roar,獅吼精華
Lioneye's Fall,獅眼的隕落
Lioneye's Glare,獅眼的戰弓
Lioneye's Paws,獅眼的鬥志
Lioneye's Remorse,獅眼的榮耀之盾
Lioneye's Vision,獅眼的視線
Liquid Inspiration,液態啟發
Lithe Blade,細刃
Living Weapons,幻靈武器
Loath,惡行
Lochtonial Caress,意識之緣
Lock,堅鎖
Lockdown occurs immediately when Alert Level is full,達到警戒等級上限時，立刻封鎖
Locket,保護符
Locks enemy in place,鎖定敵人在原地
Lone Antler Talisman,孤角魔符
Lone Messenger,獨行使者
Lonely,孤獨
Long Bow,長弓
Long Staff,長杖
Longshot,長射
Longsword,大劍
Longtooth Talisman,長牙魔符
Loop,圓環
Lord of Drought,枯旱之君
Lord of Steel,鋼鐵君主
Lord of the Dead,亡靈之主
Lordly Plate,領主護鎧
Loreweave,智者織衫
Lori's Lantern,羅里的幸運之燈
Loricated Ringmail,覆體環甲
Lose 0.1% of Life per second per Rage while you are not losing Rage,當你沒有失去盛怒時，每層盛怒每秒失去 0.1% 生命
Lose a Blood Charge when an Enemy Dies while affected by this Skill's Debuff,被此技能減益效果影響時，有敵人死亡時失去 1 顆血腥球
Lose a Frenzy Charge when you use a Travel Skill,當你使用快行技能，失去 1 顆狂怒球
Lose a Power Charge each second if you have not Detonated Mines Recently,若你近期沒有引爆地雷，每秒失去 1 顆暴擊球
Lose a Power Charge when Hit,被擊中時失去 1 顆暴擊球
Lose a Power Charge when you gain Elusive,當你獲得靈巧，失去 1 顆暴擊球
Lose all Divine Charges when you gain Divinity,當你獲得神聖時失去所有神聖充能
Lose all Endurance Charges on use,使用時失去所有耐力球
Lose all Endurance Charges when Rampage ends,暴怒狀態結束時失去所有耐力球
Lose all Fanatic Charges on reaching Maximum Fanatic Charges,到達最大狂熱球時失去全部狂熱球
Lose all Flask Charges on entering a new area,進入新區域時失去所有藥劑充能
Lose all Fragile Regrowth when Hit,被擊中時失去所有脆弱再生
"Lose all Frenzy, Endurance, and Power Charges when you Move",當你移動時失去所有狂怒球、耐力球和暴擊球
Lose all Gale Force when Hit,被擊中時失去所有颶風之力
Lose all Power Charges on Critical Strike,暴擊時失去所有暴擊球
Lose all Power Charges on reaching Maximum Power Charges,達到暴擊球最大數量時，失去所有的暴擊球
Lose all Power Charges when you Block,當你格擋時失去所有暴擊球
Lose Souls gained from Soul Eater when you use a Flask,使用藥劑時失去從噬魂者獲得的效果
Loses all Charges when you enter a new area,當你進入新區域時失去所有充能
Lost,迷失
Low tier: 25-30%,低階: 25-30%
Low Tolerance,低容忍
Lowest Resonance Count:,最低共鳴數量:
Lucidity,清澈
Luminous,鮮明
Lunaris Circlet,月影之冠
Lunaris Concubine,月影神侍妾
Lunarsworn Wintermage,寒冬月影魔導士
Lure,誘餌
Lust for Carnage,汲血者
Lycosidae,狼蛛
Mace Accuracy and Attack Speed,錘的命中和攻擊速度
Mace and Staff Damage,鎚杖傷害
Mace and Staff Damage Mastery,鎚杖傷害專精
Mace Critical Strike Chance,錘的暴擊率
Mace Critical Strike Chance and Multiplier,錘的暴擊率和加成
Mace Critical Strike Multiplier,錘的暴擊加成
Mace Damage,錘的傷害
Mace Damage and Accuracy,錘的傷害和命中
Mace Damage and Area of Effect,錘的傷害和範圍效果
Mace Damage and Attack Speed,錘的傷害和攻擊速度
Mace Damage and Critical Strike Chance,錘的傷害和暴擊率
Mace Damage and Critical Strike Multiplier,鎚類傷害和暴擊傷害加成
Mace Damage and Reduced Enemy Stun Threshold,錘的傷害和減低敵人暈眩門檻
Mace Damage and Stun Duration,錘的傷害和暈眩時間
Mace Elemental Damage and Accuracy,錘的元素傷害與命中
Mace Mastery,錘專精
Mace or Sceptre Attacks deal 10% increased Damage with Ailments,錘或權杖增加 10% 異常狀態傷害
Mace or Sceptre Attacks deal 10% increased Damage with Hits and Ailments,錘或權杖攻擊增加 10% 擊中和異常狀態傷害
Mace or Sceptre Attacks deal 12% increased Damage with Ailments,錘或權杖增加 12% 異常狀態傷害
Mace or Sceptre Attacks deal 12% increased Damage with Hits and Ailments,錘或權杖攻擊增加 12% 擊中和異常狀態傷害
Mace or Sceptre Attacks deal 14% increased Damage with Ailments,錘或權杖增加 14% 異常狀態傷害
Mace or Sceptre Attacks deal 14% increased Damage with Hits and Ailments,錘或權杖攻擊增加 14% 擊中和異常狀態傷害
Mace or Sceptre Attacks deal 16% increased Damage with Ailments,錘或權杖增加 16% 異常狀態傷害
Mace or Sceptre Attacks deal 18% increased Damage with Ailments,錘或權杖增加 18% 異常狀態傷害
Mace or Sceptre Attacks deal 18% increased Damage with Hits and Ailments,錘或權杖攻擊增加 18% 擊中和異常狀態傷害
Mace or Sceptre Attacks deal 24% increased Damage with Hits and Ailments,錘或權杖攻擊增加 24% 擊中和異常狀態傷害
Mace or Sceptre Attacks deal 28% increased Damage with Ailments,錘或權杖增加 28% 異常狀態傷害
Mace or Sceptre Attacks deal 30% increased Damage with Ailments,錘或權杖增加 30% 異常狀態傷害
Mace or Sceptre Attacks deal 35% increased Damage with Ailments,錘或權杖增加 35% 異常狀態傷害
Mace or Sceptre Attacks deal 36% increased Damage with Ailments,錘或權杖增加 36% 異常狀態傷害
Mace or Sceptre Attacks deal 8% increased Damage with Ailments,錘或權杖增加 8% 異常狀態傷害
Mace or Sceptre Attacks deal 8% increased Damage with Hits and Ailments,錘或權杖攻擊增加 8% 擊中和異常狀態傷害
Machina Mitts,詭計魔手
Machinist's Guarantee,機工的保證
Maelstrom,魔暴
Maelström,魔暴
Maelström of Chaos,混沌之淵
Maelström Staff,風暴長杖
Mage Bane,魔術災厄
Mage Hunter,魔術獵手
Mage's Vestment,博學長衣
Magebane,咒術災厄
Mageblood,魔血
Magic,魔法的
Magic Monster Packs each have a Bloodline Mod,魔法怪物群皆有血族詞綴
Magic Monsters are Maimed,魔法怪物被癱瘓
Magic Utility Flask Effects cannot be removed,魔法功能型藥劑效果不能被移除
Magic Utility Flasks cannot be Used,魔法功能型藥劑不能使用
Magistrate Crown,行政者戰冠
Magma Ball,岩漿球
Magma Balls,熔岩球
Magma Orb,熔岩之核
Magma Orb Chains an additional time,【熔岩之核】額外連鎖彈射 1 次
Magma Orb fires an additional Projectile,【熔岩之核】可以額外發射 1 個投射物
Magmatic Strikes,岩漿之擊
Magna Eclipsis,堅毅之蝕
Magnifier,放大
Mahogany Tower Shield,桃木塔盾
Mahuxotl's Machination,瑪哈薩多的陰謀
Maim,癱瘓輔助
Maim on Hit,擊中時造成癱瘓
Main Hand:,主手:
Main Projectile,主投射物
Main Skill:,主技能:
Majestic Plate,莊嚴之鎧
Malachai's Artifice,瑪拉凱的巧技
Malachai's Awakening,瑪拉凱的覺醒
Malachai's Loop,輪迴
Malachai's Mark,瑪拉凱之面
Malachai's Simula,瑪拉凱的祭具
Malachai's Vision,瑪拉凱的遠見
Malediction,惡語術
Malevolence,惡意
Malevolence has no Reservation,惡意無保留
Malevolence Reserves no Mana,惡意沒有魔力保留
Malicious Intent,不善意圖
Maligaro's Cruelty,馬雷葛蘿的殘暴
Maligaro's Lens,馬雷葛蘿的染血透鏡
Maligaro's Restraint,馬雷葛蘿的染血之環
Maligaro's Virtuosity,馬雷葛蘿的血染手套
Malign Fangs,邪惡獠牙
Mallet,千斤錘
Maloney's Mechanism,馬洛尼的機關
Maloney's Nightfall,馬洛尼的暮光
Maltreatment Axe,肆虐之斧
Mana,魔力
Mana and Arcane Surge Effect,魔力和秘能波動效果
Mana and Aura Area of Effect,魔力和光環範圍效果
Mana and Flask Charges Gained,魔力和藥劑充能獲得
Mana and Flask Effect,魔力和藥劑效果
Mana and Flasks,魔力與藥劑
Mana and Guard Skill Cooldown Recovery,魔力和守護技能冷卻時間恢復
Mana and Guard Skill Duration,魔力和守衛技能持續時間
Mana and Life,魔力和生命
Mana and Life Regeneration,生命回復和魔力回復
Mana and Mana Gain on Killing Blow,魔力和擊殺獲得魔力
Mana and Mana on Kill,魔力與擊殺回復魔力
Mana and Mana Regeneration,魔力和魔力回復
Mana and Reduced Mana Cost,魔力和減少魔力消耗
Mana and Spell Block,魔力和法術格擋
Mana and Spell Damage,魔力和法術傷害
Mana Cost,魔力消耗
Mana Cost Mastery,魔力消耗專精
Mana Cost:,魔力消耗:
Mana Flask Charge Gain,魔力藥劑獲得充能
Mana Flasks,魔力藥劑
Mana Flasks and Flask Duration,魔力藥劑和藥劑持續時間
Mana Flasks gain 1 Charge every 3 seconds,每 3 秒魔力藥劑獲得 1 充能
Mana Flasks gain 2 Charges every 3 seconds,每 3 秒魔力藥劑獲得 2 充能
Mana Flows,魔力之流
Mana Gain per Hit:,魔力擊回(每次擊中):
Mana Gain Rate:,魔力擊回速率:
Mana Leech,魔力偷取輔助
Mana Leech Cap:,魔力偷取極限:
Mana Leech per Hit:,魔力偷取(每次擊中):
Mana Leech Rate:,魔力偷取速度:
Mana Leech/Gain per Hit,魔力偷取(每次擊中)
Mana Leech/Gain per Hit:,魔力偷取(每次擊中)
Mana Leech/On Hit Rate,魔力偷取(擊中速率)
Mana Leech/On Hit Rate:,魔力偷取(擊中速率):
Mana Mastery,魔力專精
Mana on Block:,格擋時回復魔力:
Mana on Hit,擊中獲得魔力
Mana Recovery occurs instantly at the end of the Flask effect,藥劑效果結束時，立即觸發魔力回復
Mana Regen,魔力回復
Mana Regen Percent,魔力回復百分比
Mana Regen:,魔力回復:
Mana Regeneration,魔力回復
Mana Regeneration and Increased Mana Cost,魔力回復和增加魔力消耗
Mana Regeneration and Intelligence,魔力回復與智慧
Mana Regeneration and Life,魔力回復與生命
Mana Regeneration and Reduced Mana Cost,魔力回復和減少魔力消耗
Mana Regeneration per Power Charge,每顆暴擊球魔力回復
"Mana Regeneration, Arcane Surge Effect",魔力回復速度、秘能波動效果
"Mana Regeneration, Brand Damage",魔力回復速度、烙印傷害
"Mana Regeneration, Mana",魔力回復速度、魔力
"Mana Regeneration, Power and Endurance Charge Duration","魔力回復速度, 耐力球和暴擊球持續時間"
"Mana Regeneration, Spell Damage","魔力回復速度, 法術傷害"
"Mana Regeneration, Totem Placement Speed",魔力回復速度、圖騰放置速度
Mana Regeneration:,魔力回復:
Mana Reserve Mod:,魔力保留:
Mana:,魔力:
Manabond,魔能束縛
Manage Item Sets,管理物品設定
Manage Passive Trees,管理天賦樹
Manage Spectres...,管理幽魂...
Manage trees...,管理天賦樹...
Manage...,管理...
Manastorm,魔能暴風
Mandate,授權
Mandible Talisman,巨顎魔符
Mangler,撕裂者
Manifest Dancing Dervish,幻化狂舞德爾維希
Manifest Dancing Dervish also manifests a copy of Dancing Dervish,幻化狂舞德爾維希同時會幻化 1 個複製狂舞德爾維希
Manifested Dancing Dervish dies when Rampage ends,幻化狂舞德爾維希在暴怒結束時死亡
Manifested Dancing Dervish disables both weapon slots,幻化狂舞德爾維希使你主手和副手武器裝備欄失效
Manifesto,宣言
Mantle,護障
Mantra of Flames,烈炎之兆
Manual Stacks,手動疊層
Mao Kun,賊窩
Map areas have Warlord's Influence,地圖區域有總督軍勢力
Map Boss is surrounded by Tormented Spirits,地圖頭目被罪魂包圍
Map contains Al-Hezmin's Citadel,地圖含有奧赫茲明的壁壘
Map contains Baran's Citadel,地圖含有巴倫的壁壘
Map contains Drox's Citadel,地圖含有圖拉克斯的壁壘
Map contains Veritania's Citadel,地圖含有維羅提尼亞的壁壘
Map has a Vaal Side Area,地圖有 1 個瓦爾地區
Map has an additional random Modifier from Zana's Crafting Bench,地圖從札娜的工藝台獲得 1 個額外隨機詞綴
Map is occupied by The Constrictor,地圖被異界．干擾佔據
Map is occupied by The Enslaver,地圖被異界．奴役佔據
Map is occupied by The Eradicator,地圖被異界．根除佔據
Map is occupied by The Purifier,地圖被異界．淨化佔據
Map Modifiers and Player Debuffs,地圖詞綴和玩家減益
Map Portals do not expire,傳送門不會關閉
Map Prefix Modifiers:,地圖前綴:
Map Suffix Modifiers:,地圖後綴:
Maple Round Shield,楓木圓盾
Maraketh Bow,馬拉克斯弓
Marauder,野蠻人
MARAUDER,野蠻人
Marauder Ascendancy,野蠻人昇華職業
Marble Amulet,理石護身符
March,行靴
March of the Legion,軍閥行軍
Mark,印記
Mark Effect,印記效果
Mark Mastery,印記專精
Mark of Submission,臣服之記
Mark of the Doubting Knight,迷茫幻符
Mark of the Elder,尊師之印
Mark of the Red Covenant,焰首支環
Mark of the Shaper,塑者之印
Mark On Hit,擊中時印記輔助
Mark Skills have 25% increased Cast Speed,印記技能增加 25% 施放速度
Mark the Prey,獵物印記
Marked,被印記
Marked Enemy grants 30% increased Flask Charges to you,被印記的敵人使你增加 30% 藥劑充能
Marked Enemy has 10% reduced Accuracy Rating,被印記的敵人減少 10% 命中值
Marked Enemy Reduced Accuracy,被印記的敵人減少命中
Marked Enemy takes 10% increased Damage,被印記的敵人增加 10% 承受傷害
Marked for Death,死亡印記
Marks you inflict are not removed from Dying Enemies,你造成的印記不會從瀕死的敵人移除
Marohi Erqi,爾奇的巨靈之錘
Martial Artistry,武藝之相
Martial Experience,武術經驗
Martial Mastery,武術精通
Martial Momentum,武術氣勢
Martial Prowess,武術英勇
Martyr of Innocence,烈士之淨
Martyr's Crown,烈士之冠
Martyr's Legacy,烈士的遺產
Marylene's Fallacy,瑪莉琳的護體之符
Mask of the Spirit Drinker,魂飲化面
Mask of the Stitched Demon,惡縫之面
Mask of the Tribunal,審判莊嚴
Masochist's,受虐狂的
Mass Frenzy,群體狂亂
Mass Power,群體之力
Mast,晴空
Master Alchemist,煉金術大師
Master Fletcher,飛矢宗師
Master of Blades,劍刃大師
Master of Command,引導大師
Master of Fear,恐懼大師
Master of Fire,火焰大師
Master of Force,蠻勇之力
Master of Immolation,獻祭大師
Master of Metal,鐵金剛
Master of the Arena,決戰宗師
Master of the Maelstrom,混亂大師
Master of the Storm,風暴大師
Master of Winter,凜冬大師
Master Sapper,工兵大師
Master Surgeon,手術大師
Master the Fundamentals,精通基礎
Master Toxicist,毒物大師
Masterful Form,神采之形
Mastermind of Discord,混沌天才
Match gems to character level:,將技能寶石調整至角色等級：
Material,材料
Matua Tupuna,遠祖之顱
Maven releases all Bosses at once,釋界一次釋放全部頭目
Maw of Conquest,雛鳥之征
Maw of Mischief,頑皮裂齒獸
Max Bleed Stacks:,最大流血疊層:
Max Chain Count:,最大連鎖數量:
Max Channelled Orbs,最大吟導能量球
Max Explosion per Brand,每個烙印最大爆炸
Max Ignite Stacks:,最大點燃次數:
Max Impale Stacks:,最大穿刺疊層
Max Poison Stacks:,最大中毒層數:
Max Stages,最大階數
Max Stages Energy Pulsing,最大層能量輻射
Maximum,最大值
Maximum Absorption Charges is equal to Maximum Power Charges,最大吸收球等於最大暴擊球
Maximum Affliction Charges is equal to Maximum Frenzy Charges,最大苦痛球等於最大狂怒球
Maximum Brittle:,最大易碎:
Maximum Brutal Charges is equal to Maximum Endurance Charges,最大殘暴球等於最大耐力球
Maximum Chance to Block Spell Damage is equal to Maximum Chance to Block Attack Damage,最大法術格擋率等於最大攻擊格擋率
Maximum Chill:,最大冰緩:
Maximum Cold Resistance,最大冰冷抗性
Maximum effect,最大效果
Maximum Energy Shield is 0,最大能量護盾為 0
"Maximum Energy Shield is 0\nWhile not on Full Life, Sacrifice 20% of Mana per Second to Recover that much Life",最大能量護盾為 0\n當不是滿血時，每秒獻祭 20% 魔力回復等值的生命
Maximum Fire Resistance,最大火焰抗性
Maximum Fortification,最大護體
Maximum Hit Taken (uses lowest value):,承受最大擊中(使用最低數值):
Maximum Hit Taken:,最大承受(擊中傷):
Maximum hit you can take,可承受最大擊中
Maximum leech rate against one target:,一個目標最大偷取速率:
"Maximum Life becomes 1, Immune to Chaos Damage",最大生命變成 1，免疫混沌傷害
Maximum Lightning Resistance,最大閃電抗性
Maximum Power Charges is 0,最大暴擊球為 0
Maximum Sap:,最大殘喘:
Maximum Scorch:,最大焦灼:
Maximum Shock:,最大感電所需傷害:
Maximum Shock:,最大感電:
Maximum Stacks,最大疊層
Maximum stages,最大階數
Maximum total Energy Shield Recovery per second from Leech is doubled,來自偷取每秒能量護盾的最大總恢復加倍
Maximum total Life Recovery per second from Leech is doubled,來自偷取的每秒最大生命恢復加倍
Maximum total Recovery per second from Energy Shield Leech is doubled,能量護盾偷取每秒最大總恢復加倍
Maximum total Recovery per second from Life Leech is doubled,生命偷取的每秒最大總恢復加倍
May inflict Bleeding,可能造成流血
May inflict Maim,可能造成癱瘓
May inflict Vulnerability on Hit,擊中時有可能造成脆弱
Measured,實測的
Measured Fury,縝密狂怒
Meat Shield,肉盾輔助
Meat Shield:,【肉盾】:
Meatgrinder,戮魂重錘
Mechalarm Belt,機械腰帶
Medallion,獎章
Medic's,醫藥的
Medium,中
Medium Cluster Jewel,中型星團珠寶
Medium Hybrid Flask,中型復合藥劑
Medium Jewel Socket,中型珠寶插槽
Medium Life Flask,中型生命藥劑
Medium Mana Flask,中型魔力藥劑
Medved's Challenge,梅德偉的挑戰
Megalomaniac,妄想症
Meginord's Girdle,梅吉諾德的力量泉源
Meginord's Vigour,梅吉諾德的朝氣
Meginord's Vise,梅吉諾德的巨力腕甲
Melding,融合
Melding of the Flesh,血肉融合
Melee,近戰
